"New password","Ny adgangskode"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Denne e-mail adresse er allerede blevet brugt. Tjek venligst din indbakke for en aktivering e-mail. Det vil være til rådighed om et par dage, hvis du ikke gør noget."
"Please enter a site name.","Angiv navn til websted."
"That name is not allowed.","Navnet er ikke tilladt."
"Site name must be at least 4 characters.","Webstedets navn skal være på mindst 4 tegn"
"Sorry, site names may not contain the character &#8220;_&#8221;!","Beklager, navne på websteder må ikke indholde tegnene &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Beklager, men du må ikke bruge det navn til dit websted."
"Sorry, site names must have letters too!","Beklager, navne på websteder skal også indeholde bogstaver!"
"Please enter a site title.","Angiv sitets titel."
"Sorry, that site already exists!","Beklager, men det websted findes allerede!"
"Sorry, that site is reserved!","Beklager, men det websted er optaget!"
"That site is currently reserved but may be available in a couple days.","Dette websted (navn) er optaget for øjeblikket, men bliver måske tilgængeligt i løbet af et par dage."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","For at aktivere din blog skal du klikke på det følgende link:\n\n%s\n\nNår du har aktiveret din blog, vil du få *endnu en e-mail* med dit login..\n\nNår du har aktiveret dit websted, kan du besøge det her:\n\n%s"
"[%s] Activate %s","[%s] Aktiver %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","For at aktivere din bruger bedes du følge dette link:\n\n%s\n\nNår din bruger er aktiveret, vil du modtage en email med dit login."
"Invalid activation key.","Ugyldig aktiveringsnøgle"
"The user is already active.","Brugeren er allerede aktiv."
"The site is already active.","Webstedet er allerede aktiveret."
"Could not create user","Bruger kunne ikke oprettes"
"That username is already activated.","Dette brugernavn er allerede aktiveret"
"Could not create site.","Kunne ikke oprette websted."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nyt site: %s\nURL: %s\nRegistreret via IP: %s\n\nFjern disse notifikationer: %s"
"New Site Registration: %s","Ny oprettelse af websted: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny Bruger: %s\nRegistreret via IP: %s\n\nFjern disse notifikationer: %s"
"New User Registration: %s","Ny brugerregistrering: %s"
"Already Installed","Allerede installeret"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Det er ud til at WordPress allerede er installeret. For at geninstallere bedes du tømme databasen for den eksisterende installation først."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Kære bruger,\n\nDit nye SITE_NAME websted er blevet oprettet uden problemer på:\nBLOG_URL\n\nDu kan logge på administratorkontoen med følgende oplysninger:\nBrugernavn: USERNAME\nKodeord: PASSWORD\nLog ind her: BLOG_URLwp-login.php\n\nVi håber, at du bliver glad for dit nye websted. Tak!\n\n--Holdet @ SITE_NAME"
"New %s Site: %s","Nyt %s websted: %s"
"New %s User: %s","Ny %s bruger: %s"
"This file is too big. Files must be less than %d KB in size.","Denne fil er for stor. Filer skal have en størrelse på mindre end %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","En fejl skete i forsøg på at tilføje dig til dette websted. Gå tilbage til <a href=\"%s\">forsiden</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du er blevet tilføjet til dette websted. Besøg venligst <a href=\"%s\">webstedet</a> eller <a href=\"%s\">log ind</a> med dit brugernavn og kodeord."
"WordPress &rsaquo; Success","WordPress &rsaquo; Succes"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Kære bruger,&#13;&#13;\n\nDin nye konto er oprettet.&#13;&#13;\n\nDu kan nu logge ind med følgende oplysninger:&#13;\nBrugernavn: BRUGERNAVN&#13;\nKodeord: KODEORD&#13;\nLOGINLINK&#13;&#13;\nTak!&#13;&#13;\n\nHoldet bag SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Denne bruger har valgt at slette sin konto, og indholdet vil ikke længere være tilgængeligt."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Dit websted er endnu ikke blevet aktiveret. Hvis du har problemer med at aktivere dit site, så kontakt venligst <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Dette websted er blevet arkiveret eller suspenderet."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Dette websted eksisterer ikke. Prøv venligst <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Der er ikke defineret noget websted på denne vært. Hvis du er ejer af dette websted, så læs venligst siden <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Fejlsøgning på WordPress Netværk</a>."
"If your site does not display, please contact the owner of this network.","Hvis ikke du kan se webstedet, så kontakt ejeren af dette netværk."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Hvis du ejer dette netværk, så tjek om MySQL kører som det skal, og at der ikke er fejl i tabellerne."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databasetabeller mangler.</strong> Dette betyder, at MySQL ikke kører, at WordPress ikke blev installeret ordentligt, eller der er en, der har slettet <code>%s</code>. Du bør faktisk kigge på din database med det samme."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kunne ikke finde webstedet <code>%s</code>.</strong> Søgte efter tabellen <code>%s</code> i databasen <code>%s</code>. Er det korrekt?"
"What do I do now?","Hvad gør jeg nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Læs <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">debugging-siden</a>. Oplysningerne på siden kan muligvis hjælpe dig til at finde ud af, hvad der er gået galt."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Hvis du stadigvæk får denne besked, så tjek, at din database indeholder de følgende tabeller:"
"Multisite only works without the port number in the URL.","Multisite virker kun, hvis der ikke er portnumre i URL&#39;en."
"Database tables are missing.","Databasetabeller mangler."
"No site by that name on this system.","Der findes intet websted med dette navn i dette netværk."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Navnet på menuen <strong>%s</strong> er i konflikt med et eksisterende menunavn. Prøv et andet."
"The given object ID is not that of a menu item.","Det angivne objekt-ID hører ikke til et menuelement."
"Custom","Brugerdefineret"
"%s is a protected WP option and may not be modified","%s er en beskyttet WP-indstilling, som ikke m&#229; &#230;ndres"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>FEJL</strong>: Ugyldigt brugernavn eller forkert adgangskode"
"You should specify a nonce action to be verified by using the first parameter.","Du skal angive en nonce handling, der skal verificeres gennem den første parameter."
"New comment on your post \"%s\"","Ny kommentar til dit indlæg \"%s\""
"Author : %s (IP: %s , %s)","Forfatter: %s (IP: %s , %s)"
"E-mail : %s","E-mail: %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois: http://whois.arin.net/rest/ip/%s"
"Comment:","Kommentar:"
"You can see all comments on this post here:","Du kan se alle kommentarer til dette indlæg her:"
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","Nyt trackback til dit indlæg \"%s\""
"Excerpt:","Uddrag: "
"You can see all trackbacks on this post here:","Du kan se alle trackbacks til dette indlæg her: "
"New pingback on your post \"%s\"","Nyt Pingback til dit indlæg \"%s\""
"You can see all pingbacks on this post here:","Du kan se alle pingbacks til dette indlæg her: "
"Trash it: %s","Smid i papirkurv: %s"
"Delete it: %s","Slet den: %s"
"Spam it: %s","Spam den: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Et nyt trackback til indlægget \"%s\" venter på din godkendelse"
"Website : %s (IP: %s , %s)","Websted: %s (IP: %s , %s)"
"Trackback excerpt:","Trackback uddrag:"
"A new pingback on the post \"%s\" is waiting for your approval","Et nyt pingback til indlægget \"%s\" venter på din godkendelse"
"Pingback excerpt:","Pingback uddrag:"
"A new comment on the post \"%s\" is waiting for your approval","En ny kommentar til indlægget \"%s\" venter på din godkendelse"
"Approve it: %s","Godkend den: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Der er i øjeblikket %s kommentar, der venter på godkendelse. Gå til bedømmelsessiden:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Der er i øjeblikket %s kommentarer, der venter på godkendelse. Gå til bedømmelsessiden:"
"[%s] Please moderate: \"%s\"","[%s] Bedøm venligst: \"%s\""
"Password Lost and Changed for user: %s","Kodeord mistet og ændret for brugeren: %s"
"[%s] Password Lost/Changed","[%s] Kodeord tabt/ændret"
"New user registration on your site %s:","Ny brugerregistrering på dit websted %s:"
"Username: %s","Brugernavn: %s"
"[%s] New User Registration","[%s] Ny brugerregistrering"
"Password: %s","Kodeord: %s"
"[%s] Your username and password","[%s] Dit brugernavn og kodeord"
"Only a static class method or function can be used in an uninstall hook.","Kun en statisk klasse metode eller funktion kan bruges i en afinstallations krog."
"Protected: %s","Beskyttet: %s"
"Private: %s","Privat: %s"
"(more...)","(mere...)"
"There is no excerpt because this is a protected post.","Der er intet uddrag, da dette er et beskyttet indl&#230;g."
"Pages:","Sider:"
"Next page","N&#230;ste side"
"Previous page","Tidligere side"
"Home","Forside"
"This post is password protected. To view it please enter your password below:","Dette indl&#230;g er kodeordsbeskyttet. For at se det skal du indtaste dit kodeord nedenunder:"
"Submit","Send"
"j F, Y @ G:i","j. F Y @ H:i"
"%s [Autosave]","%s [Autogem]"
"%s [Current Revision]","%s [Nuv&#230;rende revision]"
"%s by %s","%s af %s"
"Restore","Genskab"
"Compare Revisions","Sammenlign revisioner"
"Old","Gammel"
"New","Nyt"
"Date Created","Dato oprettet"
"Actions","Handlinger"
"Post","Indlæg"
"Page","Side"
"Media","Medier"
"Add New","Tilføj"
"Edit Media","Rediger medie"
"View Attachment Page","Vis side for vedhæftning"
"Revisions","Ændringer"
"Navigation Menu Items","Navigationsmenupunkter"
"Navigation Menu Item","Navigationsmenupunkt"
"Published","Udgivet"
"Published <span class=\"count\">(%s)</span>","Udgivne: <span class=\"count\">(%s)</span>"
"Scheduled","Planlagt"
"Scheduled <span class=\"count\">(%s)</span>","Planlagt <span class=\"count\">(%s)</span>"
"Draft","Kladde"
"Draft <span class=\"count\">(%s)</span>","Kladde <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Kladder <span class=\"count\">(%s)</span>"
"Pending","Afventer"
"Pending <span class=\"count\">(%s)</span>","Afventer <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","Papirkurv"
"Trash <span class=\"count\">(%s)</span>","Papirkurv <span class=\"count\">(%s)</span>"
"Invalid post","Ugyldigt indlæg"
"Pending Review","Afventer genneml&#230;sning"
"Post types cannot exceed 20 characters in length","Indholdstypers længde kan ikke overstige 20 tegn"
"Posts","Indlæg"
"Pages","Sider"
"Add New Post","Tilføj nyt indlæg"
"Add New Page","Tilføj ny side"
"Edit Post","Rediger indl&#230;g"
"Edit Page","Rediger side"
"New Page","Ny side"
"View Page","Se side"
"Search Posts","Søg i indlæg"
"Search Pages","Søgesider"
"No posts found.","Ingen indl&#230;g fundet."
"No pages found.","Ingen sider fundet."
"No posts found in Trash.","Ingen indlæg fundet i papirkurven."
"No pages found in Trash.","Ingen sider fundet i papirkurven."
"Parent Page:","Forælderside:"
"All Posts","Alle indlæg"
"All Pages","Alle sider"
"Images","Billeder"
"Manage Images","Håndter billeder"
"Image <span class=\"count\">(%s)</span>","Billede <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Billeder <span class=\"count\">(%s)</span>"
"Audio","Lydklip"
"Manage Audio","Håndter lydklip"
"Audio <span class=\"count\">(%s)</span>","Lydklip <span class=\"count\">(%s)</span>"
"Manage Video","Håndter video"
"Video <span class=\"count\">(%s)</span>","Videoer <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Angivelse af antallet af indlæg er udfaset. Angiv et sæt af parametre i stedet."
"Content, title, and excerpt are empty.","Indhold, titel og uddrag er tomme."
"Whoops, the provided date is invalid.","Hovsa, den angivne dato er ugyldig."
"Could not update post in the database","Kunne ikke opdatere indl&#230;gget i databasen"
"Could not insert post into the database","Kunne ikke inds&#230;tte indl&#230;gget i databasen"
"The page template is invalid.","Sideskabelonen er ugyldig."
"Content","Indhold"
"Excerpt","Uddrag"
"Cannot create a revision of a revision","Kan ikke oprette en revision af en revision"
"You do not have permission to preview drafts.","Du har ikke rettigheder til at previewe kladder."
"Aside","Sidebemærkning"
"Gallery","Galleri"
"Image","Billede"
"Conditional query tags do not work before the query is run. Before then, they always return false.","'Conditional query tags' virker ikke før en 'query' sættes i gang. Før det vil de tolkes som falske."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" er forældet. Brug \"ignore_sticky_posts\" i stedet."
"This file no longer needs to be included.","Denne fil behøver ikke længere at blive inkluderet."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Du er ved at slette de valgte elementer permanent. \n  'Annuller' for at stoppe, 'OK' for at slette."
"Enter a word to look up:","Skriv et ord, der skal sl&#229;s op:"
"Dictionary lookup","Ordbogsopslag"
"lookup","opslag"
"Close all open tags","Luk alle &#229;bne tags"
"close tags","luk tags"
"Enter the URL","Skriv URL:"
"Enter the URL of the image","Skriv URL til billedet"
"Enter a description of the image","Lav en beskrivelse af billedet"
"fullscreen","fuld skærm"
"Toggle fullscreen mode","Fuld skærm til/fra"
"text direction","Tekstretning"
"Toggle Editor Text Direction","Skift tekstretning i editoren"
"You do not have permission to do that.","Det har du ikke rettigheder til at g&#248;re."
"An unidentified error has occurred.","En ikke-genkendt fejl er opst&#229;et."
"Dismiss","Afvis"
"Next &gt;","N&#230;ste &gt;"
"&lt; Prev","&lt; Tidligere"
"of","af"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Denne mulighed kræver inline frames. Enten har du deaktiveret iframes eller de understøttes ikke af din browser. "
"not configured","ikke konfigureret"
"You have attempted to queue too many files.","Du har fors&#248;gt at s&#230;tte for mange filer i k&#248;."
"%s exceeds the maximum upload size for this site.","%s overstiger den maksimale upload-størrelse for dette websted."
"This file is empty. Please try another.","Filen er tom. Pr&#248;v en anden."
"This file type is not allowed. Please try another.","Denne filtype er ikke tilladt. Pr&#248;v en anden."
"This file is not an image. Please try another.","Denne fil er ikke et billede. Prøv venligst en anden."
"Memory exceeded. Please try another smaller file.","Hukommelse overskredet. Prøv en anden og mindre fil."
"This is larger than the maximum size. Please try another.","Dette er større end den maksimale størrelse. Prøv venligst en anden."
"An error occurred in the upload. Please try again later.","Der skete en fejl under uploadet. Pr&#248;v igen senere."
"There was a configuration error. Please contact the server administrator.","Der var en konfigurations-fejl. Kontakt venligst server-administratoren."
"You may only upload 1 file.","Du kan kun uploade 1 fil."
"HTTP error.","HTTP-fejl"
"Upload failed.","Upload mislykkedes."
"Please try uploading this file with the %sbrowser uploader%s.","Prøv venligst at uploade denne fil med %sbrowser-uploaderen%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s overstiger den maksimale uploadstørrelse for multi-fil uploader, når den benyttes i din browser."
"IO error.","IO-fejl"
"Security error.","Sikkerhedsfejl"
"File canceled.","Fil annulleret."
"Upload stopped.","Upload stoppet."
"moved to the trash.","flyttet til papirkurven."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; kunne ikke uploades."
"Strength indicator","Styrkeindikator"
"Very weak","Meget svag"
"Weak","Svag"
"Strong","St&#230;rk"
"Mismatch","Ej ens"
"(no title)","(ingen titel)"
"No matches found.","Ingen match fundet."
"Save &amp; Activate","Gem &amp; Aktiver"
"Save &amp; Publish","Gem &amp; Udgiv"
"Saved","Gemt"
"Add","Tilf&#248;j"
"Separate multiple categories with commas.","Adskil flere kategorier med komma."
"Approve and Reply","Godkend og svar"
"Publish on:","Udgiv:"
"Schedule for:","Planl&#230;g til:"
"Published on:","Udgivet:"
"Show more comments","Vis flere kommentarer"
"No more comments found.","Ikke flere kommentarer fundet"
"Publish","Udgiv"
"Schedule","Planl&#230;g"
"Save as Pending","Gem som afventer"
"Save Draft","Gem kladde"
"Public","Offentlig"
"Public, Sticky","Offentlig, fastgjort"
"Password Protected","Kodeordsbeskyttet"
"Privately Published","Udgivet privat"
"Submitted on:","Sendt:"
"Error while saving the changes.","Fejl ved at gemme &#230;ndringer."
"Remove From Bulk Edit","Fjern fra masseredigering"
"Plugin Information:","Plugin-information:"
"Are you sure you want to install this plugin?","Er du sikker på, at du vil installere dette plugin?"
"Select Color","Vælg farve"
"Current Color","Aktuel farve"
"Could not load the preview image. Please reload the page and try again.","Kunne ikke hente billedet til forhåndsvisning. Genindlæs siden og prøv igen."
"Use as featured image","Brug som indlæggets thumbnail"
"Saving...","Gemmer..."
"Could not set that as the thumbnail image. Try a different attachment.","Kunne ikke sættes som thumbnail. Prøv en anden vedhæftning."
"Done","F&#230;rdig"
"No results found.","Ingen resultater fundet."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Du er ved at slette denne menu permanent. \n 'Annuller' for at stoppe, 'OK' for at slette."
"Saving Draft&#8230;","Gemmer kladde&#8230;"
"Navigation Menus","Navigationsmenuer"
"Navigation Menu","Navigationsmenu"
"Link Categories","Linkkategorier"
"Link Category","Linkkategori"
"Search Link Categories","Søg i Linkkategorier"
"All Link Categories","Alle Linkkategorier"
"Edit Link Category","Rediger linkkategori"
"Update Link Category","Opdater linkkategori"
"Add New Link Category","Tilføj ny linkkategori"
"New Link Category Name","Nyt Link Kategorinavn"
"Taxonomies cannot exceed 32 characters in length","Taxonomier må ikke overstige 32 karakterer"
"Categories","Kategorier"
"Category","Kategori"
"Search Tags","Søg Tags"
"Search Categories","S&#248;g kategorier"
"Popular Tags","Populære Tags"
"All Tags","Alle Tags"
"All Categories","Alle kategorier"
"Parent Category","Forælderkategori"
"Parent Category:","Forælderkategori:"
"Edit Tag","Rediger tag"
"Edit Category","Rediger kategori"
"View Tag","Vis tag"
"View Category","Vis kategori"
"Update Tag","Opdater Tag"
"Update Category","Opdater kategori"
"Add New Tag","Tilføj nyt tag"
"Add New Category","Tilføj ny kategori"
"New Tag Name","Nyt tagnavn"
"New Category Name","Nyt kategorinavn"
"Separate tags with commas","Adskil flere tags med kommaer"
"Add or remove tags","Tilf&#248;j eller fjern tags"
"Choose from the most used tags","Vælg mellem de mest anvendte tags"
"Empty Term","Tom term"
"A name is required for this term","Et navn er p&#229;kr&#230;vet for denne term"
"A term with the name provided already exists with this parent.","En term med det angivne navn findes allerede med denne forælder."
"Could not insert term into the database","Kunne ikke inds&#230;tte termen i databasen"
"A term with the name provided already exists.","En term med det angivne navn findes allerede."
"Could not insert term relationship into the database","Kunne ikke indsætte termforhold i databasen"
"The slug &#8220;%s&#8221; is already in use by another term","&#8220;%s&#8221; bruges allerede af en anden term"
"Invalid object ID","Ugyldigt objekt-ID"
"Theme without %s","Tema uden %s"
"Please include a %s template in your theme.","Tilføj venligst en %s skabelon i dit tema."
"%s - Comments on %s","%s - Kommentarer på %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed til kommentarer til dette indlæg."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URLen</abbr> til TrackBack for dette indlæg er: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","af %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Endnu ingen kommentarer."
"Leave a comment","Skriv en kommentar"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Linie og afsnit ombrydes automatisk, e-mailadresse vises aldrig, <acronym title=\"Hypertext Markup Language\">HTML</acronym> tilladt: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Logget ind som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log ud\">Log ud.</a>"
"Your Comment","Din kommentar"
"Say It!","Sig det!"
"Sorry, the comment form is closed at this time.","Beklager, du kan ikke skrive kommentarer i øjeblikket."
"Close this window.","Luk dette vindue."
"Sorry, no posts matched your criteria.","Beklager, men din søgning gav ingen resultater."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Drevet af <a href=\"%s\" title=\"Drevet af WordPress; et moderne semantiske publiceringsværktøj\"> <strong> WordPress </strong> </a>"
"This post is password protected. Enter the password to view comments.","Dette indlæg er beskyttet med kodeord. Indtast kodeord for at læse kommentarer."
"One Response to %s","Et svar til %s"
"%s Responses to %s","%s svar til %s"
"Comments are closed.","Der er lukket for kommentarer."
"Logged in as <a href=\"%s\">%s</a>.","Logget ind som <a href=\"%s\">%s</a>."
"Log out of this account","Log ud"
"Log out &raquo;","Log ud &raquo;"
"(required)","(p&#229;kr&#230;vet)"
"Mail (will not be published)","Mail (vil ikke blive offentliggjort)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Du kan bruge disse tags: <code>%s</code>"
"Submit Comment","Tilføj kommentar"
"%s is proudly powered by %s","%s er med stolthed drevet af %s"
"%s and %s.","%s og %s."
"Entries (RSS)","Indlæg (RSS)"
"Comments (RSS)","Kommentarer (RSS)"
"%d queries. %s seconds.","%d forespørgsler. %s sekunder."
"You are currently browsing the archives for the %s category.","Du kigger på arkiverne for kategorien %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Du søger for øjeblikket i <a href=\"%s/\">%s</a> blogarkiv for dagen %s."
"l, F jS, Y","I j. F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Du kikker på <a href=\"%s/\">%s</a> blogarkiv for %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Du kikker nu i <a href=\"%s/\">%s</a> blog arkiver for året %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du har søgt i <a href=\"%s/\">%s</a> blogarkiverne for <strong>&#8216;%s&#8217;</strong>. Hvis din søgning ikke gav resultat, kan du prøve et af disse links."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Du kikker nu i <a href=\"%s/\">%s</a> blog arkiver:"
"This page validates as XHTML 1.0 Transitional","Denne side er gyldig XHTML 1.0 Transitional"
"%d WordPress Update","%d WordPress opdatering"
"%d Plugin Update","%d Plugin-opdatering"
"%d Plugin Updates","%d Plugin-opdateringer"
"%d Theme Update","%d Temaopdatering"
"%d Theme Updates","%d Temaopdateringer"
"<strong>ERROR</strong>: The username field is empty.","<strong>FEJL</strong>: Brugernavnsfeltet  er tomt."
"<strong>ERROR</strong>: The password field is empty.","<strong>FEJL</strong>: Kodeordsfeltet er tomt."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEJL</strong>: Ugyldigt brugernavn. <a href=\"%s\" title=\"Adgangskodehittegodskontor\">Mistet adgangskoden</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>FEJL</strong>: Din brugerkonto er blevet markeret som en spammer."
"Site Suspended.","Websted suspenderet."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEJL</strong>: Det indtastede kodeord til brugernavnet <strong>%s</strong> er forkert. <a href=\"%s\" title=\"Password Lost and Found\">Glemt adgangskode</a>?"
"Please log in again.","Log venligst ind igen"
"Cannot create a user with an empty login name.","Kan ikke oprette en bruger med tomt brugernavn."
"There are no options for this widget.","Der er ingen indstillinger for denne widget."
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Kan ikke vælge database</h1>\n<p>Vi var i stand til at forbinde til databaseserveren (hvilket betyder, at dit brugernavn og adgangskode er okay), men ikke i stand til at vælge <code>%s</code> databasen.</p>\n<ul>\n<li>Er du sikker på den eksisterer?</li>\n<li>Har brugeren <code>%s</code> rettigheder til at bruge <code>%s</code> databasen?</li>\n<li>På nogle systemer bruges dit brugernavn som præfiks på databasenavnet. Så det ville være som <code>username_%s</code> Kunne det være problemet?</li>\n</ul>\n<p>Hvis du ikke ved, hvordan man opretter en database, bør du <strong>kontakte din host</strong>. Hvis alt andet fejler kan du finde hjælp på <a href=\"http://wordpress.org/support\">WordPress Support Forumer</a>, eller på <a href=\"http://wordpress.dk/forum>WordPress.dks forum</a>.</p>"
"WordPress database error %s for query %s made by %s","WordPress-databasefejl %s for foresp&#248;rgslen %s fra %s"
"WordPress database error %s for query %s","WordPress-databasefejl %s for foresp&#248;rgslen %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Fejl i forbindelsen til databasen</h1>\n<p>Det betyder enten, at brugernavn eller kodeord er forkert i din <code>wp-config.php</code>-fil eller ogs&#229; kan vi ikke kontakte databasen p&#229; <code>%s</code>. Det kan betyde, at dit webhotels databaseserver er nede.</p>\n<ul>\n<li>Er du sikker p&#229;, at du har angivet rigtigt brugernavn og kodeord?</li>\n<li>Er du sikker p&#229;, at du har angivet det rigtige navn p&#229; din host?</li>\n<li>Er du sikker p&#229;, at databaseserveren k&#248;rer?</li>\n</ul>\n<p>Hvis du ikke er sikker p&#229;, hvad de ovenst&#229;ende ord betyder, b&#248;r du nok kontakte dit webhotel. Hvis du stadig mangler hj&#230;lp, kan du altid kigge forbi <a href='http://wordpress.org/support/'>WordPress' officielle supportforum</a> eller <a href='http://wordpress.dk/forum/'>det danske supportforum</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>FEJL</strong>: WordPress %s kræver MySQL %s eller nyere"
