"New password","새 비밀번호"
"<strong>ERROR</strong>: Site URL already taken.","<strong>에러</strong>: 사이트 URL이 이미 사용되고 있습니다. "
"<strong>ERROR</strong>: problem creating site entry.","<strong>에러</strong>: 문제가 발생하여 사이트 엔트리를 생성하고 있습니다."
"Only lowercase letters (a-z) and numbers are allowed.","소문자(a-z)와 숫자만 가능합니다."
"Please enter a username.","사용자 이름을 입력해주세요."
"That username is not allowed.","그 사용자 이름은 사용할 수 없습니다."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","가입을 위해 그 이메일을 사용할 수 없습니다. 이메일의 차단 문제를 겪고 있습니다. 다른 이메일 제공자를 사용해주세요."
"Username must be at least 4 characters.","사용자이름은 4글자 이상이어야 합니다."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","죄송합니다, 사용자명에 &#8220;_&#8221; 문자를 포함할 수 없습니다!"
"Sorry, usernames must have letters too!","죄송합니다, 사용자명에는 문자도 있어야 합니다!"
"Please enter a valid email address.","유효한 이메일 주소를 입력해주세요."
"Sorry, that email address is not allowed!","죄송합니다, 그 이메일은 허용되지 않습니다!"
"Sorry, that username already exists!","죄송합니다, 그 사용자명은 이미 존재합니다!"
"Sorry, that email address is already used!","죄송합니다, 그 이메일은 이미 사용중입니다!"
"That username is currently reserved but may be available in a couple of days.","사용자명이 현재 보류되어 있으나 며칠후면 사용이 가능합니다."
"username and email used","사용자명과 이메일이 사용중입니다."
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","이메일이 이미 사용중입니다. 활성화 이메일을 확인하세요. 아무것도 하지 않는다면 며칠후 사용이 가능합니다."
"Please enter a site name.","사이트 이름을 입력해주세요."
"That name is not allowed.","그 이름은 사용할 수 없습니다."
"Site name must be at least 4 characters.","사이트 이름은 4글자 이상이어야 합니다."
"Sorry, site names may not contain the character &#8220;_&#8221;!","죄송합니다. 사이트명에 &#8220;_&#8221;문자를 포함할 수 없습니다!"
"Sorry, you may not use that site name.","죄송합니다, 그 사이트명을 사용하실 수 없습니다."
"Sorry, site names must have letters too!","죄송합니다. 사이트명에는 문자도 포함되어 있어야 합니다!"
"Please enter a site title.","사이트 제목을 입력해주세요."
"Sorry, that site already exists!","죄송합니다, 사이트가 이미 존재합니다!"
"Sorry, that site is reserved!","죄송합니다, 그 사이트는 보유중입니다!"
"That site is currently reserved but may be available in a couple days.","사이트가 현재 보류되어 있으나 며칠 후면 사용이 가능합니다."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","블로그를 활성화시키려면 다음의 링크를 클릭해주세요:\n\n%s\n\n활성화되면, 로그인 정보가 포함된 다른 이메일을 받습니다.\n\n활성화되면, 아래의 링크를 클릭하여 사이트를 방문할 수 있습니다.\n\n%s"
"[%s] Activate %s","[%s] 활성화 %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","사용자를 활성화 하려면 아래의 링크를 클릭하세요:\n\n%s\n\n활성화 후에는 로그인 링크가 있는 이메일을 하나 더 받게 됩니다."
"Invalid activation key.","잘못된 승인 키입니다."
"The user is already active.","사용자는 이미 활동 중입니다."
"The site is already active.","사이트가 이미 활동중입니다."
"Could not create user","사용자를 생성할 수 없습니다."
"That username is already activated.","그 사용자명은 이미 활성화되었습니다."
"Could not create site.","사이트를 생성할 수 없습니다."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","새 사이트: %s\nURL: %s\n원격 IP: %s\n\n이 알림을 비활성화: %s"
"New Site Registration: %s","새로운 사이트 등록: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","새 사용자: %s\n원격 IP: %s\n\n이 알림을 비활성화: %s"
"New User Registration: %s","새로운 사용자 등록: %s"
"Already Installed","이미 설치됐습니다"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","워드프레스를 이미 설치한 것 같습니다. 재설치 하려면 이전의 데이터베이스 테이블을 먼저 삭제하세요."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","사용자께,\n\n새로운 SITE_NAME 사이트가 다음에 성공적으로 설치되었습니다 :\nBLOG_URL\n\n다음의 정보로 관리자 계정에 로그인할 수 있습니다 :\n사용자명 : USERNAME\n비밀번호 : PASSWORD\n로그인 주소 : BLOG_URLwp-login.php\n\n새로운 사이트를 즐기시길 바랍니다!\n\n--팀 @ SITE_NAME"
"New %s Site: %s","새로운 %s 사이트: %s"
"New %s User: %s","새로운 %s 사용자: %s"
"This file is too big. Files must be less than %d KB in size.","이 파일은 너무 큽니다. 파일은  %d KB 보다 작아야 합니다."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","귀하를 이 사이트에 추가하던 중 에러가 발생했습니다. <a href=\"%s\">홈페이지</a>로 이동하세요."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","귀하는 이 사이트에 추가되었습니다. <a href=\"%s\">홈페이지</a>를 방문하시거나 귀하의 사용자명과 비밀번호를 이용하여 <a href=\"%s\">로그인</a>하세요."
"WordPress &rsaquo; Success","워드프레스 &rsaquo; 성공"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","사용자 귀하,\n\n귀하의 새로운 계정이 설정되었습니다.\n\n다음의 정보를 이용하여 로그인 할 수 있습니다.:\n사용자명: USERNAME\n비밀번호: PASSWORD\nLOGINLINK\n\n감사합니다!\n\n--The Team @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","이 사용자는 계정 삭제에 선정되었으며 컨텐츠가 더이상 사용가능하지 않습니다."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","이 사이트는 아직 활성화되지 않았습니다. 만약 활성화하는데 문제가 있다면 <a href=\"mailto:%s\">%s</a>(으)로 연락하세요."
"This site has been archived or suspended.","이 사이트는 보관되었거나 정지되었습니다."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","그 사이트는 존재하지 않습니다. <a href=\"%s\">%s</a>을(를) 시도해보세요."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","이 호스트에 정의된 사이트가 없습니다. 만약 이 사이트의 주인이라면, 도움을 위해 <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">워드프레스 네트워크 디버깅</a>을 확인하세요."
"If your site does not display, please contact the owner of this network.","만약 사이트가 표시되지 않는다면, 이 네트워크의 소유자에게 연락하세요."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","만약 이 네트워크의 소유자라면 MySQL이 정상적으로 실행되고 있는지 모든 테이블이 에러가 없는지 확인하세요."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>데이터베이스 테이블이 없습니다.</strong> 이 말은 MySQL 이 실행되고 있지 않으며, 워드프레스가 정상적으로 설치되지 않았거나,누군가가 <code>%s</code>을(를) 삭제했다는 뜻입니다. 지금 데이터베이스를 확인해봐야 합니다."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong><code>%s</code>의 사이트를 찾을 수 없습니다.</strong> <code>%s</code> 데이터베이스 안의 <code>%s</code>테이블을 검색했습니다. 맞습니까?"
"What do I do now?","이제 무엇을 할까요?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","<a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">버그 리포트</a> 페이지를 읽으세요. 거기서 몇개의 가이드라인이 뭐가 잘못됐는지 파악할 수 있도록 도와줄겁니다."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","만약 아직도 이 메세지가 보인다면, 다음 테이블을 포함하는지 데이터베이스를 확인하세요:"
"Multisite only works without the port number in the URL.","멀티사이트는 URL에 포트 번호가 없어야만 작동합니다."
"Database tables are missing.","데이터베이스 테이블이 없습니다."
"No site by that name on this system.","이 시스템에 그 이름의 사이트가 없습니다."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","다음 <strong>%s</strong>의 메뉴 이름은 다른 메뉴 이름과 충돌이 있습니다. 다른 이름으로 시도하세요."
"The given object ID is not that of a menu item.","주어진 객체 ID는 메뉴 아이템이 아닙니다."
"Custom","사용자정의 메뉴"
"%s is a protected WP option and may not be modified","%s는 WP 옵션으로 보호되고 있습니다. 수정할 수 없습니다."
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>오류</strong>:사용자이름이나 암호가 올바르지 않습니다."
"You should specify a nonce action to be verified by using the first parameter.","첫 번째 매개 변수를 사용하여 인증될 수 있도록 넌스 액션(nonce action)을 특정해야 합니다."
"New comment on your post \"%s\"","글의 새 댓글 \"%s\""
"Author : %s (IP: %s , %s)","글쓴이: %s (IP: %s , %s)"
"E-mail : %s","전자우편 : %s"
"Comment:","댓글:"
"You can see all comments on this post here:","이 포스트에 올려진 모든 댓글을 볼 수 있습니다:"
"[%s] Comment: \"%s\"","[%s] 댓글 : \"%s\""
"New trackback on your post \"%s\"","글 \"%s\"에 새로운 트랙백이 있습니다."
"Website: %s (IP: %s , %s)","웹사이트: %s (IP: %s , %s)"
"Excerpt:","요약: "
"You can see all trackbacks on this post here:","이 새로운 게시물에 걸려 있는 모든 엮인글(Trackback)을 보실 수 있습니다:"
"[%s] Trackback: \"%s\"","[%s] 엮인글(Trackback): \"%s\""
"New pingback on your post \"%s\"","글 \"%s\"에 새로운 핑백이 있습니다."
"You can see all pingbacks on this post here:","이 게시물에 걸려 있는 모든 pingback를 보실수 있습니다:"
"Permalink: %s","고유주소: %s"
"Trash it: %s","버리기: %s"
"Delete it: %s","삭제: %s"
"Spam it: %s","스팸처리: %s"
"A new trackback on the post \"%s\" is waiting for your approval","글 \"%s\"에 새로운 트랙백이 승인을 요청하고 있습니다."
"Website : %s (IP: %s , %s)","웹사이트: %s (IP: %s , %s)"
"Trackback excerpt:","트랙백 요약: "
"A new pingback on the post \"%s\" is waiting for your approval","글 \"%s\"에 새로운 핑백이 승인을 요청하고 있습니다."
"Pingback excerpt:","핑백 요약: "
"A new comment on the post \"%s\" is waiting for your approval","글 \"%s\"에 새로운 댓글이 승인을 요청하고 있습니다."
"Approve it: %s","받아들이기: %s"
"[%s] Please moderate: \"%s\"","[%s] 승인해 주세요: \"%s\""
"Password Lost and Changed for user: %s","다음 사용자의 암호를 고쳤습니다: %s"
"[%s] Password Lost/Changed","[%s] 암호 잃어버림/고치기"
"New user registration on your site %s:","사이트 %s에 새로운 사용자 가입:"
"Username: %s","사용자 이름: %s"
"E-mail: %s","전자우편: %s"
"[%s] New User Registration","[%s] 새로운 사용자 만들기"
"Password: %s","암호: %s"
"[%s] Your username and password","[%s] 사용자명과 비밀번호"
"Only a static class method or function can be used in an uninstall hook.","언인스톨 후크에서 정적 클래스 방법이나 기능만 사용할 수 있습니다."
"Protected: %s","잠긴 글: %s"
"Private: %s","개인글: %s"
"(more...)","(더 보기...)"
"There is no excerpt because this is a protected post.","잠긴 글에는 요약문이 없습니다."
"Pages:","페이지:"
"Next page","다음 쪽"
"Previous page","이전 쪽"
"Home","홈"
"This post is password protected. To view it please enter your password below:","이 글은 비밀글입니다. 글을 보려면 아래에 암호를 입력하세요:"
"Submit","전송"
"j F, Y @ G:i","Y년 F j일 @ G시:i분"
"%s [Autosave]","%s [자동저장]"
"%s [Current Revision]","%s [현재 리비전]"
"%s by %s","%s (%s)"
"Restore","복원"
"Compare Revisions","리비전 비교"
"Old","예전"
"New","새로 추가"
"Date Created","생성된 일자"
"Actions","작업"
"Post","글"
"Page","페이지"
"Media","미디어"
"Add New","새로 추가"
"Edit Media","미디어 편집"
"View Attachment Page","첨부 페이지 보기"
"Revisions","리비전 비교"
"Revision","리비전"
"Navigation Menu Items","네비게이션 메뉴 아이템들"
"Navigation Menu Item","네비게이션 메뉴 아이템"
"Published","발행됨"
"Scheduled","예약됨"
"Draft","임시 글"
"Pending","대기중"
"Private","개인용"
"Trash","휴지통"
"Invalid post","잘못된 글"
"Pending Review","검토중"
"Post types cannot exceed 20 characters in length","글 형식의 길이는 20자를 초과할 수 없습니다"
"Posts","글"
"Pages","페이지"
"Add New Post","새 글 쓰기"
"Add New Page","새 페이지 추가"
"Edit Post","이 글 편집"
"Edit Page","페이지 편집"
"New Page","새 페이지"
"View Page","페이지 보기"
"Search Posts","글 검색"
"Search Pages","페이지 검색"
"No posts found.","글을 찾을 수 없습니다."
"No pages found.","페이지를 찾을 수 없습니다."
"No posts found in Trash.","휴지통에서 찾은 글이 없습니다."
"No pages found in Trash.","휴지통에서 찾은 페이지가 없습니다."
"Parent Page:","상위 페이지:"
"All Posts","모든 글"
"All Pages","모든 페이지"
"Images","이미지"
"Manage Images","이미지 관리"
"Audio","오디오"
"Manage Audio","오디오 관리"
"Video","비디오"
"Manage Video","비디오 관리"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","글의 정수 전달은 사용 중지되었습니다. 대신 인자의 배열로 전달합니다."
"Content, title, and excerpt are empty.","내용, 제목, 요약이 비어있음."
"Whoops, the provided date is invalid.","제공된 날짜는 유효하지 않습니다."
"Could not update post in the database","데이터베이스에 글을 업데이트 할 수 없습니다."
"Could not insert post into the database","데이터베이스로 글을 넣을 수 없습니다."
"The page template is invalid.","페이지 템플릿이 잘못되었습니다."
"Content","내용"
"Excerpt","요약"
"Cannot create a revision of a revision","리비전의 리비전을 만들 수 없습니다."
"You do not have permission to preview drafts.","임시글을 미리 볼 권한이 없습니다."
"Standard","표준"
"Aside","추가 정보"
"Chat","채팅"
"Gallery","갤러리"
"Link","링크"
"Image","이미지"
"Status","상태"
"Conditional query tags do not work before the query is run. Before then, they always return false.","쿼리가 실행되기 전에 조건부 쿼리 태그가 작동하지 않습니다. 그 전에 그것은 항상 False로 돌아옵니다."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" 는 사용 중지되었습니다. 대신 \"ignore_sticky_posts\" 을 사용하세요."
"This file no longer needs to be included.","이 파일은 더이상 포함할 필요가 없습니다"
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","선택한 아이템을 영구삭제하려고 합니다.\n멈추려면 '취소'를, 정말 지우려면 '확인'을 누르십시오."
"Enter a word to look up:","찾고자 하는 단어를 입력하십시오:"
"Dictionary lookup","사전식 찾기"
"lookup","찾기"
"Close all open tags","열린 태그를 모두 닫기"
"close tags","태그 닫기"
"Enter the URL","URL 입력"
"Enter the URL of the image","이미지의 URL을 입력하십시오"
"Enter a description of the image","이미지의 설명을 입력하십시오"
"fullscreen","전체화면"
"Toggle fullscreen mode","전체화면 모드 토글"
"text direction","글자 방향"
"Toggle Editor Text Direction","글자방향 편집기 토글"
"You do not have permission to do that.","이 작업을 수행할 권한이 없습니다."
"An unidentified error has occurred.","확인되지 않은 오류가 발생했습니다."
"Dismiss","무시"
"Next &gt;","다음 &gt;"
"&lt; Prev","&lt; 이전"
"of","의"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","이 기능은 인라인 프레임을 필요로 합니다. 아이프레임이 비활성이거나 브라우저가 지원하지 않습니다."
"not configured","설정되지 않음"
"You have attempted to queue too many files.","너무 많은 파일을 업로드했습니다."
"%s exceeds the maximum upload size for this site.","이 사이트에 허용된 최대 업로드 용량을 %s 초과 했습니다."
"This file is empty. Please try another.","파일이 비어있습니다. 다른 것으로 올려주십시오."
"This file type is not allowed. Please try another.","이 파일형식은 허용하지 않습니다. 다른 것으로 올려주십시오."
"This file is not an image. Please try another.","이 파일은 이미지 파일이 아닙니다. 다른 것으로 올려주세요."
"Memory exceeded. Please try another smaller file.","메모리가 초과했습니다. 작은 파일로 올려주세요."
"This is larger than the maximum size. Please try another.","이것은 최대 사이즈보다 큽니다. 다른 것으로 올려주세요."
"An error occurred in the upload. Please try again later.","업로드중에 오류가 발생했습니다. 나중에 다시 시도하십시오."
"There was a configuration error. Please contact the server administrator.","설정오류. 서버 관리자와 상의하십시오."
"You may only upload 1 file.","하나의 파일만 업로드할 수 있습니다."
"HTTP error.","HTTP 오류."
"Upload failed.","업로드 실패."
"Please try uploading this file with the %sbrowser uploader%s.","이 파일을 %s브라우저 업로더%s를 사용하여 업로드 해보세요."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","웹브라우저 사용시 다중 파일 업로더에서 최대 업로드 크기를 %s 초과했습니다."
"IO error.","IO 오류."
"Security error.","보안 오류."
"File canceled.","파일이 취소되었습니다."
"Upload stopped.","업로드가 중단됨."
"Crunching&hellip;","처리중 &hellip;"
"moved to the trash.","휴지통으로 이동함."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; 는 업로드를 실패했습니다."
"Strength indicator","강도 표시기"
"Very weak","매우 약함"
"Weak","약함"
"Strong","강함"
"Mismatch","불일치"
"(no title)","(제목 없음)"
"No matches found.","일치하는 것이 없습니다."
"Save &amp; Activate","저장 &amp; 활성화"
"Save &amp; Publish","저장 &amp; 출판"
"Saved","저장함"
"Add","추가"
"Separate multiple categories with commas.","각 카테고리를 콤마로 분리하십시오."
"Approve and Reply","승인 및 응답하기"
"Publish on:","공개하기:"
"Schedule for:","예약됨:"
"Published on:","공개됨:"
"Show more comments","더 많은 댓글 보기"
"No more comments found.","더이상의 댓글이 없습니다."
"Publish","공개하기"
"Schedule","예약"
"Save as Pending","대기중인글 저장하기"
"Save Draft","임시 글로 저장하기"
"Public","공개"
"Public, Sticky","공개,붙박이"
"Password Protected","암호로 보호"
"Privately Published","개인적으로 공개함"
"Submitted on:","전송완료:"
"Error while saving the changes.","변경사항을 저장하는데 오류가 발생했습니다."
"Remove From Bulk Edit","대량 편집에서 제거"
"Plugin Information:","플러그인 정보:"
"Are you sure you want to install this plugin?","이 플러그인을 설치하시겠습니까?"
"Select Color","색상 선택"
"Current Color","현재 색상"
"Could not load the preview image. Please reload the page and try again.","미리보기 이미지를 불러올 수 없습니다. 페이지를 새로고침하고 다시 시도하세요."
"Use as featured image","특성 이미지로 사용"
"Saving...","저장중..."
"Could not set that as the thumbnail image. Try a different attachment.","섬네일 이미지로 설정할 수 없습니다. 다른 첨부파일을 시도해보세요."
"Done","완료"
"No results found.","결과 없음"
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","이 메뉴를 영구적으로 삭제하려고 합니다.\n멈추려면 '취소'를, 정말 지우려면 '확인'을 누르십시오."
"Saving Draft&#8230;","임시 글로 저장하기&#8230;"
"Navigation Menus","네비게이션 메뉴"
"Navigation Menu","네비게이션 메뉴들"
"Link Categories","링크 카테고리"
"Link Category","링크 카테고리"
"Search Link Categories","링크 카테고리 검색"
"All Link Categories","모든 링크 카테고리"
"Edit Link Category","링크 카테고리 편집"
"Update Link Category","링크 카테고리 업데이트"
"Add New Link Category","새로운 링크 카테고리 추가"
"New Link Category Name","새로운 링크 카테고리 이름"
"Taxonomies cannot exceed 32 characters in length","택소노미는 글자 32개를 초과할 수 없습니다"
"Tags","태그"
"Categories","카테고리"
"Tag","태그"
"Category","카테고리"
"Search Tags","태그 검색"
"Search Categories","카테고리 찾기"
"Popular Tags","인기있는 태그"
"All Tags","모든 태그"
"All Categories","모든 카테고리"
"Parent Category","상위 카테고리"
"Parent Category:","상위 카테고리:"
"Edit Tag","태그 고치기"
"Edit Category","카테고리 편집"
"View Tag","태그 보기"
"View Category","카테고리 보기"
"Update Tag","태그 업데이트"
"Update Category","카테고리 업데이트"
"Add New Tag","새 태그 추가"
"Add New Category","새 카테고리 추가"
"New Tag Name","새 태그 이름"
"New Category Name","새 카테고리 이름"
"Separate tags with commas","각 태그를 쉼표로 분리하십시오."
"Add or remove tags","새로운 태그 추가/제거"
"Choose from the most used tags","인기 태그중에서 선택"
"Empty Term","빈 용어"
"A name is required for this term","이 용어를 위한 이름이 필요합니다."
"A term with the name provided already exists with this parent.","제공한 이름이 이미 이 상위에 존재하고 있습니다."
"Could not insert term into the database","데이터베이스에 용어를 추가할 수 없습니다."
"A term with the name provided already exists.","제공한 이름을 가진 용어가 이미 존재합니다."
"Could not insert term relationship into the database","용어의 관계를 데이터베이스에 삽입할 수 없습니다."
"The slug &#8220;%s&#8221; is already in use by another term","슬러그(Slug) &#8220;%s&#8221; 는 이미 다른 용어로 사용되고 있습니다."
"Invalid object ID","잘못된 개체 ID"
"Theme without %s","%s 없는 테마"
"Please include a %s template in your theme.","%s 템플릿을 테마에 포함시키세요."
"%s - Comments on %s","%s - Commentaires sur %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","이 글의 댓글을 위한 <abbr title=\"Really Simple Syndication\">RSS</abbr> 피드"
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","이 글의 트랙백을 위한 <abbr title=\"Universal Resource Locator\">URL</abbr>: <em>%s</em>"
"No comments yet.","댓글이 없습니다."
"Leave a comment","댓글 남기기"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","줄은 자동으로 바뀌고, 이메일 주소는 보여지지 않습니다. 사용할 수 있는 <acronym title=\"Hypertext Markup Language\">HTML</acronym>:<code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","<a href=\"%s\">%s</a>님으로 로그인함. <a href=\"%s\" title=\"Log out of this account\">로그아웃 &raquo;</a>"
"E-mail","전자우편"
"Your Comment","댓글"
"Say It!","말하세요!"
"Sorry, the comment form is closed at this time.","죄송합니다. 댓글 폼은 현재 닫혀 있습니다."
"Close this window.","이 창을 닫습니다."
"Sorry, no posts matched your criteria.","죄송합니다. 조건에 맞는 글이 없습니다."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>워드프레스</strong></a>"
"This post is password protected. Enter the password to view comments.","이 글은 비밀글입니다. 댓글을 보려면 비밀번호를 입력하세요."
"Comments are closed.","댓글 종료됨"
"Logged in as <a href=\"%s\">%s</a>.","<a href=\"%s\">%s</a> 님으로 로그인함."
"Log out of this account","이 계정을 로그아웃"
"Log out &raquo;","로그아웃 &raquo;"
"(required)","(필수)"
"Mail (will not be published)","메일(보여지지 않습니다.)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> 다음 태그들을 사용할 수 있습니다: <code>%s</code>"
"Submit Comment","댓글 등록"
"%s and %s.","%s 와 %s."
"Entries (RSS)","글 (RSS)"
"Comments (RSS)","댓글 (RSS)"
"%d queries. %s seconds.","%d 쿼리. %s 초."
"You are currently browsing the archives for the %s category.","현재 %s 카테고리의 보관물을 검색하고 있습니다."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","현재 %s 일자의 <a href=\"%s/\">%s</a> 블로그 보관물을 검색하고 있습니다."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","현재 %s 의 <a href=\"%s/\">%s</a> 블로그 보관물을 검색하고 있습니다."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","현재  %s 년도의 <a href=\"%s/\">%s</a> 블로그 보관물을 검색하고 있습니다."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","<strong>&#8216;%s&#8217;</strong>의 <a href=\"%s/\">%s</a> 블로그 보관물을 검색했습니다.만약 아무것도 찾을 수 없다면 다음 링크들을 시도해보세요."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","현재 <a href=\"%s/\">%s</a> 블로그 보관물을 검색하고 있습니다."
"This page validates as XHTML 1.0 Transitional","이 문서는 XHTML 1.0 Transitional을 준수합니다."
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","유효한 <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%d WordPress Update","%d 워드프레스 업데이트"
"<strong>ERROR</strong>: The username field is empty.","<strong>오류</strong>: 이름 항목이 비었습니다."
"<strong>ERROR</strong>: The password field is empty.","<strong>오류</strong>: 암호 항목이 비었습니다."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>에러</strong>:사용자 이름이 올바르지 않습니다. <a href=\"%s\" title=\"Password Lost and Found\">비밀번호를 잊으셨습니까</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>에러</strong>: 계정이 스팸으로 표시되었습니다."
"Site Suspended.","사이트가 중단되었습니다."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>에러</strong>:사용자명의 비밀번호가 올바르지 않습니다. <a href=\"%s\" title=\"Password Lost and Found\">비밀번호를 잊으셨습니까</a>?"
"Please log in again.","다시 로그인하십시오."
"Cannot create a user with an empty login name.","로그인명이 없는 상태로는 사용자를 생성할 수 없습니다."
"Yahoo IM","야후 IM"
"Jabber / Google Talk","Jabber / 구글 토크"
"There are no options for this widget.","이 위젯은 옵션이 없습니다."
"Sidebar %d","사이드바 %d"
"Sidebar","사이드바"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>데이터베이스를 선택할 수 없습니다.</h1>\n<p>사용자이름과 비밀번호가 맞다면 데이터베이스에 접속할 수 있습니다. 그러나 %s 데이터베이스를 선택할 수 없습니다.</p>\n<ul>\n<li>확실히 존재하나요?</li>\n<li><code>%s</code> 사용자가 <code>%s</code> 데이테베이스를 사용할 권리가 있나요?</li>\n<li>일부 시스템에서는 데이터 베이스 앞에 이름을 붙이는 경우가 있습니다. 이런 경우 실제 데이터베이스 이름은 사용자이름_wordpress입니다. 문제가 있나요?</li>\n</ul>\n<p>데이터베이스를 설정하는 방법을 모르신다면 <strong>관리자와 상담</strong>하십시오 . 모든 방법이 실패한다면 <a href=\"http://wordpress.org/support/\">워드프레스 지원포럼</a>에서 해답을 얻을 수 있습니다.</p>"
"WordPress database error %s for query %s made by %s","%s이(가) 만든 워드프레스 데이터베이스 오류 %s(쿼리 %s)"
"WordPress database error %s for query %s","워드프레스 데이터베이스 오류 %s(쿼리 : %s)"
