"New password","Kata sandi baru"
"Add to gallery","Tambahkan ke galeri"
"Add to Gallery","Tambahkan ke Galeri"
"Reverse order","Urutan terbalik"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstan <code>VHOST</code> <strong>sudah ditinggalkan</strong>. Gunakan konstan boolean <code>SUBDOMAIN_INSTALL</code> dalam wp-config.php untuk mengaktifkan konfigurasi sub domain. Gunakan is_subdomain_install untuk memeriksa apakah konfigurasi sub domain sudah diaktifkan."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Nilai yang bertentangan untuk konstanta VHOST dan SUBDOMAIN_INSTALL.</strong> Nilai SUBDOMAIN_INSTALL akan diasumsikan menjadi pengaturan konfigurasi sub domain Anda."
"The requested user does not exist.","Pengguna yang diminta tidak ada."
"That user does not exist.","Pengguna tersebut tidak ada."
"<strong>ERROR</strong>: Site URL already taken.","<strong>GALAT</strong>: URL Situs sudah diambil."
"<strong>ERROR</strong>: problem creating site entry.","<strong>GALAT</strong>: ada masalah ketika menciptakan entri situs."
"Only lowercase letters (a-z) and numbers are allowed.","Hanya huruf kecil (a-z) dan angka diperbolehkan."
"Please enter a username.","Silakan masukkan sebuah nama pengguna."
"That username is not allowed.","Nama pengguna itu tidak diizinkan."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Anda tidak dapat menggunakan alamat surel itu untuk mendaftar. Kami mengalami masalah dengan pemblokiran beberapa surel kami. Silakan gunakan surel provider yang lain. "
"Username must be at least 4 characters.","Nama pengguna harus minimal 4 karakter."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Maaf, nama pengguna tidak boleh mengandung karakter &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Maaf, nama pengguna harus memiliki huruf juga!"
"Please enter a valid email address.","Silahkan masukan alamat surel yang sah."
"Sorry, that email address is not allowed!","Maaf, alamat surel tersebut tidak diperbolehkan!"
"Sorry, that username already exists!","Maaf, nama pengguna tersebut sudah ada!"
"Sorry, that email address is already used!","Maaf, alamat surel tersebut sudah digunakan!"
"That username is currently reserved but may be available in a couple of days.","Nama pengguna tersebut saat ini sudah dipesan tapi mungkin tersedia dalam beberapa hari."
"username and email used","nama pengguna dan surel dipergunakan"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Alamat surel tersebut sudah digunakan. Silakan periksa kotak masuk Anda untuk aktivasi surel. Itu akan terpakai dalam beberapa hari jika Anda tidak melakukan apapun."
"Please enter a site name.","Silakan masukkan nama situs."
"That name is not allowed.","Nama itu tidak diizinkan."
"Site name must be at least 4 characters.","Nama situs harus minimal 4 karakter."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Maaf, nama situs tidak boleh mengandung karakter &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Maaf, Anda tidak dapat menggunakan nama situs tersebut."
"Sorry, site names must have letters too!","Maaf, nama situs harus memiliki huruf juga! "
"Please enter a site title.","Silakan masukkan judul situs."
"Sorry, that site already exists!","Maaf, situs tersebut sudah ada!"
"Sorry, that site is reserved!","Maaf, situs tersebut sudah dipesan!"
"That site is currently reserved but may be available in a couple days.","Situs tersebut saat ini sudah dipesan tetapi mungkin akan tersedia dalam beberapa hari."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Untuk mengaktifkan blog Anda, silakan klik taut berikut:\n\n%s\n\nSetelah aktivasi, Anda akan menerima *surel yang lain* dengan login Anda.\n\nSetelah aktivasi, Anda dapat mengunjungi situs Anda di sini:\n\n%s"
"[%s] Activate %s","[%s] Aktifkan %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Untuk mengaktifkan pengguna Anda, silahkan klik taut berikut:\n\n%s\n\nSetelah Anda mengaktifkannnya, Anda akan menerima *surel lain* yang berisi keterangan akun Anda."
"Invalid activation key.","Kunci aktivasi tidak sah."
"The user is already active.","Pemakai telah aktif."
"The site is already active.","Situs ini sudah aktif."
"Could not create user","Tidak dapat menciptakan pengguna"
"That username is already activated.","Nama pengguna tersebut sudah diaktifkan."
"Could not create site.","Tidak dapat menciptakan situs."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Situs Baru: %s\nURL: %s\nIP Remot: %s\n\nHentikan notifikasi ini: %s"
"New Site Registration: %s","Pendaftaran Situs Baru: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Pengguna Baru: %s\nIP Remot: %s\n\nHentikan notifikasi ini: %s"
"New User Registration: %s","Pendaftaran Pengguna Baru: %s"
"Already Installed","Sudah Terpasang"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Anda rupanya sudah memasang WordPress. Untuk memasang ulang silahkan bersihkan tabel basis data lama Anda terlebih dahulu."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Yth. Pengguna,\n\nSitus baru SITE_NAME Anda sudah berhasil dipasang di:\nBLOG_URL\n\nAnda dapat melakukan log masuk ke akun administrator dengan informasi berikut:\nNama pengguna: USERNAME\nKata sandi: PASSWORD\nLog in di sini: BLOG_URLwp-login.php\n\nKami harap Anda senang dengan situs barunya. Terima kasih!\n\n--Tim @ SITE_NAME"
"New %s Site: %s","Situs %s Baru: %s"
"New %s User: %s","Pengguna Baru %s: %s"
"This file is too big. Files must be less than %d KB in size.","Berkas ini terlalu besar. Ukuran berkas harus kurang dari %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Sebuah galat telah terjadi saat menambahkan Anda ke situs ini. Kembali ke <a href=\"%s\">halaman depan</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Anda telah ditambahkan ke situs ini. Silakan kunjungi <a href=\"%s\">halaman depan situs</a> atau <a href=\"%s\">log masuk</a> menggunakan nama pengguna dan kata sandi Anda."
"WordPress &rsaquo; Success","WordPress &rsaquo; Sukses"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Pengguna yang terhormat,\n\nAkun baru Anda sudah dipersiapkan.\n\nAnda dapat masuk log dengan informasi berikut:\nNama pengguna: USERNAME\nKata sandi: PASSWORD\nLOGINLINK\n\nTerima kasih!\n\n--Tim @SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Pengguna ini telah memilih untuk menghapus akun mereka dan konten tidak lagi tersedia."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Situs ini masih belum diaktifkan. Jika Anda punya masalah dalam mengaktifkan situs Anda, silakan hubungi <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Situs ini telah diarsipkan atau ditangguhkan."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Situs tersebut tidak ada. Silakan coba <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Tidak ada situs yang ditentukan pada host ini. Jika Anda adalah pemilik situs ini, silakan kunjungi<a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Men-debug Jaringan WordPress</a> untuk bantuan."
"If your site does not display, please contact the owner of this network.","Jika situs Anda tidak tampil, silakan hubungi pemilik jaringan ini."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Jika Anda adalah pemilik dari jaringan ini silakan periksa bahwa MySQL berjalan dengan baik dan semua tabel bebas dari kesalahan."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Tabel basis data hilang.</strong> Ini berarti bahwa MySQL tidak berjalan, WordPress tidak terpasang dengan baik, atau ada yang menghapus <code>%s</code>. Anda benar-benar harus memeriksa basis data Anda sekarang."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Tidak dapat menemukan situs <code>%s</code>.</strong> Mencari tabel <code>%s</code> dalam basis data <code>%s</code>. Benarkah itu?"
"What do I do now?","Apa yang harus saya lakukan sekarang?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Baca halaman <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">laporan bug</a>. Beberapa petunjuk yang ada dapat membantu Anda mengetahui apa yang salah.  "
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Jika Anda masih terjebak dengan pesan ini, maka periksa apakah basis data Anda mengandung tabel berikut ini:"
"Multisite only works without the port number in the URL.","Multi situs hanya bekerja tanpa nomor port dalam URL."
"Database tables are missing.","Tabel basis data hilang."
"No site by that name on this system.","Tidak ada situs dengan nama tersebut pada sistem ini."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Nama menu <strong>%s</strong> bertentangan dengan nama menu yang lain. Silakan coba yang lain."
"The given object ID is not that of a menu item.","ID objek yang diberikan bukan dari objek menu."
"Custom","Tersuai"
"%s is a protected WP option and may not be modified","%s adalah opsi WP yang diproteksi dan tidak bisa dimodifikasi"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>GALAT</strong>: Nama pengguna atau kata sandi tidak benar."
"You should specify a nonce action to be verified by using the first parameter.","Anda harus menentukan sebuah tindakan nonce untuk diverifikasi dengan menggunakan parameter pertama."
"New comment on your post \"%s\"","Komentar baru pada tulisan Anda \"%s\""
"Author : %s (IP: %s , %s)","Penulis : %s (IP: %s , %s)"
"Comment:","Komentar:"
"You can see all comments on this post here:","Anda dapat melihat seluruh komentar pada tulisan ini di sini:"
"[%s] Comment: \"%s\"","[%s] Komentar: \"%s\""
"New trackback on your post \"%s\"","Lacak balik baru pada tulisan Anda \"%s\""
"Website: %s (IP: %s , %s)","Situs Web: %s (IP: %s , %s)"
"Excerpt:","Kutipan:"
"You can see all trackbacks on this post here:","Anda dapat melihat seluruh lacak balik pada tulisan ini di sini:"
"[%s] Trackback: \"%s\"","[%s] Lacak balik: \"%s\""
"New pingback on your post \"%s\"","Ping balik baru untuk tulisan Anda \"%s\""
"You can see all pingbacks on this post here:","Anda dapat melihat seluruh ping balik pada tulisan ini di sini:"
"[%s] Pingback: \"%s\"","[%s] Ping balik: \"%s\""
"Trash it: %s","Buang ke tempat sampah: %s"
"Delete it: %s","Hapus ini: %s"
"Spam it: %s","Spam ini: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Sebuah lacak balik untuk tulisan \"%s\" sedang menunggu persetujuan Anda"
"Website : %s (IP: %s , %s)","Situs web: %s (IP: %s , %s)"
"Trackback excerpt:","Kutipan lacak balik:"
"A new pingback on the post \"%s\" is waiting for your approval","Sebuah ping balik baru pada tulisan \"%s\" sedang menunggu persetujuan Anda"
"Pingback excerpt:","Kutipan Ping Balik:"
"A new comment on the post \"%s\" is waiting for your approval","Sebuah komentar baru pada tulisan \"%s\" sedang menunggu persetujuan Anda"
"Approve it: %s","Setujui ini: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Saat ini %s komentar sedang menunggu persetujuan. Silakan kunjungi panel moderasi:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Saat ini %s komentar sedang menunggu persetujuan. Silakan kunjungi panel moderasi:"
"[%s] Please moderate: \"%s\"","[%s] Mohon moderasi: \"%s\""
"Password Lost and Changed for user: %s","Kata Sandi Hilang dan Diubah untuk pengguna: %s"
"[%s] Password Lost/Changed","[%s] Kata Sandi Hilang/Diubah"
"New user registration on your site %s:","Pendaftaran pengguna baru pada situs Anda %s:"
"Username: %s","Nama user: %s"
"[%s] New User Registration","[%s] Pendaftaran User Baru"
"Password: %s","Kata sandi: %s"
"[%s] Your username and password","[%s] Nama pengguna dan kata sandi Anda"
"Only a static class method or function can be used in an uninstall hook.","Hanya metode kelas statik atau fungsi dapat digunakan dalam pengait uninstall."
"Protected: %s","Diproteksi: %s"
"Private: %s","Privat: %s"
"(more...)","(lagi...)"
"There is no excerpt because this is a protected post.","Tidak ada kutipan karena ini adalah tulisan yang dilindungi kata sandi."
"Pages:","Halaman:"
"Next page","Halaman berikutnya"
"Previous page","Halaman sebelumnya"
"Home","Beranda"
"This post is password protected. To view it please enter your password below:","Tulisan ini dilindungi kata sandi. Untuk melihatnya mohon masukkan sandi Anda di bawah ini:"
"Submit","Kirim"
"j F, Y @ G:i","F j Y @ H.i"
"%s [Autosave]","%s [Penyimpanan Otomatis]"
"%s [Current Revision]","%s [Revisi Saat Ini]"
"%s by %s","%s oleh %s"
"Restore","Kembalikan"
"Compare Revisions","Bandingkan Revisi"
"Old","Lama"
"New","Baru"
"Date Created","Tanggal Dibuat"
"Actions","Tindakan"
"Post","Tulisan"
"Page","Halaman"
"Add New","Tambah Baru"
"Edit Media","Sunting Media"
"View Attachment Page","Lihat Halaman Lampiran"
"Revisions","Revisi"
"Revision","Revisi"
"Navigation Menu Items","Objek Menu Navigasi"
"Navigation Menu Item","Objek Menu Navigasi"
"Published","Telah Terbit"
"Published <span class=\"count\">(%s)</span>","Telah Terbit <span class=\"count\">(%s)</span>"
"Scheduled","Terjadwal"
"Scheduled <span class=\"count\">(%s)</span>","Dijadwalkan akan Terbit <span class=\"count\">(%s)</span>"
"Draft","Konsep"
"Draft <span class=\"count\">(%s)</span>","Konsep <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Konsep <span class=\"count\">(%s)</span>"
"Pending","Ditangguhkan"
"Pending <span class=\"count\">(%s)</span>","Ditangguhkan <span class=\"count\">(%s)</span>"
"Private","Privat"
"Trash","Tong Sampah"
"Trash <span class=\"count\">(%s)</span>","Tong Sampah <span class=\"count\">(%s)</span>"
"Invalid post","Tulisan tidak sah"
"Pending Review","Menunggu Evaluasi"
"Post types cannot exceed 20 characters in length","Panjang tipe tulisan tidak dapat lebih dari 20 karakter"
"Posts","Tulisan"
"Pages","Halaman"
"Add New Post","Tambah Tulisan Baru"
"Add New Page","Tambah Halaman Baru"
"Edit Post","Sunting Tulisan"
"Edit Page","Sunting Halaman"
"New Page","Halaman Baru"
"View Page","Lihat Halaman"
"Search Posts","Cari Tulisan"
"Search Pages","Cari Halaman"
"No posts found.","Tidak ada tulisan yang ditemukan."
"No pages found.","Tidak ada halaman yang ditemukan."
"No posts found in Trash.","Tidak ada tulisan yang ditemukan dalam Tong Sampah."
"No pages found in Trash.","Tidak ada halaman yang ditemukan dalam Tong Sampah."
"Parent Page:","Halaman Induk:"
"All Posts","Semua Tulisan"
"All Pages","Semua Halaman"
"Images","Gambar"
"Manage Images","Kelola Gambar"
"Image <span class=\"count\">(%s)</span>","Gambar <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Gambar <span class=\"count\">(%s)</span>"
"Manage Audio","Kelola Audio"
"Manage Video","Kelola Video"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Mengoper sebuah angka integer dari tulisan telah ditinggalkan. Oper sebuah array argumen sebagai gantinya."
"Content, title, and excerpt are empty.","Konten, judul, dan kutipan kosong."
"Whoops, the provided date is invalid.","Ups, tanggal yang diberikan tidak sah."
"Could not update post in the database","Tidak dapat memperbarui tulisan dalam basis data"
"Could not insert post into the database","Tidak dapat menyisipkan tulisan ke dalam basis data"
"The page template is invalid.","Templat halaman ini tidak sah."
"Content","Konten"
"Excerpt","Kutipan"
"Cannot create a revision of a revision","Tidak dapat menciptakan revisi dari sebuah revisi"
"You do not have permission to preview drafts.","Anda tidak memiliki izin untuk melihat pra-tampilan konsep."
"Standard","Standar"
"Aside","Sampingan"
"Chat","Obrolan"
"Gallery","Galeri"
"Link","Tautan"
"Image","Gambar"
"Audio","Suara"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Tag-tag kueri kondisional tidak berfungsi sebelum kueri dijalankan. Sebelumnya, mereka selalu mengembalikan false."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" sudah ditinggalkan. Gunakan \"ignore_sticky_posts\" sebagai gantinya."
"This file no longer needs to be included.","Berkas ini tidak perlu lagi disertakan."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Anda akan menghapus obyek terpilih secara permanen.\n   'Batal' untuk menghentikan, 'OK' untuk menghapus."
"Enter a word to look up:","Masukkan sebuah kata untuk dicari:"
"Dictionary lookup","Pencarian kamus"
"lookup","pencarian"
"Close all open tags","Tutup seluruh tag yang terbuka"
"close tags","tutup tag"
"Enter the URL","Masukkan URL"
"Enter the URL of the image","Masukkan URL gambar"
"Enter a description of the image","Masukkan sebuah deskripsi dari gambar tersebut"
"fullscreen","layar-penuh"
"Toggle fullscreen mode","Tukar balik moda selayar penuh"
"text direction","arah teks"
"Toggle Editor Text Direction","Atur Arah Teks Penyunting"
"You do not have permission to do that.","Anda tidak punya izin untuk melakukan itu."
"An unidentified error has occurred.","Galat yang tak dapat didefinisikan telah terjadi."
"Dismiss","Selesai"
"Next &gt;","Berikutnya &gt;"
"&lt; Prev","&lt; Sebelumnya"
"of","dari"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Fitur ini memerlukan bingkai langsung di tempat. Anda memiliki iframe dinonaktifkan atau browser Anda tidak mendukung mereka."
"not configured","tidak terkonfigurasi"
"You have attempted to queue too many files.","Anda telah mencoba mengantrikan terlalu banyak berkas."
"%s exceeds the maximum upload size for this site.","%s terlalu besar untuk diunggah."
"This file is empty. Please try another.","Berkas ini kosong. Silakan coba yang lain."
"This file type is not allowed. Please try another.","Berkas jenis ini tidak diperbolehkan. Silakan coba yang lain."
"This file is not an image. Please try another.","Berkas ini bukan gambar. Silahkan coba lainnya."
"Memory exceeded. Please try another smaller file.","Melebihi batas memori. Silahkan coba berkas lainnya yang berukuran lebih kecil."
"This is larger than the maximum size. Please try another.","Ini melebihi ukuran maksimum. Silahkan coba lainnya."
"An error occurred in the upload. Please try again later.","Sebuah galat telah terjadi selama proses pengunggahan. Silakan coba lagi nanti."
"There was a configuration error. Please contact the server administrator.","Ada galat konfigurasi. Silakan hubungi administrator server."
"You may only upload 1 file.","Anda hanya boleh mengunggah satu berkas."
"HTTP error.","Galat HTTP."
"Upload failed.","Pengunggahan gagal."
"Please try uploading this file with the %sbrowser uploader%s.","Untuk mengunggah berkas ini, silakan gunakan %spengunggah peramban%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s melebihi ukuran unggah maksimum untuk pengunggah multi-berkas bilamana digunakan pada peramban Anda."
"IO error.","Galat IO"
"Security error.","Galat keamanan."
"File canceled.","Berkas dibatalkan."
"Upload stopped.","Pengunggahan terhenti."
"Crunching&hellip;","Memproses&hellip;"
"moved to the trash.","dipindahkan ke tong sampah."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; gagal diunggah."
"Strength indicator","Indikator kekuatan"
"Very weak","Sangat lemah"
"Weak","Lemah"
"Strong","Kuat"
"Mismatch","Tidak cocok"
"(no title)","(tanpa judul)"
"No matches found.","Tidak ada kecocokan ditemukan."
"Save &amp; Activate","Simpan &amp; Aktifkan"
"Save &amp; Publish","Simpan &amp; Terbitkan"
"Saved","Tersimpan"
"Add","Tambah"
"Separate multiple categories with commas.","Pisahkan berbagai kategori dengan koma."
"Approve and Reply","Setujui dan Balas"
"OK","Oke"
"Publish on:","Terbitkan pada:"
"Schedule for:","Jadwalkan untuk:"
"Published on:","Diterbitkan pada:"
"Show more comments","Tampilkan lebih banyak komentar"
"No more comments found.","Tidak ada komentar lagi yang ditemukan."
"Publish","Terbitkan"
"Schedule","Jadwal"
"Save as Pending","Simpan sebagai \"Ditangguhkan\""
"Save Draft","Simpan Konsep"
"Public","Umum"
"Public, Sticky","Publik, Tetap"
"Password Protected","Dilindungi Kata Sandi"
"Privately Published","Terbit Privat"
"Submitted on:","Dikirim pada:"
"Error while saving the changes.","Galat ketika menyimpan perubahan."
"Remove From Bulk Edit","Singkirkan dari Penyuntingan Massal"
"Plugin Information:","Informasi Plugin:"
"Are you sure you want to install this plugin?","Apakah Anda yakin ingin menginstal plugin ini?"
"Select Color","Pilih Warna"
"Current Color","Warna Saat Ini"
"Could not load the preview image. Please reload the page and try again.","Tidak dapat memuat gambar pratampil. Silahkan muat ulang halaman dan coba lagi."
"Use as featured image","Gunakan sebagai gambar istimewa"
"Saving...","Menyimpan..."
"Could not set that as the thumbnail image. Try a different attachment.","Tidak dapat menentukan itu sebagai gambar miniatur. Coba lampiran yang lain."
"Done","Selesai"
"No results found.","Tidak ada hasil yang ditemukan."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Anda akan secara permanen menghapus menu ini.\n'Batal' untuk menghentikan, 'OK\" untuk menghapus."
"Saving Draft&#8230;","Menyimpan Konsep&#8230;"
"Navigation Menus","Menu Navigasi"
"Navigation Menu","Menu Navigasi"
"Link Categories","Kategori Tautan"
"Link Category","Kategori Taut"
"Search Link Categories","Cari Kategori Taut"
"All Link Categories","Semua Kategori Taut"
"Edit Link Category","Sunting Kategori Tautan"
"Update Link Category","Perbarui Kategori Taut"
"Add New Link Category","Tambah Kategori Taut Baru"
"New Link Category Name","Nama Kategori Taut Baru"
"Taxonomies cannot exceed 32 characters in length","Taksonomi panjangnya tidak boleh lebih dari 32 karakter"
"Tags","Tag"
"Categories","Kategori"
"Category","Kategori"
"Search Tags","Cari Tag"
"Search Categories","Cari Kategori"
"Popular Tags","Tag Populer"
"All Tags","Semua Tag"
"All Categories","Seluruh Kategori"
"Parent Category","Kategori Induk"
"Parent Category:","Kategori Induk:"
"Edit Tag","Sunting Tag"
"Edit Category","Sunting Kategori"
"View Tag","Tampilkan Tag"
"View Category","Tampilkan Kategori"
"Update Tag","Perbarui Tag"
"Update Category","Perbarui Kategori"
"Add New Tag","Tambah Tag Baru"
"Add New Category","Tambah Kategori Baru"
"New Tag Name","Nama Tag Baru"
"New Category Name","Nama Kategori Baru"
"Separate tags with commas","Pisahkan tag dengan koma"
"Add or remove tags","Tambahkan atau buang tag"
"Choose from the most used tags","Pilih dari tag yang paling sering digunakan"
"Empty Term","Istilah yang Kosong"
"A name is required for this term","Dibutuhkan sebuah nama untuk istilah ini"
"A term with the name provided already exists with this parent.","Sebuah istilah dengan nama yang diberikan sudah ada dengan induk ini."
"Could not insert term into the database","Tak dapat menyisipkan istilah ke dalam basis data"
"A term with the name provided already exists.","Sebuah istilah dengan nama yang diberikan sudah ada."
"Could not insert term relationship into the database","Tidak dapat menyisipkan hubungan kata ke dalam basis data"
"The slug &#8220;%s&#8221; is already in use by another term","Slug &#8220;%s&#8221; telah digunakan oleh yang lain"
"Invalid object ID","ID objek yang tidak sah"
"Theme without %s","Tema tanpa %s"
"Please include a %s template in your theme.","Harap sertakan templat %s dalam tema Anda."
"%s - Comments on %s","%s - Komentar pada %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","Umpan <abbr title=\"Really Simple Syndication\">RSS</abbr> untuk komentar-komentar pada tulisan ini."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr>untuk Lacak Balik entri ini adalah: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","oleh %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Belum ada komentar."
"Leave a comment","Tinggalkan komentar"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Baris dan paragraf terpotong otomatis, alamat surel tidak pernah ditampilkan, <acronym title=\"Hypertext Markup Language\">HTML</acronym> diizinkan: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Masuk log sebagai <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Keluar log &raquo;</a>"
"Your Comment","Komentar Anda"
"Say It!","Katakan!"
"Sorry, the comment form is closed at this time.","Maaf, form komentar ditutup saat ini."
"Close this window.","Tutup jendela ini."
"Sorry, no posts matched your criteria.","Maaf, tidak ada tulisan yang cocok dengan kriteria Anda."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Diberdayakan oleh <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Tulisan ini dilindungi kata sandi. Masukkan kata sandi untuk melihat komentar."
"One Response to %s","Satu Balasan ke %s"
"%s Responses to %s","%s Balasan ke %s"
"Comments are closed.","Komentar ditutup."
"Logged in as <a href=\"%s\">%s</a>.","Masuk log sebagai <a href=\"%s\">%s</a>."
"Log out of this account","Keluar log dari akun ini"
"Log out &raquo;","Keluar log &raquo;"
"(required)","(wajib)"
"Mail (will not be published)","Surat (tidak akan dipublikasikan)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Anda dapat menggunakan tag ini: <code>%s</code>"
"Submit Comment","Kirim Komentar"
"%s is proudly powered by %s","%s dengan bangga diberdayakan oleh %s"
"%s and %s.","%s dan %s."
"Entries (RSS)","Entri (RSS)"
"Comments (RSS)","Komentar (RSS)"
"%d queries. %s seconds.","%d permintaan. %s detik."
"You are currently browsing the archives for the %s category.","Anda sedang merambah arsip untuk kategori %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Anda sedang merambah arsip blog <a href=\"%s/\">%s</a> untuk hari %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Anda sedang merambah arsip blog <a href=\"%s/\">%s</a> untuk %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Anda sedang merambah arsip blog <a href=\"%s/\">%s</a> untuk tahun %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Anda telah mencari arsip blog <a href=\"%s/\">%s</a> untuk <strong>&#8216;%s&#8217;</strong>. Jika Anda tidak dapat menemukan apapun dalam hasil pencarian ini, Anda dapat mencoba salah satu dari taut ini."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Anda sedang merambah arsip blog <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Halaman ini tervalidasi sebagai XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","<abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr> valid"
"XHTML Friends Network","Jaringan Teman XHTML"
"%d WordPress Update","Pembaruan Wordpress %d"
"%d Plugin Update","%d Pembaruan Plugin"
"%d Plugin Updates","%d Pembaruan Plugin"
"%d Theme Update","%d Pembaruan Tema"
"%d Theme Updates","%d Pembaruan Tema"
"<strong>ERROR</strong>: The username field is empty.","<strong>GALAT</strong>: Ruas nama pengguna kosong."
"<strong>ERROR</strong>: The password field is empty.","<strong>GALAT</strong>: Ruas kata sandi kosong."
