"Activation Key Required","Требуется ключ активации"
"Comment author name and email are required","Требуются имя и e-mail автора комментария"
"A valid email address is required","Требуется корректный адрес e-mail"
"You are not allowed access to details about this site.","Вам не разрешено получать детальную информацию об этом сайте."
"You are not allowed access to details about comments.","Вам не разрешено получать информацию о комментариях."
"You are not allowed to update options.","Вам не разрешено обновлять настройки."
"You do not have permission to upload files.","У вас нет прав на загрузку файлов."
"Sorry, you are not allowed to edit this post type.","Извините, вам не разрешено редактировать этот тип записей."
"Invalid post ID","Неверный ID записи"
"Sorry, you are not allowed to edit posts.","Извините, вам не разрешено редактировать записи."
"Sorry, revisions are disabled.","Извините, редакции отключены."
"Sorry, you do not have access to user data on this site.","Извините, у вас нет доступа к данным пользователей этого сайта."
"Either there are no posts, or something went wrong.","Либо записей нет, либо что-то случилось."
"Sorry, that file cannot be edited.","Извините, этот файл не может быть изменён."
"Sorry, no such post.","Извините, такой записи нет."
"Sorry, you do not have the right to edit this post.","Извините, у вас нет прав на редактирование этой записи."
"Sorry, you do not have the right to publish this post.","Извините, у вас нет прав на публикацию этой записи."
"For some strange yet very annoying reason, this post could not be edited.","По какой-то странной и неприятной причине эту запись не удалось отредактировать."
"Sorry, you do not have the right to delete this post.","Извините, у вас нет прав на удаление этой записи."
"For some strange yet very annoying reason, this post could not be deleted.","По какой-то странной и неприятной причине удалить эту запись не удалось."
"Sorry, you are not allowed to publish pages on this site.","Извините, вам не разрешено публиковать страницы на этом сайте."
"Sorry, you are not allowed to publish posts on this site.","Извините, вам не разрешено публиковать записи на этом сайте."
"Invalid post format","Неверный формат записи"
"You are not allowed to create pages as this user.","Вам не разрешено создавать страницы от лица этого пользователя."
"You are not allowed to change the post author as this user.","Вам не разрешено изменять автора записи от лица этого пользователя."
"You are not allowed to change the page author as this user.","Вам не разрешено изменять автора страницы от лица этого пользователя."
"Sorry, you do not have the right to publish this page.","Извините, у вас нет прав на публикацию этой страницы."
"Sorry, your entry could not be edited. Something wrong happened.","Извините, вашу запись не удалось изменить. Что-то случилось."
"Sorry, you must be able to edit posts on this site in order to view categories.","Извините, чтобы просматривать рубрики, вам нужны права на редактирование записей на этом сайте."
"Could not write file %s (%s)","Не удалось сохранить файл %s (%s)"
"Sorry, you can not edit this post.","Извините, вы не можете редактировать эту запись."
"Sorry, you cannot publish this post.","Извините, вы не можете опубликовать эту запись."
"Is there no link to us?","Похоже, что ссылки на наш сайт нет."
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Заданный URL нельзя использовать в качестве адресата. Его не существует, либо он указывает на ресурс без возможности уведомлений."
"The source URL and the target URL cannot both point to the same resource.","Адрес источника и адрес получателя не могут указывать на один и тот же ресурс."
"The pingback has already been registered.","Уведомление уже было зарегистрировано."
"The source URL does not exist.","Ссылка на источник не найдена."
"We cannot find a title on that page.","Невозможно определить заголовок этой страницы."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Адрес источника не содержит ссылки на получателя, и потому не может быть использован как источник."
"Pingback from %s to %s registered. Keep the web talking! :-)","Уведомление от %s к %s зарегистрировано. Люди говорят! :-)"
"The specified target URL does not exist.","Указанная ссылка не найдена."
"%s Comments","Комментарии (%s)"
"No Comments","Комментариев нет"
"1 Comment","1 комментарий"
"Comment","Комментарий"
"Trackback","Обратная ссылка"
"Pingback","Уведомление"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Используйте <code>get_trackback_url()</code>, если не хотите вывести значение."
"Comments Off","Комментарии отключены"
"Enter your password to view comments.","Введите пароль для просмотра комментариев."
"Comment on %s","Прокомментировать запись &laquo;%s&raquo;"
"Reply","Ответить"
"Log in to Reply","Войдите, чтобы ответить"
"Leave a Comment","Добавить комментарий"
"Log in to leave a Comment","Войдите, чтобы добавить комментарий"
"Click here to cancel reply.","Нажмите, чтобы отменить ответ."
"Leave a Reply","Добавить комментарий"
"Leave a Reply to %s","Добавить комментарий для %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite><span class=\"says\">:</span>"
"Your comment is awaiting moderation.","Ваш комментарий ожидает проверки."
"%s at %s","%s в %s"
"(Edit)","(Изменить)"
"Name","Имя якоря"
"Email","E-mail"
"Website","Сайт"
"Required fields are marked %s","Обязательные поля помечены %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Для отправки комментария вы должны <a href=\"%s\">авторизоваться</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Вы вошли как <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Выйти из этой учётной записи\">Выйти?</a>"
"Your email address will not be published.","Ваш e-mail не будет опубликован."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Можно использовать следующие <abbr title=\"HyperText Markup Language\">HTML</abbr>-теги и атрибуты: %s"
"Cancel reply","Отменить ответ"
"Post Comment","Отправить комментарий"
"Unapproved","Не одобрен"
"Approved","Одобрен"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Обнаружен дубликат комментария. Кажется, вы уже сказали это!"
"You are posting comments too quickly. Slow down.","Вы комментируете слишком быстро. Попридержите коней."
"Could not update comment status","Не удалось обновить статус комментария"
"This argument has changed to an array to match the behavior of the other cron functions.","Этот аргумент изменён на массив, чтобы соответствовать поведению других функций планировщика."
"Once Hourly","Каждый час"
"Twice Daily","Два раза в день"
"Once Daily","Каждый день"
"Your site&#8217;s WordPress Pages","Страницы вашего сайта"
"Pages","Страницы"
"Sort by:","Приоритет сортировки:"
"Page title","Заголовок страницы"
"Page order","Порядок страницы"
"Page ID","ID страницы"
"Exclude:","Исключить:"
"Page IDs, separated by commas.","ID страниц, разделённые запятыми."
"Your blogroll","Ваши ссылки"
"Links","Ссылки"
"Select Link Category:","Выберите рубрику ссылок:"
"All Links","Все ссылки"
"Link title","Заголовок ссылки"
"Link rating","Рейтинг ссылки"
"Link ID","ID ссылки"
"Random","Случайно"
"Show Link Image","Показывать изображения"
"Show Link Name","Показывать названия ссылок"
"Show Link Description","Показывать описания ссылок"
"Show Link Rating","Показывать рейтинг ссылок"
"Number of links to show:","Количество ссылок:"
"A search form for your site","Форма поиска для вашего сайта"
"A monthly archive of your site&#8217;s posts","Архив записей вашего сайта по месяцам"
"Archives","Архивы"
"Select Month","Выберите месяц"
"Display as dropdown","В виде выпадающего меню"
"Show post counts","Отображать число записей"
"Log in/out, admin, feed and WordPress links","Ссылки на вход/выход, панель администрирования, RSS-ленту и WordPress"
"Meta","Мета"
"Syndicate this site using RSS 2.0","Подпишитесь на RSS-ленту этого сайта"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> записей"
"The latest comments to all posts in RSS","Последние комментарии ко всем записям в RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> комментариев"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Сайт работает на WordPress &#8212; современной персональной платформе для публикаций."
"A calendar of your site&#8217;s posts","Календарь записей вашего сайта"
"Calendar","Календарь"
"Arbitrary text or HTML","Произвольный текст или HTML-код"
"Automatically add paragraphs","Автоматически добавлять абзацы"
"A list or dropdown of categories","Список или выпадающее меню рубрик"
"Select Category","Выберите рубрику"
"Show hierarchy","Отображать иерархию"
"The most recent posts on your site","Самые свежие записи вашего сайта"
"Recent Posts","Свежие записи"
"Number of posts to show:","Количество записей:"
"Display post date?","Отображать дату записи?"
"The most recent comments","Самые свежие комментарии"
"Recent Comments","Свежие комментарии"
"%s on %s","%s к записи %s"
"Number of comments to show:","Количество комментариев:"
"Entries from any RSS or Atom feed","Записи из любой ленты RSS или Atom"
"Unknown Feed","Неизвестная лента"
"Syndicate this content","Подписаться на эту ленту"
"<strong>RSS Error</strong>: %s","<strong>Ошибка RSS</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Произошла ошибка; возможно, лента недоступна. Повторите попытку позже."
"Untitled","Безымянный"
"RSS Error: %s","Ошибка RSS: %s "
"Enter the RSS feed URL here:","Введите адрес RSS-ленты:"
"Give the feed a title (optional):","Озаглавьте ленту (необязательно):"
"How many items would you like to display?","Сколько элементов отображать?"
"Display item content?","Отображать содержимое элемента?"
"Display item author if available?","Отображать автора элемента (если есть)?"
"Display item date?","Отображать дату элемента?"
"Your most used tags in cloud format","Часто используемые метки в виде облака"
"Tag Cloud","Облако меток"
"Tags","Метки"
"Taxonomy:","Таксономия:"
"Use this widget to add one of your custom menus as a widget.","Используйте этот виджет, чтобы добавить произвольное меню."
"Custom Menu","Произвольное меню"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Ни одного меню ещё не создано. <a href=\"%s\">Создать</a>"
"Select Menu:","Выберите меню:"
"new WordPress Loop","новый цикл WordPress"
"None","Нет"
"Last updated","Последние изменения"
"Missing Attachment","Вложение не найдено"
"First Post","Первая запись"
"Last Post","Последняя запись"
"Are you sure you want to do this?","Вы уверены, что хотите это сделать?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Файла &laquo;%s&raquo; не существует?"
"The GD image library is not installed.","Библиотека GD не установлена."
"File &#8220;%s&#8221; is not an image.","Файл &laquo;%s&raquo; не является картинкой."
"Comments on %s","Комментарии: %s"
"Comments for %s searching on %s","Комментарии на сайте %s по запросу %s"
"Comments for %s","Комментарии на сайте %s"
"Comment on %s by %s","Комментарий к записи %s (%s)"
"By: %s","Автор: %s"
"Comments on: %s","Комментарии: %s"
"Protected Comments: Please enter your password to view comments.","Скрытые комментарии: введите пароль для просмотра комментариев."
"&#8220;","&#171;"
"&#8221;","&#187;"
"&#8211;","&#8212;"
"%s min","%s минута"
"%s mins","%s минуты"
"%s hour","%s час"
"%s hours","%s часа"
"%s day","%s день"
"%s days","%s дня"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Введённый адрес e-mail не является корректным. Пожалуйста, введите корректный адрес e-mail."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Введённый адрес WordPress не является корректным URL. Пожалуйста, введите корректный URL."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Введённый адрес сайта не является корректным URL. Пожалуйста, введите корректный URL."
"The timezone you have entered is not valid. Please select a valid timezone.","Вы указали некорректный часовой пояс. Пожалуйста, выберите правильное значение."
", and"," и "
"and"," и "
"ERROR: %s is not a valid feed template.","ОШИБКА: %s не является корректным шаблоном ленты."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Одна или несколько таблиц базы данных недоступны. Возможно, база нуждается в <a href=\"%s\">ремонте</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Не могу создать директорию %s. Проверьте, доступна ли родительская директория для записи."
"Empty filename","Пустое имя файла"
"Invalid file type","Неверный тип файла"
"Could not write file %s","Не удалось сохранить файл %s"
"WordPress Failure Notice","Сообщение об ошибке"
"You are attempting to log out of %s","Вы пытаетесь выйти с сайта &laquo;%s&raquo;"
"Do you really want to <a href='%s'>log out</a>?","Вы действительно хотите <a href='%s'>выйти</a>?"
"Please try again.","Пожалуйста, попробуйте ещё раз."
"&laquo; Back","&larr; Назад"
"WordPress &rsaquo; Error","WordPress &rsaquo; Ошибка"
"Database Error","Ошибка базы данных"
"Error establishing a database connection","Ошибка установки соединения с базой данных"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","Функция %s с версии %s <strong>считается устаревшей</strong>! Используйте %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","Функция %s с версии %s <strong>считается устаревшей</strong>. Альтернативы не предусмотрено."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","Функция %s вызвана с аргументом, который <strong>считается устаревшим</strong> с версии %s! %s."
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","Функция %s вызвана с аргументом, который <strong>считается устаревшим</strong> с версии %s. Альтернативы не предусмотрено."
"(This message was added in version %s.)","(Это сообщение было добавлено в версии %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Дополнительную информацию можно найти на странице <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">&laquo;Отладка в WordPress&raquo;</a>."
"%s was called <strong>incorrectly</strong>. %s %s","Функция %s вызвана <strong>неправильно</strong>. %s %s"
"Select a city","Выберите город"
"Manual Offsets","Ручные смещения"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Скрипты и стили можно регистрировать или добавлять в очередь не раньше действий %s, %s или %s."
"Search for:","Найти:"
"Log in","Войти"
"Log out","Выйти"
"Username","Имя пользователя"
"Password","Пароль"
"Remember Me","Запомнить меня"
"Log In","Войти"
"Register","Регистрация"
"Site Admin","Управление сайтом"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Параметр <code>%s</code> семейства функций <code>bloginfo()</code> считается устаревшим."
"Use the <code>%s</code> option instead.","Используйте параметр <code>%s</code>."
"Search Results %s %s","Результаты поиска %s %s"
"Page not found","Страница не найдена"
"View posts for %s %s","Посмотреть записи за %s %s"
"%s %s Feed","%s %s Лента"
"%s %s Comments Feed","%s %s Лента комментариев"
"%s %s %s Comments Feed","%s %s Лента комментариев к &laquo;%s&raquo;"
"%s %s %s Category Feed","%s %s Лента рубрики %s"
"%s %s %s Tag Feed","%s %s Лента метки %s"
"%s %s Posts by %s Feed","%s %s Лента записей автора %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Лента результатов поиска &laquo;%s&raquo;"
"%s %s %s Feed","%s %s Лента записей типа &laquo;%s&raquo;"
"&laquo; Previous","&larr; Ранее"
"Next &raquo;","Далее &rarr;"
"Blue","Синий"
"Gray","Серый"
"Do you want to use the WYSIWYG mode for this textarea?","Вы хотите использовать режим WYSIWYG для этого текстового поля?"
"Apply","Применить"
"Insert","Вставить"
"Close","Закрыть"
"Browse","Обзор"
"Class","Класс"
"-- Not set --","-- Не задано --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Копировать/Вырезать/Вставить недоступны в Mozilla и Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Не поддерживается вашим браузером, используйте горячие клавиши."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Мы заметили, что всплывающее окно с функциональностью приложения было заблокировано. Вам нужно разрешить всплывающие окна для этого сайта, чтобы воспользоваться этим инструментом в полной мере."
"ERROR: Invalid values entered, these are marked in red.","ОШИБКА: Введены некорректные значения, они помечены красным."
"{#field} must be a number","Значение {#field} должно быть числом"
"{#field} must be a number greater than {#min}","Значение {#field} должно быть числом, большим {#min}"
"{#field} must be a number or percentage","Значение {#field} должно быть числом или процентом"
"More colors","Другие цвета"
"Black","Чёрный"
"Burnt orange","Выгоревший оранжевый"
"Dark olive","Тёмно-оливковый"
"Dark green","Тёмно-зелёный"
"Dark azure","Тёмно-лазурный"
"Navy Blue","Тёмно-синий"
"Indigo","Индиго"
"Very dark gray","Тёмно-серый"
"Maroon","Коричнево-малиновый"
"Orange","Оранжевый"
"Olive","Оливковый"
"Green","Зелёный"
"Teal","Сине-зелёный"
"Grayish blue","Серо-синий"
"Red","Красный"
"Amber","Янтарный"
"Yellow green","Жёлто-зелёный"
"Sea green","Зелёное море"
"Turquoise","Бирюзовый"
"Royal blue","Ярко-синий"
"Purple","Пурпурный"
"Medium gray","Светло-серый"
"Magenta","Маджента"
"Gold","Золотой"
"Yellow","Жёлтый"
"Lime","Лайм"
"Aqua","Цвет морской волны"
"Sky blue","Небесно-голубой"
"Brown","Коричневый"
"Silver","Серебряный"
"Pink","Розовый"
"Peach","Персиковый"
"Light yellow","Бледно-жёлтый"
"Pale green","Бледно-зелёный"
"Pale cyan","Светлый циан"
"Light sky blue","Светлый небесно-голубой"
"Plum","Сливовый"
"White","Белый"
"Alignment","Выравнивание"
"Full","По ширине"
"%sY-%sm-%d","%d.%sm.%sY"
"Insert date","Вставить дату"
"Insert time","Вставить время"
"January","Январь"
"February","Февраль"
"March","Март"
"April","Апрель"
"May","Май"
"June","Июнь"
"July","Июль"
"August","Август"
"September","Сентябрь"
"October","Октябрь"
"November","Ноябрь"
"December","Декабрь"
"Jan_January_abbreviation","Янв"
"Feb_February_abbreviation","Фев"
"Mar_March_abbreviation","Мар"
"Apr_April_abbreviation","Апр"
"May_May_abbreviation","Май"
"Jun_June_abbreviation","Июн"
"Jul_July_abbreviation","Июл"
"Aug_August_abbreviation","Авг"
"Sep_September_abbreviation","Сен"
"Oct_October_abbreviation","Окт"
"Nov_November_abbreviation","Ноя"
"Dec_December_abbreviation","Дек"
"Sunday","Воскресенье"
"Monday","Понедельник"
"Tuesday","Вторник"
"Wednesday","Среда"
"Thursday","Четверг"
"Friday","Пятница"
"Saturday","Суббота"
"Sun","Вс"
"Mon","Пн"
"Tue","Вт"
"Wed","Ср"
"Thu","Чт"
"Fri","Пт"
"Sat","Сб"
"Print","Печать"
"Preview","Просмотреть"
"Direction left to right","Направление слева направо"
"Direction right to left","Направление справа налево"
"Insert new layer","Вставить новый слой"
"Move forward","Переместить вперёд"
"Move backward","Переместить назад"
"Toggle absolute positioning","Включить/выключить абсолютное позиционирование"
"New layer...","Новый слой..."
"Cancel all changes","Отменить все изменения"
"Insert non-breaking space character","Вставить символ неразрывного пробела"
"Run spell checking","Запустить проверку орфографии"
"ieSpell not detected. Do you want to install it now?","ieSpell не обнаружен. Установить сейчас?"
"Horizontal rule","Горизонтальный разделитель"
"Emotions","Эмоции"
"Find","Найти"
"Find/Replace","Найти/Заменить"
"Insert/edit image","Вставить/изменить картинку"
"Insert/edit link","Вставить/изменить ссылку"
"Citation","Цитата"
"Abbreviation","Аббревиатура"
"Acronym","Сокращение"
"Deletion","Удаление"
"Insertion","Вставка"
"Insert/Edit Attributes","Вставить/редактировать атрибуты"
"Edit CSS Style","Редактировать CSS"
"Paste as Plain Text","Вставить как текст"
"Paste from Word","Вставить из Word"
"Select All","Выделить все"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Выбран режим вставки простого текста. Нажмите снова, чтобы переключиться в обычный режим. После вставки вы также вернётесь в обычный режим."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Выбран режим вставки простого текста. Нажмите снова, чтобы переключиться в обычный режим."
"Use CTRL+V on your keyboard to paste the text into the window.","Используйте сочетание Ctrl+V, чтобы вставить в окно текст."
"Keep linebreaks","Сохранять разрывы строк"
"Inserts a new table","Вставляет новую таблицу"
"Insert row before","Вставить строку до"
"Insert row after","Вставить строку после"
"Delete row","Удалить строку"
"Insert column before","Вставить столбец до"
"Insert column after","Вставить столбец после"
"Remove column","Удалить столбец"
"Split merged table cells","Разделить объединённые ячейки таблицы"
"Merge table cells","Объединить ячейки таблицы"
"Table row properties","Свойства строки таблицы"
"Table cell properties","Свойства ячейки таблицы"
"Table properties","Свойства таблицы"
"Paste table row before","Вставить строку таблицы до"
"Paste table row after","Вставить строку таблицы после"
"Cut table row","Вырезать строку таблицы"
"Copy table row","Копировать строку таблицы"
"Delete table","Удалить таблицу"
"Row","Строка"
"Column","Столбец"
"Cell","Ячейка"
"The changes you made will be lost if you navigate away from this page.","Сделанные вами изменения будут отменены, если вы уйдёте с этой страницы."
"Toggle fullscreen mode (Alt + Shift + G)","Полноэкранный режим (Alt + Shift + G)"
"Insert / edit embedded media","Вставить/редактировать медиафайл"
"Edit embedded media","Редактировать медиафайл"
"Document properties","Свойства документа"
"Insert predefined template content","Вставить содержимое готового шаблона"
"Visual control characters on/off.","Включить/выключить символы визуального контроля."
"Toggle spellchecker (Alt + Shift + N)","Включить/выключить проверку орфографии (Alt + Shift + N)"
"Spellchecker settings","Настройки проверки орфографии"
"Ignore word","Пропустить слово"
"Ignore all","Пропустить все"
"Languages","Языки"
"Please wait...","Пожалуйста, подождите..."
"Suggestions","Варианты"
"No suggestions","Вариантов нет"
"No misspellings found.","Орфографических ошибок не найдено."
"Learn word","Добавить в словарь"
"Insert Page Break","Вставить разрыв страницы"
"Types","Типы"
"Lower alpha","Строчные латинские буквы"
"Lower greek","Строчные греческие буквы"
"Lower roman","Строчные римские буквы"
"Upper alpha","Заглавные латинские буквы"
"Upper roman","Заглавные римские буквы"
"Circle","Кружок"
"Disc","Точка"
"Square","Квадрат"
"Rich Text Area","Область редактирования"
"Words:","Слов:"
"Styles","Стили"
"Font size","Размер шрифта"
"Font family","Семейство шрифтов"
"Format","Формат"
"Paragraph","Абзац"
"Div","Слой"
"Address","Адрес"
"Preformatted","Отформатированный"
"Heading 1","Заголовок 1"
"Heading 2","Заголовок 2"
"Heading 3","Заголовок 3"
"Heading 4","Заголовок 4"
"Heading 5","Заголовок 5"
"Heading 6","Заголовок 6"
"Blockquote","Цитата"
"Code","Код"
"Code sample","Образец кода"
"Definition term","Термин "
"Definition description","Описание термина"
"Underline","Подчёркнутый"
"Strikethrough (Alt + Shift + D)","Перечёркнутый (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","По левому краю (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","По центру (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","По правому краю (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","По ширине (Alt + Shift + J)"
"Outdent","Убрать отступ"
"Indent","Отступ"
"Undo (Ctrl + Z)","Отменить (Ctrl + Z)"
"Redo (Ctrl + Y)","Повторить (Ctrl + Y)"
"Cleanup messy code","Привести код в порядок"
"Edit HTML Source","Редактировать HTML"
"Subscript","Нижний индекс"
"Superscript","Верхний индекс"
"Insert horizontal ruler","Вставить горизонтальный разделитель"
"Remove formatting","Убрать форматирование"
"Select text color","Выбрать цвет текста"
"Select background color","Выбрать цвет фона"
"Insert custom character","Вставить произвольный символ"
"Toggle guidelines/invisible elements","Ориентиры / невидимые символы"
"Insert/edit anchor","Вставить/редактировать якорь"
"Cut","Вырезать"
"Copy","Копировать"
"Paste","Вставить"
"Image properties","Свойства картинки"
"New document","Новый документ"
"Help","Помощь"
"Path","Путь"
"Are you sure you want to clear all contents?","Вы уверены, что хотите очистить всё содержимое?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Перейти к инструментам &#8212; Alt+Q, перейти к редактору &#8212; Alt+Z, перейти к пути элемента &#8212; Alt+X"
"Accessibility Help","Помощь по специальным возможностям"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Alt + F10 — панель инструментов. Alt + 0 — помощь."
"Toolbar","Панель инструментов"
"About TinyMCE","О TinyMCE"
"About","Детали"
"License","Лицензия"
"Plugins","Плагины"
"Plugin","Плагин"
"Author","Автор"
"Version","Версия"
"Loaded plugins","Загруженные плагины"
"Anchor name","Имя якоря"
"HTML Source Editor","Редактор HTML"
"Word wrap","Перенос по словам"
"Select a color","Выбрать цвет"
"Picker","Выбор цвета"
"Color picker","Выбор цвета"
"Palette","Палитра"
"Palette colors","Цвета палитры"
"Named","Именованные"
"Named colors","Именованные цвета"
"Color:","Цвет:"
"Name:","Название:"
"Select custom character","Выберите произвольный символ"
"Use left and right arrows to navigate.","Используйте для навигации стрелки «влево» и «вправо»."
"Image URL","Адрес (URL)"
"Image description","Описание"
"Image list","Список изображений"
"Border","Рамка"
"Dimensions","Размеры"
"Vertical space","Отступ (V)"
"Horizontal space","Отступ (H)"
"Baseline","По базовой линии"
"Top","Сверху"
"Middle","Посередине"
"Bottom","Снизу"
"Text top","Сверху текста"
"Text bottom","Снизу текста"
"Link URL","Ссылка"
"Target","Цель"
"Open link in the same window","Открывать в текущем окне"
"Open link in a new window","Открывать в новом окне"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Введённый вами адрес похож на e-mail, добавить mailto: в начало?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Введённый вами адрес похож на внешнюю ссылку, добавить http:// в начало?"
"Link list","Список ссылок"
"General Usage","Общие вопросы"
"General","Общие"
"Advanced","Дополнительно"
"File/URL","Файл/URL"
"List","Список"
"Constrain proportions","Сохранять пропорции"
"Type","Тип"
"V-Space","Отступ (V)"
"H-Space","Отступ (H)"
"Auto play","Автовоспроизведение"
"Loop","Зациклить"
"Show menu","Отображать меню"
"Quality","Качество"
"Scale","Масштабировать"
"Align","Расположение"
"Base","Базовый каталог"
"Flashvars","Переменные Flashvars"
"Cache","Кеширование"
"Hidden","Скрыт"
"Controller","Контроллер"
"Kiosk mode","Режим киоска"
"Play every frame","Играть каждый кадр"
"Target cache","Кеширование цели"
"No correction","Без коррекции"
"Enable JavaScript","Разрешить JavaScript"
"Start time","Время старта"
"End time","Время завершения"
"href","Ссылка"
"Choke speed","Уменьшить скорость"
"Volume","Громкость"
"Auto start","Автостарт"
"Enabled","Доступен"
"Fullscreen","На весь экран"
"Invoke URLs","Открывать ссылки (URL)"
"Mute","Без звука"
"Stretch to fit","Растянуть до размеров окна"
"Windowless video","Видео без окна"
"Balance","Баланс"
"Base URL","Базовый URL"
"Captioning id","ID элемента подписи"
"Current marker","Текущий маркер"
"Current position","Текущая позиция"
"Default frame","Кадр по умолчанию"
"Play count","Число показов"
"Rate","Частота"
"UI Mode","Режим интерфейса"
"Flash options","Настройки Flash"
"QuickTime options","Настройки QuickTime"
"Windows media player options","Настройки Windows media player"
"Real media player options","Настройки проигрывателя Real media"
"Shockwave options","Настройки Shockwave"
"Auto goto URL","Автопереход к URL"
"Image status","Статус изображения"
"Maintain aspect","Сохранить пропорции"
"No java","Без java"
"Prefetch","Упреждающее чтение"
"Shuffle","Произвольный порядок"
"Console","Консоль"
"Num loops","Число повторов"
"Controls","Управление"
"Script callbacks","Функции скриптов"
"Stretch style","Стиль растяжения"
"Stretch H-Align","Выравнивание по горизонтали"
"Stretch V-Align","Выравнивание по вертикали"
"Sound","Звук"
"Progress","Индикатор"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Потоковые ресурсы rtsp следует добавлять в поле QT Src под вкладкой «Дополнительно»."
"Top left","Вверху слева"
"Top right","Вверху справа"
"Bottom left","Внизу слева"
"Bottom right","Внизу справа"
"Flash video options","Настройки Flash-видео"
"Scale mode","Режим масштабирования"
"Buffer","Буфер"
"Start image","Начальное изображение"
"Default volume","Громкость по умолчанию"
"Hidden GUI","Скрытый GUI"
"Show scale modes","Показать режимы масштабирования"
"Smooth video","Сглаживать видео"
"JS Callback","Функция JS"
"HTML5 Video Options","Параметры видео HTML5"
"Alternative source 1","Альтернативный источник 1"
"Alternative source 2","Альтернативный источник 2"
"Preload","Предварительная загрузка"
"Poster","Постер"
"Source","Источник"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Показать/скрыть дополнительную панель (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Вставить тег &laquo;Далее&raquo; (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Вставить разрыв страницы (Alt + Shift + P)"
"More...","Далее..."
"Next page...","Следующая страница..."
"Add Media","Добавить медиафайл"
"Add an Image","Добавить изображение"
"Add Video","Добавить видеофайл"
"Add Audio","Добавить аудиофайл"
"Edit Gallery","Редактировать галерею"
"Delete Gallery","Удалить галерею"
"Distraction Free Writing mode (Alt + Shift + W)","Полноэкранный режим (Alt + Shift + W)"
"Edit Image","Редактировать"
"Delete Image","Удалить изображение"
"Advanced Settings","Дополнительно"
"Size","Размер"
"Thumbnail","Миниатюра"
"Medium","Средний"
"Full Size","Полный"
"Current Link","Текущая ссылка"
"Link to Image","Ссылка на изображение"
"Enter a link URL or click above for presets.","Введите ссылку или нажмите одну из кнопок."
"Advanced Image Settings","Дополнительные параметры изображения"
"Width","Ширина"
"Height","Высота"
"Original Size","Исходный размер"
"CSS Class","Класс CSS"
