"New password","Yeni parola"
"%d selected","%d seçildi"
"Drag and drop to reorder images.","Görselleri yeniden sıralamak için sürükle bırak yapın."
"Upload Files","Dosya yükle"
"Upload Images","Görselleri yükle"
"Media Library","Ortam kütüphanesi"
"Insert Media","Ortam ekle"
"Create a new gallery","Yeni galeri oluştur"
"&#8592; Return to library","&#8592; Kütüphaneye geri dön"
"All media items","Tüm medya öğeleri"
"No items found.","Herhangi bir öğe bulunamadı."
"Insert into page","Sayfaya ekle"
"Insert into post","Yazıya ekle"
"Uploaded to this page","Bu sayfaya yüklenmiş"
"Uploaded to this post","Bu yazıya yüklenmiş"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Bu nesneyi kalıcı olarak silmek üzeresiniz.\n Durdurmak için 'İptal', silmek için 'Tamam' tuşuna basın."
"Insert from URL","URL&#8217;den ekle"
"Set Featured Image","Öne çıkarılan görsel"
"Set featured image","Öne çıkarılmış görsel olarak belirle"
"Create Gallery","Galeri oluştur"
"&#8592; Cancel Gallery","&#8592; Galeriyi iptal et"
"Insert gallery","Galeri ekle"
"Update gallery","Galeriyi güncelle"
"Add to gallery","Galeriye ekle"
"Add to Gallery","Galeriye ekle"
"Reverse order","Sıralamayı ters çevir"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Sabit <code>VHOST</code> değeri <strong>geçerliliğini yitirmiştir</strong>. Bunun yerine alt alan adı ayarları için wp-config.php dosyasındaki <code>SUBDOMAIN_INSTALL</code> mantıksal sabitini kullanın. is_subdomain_install() metodunu kullanarak alt alan adı ayarlarının etkinliğini kontrol edin."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>VHOST ve SUBDOMAIN_INSTALL değerleri arasında çakışma söz konusu.</strong> SUBDOMAIN_INSTALL değeri alt alan adı ayarlarınız için baz alınacaktır."
"The requested user does not exist.","Böyle bir kullanıcı bulunmuyor."
"That user does not exist.","Böyle bir kullanıcı mevcut değil."
"<strong>ERROR</strong>: Site URL already taken.","<strong>HATA</strong>: Site adresi daha önce alınmış."
"<strong>ERROR</strong>: problem creating site entry.","<strong>HATA</strong>: site girdisi oluşturulurken hata oluştu."
"Only lowercase letters (a-z) and numbers are allowed.","Sadece küçük harfler (a-z) ve rakamlara izin veriliyor."
"Please enter a username.","Lütfen bir kullanıcı adı girin."
"That username is not allowed.","Bu kullanıcı adı kullanılamaz."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Kayıt olmak için bu e-posta adresini kullanamazsınız. Bu posta servisi, bizim e-postalarımızın bir kısmını engellediği için sorun yaşıyoruz. Lütfen başka bir servisten aldığınız adresi kullanın."
"Username must be at least 4 characters.","Kullanıcı adı en az 4 karakter olmalıdır."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Üzgünüm, kullanıcı adları &#8220;_&#8221; karakterini içeremezler!"
"Sorry, usernames must have letters too!","Üzgünüz, kullanıcı adlarında harf de yer almalı!"
"Please enter a valid email address.","Lütfen geçerli bir e-posta adresi girin."
"Sorry, that email address is not allowed!","Üzgünüz, bu e-posta adresine izin verilmiyor!"
"Sorry, that username already exists!","Üzgünüz, bu kullanıcı adı zaten kullanılıyor!"
"Sorry, that email address is already used!","Üzgünüz, bu e-posta adresi zaten kullanılıyor!"
"That username is currently reserved but may be available in a couple of days.","Bu kullanıcı adı şu an ayırtılmış durumda, fakat birkaç gün içinde müsait olabilir."
"username and email used","kullanılan e-posta ve kullanıcı adı"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Bu e-posta adresi zaten kullanılıyor. Lütfen etkinleştirme postasına bakmak için gelen kutunuzu kontrol edin. Bir şey yapmazsanız, birkaç gün içinde erişilebilir olacak."
"Please enter a site name.","Lütfen bir site adı girin."
"That name is not allowed.","Bu isim kullanılamaz"
"Site name must be at least 4 characters.","Site adı en az 4 karakter olmalıdır."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Üzgünüm, site adları &#8220;_&#8221; karakterini içeremezler!"
"Sorry, you may not use that site name.","Üzgünüm, bu site ismini kullanamazsınız."
"Sorry, site names must have letters too!","Üzgünüm, site adları harfler de içermelidir!"
"Please enter a site title.","Lütfen bir site başlığı girin."
"Sorry, that site already exists!","Üzgünüm, bu site zaten var!"
"Sorry, that site is reserved!","Üzgünüm, bu site özel olarak ayrılmış!"
"That site is currently reserved but may be available in a couple days.","Bu site şu an için ayrılmış durumda ama bir kaç güne kalmaz müsait olur."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Blogunuzu etkinleştirmek için, aşağıdaki bağlantıyı tıklayın:\n\n%s\n\nEtkinleştirdikten sonra, giriş bilgilerinizi içeren bir başka e-posta alacaksınız.\n\nEtkinleştirdikten sonra blogunuzu buradan ziyaret edebilirsiniz:\n\n%s"
"[%s] Activate %s","[%s] Etkinleştir %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Kullanıcınızı etkinleştirmek için, lütfen aşağıdaki bağlantıya tıklayın:\n\n%s\n\nEtkinleştirdikten sonra, giriş bilgilerinizi içeren *başka bir eposta* alacaksınız."
"Invalid activation key.","Geçersiz etkinleştirme anahtarı."
"The user is already active.","Bu kullanıcı zaten aktif."
"The site is already active.","Site daha önce etkinleştirilmiş."
"Could not create user","Kullanıcı oluşturulamadı"
"That username is already activated.","Bu kullanıcı adı zaten etkin."
"Could not create site.","Site oluşturulamıyor."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Yeni Site: %s\nURL: %s\nUzak IP: %s\n\nBu bildirimleri devre dışı bırak: %s"
"New Site Registration: %s","Yeni site kaydı: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Yeni Kullanıcı: %s\nUzak IP: %s\n\nBu bildirimleri devre dışı bırak: %s"
"New User Registration: %s","Yeni Kullanıcı Kaydı: %s"
"Already Installed","Zaten yüklenmiş"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Görünün o ki WordPress&#8217i çoktan yüklemişsiniz. Tekrar yüklemek için lütfen ilk önce eski veritabanı tablolarınızı temizleyin."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Sevgili kullanıcı,\n\nYeni siteniz SITE_NAME başarıyla oluşturuldu:\nBLOG_URL\n\nYönetici hesabına aşağıdaki bilgiler ile girebilirsiniz:\nKullanıcı adı: USERNAME\nParola: PASSWORD\nBuradan giriş yapın: BLOG_URLwp-login.php\n\nYeni sitenizden keyif almanız dileğiyle. Teşekkürler!\n\n--SITE_NAME ekibi"
"New %s Site: %s","Yeni %s site: %s"
"New %s User: %s","Yeni %s Kullanıcı: %s"
"This file is too big. Files must be less than %d KB in size.","Dosya çok büyük. Dosyalar %d KB boyutundan daha küçük olmalıdırlar."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Sizi bu siteye eklerken bir hata oluştu. <a href=\"%s\">Anasayfaya</a> geri dönüş."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Bu siteye eklendiniz. Lütfen <a href=\"%s\">ana sayfayı</a> ziyaret edin ya da <a href=\"%s\">giriş</a> sayfasında kullanıcı adı ve parolanıız girin."
"WordPress &rsaquo; Success","WordPress &rsaquo; Başarılı"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Sayın Üyemiz,\n\nYeni hesabınız oluşturuldu.\n\nAşağıdaki bilgileri kullanarak giriş yapabilirsiniz:\nKullanıcı Adı: USERNAME\nParola: PASSWORD\nLOGINLINK\n\nTeşekkür ederiz!\n\n--Ekip @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Bu kullanıcı hesabını silmeyi seçti ve artık içerik erişilemez durumda."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Bu site henüz etkinleştirilmemiş. Eğer sitenizi etkinleştirme ile ilgili sorun yaşıyorsanız, lütfen <a href=\"mailto:%s\">%s</a> ile iletişim kurun."
"This site has been archived or suspended.","Bu site arşivlenmiş ya da askıya alınmış."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Böyle bir site yok. Lütfen <a href=\"%s\">%s</a> adresini deneyin."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Bu sunucu için site tanımlanmamış. Eğer bu sitenin sahibiyseniz, lütfen <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">WordPress ağları bakım ve onarım</a> belgesini inceleyin."
"If your site does not display, please contact the owner of this network.","Eğer siteniz görüntülenemiyorsa lütfen bu ağın sahibi ile iletişim kurun."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Eğer bu ağın yöneticisi iseniz lütfen MySQL sunucusunun çalışır durumda olduğundan ve tüm tabloların hatasız olduğundan emin olun."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Veritabanı tabloları eksik.</strong> MySQL çalışmıyor, WordPress düzgün yüklenmemiş ya da birileri <code>%s</code> öğelerini silmiş olabilir. Hemen veritabanınızı kontrol etmelisiniz."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Site bulunamıyor <code>%s</strong>. <code>%s</code> içinde yer alan <code>%s</code> tablosunda arandı. Doğru mudur?"
"What do I do now?","Sırada ne var?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","<a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Hata bildirimi</a> sayfasını okuyun. Bazı bilgiler neyin ters gittiğini anlamanızda yardımcı olabilir."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Eğer bu mesaja takılıp kaldıysanız, o zaman veritabanında aşağıdaki tablolar var mı kontrol edin:"
"Multisite only works without the port number in the URL.","Çoklu site adreste port numarası olmadığında çalışır."
"Database tables are missing.","Veritabanı tabloları eksik."
"No site by that name on this system.","Bu sistem üzerinde böyle bir isme sahip site yok."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Menü ismi <strong>%s</strong> başka bir menü ismiyle çakışıyor. Lütfen başka bir isim seçiniz."
"The given object ID is not that of a menu item.","Verilen nesne no bir menü elemanı değil."
"Custom","Özel"
"%s is a protected WP option and may not be modified","%s korumalı bir WP tercihidir ve üzerinde değişiklik yapılmamalıdır"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>HATA</strong>: Geçersiz kullanıcı adı ya da hatalı parola."
"You should specify a nonce action to be verified by using the first parameter.","Doğrulama için ilk parametreyi kullanarak bir nonce aksiyonu belirtmelisiniz."
"New comment on your post \"%s\"","\"%s\" yazınızda yeni yorum"
"Author : %s (IP: %s , %s)","Yazar : %s (IP: %s , %s)"
"E-mail : %s","E-posta : %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois : http://whois.arin.net/rest/ip/%s "
"Comment:","Yorum:"
"You can see all comments on this post here:","Bu yazı için yapılmış tüm yorumları burada görebilirsiniz:"
"[%s] Comment: \"%s\"","[%s] Yorum: \"%s\""
"New trackback on your post \"%s\"","\"%s\" yazınızda yeni geri izleme"
"Website: %s (IP: %s , %s)","İnternet sitesi: %s (IP: %s , %s)"
"Excerpt:","Alıntı:"
"You can see all trackbacks on this post here:","Bu yazı için tüm geri izlemeleri burada görebilirsiniz: "
"[%s] Trackback: \"%s\"","[%s] Geri İzleme: \"%s\""
"New pingback on your post \"%s\"","\"%s\" yazınızda yeni geri bildirim"
"You can see all pingbacks on this post here:","Bu yazı için tüm geri izlemeleri burada görebilirsiniz: "
"Permalink: %s","Kalıcı bağlantı: %s"
"Trash it: %s","Çöpe At: %s"
"Delete it: %s","Sil: %s"
"Spam it: %s","İstenmeyen: %s"
"A new trackback on the post \"%s\" is waiting for your approval","\"%s\" yazısında yeni bir geri izleme onayınızı bekliyor"
"Website : %s (IP: %s , %s)","İnternet sitesi: %s (IP: %s , %s)"
"Trackback excerpt:","Özet geri izleme:"
"A new pingback on the post \"%s\" is waiting for your approval","\"%s\" yazısında yeni bir geri bildirim onayınızı bekliyor."
"Pingback excerpt:","Özet Pingback:"
"A new comment on the post \"%s\" is waiting for your approval","\"%s\" yazısında yeni bir yorum onayınızı bekliyor."
"Approve it: %s","Onayla: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Şu an için %s tane yorum onay için bekliyor. Lütfen denetleme panosunu ziyaret edin:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Şu an için %s tane yorum onay için bekliyor. Lütfen denetleme panosunu ziyaret edin:"
"[%s] Please moderate: \"%s\"","[%s] Lütfen denetleyin: \"%s\""
"Password Lost and Changed for user: %s","Şu kullanıcı için kayıp parola yenisiyle değiştirildi: %s"
"[%s] Password Lost/Changed","[%s] Parola Kayıp/Değiştirildi"
"New user registration on your site %s:","%s siteniz için yeni kullanıcı kaydı:"
"Username: %s","Kullanıcı adı: %s"
"E-mail: %s","E-posta: %s"
"[%s] New User Registration","[%s] Yeni Kullanıcı Kaydı"
"Password: %s","Parola: %s"
"[%s] Your username and password","[%s] Kullanıcı adı ve parolanız"
"Only a static class method or function can be used in an uninstall hook.","Bir kaldırma kancasında sadece statik sınıf metodu ya da fonksiyonu kullanılabilir."
"Protected: %s","Korumalı: %s"
"Private: %s","Özel: %s"
"(more...)","(daha fazla...)"
"There is no excerpt because this is a protected post.","Burada alıntı yok çünkü bu yazı korumalı."
"Pages:","Sayfalar:"
"Next page","Sonraki sayfa"
"Previous page","Önceki sayfa"
"Home","Başlangıç"
"This post is password protected. To view it please enter your password below:","Bu yazı parola korumalı. Yazıyı görmek için parolanızı girin:"
"Submit","Gönder"
"j F, Y @ G:i","d F Y @ H:i"
"%s [Autosave]","%s [Otomatik kaydet]"
"%s [Current Revision]","%s [Mevcut Sürüm]"
"%s by %s","%s, %s tarafından"
"Restore","Eski Haline Getir"
"Compare Revisions","Sürümleri Karşılaştır"
"Old","Eski"
"New","Yeni"
"Date Created","Oluşturma tarihi"
"Actions","İşlemler"
"Post","Yazı"
"Page","Sayfa"
"Media","Ortam dosyası"
"Add New","Yeni ekle"
"Edit Media","Ortamı Düzenle"
"View Attachment Page","Ek sayfasını görüntüle"
"Revisions","Sürümler"
"Revision","Sürüm"
"Navigation Menu Items","Dolaşım menüsü elemanları"
"Navigation Menu Item","Dolaşım menüsü elemanı"
"Published","Yayınlanmış"
"Published <span class=\"count\">(%s)</span>","Yayınlanmış <span class=\"count\">(%s)</span>"
"Scheduled","Zamanlanmış"
"Scheduled <span class=\"count\">(%s)</span>","Zamanlanmış <span class=\"count\">(%s)</span>"
"Draft","Taslak"
"Draft <span class=\"count\">(%s)</span>","Taslak <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Taslak <span class=\"count\">(%s)</span>"
"Pending","Bekleyen"
"Pending <span class=\"count\">(%s)</span>","Kontrol bekleyen <span class=\"count\">(%s)</span>"
"Private","Özel"
"Private <span class=\"count\">(%s)</span>","Özel <span class=\"count\">(%s)</span>"
"Trash","Çöp kutusu"
"Trash <span class=\"count\">(%s)</span>","Çöp <span class=\"count\">(%s)</span>"
"Invalid post","Geçersiz yazı"
"Pending Review","İnceleme Bekliyor"
"Post types cannot exceed 20 characters in length","Yazı tipleri 20 karakter uzunluğunu geçemez"
"Posts","Yazılar"
"Pages","Sayfalar"
"Add New Post","Yeni Yazı Ekle"
"Add New Page","Yeni Sayfa Ekle"
"Edit Post","Yazıyı Düzenle"
"Edit Page","Sayfayı Düzenle"
"New Page","Yeni Sayfa"
"View Page","Sayfayı Görüntüle"
"Search Posts","Yazılarda Ara"
"Search Pages","Sayfalarda Ara"
"No posts found.","Hiç yazı bulunamadı."
"No pages found.","Sayfa bulunamadı."
"No posts found in Trash.","Çöp kutusu içinde bulunan yazı yok. "
"No pages found in Trash.","Çöp kutusu içinde bulunan sayfa yok."
"Parent Page:","Ebeveyn sayfa:"
"All Posts","Tüm yazılar"
"All Pages","Tüm sayfalar"
"Images","Resimler"
"Manage Images","Görselleri yönet"
"Image <span class=\"count\">(%s)</span>","Görsel <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Görsel <span class=\"count\">(%s)</span>"
"Audio","Ses"
"Manage Audio","Ses dosyalarını yönet"
"Audio <span class=\"count\">(%s)</span>","Ses dosyası <span class=\"count\">(%s)</span>"
"Manage Video","Videoları yönet"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Tam sayı olarak yazı sayısını parametre geçmek artık kullanılmıyor. Bunun yerine parametre dizisi gönderin."
"Content, title, and excerpt are empty.","İçerik, başlık ve özet boş."
"Whoops, the provided date is invalid.","Belirtilen tarih geçersiz."
"Could not update post in the database","Veritabanında yazı güncellenemiyor"
"Could not insert post into the database","Yazı veritabanına eklenemiyor"
"The page template is invalid.","Sayfa şablonu geçerli değil."
"Content","İçerik"
"Excerpt","Özet"
"Cannot create a revision of a revision","Sürümün bir sürümü oluşturulamaz"
"You do not have permission to preview drafts.","Taslakların önizlemesini yapmak için izniniz yok."
"Standard","Standart"
"Aside","Kenar"
"Chat","Sohbet"
"Gallery","Galeri"
"Link","Bağlantı"
"Image","Resim"
"Status","Durum"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Koşula bağlı sorgu etiketleri sorgu çalışmadan önce çalışmazlar. Öncesinde her zaman yanlış değeri döndürürler."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" artık kullanılmıyor. Yerine \"ignore_sticky_posts\" kullanın."
"This file no longer needs to be included.","Bu dosyanın artık dahil edilmesi gerekmiyor."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Seçili öğeleri kalıcı olarak silmek üzeresiniz.\n İptal etmek için 'Vazgeç', silmek için 'Tamam' düğmesine basın."
"Enter a word to look up:","Aramak için bir kelime girin:"
"Dictionary lookup","Sözlükten bul"
"lookup","bul"
"Close all open tags","Tüm açık etiketleri kapat"
"close tags","etiketleri kapat"
"Enter the URL","URL'yi girin"
"Enter the URL of the image","Resmin URL'sini girin"
"Enter a description of the image","Resim için bir açıklama girin"
"fullscreen","tamekran"
"Toggle fullscreen mode","Tam ekran modu"
"text direction","metin yönü"
"Toggle Editor Text Direction","Yazı editörünün metin yönünü değiştir"
"You do not have permission to do that.","Bunu yapmak için izniniz yok."
"An unidentified error has occurred.","Tanımlanamayan bir hata oluştu."
"Dismiss","Gizle"
"Next &gt;","Sonraki &gt;"
"&lt; Prev","&lt; Önceki"
"of",","
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Bu özellik dahili çerçevelere ihtiyaç duyat. Ya tarayıcınızda dahili çerçeveler özelliği kapatılmış ya da tarayıcınızın desteği yok."
"not configured","ayarlanmamış"
"You have attempted to queue too many files.","Sıraya çok fazla sayıda dosya koymaya çalıştınız."
"%s exceeds the maximum upload size for this site.","%s bu site için tanımlı en fazla dosya boyutunu geçiyor."
"This file is empty. Please try another.","Bu dosya boş. Lütfen başka bir tane deneyin."
"This file type is not allowed. Please try another.","Bu dosya türüne izin verilmiyor. Lütfen başka bir tane deneyin."
"This file is not an image. Please try another.","Bu dosya bir görsel değil. Lütfen başka bir dosya deneyin."
"Memory exceeded. Please try another smaller file.","Bellek sınırı aşıldı. Lütfen daha küçük bir dosya deneyin."
"This is larger than the maximum size. Please try another.","Bu dosyanın boyutu, izin verilen sınırın üstünde. Lütfen başka bir dosya deneyin."
"An error occurred in the upload. Please try again later.","Yükleme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"There was a configuration error. Please contact the server administrator.","Bir yapılandırma hatası söz konusu. Lütfen sunucu yöneticinizle irtibat kurun."
"You may only upload 1 file.","Sadece 1 dosya yükleyebilirsiniz."
"HTTP error.","HTTP hatası."
"Upload failed.","Yükleme başarısız."
"Please try uploading this file with the %sbrowser uploader%s.","Lütfen dosyaları %starayıcı yükleyicisini%s kullanın."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s çoklu yükleyiciyi kullanırken izin verilen en yüksek dosya boyutunu geçiyor."
"IO error.","Dosya okuma/yazma hatası."
"Security error.","Güvenlik hatası."
"File canceled.","Dosya iptal edildi."
"Upload stopped.","Yükleme durdu."
"Crunching&hellip;","İşleniyor&hellip;"
"moved to the trash.","Çöp kutusuna taşındı."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; yüklemesi başarısız."
"Strength indicator","Güç göstergesi"
"Very weak","Çok zayıf"
"Weak","Zayıf"
"Strong","Güçlü"
"Mismatch","Uyuşmayan"
"(no title)","(başlıksız)"
"No matches found.","Eşleşen kayıt bulunamadı."
"Save &amp; Activate","Kaydet ve etkinleştir"
"Save &amp; Publish","Kaydet ve yayınla"
"Saved","Kaydedildi"
"Add","Ekle"
"Separate multiple categories with commas.","Birden çok kategoriyi virgülle ayırın."
"Approve and Reply","Onayla ve cevapla"
"OK","Tamam"
"Publish on:","Yayınlanacağı tarih:"
"Schedule for:","Zamanla:"
"Published on:","Yayın tarihi:"
"Show more comments","Daha fazla yorum göster"
"No more comments found.","Daha fazla yorum bulunamadı."
"Publish","Yayınla"
"Schedule","Zamanla"
"Save as Pending","Bekliyor olarak Kaydet"
"Save Draft","Taslak olarak Kaydet"
"Public","Herkese Açık"
"Public, Sticky","Herkese Açık, Sabit"
"Password Protected","Parola Korumalı"
"Privately Published","Özel olarak yayınlandı"
"Submitted on:","Gönderilme tarihi:"
"Error while saving the changes.","Değişiklikleri kaydederken hata oluştu."
"Remove From Bulk Edit","Toplu Düzenlemeden Çıkar"
"Plugin Information:","Eklenti Bilgisi:"
"Are you sure you want to install this plugin?","Bu eklentiyi yüklemek istediğinizden emin misiniz?"
"Select Color","Renk seç"
"Current Color","Şu anki renk"
"Could not load the preview image. Please reload the page and try again.","Görsel önizlemesi yüklenemiyor. Lütfen sayfayı yeniden yükleyip tekrar deneyin."
"Use as featured image","Öne çıkarılmış görsel olarak kullan"
"Saving...","Kaydediyor..."
"Could not set that as the thumbnail image. Try a different attachment.","İlgili dosya küçük resim olarak atanamadı. Başka bir dosya deneyin."
"Done","Bitti"
"No results found.","Hiçbir sonuç bulunamadı."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Bu menüyü kalıcı olarak silmek üzeresiniz.\n İptal etmek için 'Vazgeç', silmek için 'Tamam' düğmesine basın."
"Saving Draft&#8230;","Taslak Kaydediliyor&#8230;"
"Navigation Menus","Dolaşım menüleri"
"Navigation Menu","Dolaşım menüsü"
"Link Categories","Bağlantı Kategorileri"
"Link Category","Bağlantı kategorisi"
"Search Link Categories","Bağlantı kategorilerinde ara"
"All Link Categories","Tüm bağlantı kategorileri"
"Edit Link Category","Bağlantı Kategorisini Düzenle"
"Update Link Category","Bağlantı kategorisi ismini güncelle"
"Add New Link Category","Yeni bağlantı kategorisi ekle"
"New Link Category Name","Yeni bağlantı kategorisi ismi"
"Taxonomies cannot exceed 32 characters in length","Etiketler 32 karakterden uzun olamaz"
"Tags","Etiketler"
"Categories","Kategoriler"
"Tag","Etiket"
"Category","Kategori"
"Search Tags","Etiketlerde Ara"
"Search Categories","Kategorilerde Ara"
"Popular Tags","Popüler Etiketler"
"All Tags","Tüm etiketler"
"All Categories","Tüm Kategoriler"
"Parent Category","Ebeveyn kategori"
"Parent Category:","Ebeveyn kategori:"
"Edit Tag","Etiketi Düzenle"
"Edit Category","Kategoriyi Düzenle"
"View Tag","Etiketi görüntüle"
"View Category","Kategoriyi görüntüle"
"Update Tag","Etiketi Güncelle"
"Update Category","Kategoriyi Güncelle"
"Add New Tag","Yeni etiket ekle"
"Add New Category","Yeni Kategori Ekle"
"New Tag Name","Yeni etiket ismi"
"New Category Name","Yeni kategori ismi"
"Separate tags with commas","Etiketleri virgül ile ayırın"
"Add or remove tags","Etiket ekle ya da kaldır"
"Choose from the most used tags","En çok kullanılan etiketler arasından seç"
"Empty Term","Boş Terim"
"A name is required for this term","Bu terim için bir isim gerekli"
"A term with the name provided already exists with this parent.","Belirtilen terim için isim kökte zaten var."
"Could not insert term into the database","Terim veritabanına eklenemiyor"
"A term with the name provided already exists.","Belirtilen isimde bir terim zaten var."
"Could not insert term relationship into the database","Terim ilişkisi veritabanına eklenemedi"
"The slug &#8220;%s&#8221; is already in use by another term","Kısa isim &#8220;%s&#8221; şu an başka bir terim tarafından kullanılıyor"
"Invalid object ID","Geçersiz nesne numarası"
"Theme without %s","%s olmayan tema"
"Please include a %s template in your theme.","Lütfen temanıza %s şablonu ekleyin."
"%s - Comments on %s","%s - %s için yorumlar"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","Bu yazıya yapılan yorumlar için <abbr title=\"Really Simple Syndication\">RSS</abbr> beslemeleri."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","Bu yazıyı geri izleme için gerekli <abbr title=\"Universal Resource Locator\">URL</abbr>: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","%s tarafından &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Henüz yorum yapılmamış."
"Leave a comment","Yorum yapın"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Satırlar ve paragraflar otomatik kesilir, e-posta adresi gösterilmez, <acronym title=\"Hypertext Markup Language\">HTML</acronym> destekleniyor: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","<a href=\"%s\">%s</a> olarak giriş yapılmış. <a href=\"%s\" title=\"Bu hesaptan çıkış yap\">Çıkış &raquo;</a>"
"E-mail","E-posta"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Evrensel Kaynak Konumlayıcısı\">URL</abbr>"
"Your Comment","Yorumunuz"
"Say It!","Söyle!"
"Sorry, the comment form is closed at this time.","Üzgünüz, yorum formu şimdilik kapalı."
"Close this window.","Bu pencereyi kapat."
"Sorry, no posts matched your criteria.","Üzgünüz, kriterlerinize uygun yazı yok."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","<a href=\"%s\" title=\"Sanat eseri anlamsal kişisel yayın platformu WordPress ile güçlendirilmiştir.\"><strong>WordPress</strong></a> ile güçlendirilmiştir."
"This post is password protected. Enter the password to view comments.","Bu yazı parola korumalı. Yorumları görmek için parolayı girin."
"One Response to %s","%s için %s cevap"
"%s Responses to %s","%s için %s cevap"
"Comments are closed.","Yorumlar kapalı."
"Logged in as <a href=\"%s\">%s</a>.","<a href=\"%s\">%s</a> olarak giriş yapılmış."
"Log out of this account","Bu hesaptan çıkış yap."
"Log out &raquo;","Çıkış &raquo;"
"(required)","(gerekli)"
