"New password","Nuova password"
"Username must be at least 4 characters.","Il nome utente deve essere di almeno 4 caratteri"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Il nome utente non può contenere il carattere &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Il nome utente deve avere anche delle lettere!"
"Please enter a valid email address.","Immettere un indirizzo email valido."
"Sorry, that email address is not allowed!","Questo indirizzo email non è consentito!"
"Sorry, that username already exists!","Questo nome utente esiste già!"
"Sorry, that email address is already used!","Questo indirizzo email è già utilizato!"
"That username is currently reserved but may be available in a couple of days.","Il nome utente è attualmente riservato ma potrebbe rendersi disponibile in un paio di giorni."
"username and email used","nome utente e email utilizzati"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Questo indirizzo email è stato già utilizzato. Per favore verifica se nella tua posta è arrivata una email di attivazione. Se non fai nulla, l'indirizzo diverrà nuovamente disponibile in un paio di giorni."
"Please enter a site name.","Per favore inserisci il nome del sito."
"That name is not allowed.","Questo nome non è permesso."
"Site name must be at least 4 characters.","Il nome del sito deve essere di almeno 4 caratteri."
"Sorry, site names may not contain the character &#8220;_&#8221;!","I nomi dei siti non possono contenre il carattere &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Non è possibile usare questo nome per il sito."
"Sorry, site names must have letters too!","I nomi dei siti devono avere anche delle lettere!"
"Please enter a site title.","Per favore inserisci il titolo del sito."
"Sorry, that site already exists!","Questo sito esiste già!"
"Sorry, that site is reserved!","Questo sito è riservato!"
"That site is currently reserved but may be available in a couple days.","Questo sito è attualmente riservato ma potrebbe essere disponibile in un paio di giorni."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Per attivare il proprio blog, fare click sul seguente link:\n\n%s\n\nDopo  l&#8217;attivazione, si riceverà *un&#8217;altra email* con i dati di login.\n\nDopo  l&#8217;attivazione, sarà possibile visitare il proprio sito qui:\n\n%s"
"[%s] Activate %s","[%s] Attivato %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Per attivare il tuo utente, fai click sul link seguente:\n\n%s\n\nDopo l'attivazione, riceverai un altra email con i dettagli per il login."
"Invalid activation key.","Chiave di attivazione non valida."
"The user is already active.","Questo utente è già attivo."
"The site is already active.","Il sito è già attivo."
"Could not create user","Impossibile creare l'utente"
"That username is already activated.","Il nome utente è già stato attivato."
"Could not create site.","Impossibile creare il sito."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuovo sito: %s\nURL: %s\nIndirizzo IP: %s\n\nDisabilita queste notifiche: %s"
"New Site Registration: %s","Registrazione nuovo sito: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuovo utente: %s\nIndirizzo IP: %s\n\nDisabilita queste notifiche: %s"
"New User Registration: %s","Registrazione nuovo utente: %s"
"Already Installed","Già installato"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Sembra che WordPress sia già installato. Per reinstallarlo bisogna prima cancellare le tabelle dal database."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Gentile utente,\n\nIl nuovo sito SITE_NAME è stato correttamente creato in:\nBLOG_URL\n\nPuoi effettuare il login all'account di amministrazione con le seguenti informazioni:\nNome utente: USERNAME\nPassword: PASSWORD\nEffettua il login qui: BLOG_URLwp-login.php\n\nSperiamo il nuovo sito sia di tuo gradimento. Grazie!\n\n--Il Team @ SITE_NAME"
"New %s Site: %s","Nuovo %s sito: %s"
"New %s User: %s","Nuovo %s Utente: %s"
"This file is too big. Files must be less than %d KB in size.","Il file è troppo grande. I file devono avere una dimensione inferiore a %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Si è verificato un errore nell'aggiunta del proprio sito. Tornare alla <a href=\"%s\">homepage</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Sei stato aggiunto a questo sito. Per favore visita <a href=\"%s\">l'homepage </a> o <a href=\"%s\"> effettua il login </a> utilizzando il tuo nome utente e la tua password."
"WordPress &rsaquo; Success","WordPress &rsaquo; Successo"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Gentile utente,\n\nIl nuovo account è stato attivato.\n\nE' possibile effettuare il login con i seguenti dati:\nNome utente: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nGrazie!\n\n--Il Team di SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Questo utente ha scelto di cancellare il proprio account ed il contenuto non è più disponibile."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Il sito non è stato ancora attivato. Se si hanno dei problemi nell&#8217;attivazione del sito contattare <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Questo blog è stato archiviato o sospeso."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Questo sito  non esiste. Provare <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Nessun sito definito per questo host. Se si è i proprietari di questo sito, per ottenere aiuto, verificare <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging di un network WordPress</a> (in inglese)"
"If your site does not display, please contact the owner of this network.","Se il proprio sito non si visualizza contattare il proprietario di questo network."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Se sei il proprietario di questo network verifica che MySQL sia in esecuzione e che non ci siano errori nelle tabelle del database."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Tabelle del database mancanti.</strong> Ciò significa che MySQL non è in esecuzione, WordPress non è stato installato correttamente oppure qualcuno ha cancellato <code>%s</code>. Occorre assolutamente controllare il database."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Impossibile trovare il sito <code>%s</code>.</strong> Si è cercata la tabella <code>%s</code> nel database <code>%s</code>. &Egrave; corretto?"
"What do I do now?","Cosa fare adesso?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Si veda la pagina <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a>. Alcune delle linee guida lì presenti potrebbero aiutare a capire cosa è andato storto."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Se si continua a visualizzare questo messaggio, verificare che il database contenga le seguenti tabelle:"
"Multisite only works without the port number in the URL.","La modalità multisito funziano solo senza il numero di porta nella URL."
"Database tables are missing.","Tabelle del database mancanti."
"No site by that name on this system.","Nessun sito con questo nome su questo sistema."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Un menu di nome <strong>%s</strong> è in conflitto con un altro nome dimenu. Provare un nome differente."
"The given object ID is not that of a menu item.","L'ID dell'oggetto indicato non è quello di un elemento del menu."
"Custom","Personalizzato"
"%s is a protected WP option and may not be modified","%s è un opzione protetta di WP e non può essere modificata"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ERRORE</strong>: nome utente non valido o password errata."
"You should specify a nonce action to be verified by using the first parameter.","È necessario specificare una azione nonce da verificare utilizzando il primo parametro."
"New comment on your post \"%s\"","Nuovo commento all'articolo \"%s\""
"Author : %s (IP: %s , %s)","Autore: %s (IP: %s , %s)"
"E-mail : %s","E-mail: %s"
"Comment:","Commento:"
"You can see all comments on this post here:","È possibile vedere tutti i commenti a questo articolo qui:"
"[%s] Comment: \"%s\"","[%s] Commento: \"%s\""
"New trackback on your post \"%s\"","Nuovo trackback all&#8217;articolo \"%s\""
"Website: %s (IP: %s , %s)","Sito web: %s (IP: %s , %s)"
"Excerpt:","Estratto:"
"You can see all trackbacks on this post here:","&Egrave; possibile visualizzare tutti i trackback a questo articolo qui: "
"New pingback on your post \"%s\"","Nuovo pingback all&#8217;articolo \"%s\""
"You can see all pingbacks on this post here:","&Egrave; possibile visualizzare tutti i pingback a questo articolo qui: "
"Trash it: %s","Cestinare: %s"
"Delete it: %s","Eliminare: %s"
"Spam it: %s","Marca come spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Un nuovo trackback all&#8217;articolo\"%s\" è in attesa di approvazione"
"Website : %s (IP: %s , %s)","Sito web: %s (IP: %s , %s)"
"Trackback excerpt:","Estratto del trackback:"
"A new pingback on the post \"%s\" is waiting for your approval","Un nuovo pingback all&#8217;articolo \"%s\" è in attesa di approvazione"
"Pingback excerpt:","Riassunto pingback:"
"A new comment on the post \"%s\" is waiting for your approval","Un nuovo commento all'articolo \"%s\" è in attesa di approvazione"
"Approve it: %s","Approvalo: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Attualmente è presente %s commento in attesa di approvazione. Visitare il pannello di moderazione:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Attualmente sono presenti %s commenti in attesa di approvazione. Visitare il pannello di moderazione:"
"[%s] Please moderate: \"%s\"","[%s] Applica la moderazione: \"%s\""
"Password Lost and Changed for user: %s","È stata reimpostata la password per l'utente: %s"
"[%s] Password Lost/Changed","[%s] Password persa/reimpostata"
"New user registration on your site %s:","Nuovo utente registrato sul sito %s:"
"Username: %s","Nome utente: %s"
"[%s] New User Registration","[%s] Registrazione di un nuovo utente"
"[%s] Your username and password","[%s] Il proprio nome utente e password"
"Only a static class method or function can be used in an uninstall hook.","Per disinstallare un hook occorre usare solo un metodo di classe statico o una funzione."
"Protected: %s","Protetto: %s"
"Private: %s","Privato: %s"
"(more...)","(continua...)"
"There is no excerpt because this is a protected post.","Non è disponibile alcun riassunto in quanto si tratta di un articolo protetto."
"Pages:","Pagine:"
"Next page","Pagina successiva"
"Previous page","Pagina precedente"
"This post is password protected. To view it please enter your password below:","Questo post è protetto da password. Per leggerlo inserire la password qui sotto:"
"Submit","Invia"
"j F, Y @ G:i","j F Y @ H:i"
"%s [Autosave]","%s [Salvataggio automatico]"
"%s [Current Revision]","%s [Revisione corrente]"
"%s by %s","%s di %s"
"Restore","Ripristina"
"Compare Revisions","Compara le revisioni"
"Old","Vecchio"
"New","Nuovo"
"Date Created","Data creazione"
"Actions","Azioni"
"Post","Articolo"
"Page","Pagina"
"Media","Nuovo media"
"Add New","Aggiungi nuovo"
"Edit Media","Modifica media"
"View Attachment Page","Vedi allegato pagina"
"Revisions","Revisioni"
"Revision","Revisione"
"Navigation Menu Items","Elementi del menu di navigazione"
"Navigation Menu Item","Elemento del menu di navigazione"
"Published","Pubblicato"
"Published <span class=\"count\">(%s)</span>","Pubblicati <span class=\"count\">(%s)</span>"
"Scheduled","Programmato"
"Scheduled <span class=\"count\">(%s)</span>","Programmati <span class=\"count\">(%s)</span>"
"Draft","Bozza"
"Draft <span class=\"count\">(%s)</span>","Bozza <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Bozze <span class=\"count\">(%s)</span>"
"Pending","In sospeso"
"Pending <span class=\"count\">(%s)</span>","In sospeso <span class=\"count\">(%s)</span>"
"Private","Privato"
"Private <span class=\"count\">(%s)</span>","Privati <span class=\"count\">(%s)</span>"
"Trash","Cestina"
"Trash <span class=\"count\">(%s)</span>","Cestinati <span class=\"count\">(%s)</span>"
"Invalid post","Articolo non valido"
"Pending Review","In attesa di revisione"
"Post types cannot exceed 20 characters in length","I tipi di articolo non possono superare i 20 caratteri di lunghezza"
"Posts","Articoli"
"Pages","Pagine"
"Add New Post","Aggiungi nuovo articolo"
"Add New Page","Aggiungi nuova pagina"
"Edit Post","Modifica articolo"
"Edit Page","Modifica pagina"
"New Page","Nuova pagina"
"View Page","Visualizza pagina"
"Search Posts","Cerca articoli"
"Search Pages","Cerca pagine"
"No posts found.","Nessun articolo trovato."
"No pages found.","Nessun pagina trovata."
"No posts found in Trash.","Nessun articolo trovato nel cestino."
"No pages found in Trash.","Nessuna pagina presente nel cestino."
"Parent Page:","Pagina madre:"
"All Posts","Tutti gli articoli"
"All Pages","Tutte le pagine"
"Images","Immagini"
"Manage Images","Gestione immagini"
"Image <span class=\"count\">(%s)</span>","Immagine <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Immagini <span class=\"count\">(%s)</span>"
"Manage Audio","Gestione audio"
"Manage Video","Gestione video"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Passare un numero intero di articoli è deprecato. Passare invece un array di argomenti."
"Content, title, and excerpt are empty.","Contenuto, titolo e riassunto sono vuoti."
"Whoops, the provided date is invalid.","Ops, la data inserita non è valida."
"Could not update post in the database","Impossibile aggiornare l'articolo nel database"
"Could not insert post into the database","Impossibile inserire l'articolo nel database"
"The page template is invalid.","Il template di pagina non è valido."
"Content","Contenuto"
"Excerpt","Riassunto"
"Cannot create a revision of a revision","Impossibile creare una revisione di una revisione"
"You do not have permission to preview drafts.","Non si dispone del permesso di visualizzare le bozze."
"Aside","Digressioni"
"Gallery","Galleria"
"Image","Immagine"
"Status","Stato"
"Conditional query tags do not work before the query is run. Before then, they always return false.","I tag condizionali di una query non funzionano prima che la query sia stata eseguita. Prima dell'esecuzione restituiscono sempre il valore False."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" è deprecato. Utilizzare al suo posto \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Il file non ha più la necessità di venire incluso"
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Si stanno per eliminare definitivamente gli elementi selezionati.\n 'Annulla' per interrompere, 'OK' per eliminare."
"Enter a word to look up:","Inserisci una parola da cercare:"
"Dictionary lookup","Ricerca nel dizionario"
"lookup","ricerca"
"Close all open tags","Chiudi tutti i tag aperti"
"close tags","chiudi tag"
"Enter the URL","Inserisci l'URL"
"Enter the URL of the image","Inserisci l'URL dell'immagine"
"Enter a description of the image","Inserisci una descrizione per l'immagine"
"fullscreen","schermo intero"
"Toggle fullscreen mode","Attiva/disattiva schermo intero"
"text direction","direzione del testo"
"Toggle Editor Text Direction","Inverti direzione del testo dell'editor"
"You do not have permission to do that.","Non si dispone del permesso per fare questo."
"An unidentified error has occurred.","Si è verificato un errore non identificato."
"Dismiss","Rimuovi"
"Next &gt;","Succ. &raquo;"
"&lt; Prev","&laquo; Prec."
"of","di"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Questa funzionalità richiede frame in linea. Si hanno i frame disabilitati o il browser non li supporta."
"not configured","Non configurato"
"You have attempted to queue too many files.","Si è tentato di accodare troppi file."
"%s exceeds the maximum upload size for this site.","%s supera la dimensione massima di caricamento per questo sito."
"This file is empty. Please try another.","Questo file è vuoto. Provare con un altro file."
"This file type is not allowed. Please try another.","Questo tipo di file non è permesso. Provare con un altro file."
"This file is not an image. Please try another.","Questo file non è un'immagine. Prova con un file diverso."
"Memory exceeded. Please try another smaller file.","Memoria esaurita. Prova con un file più piccolo."
"This is larger than the maximum size. Please try another.","Questo file è più grande della dimensione massima consentita. Prova con un file diverso."
"An error occurred in the upload. Please try again later.","Si è verificato un errore durante il caricamento. Riprovare più tardi."
"There was a configuration error. Please contact the server administrator.","Si è verificato un errore di configurazione. Contattate l'amministratore del server."
"You may only upload 1 file.","&Egrave; possibile caricare un solo file."
"HTTP error.","Errore HTTP."
"Upload failed.","Aggiornamento non riuscito."
"Please try uploading this file with the %sbrowser uploader%s.","Prova a caricare il file con %s l'uploader del browser%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s supera la dimensione massima di caricamento per il multi-file uploader quando viene utilizzato nel tuo browser."
"IO error.","Errore di IO."
"Security error.","Errore di sicurezza."
"File canceled.","File cancellato."
"Upload stopped.","Caricamento interrotto."
"Crunching&hellip;","Elaborazione&hellip;"
"moved to the trash.","spostato nel cestino."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; non è stato caricato."
"Strength indicator","Indicatore di forza (della password)"
"Very weak","Molto debole"
"Weak","Debole"
"Strong","Forte"
"Mismatch","Non combacia"
"(no title)","(senza titolo)"
"No matches found.","Nessuna coorrispondenza trovata"
"Save &amp; Activate","Salva &amp; attiva"
"Save &amp; Publish","Salva &amp; pubblica"
"Saved","Salvato"
"Add","Aggiungi"
"Separate multiple categories with commas.","Separare più categorie con virgole."
"Approve and Reply","Approvare e rispondere"
"Publish on:","Pubblica il:"
"Schedule for:","Programmato per:"
"Published on:","Pubblicato il:"
"Show more comments","Mostra altri commenti"
"No more comments found.","Nessun altro commento trovato."
"Publish","Pubblica"
"Schedule","Programmato"
"Save as Pending","Salva come in sospeso"
"Save Draft","Salva bozza"
"Public","Pubblico"
"Public, Sticky","Pubblico, evidenziato"
"Password Protected","Protetto da password"
"Privately Published","Pubblicato privatamente"
"Submitted on:","Inviato il:"
"Error while saving the changes.","Errore nel salvataggio delle modifiche."
"Remove From Bulk Edit","Rimuovi dalla modifica di massa"
"Plugin Information:","Informazioni sul plugin:"
"Are you sure you want to install this plugin?","Si è davvero sicuri di voler installare questo plugin?"
"Select Color","Seleziona colore"
"Current Color","Colore attuale"
"Could not load the preview image. Please reload the page and try again.","Impossibile caricare l'immagine di anteprima. Per favore ricarica la pagina e riprova."
"Use as featured image","Utilizza come immagine in evidenza"
"Saving...","Salvataggio in corso..."
"Could not set that as the thumbnail image. Try a different attachment.","Impossibile impostare questo elemento come miniatura della pagina. Provare con un differente allegato."
"Done","Finito"
"No results found.","Nessun risultato trovato."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Si sta per eliminare definitivamente questo menu.\n 'Annulla' per interrompere, 'OK' per eliminare."
"Saving Draft&#8230;","Salvataggio bozza&#8230;"
"Navigation Menus","Menu di navigazione"
"Navigation Menu","Menu di navigazione"
"Link Categories","Categorie dei link"
"Link Category","Categoria link"
"Search Link Categories","Ricerca categorie link"
"All Link Categories","Tutte le categorie link"
"Edit Link Category","Modifica categoria link"
"Update Link Category","Aggiorna categoria link"
"Add New Link Category","Aggiungere una nuova categoria di link"
"New Link Category Name","Nuovo nome di categoria link"
"Taxonomies cannot exceed 32 characters in length","Le tassonomie non posso eccedere i 32 caratteri di lunghezza"
"Tags","Tag"
"Categories","Categorie"
"Category","Categoria"
"Search Tags","Cerca tag"
"Search Categories","Cerca categorie"
"Popular Tags","Tag più popolari"
"All Tags","Tutti i tag"
"All Categories","Tutte le categorie"
"Parent Category","Categoria madre"
"Parent Category:","Categoria madre:"
"Edit Tag","Modifica tag"
"Edit Category","Modifica categoria"
"View Tag","Visualizza tag"
"View Category","Visualizza categoria"
"Update Tag","Aggiorna tag"
"Update Category","Aggiorna categoria"
"Add New Tag","Aggiungi nuovo tag"
"Add New Category","Aggiungi una nuova categoria"
"New Tag Name","Nuovo nome tag"
"New Category Name","Nuovo nome di categoria"
"Separate tags with commas","Separa i tag con delle virgole"
"Add or remove tags","Aggiungi o rimuovi tag"
"Choose from the most used tags","Scegli un tag fra quelli più utilizzati"
"Empty Term","Termine vuoto"
"A name is required for this term","&Egrave; richiesto un nome per questo termine"
"A term with the name provided already exists with this parent.","Un termine con il nome indicato esiste già per questo genitore."
"Could not insert term into the database","Impossibile inserire il termine nel database"
"A term with the name provided already exists.","Esiste già un termine con questo nome."
"Could not insert term relationship into the database","Impossibile inserire termini di relazione nel database"
"The slug &#8220;%s&#8221; is already in use by another term","L'abbreviazione &#8220;%s&#8221; è già in uso da parte di un altro termine"
"Invalid object ID","ID oggetto non valido."
"Theme without %s","Tema senza %s"
"Please include a %s template in your theme.","Includere un template %s nel proprio tema."
"%s - Comments on %s","%s - Commenti su %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed dei commenti a questo articolo."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","La <abbr title=\"Universal Resource Locator\">URL</abbr> per fare il TrackBack di questo articolo è: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","di %s &#8212; %s il <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Non c'è ancora nessun commento."
"Leave a comment","Lascia un commento"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Linee e paragrafi tornano a capo automaticamente, gli indirizzi e-mail non vengono mai visualizzati, codice <acronym title=\"Hypertext Markup Language\">HTML</acronym> consentito: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Autenticato come <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Scollegarsi da questo account\">Logout &raquo;</a>"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Uniform Resource Locator\">URL</abbr>"
"Your Comment","Il tuo commento"
"Say It!","Dillo!"
"Sorry, the comment form is closed at this time.","Al momento l'inserimento di commenti non è consentito."
"Close this window.","Chiudi questa finestra."
"Sorry, no posts matched your criteria.","Nessun articolo risponde ai criteri di ricerca impostati."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Utilizza <a href=\"%s\" title=\"Utilizza WordPress, piattaforma semantica avanzata di editoria personale\"><strong>Wordpress</strong></a>"
"This post is password protected. Enter the password to view comments.","Questo articolo è protetto da password. Inserire la password per visualizzare i commenti."
"One Response to %s","Una risposta a %s"
"%s Responses to %s","%s risposte a %s"
"Comments are closed.","I commenti sono chiusi."
"Logged in as <a href=\"%s\">%s</a>.","Autenticato come <a href=\"%s\">%s</a>."
"Log out of this account","Esci da questo account"
"Log out &raquo;","Esci da questo account &raquo;"
"(required)","(obbligatorio)"
"Mail (will not be published)","Mail (che non verrà pubblicata)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> &Egrave; possibile utilizzare questi marcatori: <code>%s</code>"
"Submit Comment","Invia commento"
"%s is proudly powered by %s","%s utilizza %s"
"%s and %s.","%s e %s."
"Entries (RSS)","Articoli (RSS)"
"Comments (RSS)","Commenti (RSS)"
"%d queries. %s seconds.","%d query. %s secondi."
"You are currently browsing the archives for the %s category.","Stai visualizzando gli archivi per la categoria %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Si stanno visualizzando gli archivi del blog <a href=\"%s/\">%s</a> per il girono %s."
"l, F jS, Y","l, j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","SI stanno visualizzando gli archivi del blog <a href=\"%s/\">%s</a> di %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Si stanno visualizzando gli archivi del blog <a href=\"%s/\">%s</a> per l&#8217;anno %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Si è cercato negli archivi del blog <a href=\"%s/\">%s</a> per <strong>&#8216;%s&#8217;</strong>. Se non si è trovato nulla in questi risultati è possibile provare uno di questi link."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","SI stanno viasualizzando gli archivi del blog <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Il codice di questa pagina è XHTML 1.0 Transitional valido"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","<abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr> valido"
"%d WordPress Update","%d aggiornamento WordPress"
"%d Plugin Update","%d aggiornamento plugin"
"%d Plugin Updates","%d aggiornamenti plugin"
"%d Theme Update","%d aggiornamento tema"
"%d Theme Updates","%d aggiornamenti tema"
"<strong>ERROR</strong>: The username field is empty.","<strong>ERRORE</strong>: il campo nome utente è vuoto."
"<strong>ERROR</strong>: The password field is empty.","<strong>ERRORE</strong>: il campo password è vuoto."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRORE</strong>: nome utente non valido. <a href=\"%s\" title=\"Ufficio oggetti smarriti - Password \">È stata persa la password</a>? "
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ERRORE</strong>: l'account è stato contrassegnato come un account spammer."
"Site Suspended.","Sito sospeso."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRORE</strong>: La password inserita per l'utente <strong>%s</strong> non è corretta. <a href=\"%s\" title=\"Ufficio oggetti smarriti - Password \">È stata persa la password</a>? "
"Please log in again.","Effettuare nuovamente il login."
"Cannot create a user with an empty login name.","Impossibile creare un utente senza un nome di login."
"There are no options for this widget.","Non vi sono opzioni per questo widget."
"Sidebar %d","Barra laterale %d"
"Sidebar","Barra laterale"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Impossibile selezionare il database</h1>\n<p>&Egrave; stato possibile connettersi al server del database (il che significa che il nome utente e la password sono ok) ma non è stato possibile selezionare il database <code>%s</code>.</p>\n<ul>\n<li>Si è certi che esista?</li>\n<li>L'utente <code>%s</code> ha i permessi di usare il database <code>%s</code>?</li>\n<li>Su alcuni sistemi il nome del database va fatto precedere dal nome utente, così da avere un formato simile a username_%s. Potrebbe essere questo il problema?</li>\n</ul>\n<p>Se non si sa come impostare un database sarebbe opportuno <strong>contattare il proprio fornitore di hosting</strong>. Se tutto questo fallisce è possibile trovare aiuto sul <a href='http://www.wordpress-it.it/forumt/'>Forum di supporto italiano su WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","WordPress errore sul database %s per la query %s fatta da %s"
"WordPress database error %s for query %s","WordPress errore database %s per la query %s"
