"New password","Nova senha"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Esse endereço de email já foi usado. Por favor procure na sua caixa de correio por um email de activação. Ficará disponível dentro de alguns dias, se não fizer nada."
"Please enter a site name.","Por favor indique o nome do site."
"That name is not allowed.","Esse nome não é permitido."
"Site name must be at least 4 characters.","O nome do site deve ter pelo menos 4 caracteres."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Os nomes de sites não podem conter o caractere &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Não pode usar esse nome de site"
"Sorry, site names must have letters too!","Os nomes de sites devem ter letras, também!"
"Please enter a site title.","Indique o título do site."
"Sorry, that site already exists!","Esse site já existe!"
"Sorry, that site is reserved!","Esse site está reservado!"
"That site is currently reserved but may be available in a couple days.","Esse site está actualmente reservado mas poderá estar disponível dentro de alguns dias."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Para activar o seu blog, por favor clique no link seguinte:\n\n%s\n\nDepois de activar, receberá *outro email* com o seu código de entrada.\n\nDepois de activar, pode visitar o seu site aqui:\n\n%s"
"[%s] Activate %s","[%s] Activar %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Para activar o seu utilizador, por favor clique no link abaixo:\n\n%s\n\nDepois de o activar, receberá uma *segunda* mensagem com os dados de acesso."
"Invalid activation key.","Chave de activação inválida."
"The user is already active.","O utilizador já está activo."
"The site is already active.","Este site já se encontra activo."
"Could not create user","Não foi possivel criar utilizador"
"That username is already activated.","Esse username já está activo"
"Could not create site.","Não foi possível criar o site."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novo site: %s\nURL: %s\nIP remoto: %s\n\nDesactivar estas notificações: %s"
"New Site Registration: %s","Registo de novo site: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novo utilizador: %s\nIP remoto: %s\n\nDesactivar estas notificações: %s"
"New User Registration: %s","Registo de Novo Utilizador: %s"
"Already Installed","Já instalado"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Pelos vistos já instalou o WordPress. Para re-instalar comece por esvaziar as tabelas da base de dados."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Caro utilizador,\n\nO site SITE_NAME foi configurado com sucesso em:\nBLOG_URL\n\nJá pode aceder à conta de administração com a seguinte informação:\nUtilizador: USERNAME\nSenha: PASSWORD\nInicie a sessão aqui: BLOG_URLwp-login.php\n\nEsperamos que disfrute do seu novo site. Obrigado!\n\n--A equipa @ SITE_NAME"
"New %s Site: %s","Novo %s site: %s"
"New %s User: %s","Novo %s utilizador: %s"
"This file is too big. Files must be less than %d KB in size.","O ficheiro é demasiado grande. Os ficheiros devem ter menos que %d KB de tamanho."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Ocorreu um erro ao adiciona-lo a este site. Voltar à <a href=\"%s\">página principal</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Foi adicionado a este site. Por favor visite a <a href=\"%s\">homepage </a> ou <a href=\"%s\">inicie a sessão</a> usando seu nome de utilizador e senha."
"WordPress &rsaquo; Success","WordPress &rsaquo; Sucesso"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Caro Utilizador,\n\nA sua nova conta está pronta.\n\nPode inciar a sessão com a seguinte informação:\nUtilizador: USERNAME\nSenha: PASSWORD\nLOGINLINK\n\nObrigado!\n\n--A Equipa @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Este utilizador optou por eliminar a sua conta e o conteúdo não está mais disponível."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Este site ainda não foi activado. Se estiver a ter problemas para activar seu site, por favor contacte <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Este site foi arquivado ou suspenso."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Esse site não existe. Por favor tente <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Nenhum site definido neste servidor. Se é o dono deste site, por favor, verifique <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging de uma Rede WordPress</a> para obter ajuda."
"If your site does not display, please contact the owner of this network.","Se seu site não for exibido, entre em contato com o proprietário desta rede."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Se é o proprietário da rede verifique que o MySQL está a funcionar correctamente e que todas as tabelas estão livres de erros."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Tabelas da base de dados em falta.</strong> Isto significa que o MySql não está a correr, o Wordpress não foi instalado correctamente ou alguém eliminou <code>%s</code>. Deverá agora mesmo verificar a sua base de dados."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Não foi possível Localizar o site <code>%s</code>.</strong> Procurada a tabela <code>%s</code> na base de dados <code>%s</code>. Está correcto?"
"What do I do now?","E agora?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Leia a página sobre a <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">relação de bugs</a>. Algumas das orientações nessa página podem ajudá-lo a descobrir o que deu errado."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Se continua a ver esta mensagem, por favor verifique se a sua base de dados contém as seguintes tabelas:"
"Multisite only works without the port number in the URL.","Multisite só funciona sem o número de porta no URL."
"Database tables are missing.","Tabelas da base de dados em falta."
"No site by that name on this system.","Nenhum site com esse nome neste sistema."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","O menu <strong>%s</strong> está em conflito com outro menu com o mesmo nome. Por favor tente outro."
"The given object ID is not that of a menu item.","O ID do objecto indicado não é um item de menu."
"Custom","Personalizado(a)"
"%s is a protected WP option and may not be modified","%s é uma opção protegida do WP e não pode ser modificada"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ERRO</strong>: Nome de utilizador inválido ou senha incorrecta."
"You should specify a nonce action to be verified by using the first parameter.","Deve especificar uma acção nonce a ser verificada usando o primeiro parâmetro."
"New comment on your post \"%s\"","Novo comentário ao seu artigo \"%s\""
"Author : %s (IP: %s , %s)","Autor: %s (IP: %s , %s)"
"E-mail : %s","Email : %s"
"Comment:","Comentário:"
"You can see all comments on this post here:","Pode visualizar todos os comentários a este artigo aqui:"
"[%s] Comment: \"%s\"","[%s] Comentário: \"%s\""
"New trackback on your post \"%s\"","Novo trackback ao seu artigo \"%s\""
"Website: %s (IP: %s , %s)","Site: %s (IP: %s , %s)"
"Excerpt:","Excerto:"
"You can see all trackbacks on this post here:","Pode visualizar todos os trackbacks para este artigo aqui:"
"New pingback on your post \"%s\"","Novo pingback ao seu artigo \"%s\""
"You can see all pingbacks on this post here:","Pode visualizar todos os pingbacks para o seu artigo aqui:"
"Permalink: %s","Ligação permanente: %s"
"Trash it: %s","Para o Lixo: %s"
"Delete it: %s","Eliminar: %s"
"Spam it: %s","Assinalar como spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Um novo trackback no artigo \"%s\" está à espera de aprovação"
"Website : %s (IP: %s , %s)","Site : %s (IP: %s , %s)"
"Trackback excerpt:","Excerto do trackback:"
"A new pingback on the post \"%s\" is waiting for your approval","Um pingback novo ao artigo \"%s\" está à espera da sua aprovação"
"Pingback excerpt:","Excerto do pingback:"
"A new comment on the post \"%s\" is waiting for your approval","Um novo comentário ao artigo \"%s\" está à espera da sua aprovação"
"Approve it: %s","Aprovar: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Há neste momento %s comentário em aprovação. Por favor visite o painel de moderação:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Há neste momento %s comentários em aprovação. Por favor visite o painel de moderação:"
"[%s] Please moderate: \"%s\"","[%s] Modere: \"%s\""
"Password Lost and Changed for user: %s","Senha perdida e alterada para o utilizador: %s"
"[%s] Password Lost/Changed","[%s] Senha perdida/alterada"
"New user registration on your site %s:","Registo de novo utilizador no seu site %s:"
"Username: %s","Nome de utilizador: %s"
"E-mail: %s","Email: %s"
"[%s] New User Registration","[%s] Registo de Novo Utilizador"
"Password: %s","Senha: %s"
"[%s] Your username and password","[%s] O seu nome de utilizador e a sua senha"
"Only a static class method or function can be used in an uninstall hook.","Apenas um método de classe estática ou função pode ser usada em num hook de desinstalação."
"Protected: %s","Protegido: %s"
"Private: %s","Privado: %s"
"(more...)","(mais...)"
"There is no excerpt because this is a protected post.","Não existe excerto porque se trata de um artigo protegido."
"Pages:","Páginas:"
"Next page","Página seguinte"
"Previous page","Página anterior"
"Home","Início"
"This post is password protected. To view it please enter your password below:","Este conteúdo está protegido por senha. Para o consultar, introduza a sua senha abaixo:"
"Submit","Submeter"
"j F, Y @ G:i","j \\d\\e F, Y G:i"
"%s [Current Revision]","%s [Versão Actual]"
"%s by %s","%s por %s"
"Restore","Repor"
"Compare Revisions","Comparar Revisões"
"Old","Antiga"
"New","Adicionar"
"Date Created","Data de criação"
"Actions","Acções"
"Post","Artigo"
"Page","Página"
"Media","Multimédia"
"Add New","Adicionar"
"Edit Media","Editar multimédia"
"View Attachment Page","Ver página do anexo"
"Revisions","Revisões"
"Revision","Revisão"
"Navigation Menu Items","Items do menu de navegação"
"Navigation Menu Item","Item do menu de navegação"
"Published","Publicado"
"Published <span class=\"count\">(%s)</span>","Publicados <span class=\"count\">(%s)</span>"
"Scheduled","Agendado"
"Scheduled <span class=\"count\">(%s)</span>","Agendados <span class=\"count\">(%s)</span>"
"Draft","Rascunho"
"Draft <span class=\"count\">(%s)</span>","Rascunho <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Rascunhos <span class=\"count\">(%s)</span>"
"Pending","Pendente"
"Pending <span class=\"count\">(%s)</span>","Pendentes <span class=\"count\">(%s)</span>"
"Private","Privado"
"Private <span class=\"count\">(%s)</span>","Privados <span class=\"count\">(%s)</span>"
"Trash","Lixo"
"Trash <span class=\"count\">(%s)</span>","Lixo <span class=\"count\">(%s)</span>"
"Invalid post","Artigo inválido"
"Pending Review","Pendente de revisão"
"Post types cannot exceed 20 characters in length","Os tipos de artigo não podem exceder os 20 caracteres"
"Posts","Artigos"
"Pages","Páginas"
"Add New Post","Adicionar novo artigo"
"Add New Page","Adicionar nova página"
"Edit Post","Editar artigo"
"Edit Page","Editar Página"
"New Page","Nova Página"
"View Page","Ver Página"
"Search Posts","Pesquisar artigos"
"Search Pages","Pesquisar Páginas"
"No posts found.","Não foram encontrados artigos."
"No pages found.","Nenhuma página encontrada."
"No posts found in Trash.","Nenhum artigo encontrado no Lixo."
"No pages found in Trash.","Nenhuma página encontrada no Lixo."
"Parent Page:","Página superior:"
"All Posts","Todos os artigos"
"All Pages","Todas as páginas"
"Images","Imagens"
"Manage Images","Gerir imagens"
"Image <span class=\"count\">(%s)</span>","Imagem <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Imagens <span class=\"count\">(%s)</span>"
"Audio","Áudio"
"Manage Audio","Gerir áudio"
"Audio <span class=\"count\">(%s)</span>","Áudio <span class=\"count\">(%s)</span>"
"Video","Vídeo"
"Manage Video","Gerir vídeo"
"Video <span class=\"count\">(%s)</span>","Vídeos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Passar um número inteiro de artigos está obsoleto. Passe, em substituição, um array de argumentos."
"Content, title, and excerpt are empty.","O conteúdo, título e excerto estão vazios."
"Whoops, the provided date is invalid.","Ups, a data usada não é válida."
"Could not update post in the database","Não foi possível actualizar o artigo na base de dados"
"Could not insert post into the database","Não foi possível inserir o artigo na base de dados"
"The page template is invalid.","O template da página é inválido."
"Content","Conteúdo"
"Excerpt","Excerto"
"Cannot create a revision of a revision","Não pode criar uma revisão de uma revisão"
"You do not have permission to preview drafts.","Não tem permissões para pré-visualizar rascunhos."
"Aside","Nota"
"Gallery","Galeria"
"Image","Imagem"
"Status","Estado"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Queries condicionais de etiquetas não funcionam antes da query ser executada. Antes disso, elas devolvem sempre false."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" está obsoleto. Use \"ignore_sticky_posts\" em substituição."
"This file no longer needs to be included.","Este ficheiro já não precisa ser incluido."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Está prestes a eliminar definitivamente os items seleccionados. \n  'Cancelar' para interromper, 'Ok' para eliminar."
"Enter a word to look up:","Introduza uma palavra a procurar:"
"Dictionary lookup","Procura no dicionário"
"lookup","procurar"
"Close all open tags","Fechar todas as etiquetas abertas"
"close tags","fechar etiquetas"
"Enter the URL","Introduza o URL"
"Enter the URL of the image","Introduza o URL da imagem"
"Enter a description of the image","Introduza uma descrição para a imagem"
"fullscreen","ecrã completo"
"Toggle fullscreen mode","Ligar/desligar modo de ecrã inteiro"
"text direction","direção do texto"
"Toggle Editor Text Direction","Alterar direção do texto do editor"
"You do not have permission to do that.","Não tem permissões para fazer isso."
"An unidentified error has occurred.","Ocorreu um erro não identificado."
"Dismiss","Ignorar"
"Next &gt;","Seguinte &raquo;"
"&lt; Prev","&#171; Anterior"
"of","de"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Este funcionalidade requer frames inline. Tem os iframes desactivados ou o seu browser não os suporta."
"not configured","não configurado"
"You have attempted to queue too many files.","Tentou transferir demasiados ficheiros"
"%s exceeds the maximum upload size for this site.","%s excede o tamanho máximo de carregamentos para este site."
"This file is empty. Please try another.","O ficheiro está vazio. Por favor tente com outro."
"This file type is not allowed. Please try another.","Este tipo de ficheiro não é permitido. Por favor tente com outro."
"This file is not an image. Please try another.","Este ficheiro não é uma imagem. Por favor tente com outro."
"Memory exceeded. Please try another smaller file.","Memória esgotada. Por favor tente com um ficheiro mais pequeno."
"This is larger than the maximum size. Please try another.","É maior do que o tamanho máximo. Por favor tente outro."
"An error occurred in the upload. Please try again later.","Erro no carregamento. Por favor tente mais tarde."
"There was a configuration error. Please contact the server administrator.","Erro de configuração. Por favor contacte o administrador do servidor."
"You may only upload 1 file.","Só pode carregar 1 ficheiro."
"HTTP error.","Erro HTTP."
"Upload failed.","O carregamento falhou."
"Please try uploading this file with the %sbrowser uploader%s.","Por favor tente carregar este ficheiro  %satravés do browser%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s excede o tamanho máximo de carregamento de múltiplos ficheiros quando usado no seu browser."
"IO error.","Erro IO."
"Security error.","Erro de segurança."
"File canceled.","Ficheiro cancelado."
"Upload stopped.","Carregamento interrompido."
"Crunching&hellip;","A processar&hellip;"
"moved to the trash.","movido para o lixo."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; falhou no carregamento."
"Strength indicator","Robustez da senha:"
"Very weak","Muito fraca"
"Weak","Fraca"
"Strong","Forte"
"Mismatch","Não são iguais"
"(no title)","(sem título)"
"No matches found.","Nenhuma ligação encontrada."
"Save &amp; Activate","Guardar &amp; activar"
"Save &amp; Publish","Guardar &amp; publicar"
"Saved","Guardado"
"Add","Adicionar"
"Separate multiple categories with commas.","Separe várias categorias por vírgulas."
"Approve and Reply","Aprovar e responder"
"Publish on:","Publicar em:"
"Schedule for:","Agendado para:"
"Published on:","Publicado em:"
"Show more comments","Mostrar mais comentários"
"No more comments found.","Não há mais comentários."
"Publish","Publicar"
"Schedule","Agendar"
"Save as Pending","Guardar como pendente"
"Save Draft","Guardar rascunho"
"Public","Público"
"Public, Sticky","Público, Fixo"
"Password Protected","Protegido por senha"
"Privately Published","Publicado (Privado)"
"Submitted on:","Submetido em:"
"Error while saving the changes.","Erro ao salvar as modificações."
"Remove From Bulk Edit","Remover da edição por lotes"
"Plugin Information:","Informação do Plugin:"
"Are you sure you want to install this plugin?","Você tem certeza que quer instalar este plugin?"
"Select Color","Seleccionar cor"
"Current Color","Cor actual"
"Could not load the preview image. Please reload the page and try again.","Não foi possível carregar a imagem de visualização. Por favor recarregue a página e tente novamente."
"Use as featured image","Usar como imagem de destaque"
"Saving...","A guardar..."
"Could not set that as the thumbnail image. Try a different attachment.","Impossível definir como miniatura. Tente um anexo diferente."
"Done","Concluído"
"No results found.","Nenhum resultado encontrado."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Está prestes a apagar este menu permanentemente.\n'Cancelar' para parar, 'OK' para apagar."
"Saving Draft&#8230;","Guardando Rascunho&#8230;"
"Navigation Menus","Menus de navegação"
"Navigation Menu","Menu de navegação"
"Link Categories","Categorias de links"
"Link Category","Categoria de link"
"Search Link Categories","Pesquisar categorias de links"
"All Link Categories","Todas as categorias de links"
"Edit Link Category","Editar categoria de links"
"Update Link Category","Actualizar categoria de link"
"Add New Link Category","Adicionar nova categoria de link"
"New Link Category Name","Nome da nova categoria de link"
"Taxonomies cannot exceed 32 characters in length","As taxonomias não podem exceder 32 caracteres"
"Tags","Etiquetas"
"Categories","Categorias"
"Tag","Etiqueta"
"Category","Categoria"
"Search Tags","Pesquisar etiquetas"
"Search Categories","Pesquisar categorias"
"Popular Tags","Etiquetas populares"
"All Tags","Todas as etiquetas"
"All Categories","Todas as categorias"
"Parent Category","Categoria superior"
"Parent Category:","Categoria superior:"
"Edit Tag","Editar etiqueta"
"Edit Category","Editar categoria"
"View Tag","Ver etiqueta"
"View Category","Ver Categoria"
"Update Tag","Actualizar etiqueta"
"Update Category","Actualizar categoria"
"Add New Tag","Adicionar nova etiqueta"
"Add New Category","Adicionar nova categoria"
"New Tag Name","Nome da nova etiqueta"
"New Category Name","Nome da nova categoria"
"Separate tags with commas","Separe as etiquetas com vírgulas"
"Add or remove tags","Adicionar ou remover etiquetas"
"Choose from the most used tags","Escolha de entre as etiquetas mais usadas"
"Empty Term","Termo Vazio"
"A name is required for this term","É obrigatório um nome para este termo"
"A term with the name provided already exists with this parent.","Um termo com o nome fornecido já existe com este pai."
"Could not insert term into the database","Não foi possível inserir o termo na base de dados"
"A term with the name provided already exists.","Um termo com o nome indicado já existe."
"Could not insert term relationship into the database","Impossível inserir a relação na base de dados"
"The slug &#8220;%s&#8221; is already in use by another term","O nome para o URL &#8220;%s&#8221; já está a ser usado por outro termo"
"Invalid object ID","ID de objecto inválido"
"Theme without %s","Tema sem %s"
"Please include a %s template in your theme.","Por favor inclua um template %s no seu tema"
"%s - Comments on %s","%s - Comentários a %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed para os comentários a este artigo."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","O <abbr Título=\"Universal Resource Locator\">URL</abbr> de Trackback para esta entrada é: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","por %s &mdash; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Ainda sem comentários."
"Leave a comment","Deixe o seu comentário"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Quebras de linha e de parágrafos são automáticas, endereços de email nunca são mostrados, <acronym Título=\"Hypertext Markup Language\">HTML</acronym> permitido: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Sessão iniciada como <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Terminar sessão nesta conta\">Log out &raquo;</a>"
"E-mail","Email"
"Your Comment","O seu comentário"
"Say It!","Diga-o!"
"Sorry, the comment form is closed at this time.","O formulário de comentários está fechado neste momento."
"Close this window.","Fechar esta janela."
"Sorry, no posts matched your criteria.","Não existem artigos que correspondam ao seu critério."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Criado com <a href=\"%s\" title=\"Criado com WordPress, plataforma sem&acirc;ntica de publicação pessoal\"><strong>Wordpress</strong></a>"
"This post is password protected. Enter the password to view comments.","Este conteúdo está protegido por senha. Introduza a senha para ver os comentários."
"One Response to %s","Uma resposta a %s"
"%s Responses to %s","%s respostas a %s"
"Comments are closed.","Os comentários estão fechados"
"Logged in as <a href=\"%s\">%s</a>.","Sessão iniciada com <a href=\"%s\">%s</a>."
"Log out of this account","Sair desta conta."
"Log out &raquo;","Sair &raquo;"
"(required)","(obrigatório)"
"Mail (will not be published)","Email (não será publicado)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> pode usar estas etiquetas: <code>%s</code>"
"Submit Comment","Enviar comentário"
"%s is proudly powered by %s","%s criado com %s"
"%s and %s.","%s e %s."
"Entries (RSS)","RSS Artigos"
"Comments (RSS)","RSS Comentários"
"%d queries. %s seconds.","%d queries. %s segundos."
"You are currently browsing the archives for the %s category.","Está a visualizar o arquivo da categoria %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Está a visualizar o arquivo  de <a href=\"%s/\">%s</a> do dia %s."
"l, F jS, Y","l, j \\d\\e F, Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Está a visualizar o arquivo de <a href=\"%s/\">%s</a> de %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Está a visualizar o arquivo de <a href=\"%s/\">%s</a> do ano %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Pesquisou o arquivo de <a href=\"%s/\">%s</a> por <strong>&#8216;%s&#8217;</strong>. Se não encontrou nada nos resultados, pode tentar um destes links."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Está a visualizar o arquivo de <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Esta página valida como XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","<abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr> válido"
"%d WordPress Update","%d Actualização de WordPress"
"%d Plugin Update","%d Actualização de Plugin"
"%d Plugin Updates","%d Actualizações de Plugins"
"%d Theme Update","%d Actualização de Tema"
"%d Theme Updates","%d Actualizações de Temas"
"<strong>ERROR</strong>: The username field is empty.","<strong>ERROR</strong>: O campo do nome de utilizador está vazio."
"<strong>ERROR</strong>: The password field is empty.","<strong>ERRO</strong>: O campo da senha está vazio."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRO</strong>: Nome de utilizador inválido ou senha incorrecta. <a href=\"%s\" title=\"Recuperar senha\">Perdeu a senha</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ERRO</strong>:  a sua conta foi marcada como <em>spammer</em>."
"Site Suspended.","Site Suspenso."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRO</strong>: A senha que indicou para o utiilizador <strong>%s</strong> está incorrecta. <a href=\"%s\" title=\"Recuperar senha\">Não se lembra da senha</a>?"
"Please log in again.","Por favor reinicie a sessão."
"Cannot create a user with an empty login name.","Impossível criar um utilizador com login vazio."
"Jabber / Google Talk","Jabber/Google Talk"
"There are no options for this widget.","Este widget não tem opções."
"Sidebar %d","Barra Lateral %d"
"Sidebar","Barra lateral"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Não foi possível seleccionar a base de dados</h1>\n<p>Foi possível conectar ao servidor de base de dados (o que quer dizer que o nome de utilizador e senha estão correctos), mas não foi possível seleccionar a base de dados <code>%s</code>.</p>\n<ul>\n<li>Tem a certeza que existe?</li>\n<li>O utilizador <code>%s</code> tem permissões para usar a base de dados <code>%s</code>?</li>\n<li>Em alguns sistemas, o nome da base de dados tem o seu nome de utilizador como prefixo, por exemplo <code>username_%s</code>. Poderá ser esse o problema?</li>\n</ul>\n<p>Se não sabe configurar uma base de dados, deverá <strong>entrar em contacto com o seu serviço de alojamento</strong> . Se nada disto resultar poderá ainda encontrar ajuda no <a href=\"http://pt.forums.wordpress.org/\">Fórum de Suporte do WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","Erro na base de dados do WordPress %s na query %s feita por %s"
"WordPress database error %s for query %s","Erro na base de dados do WordPress %s na query %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Error de conexão  à base de dados</h1>\n<p>Isto pode querer dizer que tanto o nome de utilizador como a senha especificadas no ficheiro <code>wp-config.php</code> não estão correctas ou então que não é possível conectar ao servidor <code>%s</code>, que pode estar em baixo.</p>\n<ul>\n\t<li>Tem a certeza que o nome de utilizador e senha estão correctos?</li>\n\t<li>Tem a certeza que o nome do servidor está correcto?</li>\n\t<li>Tem a certeza que o servidor está a funcionar?</li>\n</ul>\n<p>Se não tem a certeza do significado destes termos, deve entrar em contacto com o seu serviço de alojamento. Se mesmo assim precisar de ajuda, visite o <a href='http://pt.forums.wordpress.org/'>Fórum de suporte do WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ERRO</strong>: WordPress %s requer MySQL %s ou superior"
"Links for %s","Links para %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Parece não existir um ficheiro <code>wp-config.php</code> file. Ele é necessário antes de podermos começar."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Precisa de mais ajuda? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Temos</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Pode criar um ficheiro <code>wp-config.php</code> através do browser, mas isso não funciona para todas as configurações de servidores. O método mais seguro é o de criar o ficheiro manualmente."
"Create a Configuration File","Criar ficheiro de configuração"
"Powered by WordPress","Criado com WordPress"
"Are you lost?","Não sabe onde está?"
"&larr; Back to %s","&larr; Voltar a %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ERRO</strong>: Indique um nome de utilizador ou endereço de email."
