"New password","Nytt passord"
"<strong>ERROR</strong>: problem creating site entry.","<strong>FEIL</strong>: greidde ikkje laga nettstadoppføring."
"Only lowercase letters (a-z) and numbers are allowed.","Du kan berre bruka små bokstavar (a-z) og tal."
"Please enter a username.","Skriv inn eit brukarnamn."
"That username is not allowed.","Du kan ikkje bruka det brukarnamnet."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Du kan ikkje bruka denne epostadressa til å registrera deg. Me har problem med at dei blokkerer eposten vår. Ver god å bruka ein annan eposttilbydar."
"Username must be at least 4 characters.","Brukarnamnet må vera på minst 4 teikn."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Orsak, brukarnamn kan ikkje innehalda teiknet &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Orsak, brukarnamn må ha bokstavar òg!"
"Please enter a valid email address.","Skriv inn ei gyldig epostadresse."
"Sorry, that email address is not allowed!","Orsak, du kan ikkje bruka den epostadressa!"
"Sorry, that username already exists!","Orsak, dette brukarnamnet finst alt."
"Sorry, that email address is already used!","Orsak, den epostadressa er allereie brukt!"
"That username is currently reserved but may be available in a couple of days.","Dette brukarnamnet er halde att, men kan bli tilgjengeleg om nokre dagar."
"username and email used","brukarnamn og epost i bruk"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Denne epostadressa er allereie brukt. Sjekk innboksen din for stadfestingsepost. Epostadressa vil bli tilgjengeleg att om nokre dagar viss du ikkje gjer noko."
"Please enter a site name.","Skriv inn eit namn på nettstaden."
"That name is not allowed.","Du kan ikkje bruka det namnet."
"Site name must be at least 4 characters.","Namnet på nettstaden må vera minst 4 teikn."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Orsak, namn på nettstader kan ikkje innehalda teiknet &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Du kan diverre ikkje bruka dette namnet på netstaden."
"Sorry, site names must have letters too!","Orsak, nettstadnamn må ha bokstavar òg!"
"Please enter a site title.","Skriv inn eit namn på nettstaden."
"Sorry, that site already exists!","Orsak, men denne netstaden finst frå før."
"Sorry, that site is reserved!","Orsak, denne nettstaden er oppteken!"
"That site is currently reserved but may be available in a couple days.","Denne nettstaden er oppteken akkurat no, men kan bli frigjeven om nokre dagar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Klikk på denne lenkja for å ta i bruk bloggen din:\n\n%s\n\nNår du har teke i bruk bloggen, får du *ein epost til* med innloggingsopplysningane dine.\n\nNår du har teke bloggen i bruk, kan du vitja nettstaden din her:\n\n%s"
"[%s] Activate %s","[%s] Slå på %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Klikk denne lenkja for å aktivera brukaren din:\n\n%s\n\nNår du har teke i bruk brukarnamnet, får du *ein epost til* med innlogging."
"Invalid activation key.","Ugyldig stadfestingslykjel."
"The user is already active.","Brukaren er allereie aktiv."
"The site is already active.","Nettstaden er allereie stadfesta."
"Could not create user","Greidde ikkje laga brukaren"
"That username is already activated.","Det brukarnamnet er alt skrudd på."
"Could not create site.","Greidde ikkje laga netstaden."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny nettstad: %s\nAdresse: %s\nIP: %s\n\nSkru av desse varsla: %s"
"New Site Registration: %s","Ny netstad registrert: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny brukar: %s\nIP: %s\n\nSkru av desse varsla: %s"
"New User Registration: %s","Ny brukarregistrering: %s"
"Already Installed","Allereie installert"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Det ser ut som du allereie har installert WordPress. For å installera på nytt, må du tømma dei gamle databasetabellane dine fyrst."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Gode brukar,\n\nDen nye nettstaden din, SITE_NAME, er no laga til på denne adressa:\nBLOG_URL\n\nDu kan logga inn på styrarkontoen ved å bruka desse opplysningane:\nBrukarnamn: USERNAME\nPassord: PASSWORD\nLogg inn her: BLOG_URLwp-login.php\n\nMe vonar du vil få glede av den nye nettstaden din. Takk!\n\n--Gjengen på SITE_NAME"
"New %s Site: %s","Ny %s-nettstad: %s"
"New %s User: %s","Ny %s-brukar: %s"
"This file is too big. Files must be less than %d KB in size.","Denne fila er for stor. Filer må vera mindre enn %d KB i storleik."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Me greidde ikkje å leggja deg til denne nettstaden. Tilbake til <a href=\"%s\">heimesida</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du er lagt til denne nettstaden. Gå til <a href=\"%s\">heimesida</a> eller <a href=\"%s\">logg inn</a> med brukarnamnet og passordet ditt."
"WordPress &rsaquo; Success","WordPress &rsaquo; vellukka"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Gode brukar,\n\nMe har sett opp brukarkontoen din.\n\nDu kan logga inn med desse opplysningane:\nBrukarnamn: USERNAME\nPassord: PASSWORD\nLOGINLINK\n\nTakk!\n\n-- Helsig oss på SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Denne brukaren har valt å sletta brukarkontoen sin, og innhaldet finst ikkje lenger."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Denne nettstaden er ikkje stadfesta enno. Viss du har vanskar med å stadfesta nettstaden din, kan du kontakta <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Denne netstaden er arkivert eller skrudd av."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Den nettstaden finst ikkje. Prøv <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Ingen netstad har vorte sett opp på denne verten. Viss du eig netstaden, bør du sjekka <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Luka ut feil på WordPress-netstader</a> for å få hjelp."
"If your site does not display, please contact the owner of this network.","Viss ikkje netstaden din viser ordentleg, må du ta kontakt med netverkseigaren."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Viss du driv dette netverket, må du sjå til at MySQL køyrer ordentleg, og at alle tabellane er utan feil."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Det manglar databasetabellar.</strong> Det tyder at MySQL ikkje køyrer, WordPress ikkje er installert rett, eller nokon har sletta <code>%s</code>. Du bør sjå over databasen din no med ein gong."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Fann ikkje nettstaden <code>%s</code>.</strong> Leitte etter tabellen <code>%s</code> i  databasen <code>%s</code>. Stemmer det?"
"What do I do now?","Kva gjer eg no?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Les <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">feilrapport</a>-sida. Ved hjelp av nokre av retningslinene der kan du kanskje finna ut kva som gjekk gale."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Viss du framleis får denne meldinga, bør du sjekka at databasen inneheld desse tabellane:"
"Multisite only works without the port number in the URL.","Funksjonen for fleire nettstader verkar berre utan portnummer i nettadressa."
"Database tables are missing.","Det manglar databasetabellar."
"No site by that name on this system.","Det finst ingen nettstad med det namnet her."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Menynamnet <strong>%s</strong> er alt i bruk. Vel eit anna namn."
"The given object ID is not that of a menu item.","Denne objekt-ID-en høyrer ikkje til ei menyoppføring."
"Custom","Tilpassa"
"%s is a protected WP option and may not be modified","%s er eit verna WP-val og kan ikkje verte endra"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>Feil</strong>: Feil brukarnamn eller passord."
"You should specify a nonce action to be verified by using the first parameter.","Du bør truleg oppgje ei nonce-handling å godkjenna ved å bruka den fyrste parameteren."
"New comment on your post \"%s\"","Nytt innspel til innlegget «%s»"
"Author : %s (IP: %s , %s)","Forfattar: %s (IP: %s – %s)"
"E-mail : %s","E-postadresse: %s"
"URL    : %s","Adresse: %s"
"Comment:","Innspel: "
"You can see all comments on this post here:","Du kan sjå alle innspela til innlegget her: "
"[%s] Comment: \"%s\"","[%s] Innspel: «%s»"
"New trackback on your post \"%s\"","Nytt tilbaketråkk til innlegget «%s»"
"Website: %s (IP: %s , %s)","Nettstad: %s (IP: %s – %s)"
"Excerpt:","Utdrag: "
"You can see all trackbacks on this post here:","Du kan sjå alle tilbaketråkka til innlegget her: "
"[%s] Trackback: \"%s\"","[%s] Tilbaketråkk: «%s»"
"New pingback on your post \"%s\"","Nytt tilbakeping på innlegget «%s»"
"You can see all pingbacks on this post here:","Du kan sjå alle tilbakepinga til innlegget her: "
"[%s] Pingback: \"%s\"","[%s] Tilbakeping: «%s»"
"Permalink: %s","Fastlenkje: %s"
"Trash it: %s","Til papirkorga: %s"
"Delete it: %s","Slett det: %s"
"Spam it: %s","Merk som søppel: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Eit nytt tilbaketråkk til innlegget «%s» ventar på godkjenning"
"Website : %s (IP: %s , %s)","Nettstad: %s (IP: %s – %s)"
"Trackback excerpt:","Utdrag frå tilbaketråkk: "
"A new pingback on the post \"%s\" is waiting for your approval","Eit nytt tilbakeping på innlegget «%s» ventar på godkjenning"
"Pingback excerpt:","Utdrag frå tilbakeping: "
"A new comment on the post \"%s\" is waiting for your approval","Eit nytt innspel på innlegget «%s» ventar på godkjenning"
"Approve it: %s","Godkjenn det: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","%s innspel ventar på godkjenning. Gå til moderatorpanelet:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","%s innspel ventar på godkjenning. Gå til moderatorpanelet:"
"[%s] Please moderate: \"%s\"","[%s] Moderer: «%s»"
"Password Lost and Changed for user: %s","Gløymt og endra passord for brukaren: %s"
"[%s] Password Lost/Changed","[%s] Passord gløymt/endra"
"New user registration on your site %s:","Ny brukarregistrering på nettstaden din %s:"
"Username: %s","Brukarnamn: %s"
"E-mail: %s","E-post: %s"
"[%s] New User Registration","[%s] Ny brukarregistrering"
"Password: %s","Passord: %s"
"[%s] Your username and password","[%s] Brukarnamnet og passordet ditt"
"Only a static class method or function can be used in an uninstall hook.","Du kan berre bruka statiske klassemetodar eller funksjonar i avinstalleringskrokar."
"Protected: %s","Verna: %s"
"Private: %s","Privat: %s"
"(more...)","(meir …)"
"There is no excerpt because this is a protected post.","Det finst ingen utdrag, fordi innlegget er verna."
"Pages:","Sider:"
"Next page","Neste side"
"Previous page","Førre side"
"Home","Heim"
"This post is password protected. To view it please enter your password below:","Dette innlegget er passordverna. Du må skriva inn passordet for å sjå det:"
"Submit","Send inn"
"j F, Y @ G:i","j. F Y @ H.i"
"%s [Autosave]","%s [Autolagring]"
"%s [Current Revision]","%s [Gjeldande utgåve]"
"%s by %s","%s av %s"
"Restore","Gjenopprett"
"Compare Revisions","Samanlikn utgåver"
"Old","Gamle"
"New","Ny"
"Date Created","Oppretta dato"
"Actions","Handlingar"
"Post","Innlegg"
"Page","Side"
"Add New","Lag ny"
"Edit Media","Endra media"
"View Attachment Page","Sjå vedleggssida"
"Revisions","Endringar"
"Revision","Utgåve"
"Navigation Menu Items","Oppføringar i navigasjonsmenyen"
"Navigation Menu Item","Oppføring i navigasjonsmenyen"
"Published","Publisert"
"Published <span class=\"count\">(%s)</span>","Publiserte <span class=\"count\">(%s)</span>"
"Scheduled","Planlagt"
"Scheduled <span class=\"count\">(%s)</span>","Planlagde <span class=\"count\">(%s)</span>"
"Draft","Kladd"
"Draft <span class=\"count\">(%s)</span>","Kladd <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Kladdar <span class=\"count\">(%s)</span>"
"Pending","Ventar"
"Pending <span class=\"count\">(%s)</span>","Ventar <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","Papirkorg"
"Trash <span class=\"count\">(%s)</span>","Papirkorg <span class=\"count\">(%s)</span>"
"Invalid post","Ugyldig innlegg"
"Pending Review","Ventar gjennomsyn"
"Post types cannot exceed 20 characters in length","Du kan ikkje ha meir enn 20 teikn i namn på innleggstypar"
"Posts","Innlegg"
"Pages","Side"
"Add New Post","Legg til nytt innlegg"
"Add New Page","Legg til ny side"
"Edit Post","Endra innlegg"
"Edit Page","Endra side"
"New Page","Ny side"
"View Page","Vis side"
"Search Posts","Søk i innlegg"
"Search Pages","Søk i sider"
"No posts found.","Fann ingen innlegg."
"No pages found.","Fann ingen sider."
"No posts found in Trash.","Fann ingen sider i papirkorga."
"No pages found in Trash.","Fann ingen sider i papirkorga."
"Parent Page:","Foreldreside:"
"All Posts","Alle innlegg"
"All Pages","Alle sider"
"Images","Bilete"
"Manage Images","Handter bilete"
"Image <span class=\"count\">(%s)</span>","Bilete <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Bilete <span class=\"count\">(%s)</span>"
"Audio","Lyd"
"Manage Audio","Handter lyd"
"Audio <span class=\"count\">(%s)</span>","Lyd <span class=\"count\">(%s)</span>"
"Video","Film"
"Manage Video","Handter filmar"
"Video <span class=\"count\">(%s)</span>","Filmar <span class=\"count\">(%s)</span>"
"Content, title, and excerpt are empty.","Innhald, tittel og samandrag er tomme."
"Whoops, the provided date is invalid.","Oppsann, denne datoen er ugyldig."
"Could not update post in the database","Klarte ikkje oppdatera innlegget i databasen"
"Could not insert post into the database","Klarte ikkje leggja inn innlegget i databasen"
"The page template is invalid.","Sidemalen er ugyldig."
"Content","Innhald"
"Excerpt","Utdrag"
"Cannot create a revision of a revision","Kan ikkje oppretta ei utgåve av ei utgåve"
"You do not have permission to preview drafts.","Du har ikkje tilgang til å førehandsvisa kladdar."
"Standard","Vanleg"
"Aside","Småprat"
"Chat","Skravling"
"Gallery","Galleri"
"Link","Lenkje"
"Image","Bilete"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Merkelappar for vilkårsspørjing verkar ikkje før førespurnaden blir køyrt. Før det skjer, vil dei gje usant som svar."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" er utdatert. Bruk \"ignore_sticky_posts\" i staden."
"This file no longer needs to be included.","Du treng ikkje lenger ta med denne fila."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Du skal til å sletta dette for alltid.\nVel «Avbryt» for å ikkje sletta, eller «OK» for å halda fram."
"Enter a word to look up:","Skriv inn ordet du vil slå opp:"
"Dictionary lookup","Ordboksoppslag"
"lookup","oppslag"
"Close all open tags","Lukk alle opne HTML-taggar"
"close tags","lukk taggar"
"Enter the URL","Skriv inn adressa"
"Enter the URL of the image","Skriv inn adressa til biletet"
"Enter a description of the image","Skriv inn ei skildring av biletet"
"fullscreen","fullskjerm"
"Toggle fullscreen mode","Fullskjermsmodus"
"text direction","tekstretning"
"Toggle Editor Text Direction","Endra tekstretning for redigeringa"
"You do not have permission to do that.","Du har ikkje tilgang til å gjera dette."
"An unidentified error has occurred.","Det oppstod ein ukjend feil."
"Dismiss","Avvis"
"Next &gt;","Neste →"
"&lt; Prev","← Førre"
"of","av"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Denne funksjonen krev iframes. Anten har du har slege av iframes, eller så støttar ikkje nettlesaren din dei."
"not configured","ikkje sett opp"
"You have attempted to queue too many files.","Du prøvde å leggja for mange filer i køen."
"%s exceeds the maximum upload size for this site.","%s er over maksimumsstorleiken for opplasta filer på denne nettstaden."
"This file is empty. Please try another.","Fila er tom. Prøv ei anna fil."
"This file type is not allowed. Please try another.","Denne filtypen er ikkje tillaten. Prøv ei anna fil."
"This file is not an image. Please try another.","Denne fila er ikkje eit bilete. Prøv ei anna."
"Memory exceeded. Please try another smaller file.","Over minnegrensa. Prøv ei mindre fil."
"This is larger than the maximum size. Please try another.","Dette er over maksgrensa. Prøv ei anna."
"An error occurred in the upload. Please try again later.","Det oppstod ein feil under opplastinga. Prøv att seinare."
"There was a configuration error. Please contact the server administrator.","Det er ein feil i oppsettet. Kontakt tenaradministratoren."
"You may only upload 1 file.","Du kan berre lasta opp éi fil."
"HTTP error.","HTTP-feil."
"Upload failed.","Feil ved opplasting."
"Please try uploading this file with the %sbrowser uploader%s.","Prøv å lasta opp denne fila med %snettlesaropplastaren%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s er større enn maksimumsstorleiken for multi-opplastaren når du brukar han i nettlesaren din."
"IO error.","I/U-feil."
"Security error.","Tryggleiksfeil."
"File canceled.","Fila vart avbroten."
"Upload stopped.","Opplastinga vart stoppa."
"Crunching&hellip;","Komprimerer …"
"moved to the trash.","flytt til papirkorga."
"&#8220;%s&#8221; has failed to upload.","Fekk ikkje til å lasta opp &#8220;%s&#8221;"
"Strength indicator","Styrkemålar"
"Very weak","Veldig veikt"
"Weak","Veikt"
"Strong","Sterkt"
"Mismatch","Passar ikkje"
"(no title)","(ingen tittel)"
"No matches found.","Fann ingen treff."
"Save &amp; Activate","Lagra &amp; ta i bruk"
"Save &amp; Publish","Lagra &amp; legg ut"
"Saved","Lagra"
"Add","Legg til"
"Separate multiple categories with commas.","Skil kategoriar med komma."
"Approve and Reply","Godkjenn og svar"
"Publish on:","Publiser den:"
"Schedule for:","Planlegg:"
"Published on:","Publisert:"
"Show more comments","Vis fleire innspel"
"No more comments found.","Fann ikkje fleire innspel."
"Publish","Legg ut"
"Schedule","Planlegg"
"Save as Pending","Lagre som ventande"
"Save Draft","Lagre kladd"
"Public","Offentleg"
"Public, Sticky","Offentleg, fastlimt"
"Password Protected","Passordverna"
"Privately Published","Publisert privat"
"Submitted on:","Sendt inn:"
"Error while saving the changes.","Klarte ikkje lagra endringane."
"Remove From Bulk Edit","Fjern frå masseendring"
"Plugin Information:","Informasjon om innstikk:"
"Are you sure you want to install this plugin?","Er du sikker på at du vil installera dette innstikket?"
"Select Color","Vel farge"
"Current Color","Farga no"
"Could not load the preview image. Please reload the page and try again.","Greidde ikkje lasta førehandsbiletet. Last sida på nytt og prøv omatt."
"Use as featured image","Bruk som hovudbilete"
"Saving...","Lagrar ..."
"Could not set that as the thumbnail image. Try a different attachment.","Klarte ikkje ta i bruk biletet som miniatyrbilete. Prøv ei anna fil."
"Done","Ferdig"
"No results found.","Ingen treff."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Du skal til å sletta denne menyen for alltid. \nVel «Avbryt» for å ikkje sletta han, eller «OK» for å halda fram."
"Saving Draft&#8230;","Lagrar kladd …"
"Navigation Menus","Navigeringsmenyar"
"Navigation Menu","Navigeringsmeny"
"Link Categories","Lenkjekategoriar"
"Link Category","Lenkekategori"
"Search Link Categories","Søk gjennom lenkekategoriane"
"All Link Categories","Alle lenkekategoriane"
"Edit Link Category","Endra lenkjekategori"
"Update Link Category","Oppdater lenkekategorien"
"Add New Link Category","Legg til ein ny lenkekategori"
"New Link Category Name","Namn på den nye lenkekategorien"
"Taxonomies cannot exceed 32 characters in length","Grupperingar kan ikkje ha meir enn 32 teikn"
"Tags","Merkelappar"
"Categories","Kategoriar"
"Tag","Merkelapp"
"Category","Kategori"
"Search Tags","Søk i merkelappar"
"Search Categories","Søk i kategoriar"
"Popular Tags","Populære merkelappar"
"All Tags","Alle merkelappane"
"All Categories","Alle kategoriane"
"Parent Category","Foreldrekategori"
"Parent Category:","Foreldrekategori:"
"Edit Tag","Endra merkelapp"
"Edit Category","Endra kategori"
"View Tag","Sjå på merkelappen"
"View Category","Sjå på kategorien"
"Update Tag","Oppdater merkelapp"
"Update Category","Oppdater kategori"
"Add New Tag","Legg til ny merkelapp"
"Add New Category","Legg til ny kategori"
"New Tag Name","Namn på ny merkelapp"
"New Category Name","Namn på ny kategori"
"Separate tags with commas","Skil merkelappar med komma"
"Add or remove tags","Legg til eller fjern merkelappar"
"Choose from the most used tags","Vel mellom dei mest brukte merkelappane"
"Empty Term","Tomt omgrep"
"A name is required for this term","Omgrepet må ha eit namn"
"A term with the name provided already exists with this parent.","Dette namnet finst alt i denne gruppa."
"Could not insert term into the database","Klarte ikkje setja inn omgrepet i databasen"
"A term with the name provided already exists.","Dette omgrepsnamnet er brukt frå før."
"Could not insert term relationship into the database","Greidde ikkje setja termslektskapen inn i databasen"
"The slug &#8220;%s&#8221; is already in use by another term","Kortadressa «%s» er alt i bruk av eit anna omgrep"
"Invalid object ID","Ugyldig objekt-ID"
"Theme without %s","Bunad utan %s"
"Please include a %s template in your theme.","Ta med ein %s-mal i bunaden din."
"%s - Comments on %s","%s – innspel til %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr lang=\"en\" xml:lang=\"en\" title=\"Really Simple Syndication\">RSS</abbr>-nyheitsstraum med innspel til dette innlegget."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","Adresse for tilbaketråkk til innlegget: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","av %s – %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Ingen innspel enno."
"Leave a comment","Legg att eit innspel"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Automatiske linjeskift og avsnitt, e-postadressa vert aldri vist og følgjande <acronym title=\"Hypertext Markup Language\">HTML</acronym> godteken: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Logga inn som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Logg ut herifrå\">Logg ut &raquo;</a>"
"E-mail","E-post"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","Adresse"
"Your Comment","Innspelet ditt"
"Say It!","Sei det!"
"Sorry, the comment form is closed at this time.","Innlegget er stengt for nye innspel."
"Close this window.","Lukk vindauget."
"Sorry, no posts matched your criteria.","Fann ingen innlegg i samsvar med søket ditt."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Driven med <a href=\"%s\" title=\"Drive av WordPress – eit toppmoderne personleg publiseringsverktøy\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Innlegget er passordverna. Skriv inn passordet for å sjå innspel."
"One Response to %s","Eitt svar til %s"
"%s Responses to %s","%s svar til %s"
"Comments are closed.","Det er ikkje høve til å kommentera dette innlegget."
"Logged in as <a href=\"%s\">%s</a>.","Logga inn som <a href=\"%s\">%s</a>."
"Log out of this account","Logg ut frå kontoen"
"Log out &raquo;","Logg ut &raquo;"
"(required)","(påkravd)"
"Mail (will not be published)","E-post (vert ikkje publisert)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Du kan bruka desse elementa: <code>%s</code>"
"Submit Comment","Send innspel"
"%s is proudly powered by %s","%s er glad for å bruka %s"
"%s and %s.","%s og %s."
"Entries (RSS)","Innlegg (RSS)"
"Comments (RSS)","Innspel (RSS)"
"%d queries. %s seconds.","%d førespurnader. %s sekund."
"You are currently browsing the archives for the %s category.","No ser du på arkiva for «%s»-kategorien."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"l, F jS, Y","D j. F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","No ser du på <a href=\"%s/\">%s</a>-bloggarkiva frå %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du søkte gjennom <a href=\"%s/\">%s</a>-bloggarkiva etter <strong>%s</strong>. Viss du ikkje finn noko nyttig i desse søkjeresultata, kan du prøva ei av desse lenkjene."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","No ser du på <a href=\"%s/\">%s</a>-arkiva."
"This page validates as XHTML 1.0 Transitional","Denne sida er gyldig XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Gyldig <abbr lang=\"en\" xml:lang=\"en\" title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML-vennenettverk"
"%d WordPress Update","%d WordPress-oppdatering"
"%d Plugin Update","%d innstikkoppdatering"
"%d Plugin Updates","%d innstikkoppdateringar"
"%d Theme Update","%d bunadoppdatering"
"%d Theme Updates","%d bunadoppdateringar"
"<strong>ERROR</strong>: The username field is empty.","<strong>Feil</strong>: Brukarnamnfeltet er tomt."
"<strong>ERROR</strong>: The password field is empty.","<strong>Feil</strong>: Passordfeltet er tomt."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>Feil</strong>: Ugyldig brukarnamn. <a href=\"%s\" title=\"Gløymt passord\">Har du gløymt passordet ditt</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>Feil</strong>: Kontoen er merkt som utsendar av søppel."
"Site Suspended.","Nettstaden er teken ned."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEIL</strong>: Passordet du skreiv inn for brukarnamnet <strong>%s</strong> er feil. <a href=\"%s\" title=\"Gløymte passord\">Har du gløymt passordet ditt?</a>?"
"Please log in again.","Logg inn att."
"Cannot create a user with an empty login name.","Kan ikkje oppretta ein brukar utan brukarnamn."
"There are no options for this widget.","Det finst ingen val for dette småprogrammet."
"Sidebar %d","Sidemeny %d"
"Sidebar","Sidemeny"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Greier ikkje velja databasen</h1>\n<p>Me greidde å kopla til databasetenaren. Det tyder at brukarnamnet og passordet ditt er i orden. Me greidde likevel ikkje å velja <code>%s</code>-databasen.</p>\n<ul>\n<li>Er du sikker på at databasen finst?</li>\n<li>Har databasebrukaren <code>%s</code> løyve til å bruka databasen <code>%s</code>?</li>\n<li>På nokre system har databasenamnet eit prefiks, til vanleg brukarnamnet ditt, slik at namnet blir <code>brukarnamn_%s</code>. Kan det vera problemet?</li>\n</ul>\n<p>Viss du ikkje veit korleis du lagar ein database, bør du <strong>kontakta netverten din</strong>. Går alt anna gale, kan du spørja om hjelp på <a href=\"http://wordpress.org/support/\">WordPress-foruma</a> (engelsk).</p>"
