"New password","Nytt lösenord"
"username and email used","användarnamn och e-postadress använt"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","E-postadressen används redan. Kolla din inkorg för aktiveringsmail. Du kan registrera dig med e-postadressen igen inom några dagar om ingen aktivering sker."
"Please enter a site name.","Ange ett webbplatsnamn."
"That name is not allowed.","Det namnet är inte tillåtet."
"Site name must be at least 4 characters.","Webbplatsnamn måste bestå av minst 4 tecken."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Användarnamn kan inte innehålla tecknet &#8221;_&#8221;!"
"Sorry, you may not use that site name.","Tyvärr, det webbplatsnamnet är inte tillåtet."
"Sorry, site names must have letters too!","Webbplatsnamn måste innehålla bokstäver också!"
"Please enter a site title.","Ange en webbplatstitel."
"Sorry, that site already exists!","Den webbplatsen finns redan registrerat!"
"Sorry, that site is reserved!","Tyvärr, den webbplatsen är reserverad!"
"That site is currently reserved but may be available in a couple days.","Den webbplatsen är för närvarande reserverad, men kan bli tillgänglig igen om några dagar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","För att aktivera din webbplats, var vänlig besök följande länk:\n\n%s\n\nEfter aktiveringen så kommer du att få *ytterligare ett mail* med dina inloggningsuppgifter.\n\nEfter aktiveringen så kan du besöka din webbplats här:\n\n%s"
"[%s] Activate %s","[%s] Aktivera %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","För att aktivera din användare, klicka på följande länk:\n\n%s\n\nNär du aktiverat din användare så kommer du att få *ytterligare ett mail* med dina inloggningsuppgifter."
"Invalid activation key.","Ogiltig aktiveringsnyckel."
"The user is already active.","Användaren är redan aktiv."
"The site is already active.","Webbplatsen är redan aktiverad."
"Could not create user","Kunde inte skapa användare"
"That username is already activated.","Det användarnamnet är redan aktiverat."
"Could not create site.","Kunde inte skapa webbplats."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny webbplats: %s\nURL: %s\nFrån IP: %s\n\nInaktivera dessa notifikationer: %s"
"New Site Registration: %s","Ny webbplatsregistrering: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny användare: %s\nFrån IP: %s\n\nInaktivera dessa notifikationer: %s"
"New User Registration: %s","Ny användarregistrering: %s"
"Already Installed","Redan installerat"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Du verkar redan ha installerat WordPress. För att installera om, rensa tabellerna i din databas först."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Kära användare,\n\nDin nya webbplats 'SITE_NAME' har skapats på:\nBLOG_URL\n\nDu kan logga in som administratör med följande information:\nAnvändarnamn: USERNAME\nLösenord: PASSWORD\nLogga in här: BLOG_URLwp-login.php\n\nHoppas du ska trivas med din nya webbplats. Tack!\n\n--Teamet @ SITE_NAME"
"New %s Site: %s","Ny %s webbplats: %s"
"New %s User: %s","Ny %s användare: %s"
"This file is too big. Files must be less than %d KB in size.","Filen är för stor. Filer måste vara mindre än %d Kb."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Ett fel uppstod när du skulle läggas till på denna webbplats. Tillbaka till <a href=\"%s\">startsidan</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du har lagts till på denna webbplats. Besök gärna <a href=\"%s\">startsidan</a> eller <a href=\"%s\">logga in</a> med ditt användarnamn och lösenord."
"WordPress &rsaquo; Success","WordPress &rsaquo; Klart"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Kära användare,\n\nDitt nya konto har skapats.\n\nDu kan logga in med följande uppgifter:\nAnvändarnamn: USERNAME\nLösenord: PASSWORD\nLOGINLINK\n\nTack!\n\n--Teamet @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Användaren har valt att avsluta sitt konto därav finns inget innehåll kvar."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Den här webbplatsen har inte blivit aktiverad än. Om du har problem med aktiveringen av din webbplats, var vänlig kontakta <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Den webbplatsen har blivit arkiverad eller avstängd."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Den webbplatsen finns inte. Var vänlig försök med <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Ingen webbplats definierad för denna host. Om du äger den här webbplatsen, se dokumentationen  <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> för vidare assistans."
"If your site does not display, please contact the owner of this network.","Om din webbplats inte visas, var vänlig kontakta ägaren av det här nätverket."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Om du är ägaren av det här nätverket, vänligen kontrollera att MySQL är igång och fungerar som det ska och att inga tabeller innehåller fel."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databastabeller saknas.</strong> Det betyder att MySQL inte körs, WordPress har inte installerats korrekt eller så har någon raderat <code>%s</code>. Du bör verkligen kontrollera din databas nu."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kunde inte hitta webbplatsen <code>%s</code>.</strong> Sökte efter tabell <code>%s</code> i databas <code>%s</code>. Är det korrekt?"
"What do I do now?","Vad gör jag nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Läs dokumentationen <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a>. Några av dessa riktlinjer kanske kan hjälpa dig att lista ut vad som gick fel."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Om du fortfarande får upp det här meddelandet, kontrollera så att databasen innehåller följande tabeller:"
"Multisite only works without the port number in the URL.","Multiwebbplatser fungerar endast utan portnummer i URLen."
"Database tables are missing.","Databastabeller saknas."
"No site by that name on this system.","Ingen webbplats med det namnet finns i det här systemet."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Menynamnet <strong>%s</strong> kolliderar med ett redan befintligt namn, var vänlig försök med ett annat namn."
"The given object ID is not that of a menu item.","Objekt ID angivet är inte det för ett menyobjekt."
"Custom","Anpassad"
"%s is a protected WP option and may not be modified","%s är en skyddad WP-inställning och kan inte ändras"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>FEL</strong>: Felaktigt användarnamn eller e-postadress."
"You should specify a nonce action to be verified by using the first parameter.","Du bör ange en &#8217;nonce&#8217; åtgärd som skall verifieras med hjälp av den första parametern."
"New comment on your post \"%s\"","En ny kommentar till ditt inlägg \"%s\""
"Author : %s (IP: %s , %s)","Författare: %s (IP: %s, %s)"
"E-mail : %s","E-post: %s"
"Comment:","Kommentar:"
"You can see all comments on this post here:","Alla kommentarer till det här inlägget:"
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","En ny trackback till ditt inlägg \\\"%s\\\""
"Website: %s (IP: %s , %s)","Webbplats: %s (IP: %s, %s)"
"Excerpt:","Utdrag:"
"You can see all trackbacks on this post here:","Alla trackbacks till det här inlägget:"
"New pingback on your post \"%s\"","En ny ping till ditt inlägg \"%s\""
"You can see all pingbacks on this post here:","Alla pingbackar till det här inlägget:"
"Permalink: %s","Permalänk: %s"
"Trash it: %s","Kasta i papperskorgen: %s"
"Delete it: %s","Radera den: %s"
"Spam it: %s","Märk som skräp: %s"
"A new trackback on the post \"%s\" is waiting for your approval","En ny trackback till inlägget \"%s\" väntar på ditt godkännande "
"Website : %s (IP: %s , %s)","Webbplats : %s (IP: %s , %s)"
"Trackback excerpt:","Trackback utdrag:"
"A new pingback on the post \"%s\" is waiting for your approval","En ny pingning till inlägget \"%s\" inväntar din granskning"
"Pingback excerpt:","Pingback utdrag:"
"A new comment on the post \"%s\" is waiting for your approval","En ny kommentar till inlägget \"%s\" inväntar din granskning"
"Approve it: %s","Godkänn den: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","För närvarande väntar %s kommentar på ditt godkännande. Vänligen besök granskningspanelen:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","För närvarande väntar %s kommentarer på ditt godkännande. Vänligen besök granskningspanelen:"
"[%s] Please moderate: \"%s\"","[%s] Vänligen moderera: \"%s\""
"Password Lost and Changed for user: %s","Användaren %s har glömt sitt lösenord. Lösenordet har ändrats."
"[%s] Password Lost/Changed","[%s] Lösenordet glömt/ändrat"
"New user registration on your site %s:","En ny användare har registrerat sig på din webbplats %s:"
"Username: %s","Användarnamn: %s"
"E-mail: %s","E-post: %s"
"[%s] New User Registration","[%s] Registrering av ny användare"
"Password: %s","Lösenord: %s"
"[%s] Your username and password","[%s] Ditt användarnamn och lösenord"
"Only a static class method or function can be used in an uninstall hook.","Endast en statisk klassmetod eller funktion kan användas för avinstallations-hook."
"Protected: %s","Lösenordsskyddad: %s"
"Private: %s","Privat: %s"
"(more...)","(Läs mer...)"
"There is no excerpt because this is a protected post.","Det finns inget utdrag eftersom det här är ett skyddat inlägg."
"Pages:","Sidor:"
"Next page","Nästa sida"
"Previous page","Föregående sida"
"Home","Hem"
"This post is password protected. To view it please enter your password below:","Det här inlägget är lösenordsskyddat. För att se det måste du ange ditt lösenord nedan:"
"Submit","Skicka"
"j F, Y @ G:i","j F, Y @ H:i"
"%s [Autosave]","%s [Autosparat]"
"%s [Current Revision]","%s [Nuvarande version]"
"%s by %s","%s av %s"
"Restore","Återställ"
"Compare Revisions","Jämför versioner"
"Old","Gammal"
"New","Nytt"
"Date Created","Datum skapat"
"Actions","Åtgärder"
"Post","Inlägg"
"Page","Sida"
"Add New","Skapa/lägg till"
"Edit Media","Redigera media"
"View Attachment Page","Visa sidan för bilaga"
"Revisions","Version"
"Revision","Version"
"Navigation Menu Items","Menyval navigation"
"Navigation Menu Item","Menyval navigation"
"Published","Publicerat"
"Published <span class=\"count\">(%s)</span>","Publicerade <span class=\"count\">(%s)</span>"
"Scheduled","Tidsinställt"
"Scheduled <span class=\"count\">(%s)</span>","Tidsinställda <span class=\"count\">(%s)</span>"
"Draft","Utkast"
"Draft <span class=\"count\">(%s)</span>","Utkast <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Utkast <span class=\"count\">(%s)</span>"
"Pending","Väntande"
"Pending <span class=\"count\">(%s)</span>","Väntande <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","Kasta i papperskorgen"
"Trash <span class=\"count\">(%s)</span>","Papperskorg <span class=\"count\">(%s)</span>"
"Invalid post","Ogiltigt inlägg"
"Pending Review","Väntar på granskning"
"Post types cannot exceed 20 characters in length","Inläggstyper kan inte överstiga 20 tecken"
"Posts","Inlägg"
"Pages","Sidor"
"Add New Post","Skapa nytt inlägg"
"Add New Page","Skapa ny sida"
"Edit Post","Redigera inlägg"
"Edit Page","Redigera sida"
"New Page","Ny sida"
"View Page","Visa sida"
"Search Posts","Sök inlägg"
"Search Pages","Sök sidor"
"No posts found.","Hittade inga inlägg."
"No pages found.","Hittade inga sidor."
"No posts found in Trash.","Inga inlägg hittades i papperskorgen."
"No pages found in Trash.","Hittade inga sidor i papperskorgen."
"Parent Page:","Modersida:"
"All Posts","Alla inlägg"
"All Pages","Alla sidor"
"Images","Bilder"
"Manage Images","Hantera bilder"
"Image <span class=\"count\">(%s)</span>","Bild <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Bilder <span class=\"count\">(%s)</span>"
"Audio","Ljud"
"Manage Audio","Hantera ljud"
"Audio <span class=\"count\">(%s)</span>","Ljud <span class=\"count\">(%s)</span>"
"Manage Video","Hantera videos"
"Video <span class=\"count\">(%s)</span>","Videos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Att passerar antalet poster är föråldrat. Passera en array av argument istället."
"Content, title, and excerpt are empty.","Innehåll, titel och utdrag är tomma."
"Whoops, the provided date is invalid.","Oops, angiven data är ogiltig."
"Could not update post in the database","Kunde inte uppdatera inlägget i databasen"
"Could not insert post into the database","Kunde inte infoga inlägget i databasen"
"The page template is invalid.","Sidmallen är felaktig."
"Content","Innehåll"
"Excerpt","Utdrag"
"Cannot create a revision of a revision","Kan inte skapa en version av en revision"
"You do not have permission to preview drafts.","Du saknar rättigheter för att förhandsgranska utkast."
"Aside","Notering"
"Gallery","Galleri "
"Link","Länk"
"Image","Bild"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Villkorstyrda query-taggar fungerar inte innan en query körs. Innan det återger de alltid false."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" är utfasat. Använd \"ignore_sticky_posts\" istället."
"This file no longer needs to be included.","Den här filen behöver inte längre inkluderas."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Vill du radera valda poster permanent? \n 'Avbryt' för att avbryta, 'OK' för att radera."
"Enter a word to look up:","Ange ett ord att slå upp:"
"Dictionary lookup","Ordboksuppslag"
"lookup","uppslag"
"Close all open tags","Stäng alla öppna taggar"
"close tags","stäng taggar"
"Enter the URL","Ange URLen"
"Enter the URL of the image","Ange bildens URL"
"Enter a description of the image","Ange en beskrivning av bilden"
"fullscreen","fullskärm"
"Toggle fullscreen mode","Fullskärm av/på"
"text direction","textriktning"
"Toggle Editor Text Direction","Växla textriktning i redigeraren"
"You do not have permission to do that.","Du saknar rättigheter för att göra det."
"An unidentified error has occurred.","Ett oidentifierat fel har uppstått."
"Dismiss","Avfärda"
"Next &gt;","Nästa &gt;"
"&lt; Prev","&lt; Föreg."
"of","av"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Den här funktionen kräver inbäddade ramar. Du har iframes inaktiverade eller så har inte din webbläsare stöd för dem."
"not configured","ej konfigurerat"
"You have attempted to queue too many files.","Du har försökt att kösätta för många filer."
"%s exceeds the maximum upload size for this site.","%s överstiger den maximala filstorleken för uppladdning på den här webbplatsen."
"This file is empty. Please try another.","Filen är tom. Försök med en annan."
"This file type is not allowed. Please try another.","Denna filtyp är inte tillåten. Försök med en annan."
"This file is not an image. Please try another.","Den här filen är inte en bild. Prova en annan."
"Memory exceeded. Please try another smaller file.","Minnesgräns överskrids. Prova en annan mindre fil."
"This is larger than the maximum size. Please try another.","Detta är större än den maximala storleken. Prova en annan."
"An error occurred in the upload. Please try again later.","Ett fel har uppstått vid uppladdningen. Var vänlig försök igen senare."
"There was a configuration error. Please contact the server administrator.","Det uppstod ett konfigurationsfel. Var vänlig kontakta serveradministratören."
"You may only upload 1 file.","Du kan bara ladda upp en fil i taget."
"HTTP error.","HTTP fel."
"Upload failed.","Uppladdning misslyckades."
"Please try uploading this file with the %sbrowser uploader%s.","Försök att ladda upp den här filen med den %swebbläsarbaserade uppladdaren%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s överstiger den maximala storleken för uppladdningar när de används i din webbläsare."
"IO error.","IO fel."
"Security error.","Säkerhetsfel."
"File canceled.","Fil annullerad."
"Upload stopped.","Uppladdning stoppad."
"Crunching&hellip;","Behandlar&hellip;"
"moved to the trash.","flyttad till papperskorgen."
"&#8220;%s&#8221; has failed to upload.","Uppladdningen av &#8220;%s&#8220; misslyckades."
"Strength indicator","Indikator för styrka"
"Very weak","Väldigt svagt"
"Weak","Svagt"
"Strong","Starkt"
"Mismatch","Inte matchande"
"(no title)","(utan rubrik)"
"No matches found.","Inga träffar."
"Save &amp; Activate","Spara &amp; aktivera"
"Save &amp; Publish","Spara &amp; publicera"
"Saved","Sparat"
"Add","Lägg till"
"Separate multiple categories with commas.","Separera flera kategorier med kommatecken."
"Approve and Reply","Godkänn och svara"
"Publish on:","Publicera den:"
"Schedule for:","Tidsinställ för:"
"Published on:","Publicerat den:"
"Show more comments","Visa fler kommentarer"
"No more comments found.","Inga fler kommentarer hittade."
"Publish","Publicera"
"Schedule","Tidsinställ"
"Save as Pending","Spara som väntande"
"Save Draft","Spara utkast"
"Public","Publikt"
"Public, Sticky","Publik, Klistrad"
"Password Protected","Lösenordsskyddat"
"Privately Published","Publicerat privat"
"Submitted on:","Skickat den:"
"Error while saving the changes.","Fel vid sparande av ändringar."
"Remove From Bulk Edit","Ta bort från massredigering"
"Plugin Information:","Tilläggsinformation:"
"Are you sure you want to install this plugin?","Är du säker på att du vill installera det här tillägget?"
"Select Color","Välj färg"
"Current Color","Nuvarande färg"
"Could not load the preview image. Please reload the page and try again.","Kunde inte ladda förhandsgranskningsbilden. Ladda om sidan och försök igen."
"Use as featured image","Använd som utvald bild"
"Saving...","Sparar..."
"Could not set that as the thumbnail image. Try a different attachment.","Kunde inte ange den som miniatyrbild. Försök med en annan bifogad fil."
"Done","Klart"
"No results found.","Hittade inga resultat."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Vill du radera den här menyn permanent? \n 'Avbryt' för att avbryta, 'OK' för att radera."
"Saving Draft&#8230;","Sparar utkast&#8230;"
"Navigation Menus","Navigeringsmenyer"
"Navigation Menu","Navigeringsmeny"
"Link Categories","Länkkategorier"
"Link Category","Länkkategori"
"Search Link Categories","Sök länkkategorier"
"All Link Categories","Alla länkkategorier"
"Edit Link Category","Redigera länkkategori"
"Update Link Category","Uppdatera länkkategori"
"Add New Link Category","Lägg till ny länkkategori"
"New Link Category Name","Namn för ny länkkategori"
"Taxonomies cannot exceed 32 characters in length","Taxonomier kan inte bestå av mer än 32 tecken"
"Tags","Etiketter"
"Categories","Kategorier"
"Tag","Etikett"
"Category","Kategori"
"Search Tags","Sök etiketter"
"Search Categories","Sök kategorier"
"Popular Tags","Populära etiketter"
"All Tags","Alla etiketter"
"All Categories","Alla kategorier"
"Parent Category","Kategoriförälder"
"Parent Category:","Moderkategori:"
"Edit Tag","Redigera etikett"
"Edit Category","Redigera kategori"
"View Tag","Visa Tag"
"View Category","Visa kategori"
"Update Tag","Uppdatera etikett"
"Update Category","Uppdatera kategori"
"Add New Tag","Lägg till en ny etikett"
"Add New Category","Lägg till ny kategori"
"New Tag Name","Namn för ny etikett"
"New Category Name","Namn för ny kategori"
"Separate tags with commas","Separera etiketter med kommatecken"
"Add or remove tags","Lägg till eller ta bort etiketter"
"Choose from the most used tags","Välj från de mest använda etiketterna"
"Empty Term","Tom term"
"A name is required for this term","Ett namn krävs för denna term"
"A term with the name provided already exists with this parent.","En term med namnet som angavs existerar redan med denna förälder."
"Could not insert term into the database","Kunde inte infoga term i databasen"
"A term with the name provided already exists.","En term med angivet namn existerar redan."
"Could not insert term relationship into the database","Kunde inte infoga termrelation i databasen"
"The slug &#8220;%s&#8221; is already in use by another term","Permalänken &#8221;%s&#8221; används redan"
"Invalid object ID","Ogiltigt objekt ID."
"Theme without %s","Tema utan %s"
"Please include a %s template in your theme.","Var vänlig inkludera en %s-mall i ditt tema."
"%s - Comments on %s","%s - kommentarer till %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr>-flöde för kommentarer till det här inlägget."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Uniform Resource Locator\">URL</abbr> för att skicka Trackback till det här inlägget är: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","av %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Inga kommentarer ännu."
"Leave a comment","Lämna en kommentar"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Automatiska rad- och styckebrytningar, e-postadressen visas aldrig. Tillåten <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Inloggad som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Logga ut från det här kontot\">Logga ut &raquo;</a>"
"E-mail","E-post"
"Your Comment","Din kommentar"
"Say It!","Skicka!"
"Sorry, the comment form is closed at this time.","Beklagar, kommentarsfunktionen är inaktiverad för närvarande."
"Close this window.","Stäng det här fönstret."
"Sorry, no posts matched your criteria.","Beklagar, inga inlägg matchade dina kriterier."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Drivs med <a href=\"%s\" title=\"Drivs med WordPress, en toppmodern, semantisk publiceringsplattform\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Det här inlägget är lösenordsskyddat. Ange lösenordet för att se eventuella kommentarer."
"One Response to %s","En kommentar till %s"
"%s Responses to %s","%s kommentarer till %s"
"Comments are closed.","Kommentarer inaktiverade."
"Logged in as <a href=\"%s\">%s</a>.","Inloggad som <a href=\"%s\">%s</a>."
"Log out of this account","Logga ut från det här kontot"
"Log out &raquo;","Logga ut &raquo;"
"(required)","(måste anges)"
"Mail (will not be published)","E-post (publiceras inte)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Du kan använda följande taggar: <code>%s</code>"
"Submit Comment","Skicka kommentar"
"%s is proudly powered by %s","%s drivs med %s"
"%s and %s.","%s och %s."
"Entries (RSS)","Inlägg (RSS)"
"Comments (RSS)","Kommentarer (RSS)"
"%d queries. %s seconds.","%d förfrågningar. %s sekunder."
"You are currently browsing the archives for the %s category.","Du bläddrar just nu i arkivet för kategorin %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Du bläddrar just nu i arkivet på <a href=\"%s/\">%s</a> för dagen %s."
"l, F jS, Y","l, j F, Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Du bläddrar just nu i arkivet på <a href=\"%s/\">%s</a> för %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Du bläddrar just nu i arkivet på <a href=\"%s/\">%s</a> för året %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du har sökt i arkivet på <a href=\"%s/\">%s</a> efter <strong>&#8216;%s&#8217;</strong>. Om du inte hittar det du söker i resultaten så kan du försöka med någon av dessa länkar."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Du bläddrar just nu i bloggarkivet på <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Den här sidan är validerande XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Validerande <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%d WordPress Update","%d Uppdatering för WordPress"
"%d Plugin Update","%d uppdatering för tillägg"
"%d Plugin Updates","%d uppdateringar för tillägg"
"%d Theme Update","%d uppdatering för tema"
"%d Theme Updates","%d uppdateringar för teman"
"<strong>ERROR</strong>: The username field is empty.","<strong>FEL</strong>: Användarnamnsfältet är tomt."
"<strong>ERROR</strong>: The password field is empty.","<strong>FEL</strong>: Lösenordsfältet är tomt."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEL</strong>: Felaktigt användarnamn. <a href=\"%s\" title=\"Återställ lösenord\">Glömt ditt lösenord</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>FEL</strong>: Ditt konto har fått anmärkning för skräppostning."
"Site Suspended.","Webbplats avstängd."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEL</strong>: Det lösenord du angav för användarnamn <strong>%s</strong> är felaktig. <a href=\"%s\" title=\"Återställning av lösenord\">Glömt ditt lösenord</a>?"
"Please log in again.","Var vänlig logga in igen."
"Cannot create a user with an empty login name.","Kan inte skapa en användare med ett tomt inloggningsnamn."
"There are no options for this widget.","Det finns inga inställningar för denna widget."
"Sidebar %d","Sidopanel %d"
"Sidebar","Sidopanel"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Kan inte välja databasen</h1>\n<p>Vi kunde ansluta mot databasservern (vilket betyder att ditt användarnamn och lösenord är korrekt angivna) men vi kunde inte välja databasen <code>%s</code>.</p>\n<ul>\n<li>Är du säker på att den finns?</li>\n<li>Har användaren <code>%s</code> rättigheter att använda <code>%s</code> databasen?</li>\n<li>På vissa system så används ditt användarnamn som databasprefix, så att det skulle bli t.ex <code>användarnamn_%s</code>. Kan det vara problemet?</li>\n</ul>\n<p>Om du inte vet hur du skapar en databas så bör du <strong>kontakta ditt webbhotell</strong>. Om allt annat misslyckas så kan du hitta hjälp på <a href=\"http://wpsv.se/forum/\">WordPress Sveriges forum</a> eller <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a> (engelska).</p>"
"WordPress database error %s for query %s made by %s","WordPress databasfel för %s förfrågan %s skapat av %s"
"WordPress database error %s for query %s","WordPress databasfel för %s förfrågan %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","<h1>Problem med att skapa en databasanslutning</h1>\n<p>Detta tyder på att användarnamnet och/eller lösenordet i din <code>wp-config.php</code>-fil är felaktigt eller att vi inte kan ansluta mot servern på <code>%s</code>. Detta kan bero på att din databasserver är nere.</p>\n<ul>\n\t<li>Är du säker på att du har rätt användarnamn och lösenord?</li>\n\t<li>Är du säker på att du angivit rätt adress till databasservern?</li>\n\t<li>Är du säker på att databasservern är online?</li>\n</ul>\n<p>Är du osäker på vad dessa termer betyder så bör du kanske kontakta ditt webbhotell. Behöver du fortfarande hjälp så kan du besöka <a href='http://wpsv.se/forum/'>WordPress Sveriges forum</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>FEL</strong>: WordPress %s kräver MySQL %s eller senare"
"Links for %s","Länkar för %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Filen <code>wp-config.php</code> verkar saknas. Denna fil behövs innan vi kan köra igång."
