"New password","Nova senha"
"Site name must be at least 4 characters.","O nome do site deve ter pelo menos 4 caracteres."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Os nomes de sites não podem conter o caractere &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Você não pode usar este nome de site."
"Sorry, site names must have letters too!","Os nomes de site devem conter letras também!"
"Please enter a site title.","Digite um título para o site."
"Sorry, that site already exists!","Este site já existe!"
"Sorry, that site is reserved!","Este site está reservado!"
"That site is currently reserved but may be available in a couple days.","Este site está reservado, mas pode ficar disponível em alguns dias."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Para ativar seu blog, clique no seguinte link:\n\n%s\n\nAnte de ativá-lo, você receberá *outro email* com seu login.\n\nAntes de ativá-lo, você pode visitar seu site aqui:\n\n%s"
"[%s] Activate %s","[%s] Ativar %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Para ativar seu usuário, clique no link abaixo:\n\n%s\n\nDepois de ativá-lo, você receberá outra mensagem com o seu login."
"Invalid activation key.","Chave de ativação inválida."
"The user is already active.","O usuário já está ativo."
"The site is already active.","O site já está ativo."
"Could not create user","Não foi possível criar usuário"
"That username is already activated.","Esse nome de usuário já está ativado."
"Could not create site.","Não foi possível criar site."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novo Site: %s\nURL: %s\nIP remoto: %s\n\nDesativar estas notificações: %s"
"New Site Registration: %s","Registro de novo site: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novo usuários: %s\nIP remoto: %s\n\nDesativar estas notificações: %s"
"New User Registration: %s","Registro de novo usuário: %s"
"Already Installed","Já instalado"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Parece que você já possui o WordPress instalado. Para reinstalá-lo primeiro limpe as tabelas de seu banco de dados antigo."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Caro usuário,\n \n O seu novo site SITE_NAME foi configurado com sucesso em:\n BLOG_URL\n Já pode fazer login usando a conta de administração com a seguinte informação: \n Usuário: USERNAME\n Senha: PASSWORD\n Faça login aqui: BLOG_URLwp-login.php\n \n Esperamos que disfrute do seu novo site. Obrigado!\n \n -- A equipe @ SITE_NAME"
"New %s Site: %s","Novo %s Site: %s"
"New %s User: %s","Novo %s Usuário: %s"
"This file is too big. Files must be less than %d KB in size.","Este arquivo é muito grande. O tamanho dos arquivos deve ser menor que %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Ocorreu um erro ao adicionar você a este site. Voltar para a <a href=\"%s\">página principal</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Você foi adicionado a este site. Visite a <a href=\"%s\">página inicial</a> ou <a href=\"%s\">faça o login</a> usando seu nome de usuário e senha."
"WordPress &rsaquo; Success","WordPress &rsaquo; Sucesso"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Caro usuário,\n\nSua nova conta foi configurada.\n\nVocê pode fazer login com a seguinte informação:\nNome de usuário: USERNAME\nSenha: PASSWORD\nLOGINLINK\n\nObrigado!\n\n--O time @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Este usuário optou por excluir sua conta e o conteúdo não está mais disponível."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","O site não foi ativado ainda. Se você estiver com problemas para ativar seu site, contate <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Este site foi arquivado ou suspenso."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Este site não existe. Tente <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Nenhum site definido neste servidor. Se você for o dono deste site, confira <a href=\"http://codex.wordpress.org/pt-br:Depurando_uma_Rede_WordPress\">Depurando uma Rede WordPress</a> para obter ajuda."
"If your site does not display, please contact the owner of this network.","Se seu site não é exibido, entre em contato com o proprietário desta rede."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Se você é o proprietário desta rede, confira se o MySQL está funcionando adequadamente e se todas as tabelas estão livres de erros."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>As tabelas do banco de dados estão ausentes</strong>. Isto significa que o MySQL não está funcionando. O WordPress não foi instalado adequadamente, ou alguém excluiu <code>%s</code>. Você realmente deveria olhar o seu banco de dados agora."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Não foi possível encontrar o site <code>%s</code>.</strong> Procuramos pela tabela <code>%s</code> no banco de dados <code>%s</code>. Está correto?"
"What do I do now?","O que faço agora?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Leia a página  <a target=\"_blank\" href=\"http://codex.wordpress.org/pt-br:Depurando_uma_Rede_WordPress\">Depurando uma Rede WordPres</a>. Algumas dicas vão ajuá-lo a saber o que está errado."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Se você ainda está preso com esta mensagem sendo exibida, confira se seu banco de dados contém as seguintes tabelas:"
"Multisite only works without the port number in the URL.","O Multisite só funciona sem o número da porta no URL."
"Database tables are missing.","As tabelas do banco de dados estão ausentes."
"No site by that name on this system.","Nenhum site com este nome no sistema."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","O nome <strong>%s</strong> do menu está conflitante com outro nome de menu. Tente outro."
"The given object ID is not that of a menu item.","A ID do objeto fornecido não é de um item de menu."
"Custom","Personalizado"
"%s is a protected WP option and may not be modified","%s é uma opção protegida do WP e não pode ser modificada"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ERRO</strong>: Nome de usuário inválido ou senha incorreta."
"You should specify a nonce action to be verified by using the first parameter.","Você deve especificar uma ação \"nonce\" para ser verificada usando o primeiro parâmetro ."
"New comment on your post \"%s\"","Novo comentário sobre seu post \"%s\" "
"Author : %s (IP: %s , %s)","Autor: %s (IP: %s , %s)"
"E-mail : %s","Email: %s"
"Comment:","Comentário:"
"You can see all comments on this post here:","Você pode ver todos os comentários sobre esse post aqui:"
"[%s] Comment: \"%s\"","[%s] Comentário: \"%s\""
"New trackback on your post \"%s\"","Novo trackback para o seu post \"%s\""
"Website: %s (IP: %s , %s)","Site: %s (IP: %s , %s)"
"Excerpt:","Resumo:"
"You can see all trackbacks on this post here:","Você pode ver todos os trackbacks deste post aqui:"
"New pingback on your post \"%s\"","Novo pingback para o seu post \"%s\""
"You can see all pingbacks on this post here:","Você pode ver todos os pingbacks do seu post aqui:"
"Permalink: %s","Link Permanente: %s"
"Trash it: %s","Mover para a Lixeira: %s"
"Delete it: %s","Excluir: %s"
"Spam it: %s","Marcar como spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Um novo trackback para o post \"%s\" está aguardando sua aprovação."
"Website : %s (IP: %s , %s)","Site : %s (IP: %s , %s)"
"Trackback excerpt:","Resumo do trackback:"
"A new pingback on the post \"%s\" is waiting for your approval","Um novo pingback para o post \"%s\" está esperando sua aprovação."
"Pingback excerpt:","Resumo de pingback:"
"A new comment on the post \"%s\" is waiting for your approval","Um novo comentário sobre o post \"%s\" está esperando sua aprovação."
"Approve it: %s","Aprovar: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","No momento, %s esperam aprovação. Visite o painel de moderação:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","No momento, %s comentários aguardam aprovação. Visite o painel de moderação:"
"[%s] Please moderate: \"%s\"","[%s] Moderar: \"%s\""
"Password Lost and Changed for user: %s","Senha perdida e alterada para o usuário: %s"
"[%s] Password Lost/Changed","[%s] Senha perdida/alterada"
"New user registration on your site %s:","Novo usuário registrado em seu site %s:"
"Username: %s","Nome de usuário: %s"
"E-mail: %s","Email: %s"
"[%s] New User Registration","[%s] Registro de novo usuário"
"Password: %s","Senha: %s"
"[%s] Your username and password","[%s] Seu nome de usuário e senha"
"Only a static class method or function can be used in an uninstall hook.","Apenas um método de classe estática ou função podem ser usados em um hook de desinstalação."
"Protected: %s","Protegido: %s"
"Private: %s","Privado: %s"
"(more...)","(mais...)"
"There is no excerpt because this is a protected post.","Não há resumo por ser um post protegido."
"Pages:","Páginas:"
"Next page","Próxima página"
"Previous page","Página anterior"
"Home","Início"
"This post is password protected. To view it please enter your password below:","Este post está protegido por senha. Para vê-lo, digite sua senha abaixo:"
"Submit","Enviar"
"j F, Y @ G:i","j \\d\\e F \\d\\e Y, \\à\\s G:i"
"%s [Autosave]","%s [Salvamento automático]"
"%s [Current Revision]","%s [Revisão Atual]"
"%s by %s","%s por %s"
"Restore","Restaurar"
"Compare Revisions","Comparar Revisões"
"Old","Antigas"
"New","Novo"
"Date Created","Data de criação"
"Actions","Ações"
"Page","Página"
"Media","Mídia"
"Add New","Adicionar Novo"
"Edit Media","Editar Mídia"
"View Attachment Page","Ver página de Anexos"
"Revisions","Revisões"
"Revision","Revisão"
"Navigation Menu Items","Itens do menu de navegação"
"Navigation Menu Item","Item do menu de navegação"
"Published","Publicado"
"Published <span class=\"count\">(%s)</span>","Publicados <span class=\"count\">(%s)</span>"
"Scheduled","Agendado"
"Scheduled <span class=\"count\">(%s)</span>","Agendados <span class=\"count\">(%s)</span>"
"Draft","Rascunho"
"Draft <span class=\"count\">(%s)</span>","Rascunho <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Rascunhos <span class=\"count\">(%s)</span>"
"Pending","Pendente"
"Pending <span class=\"count\">(%s)</span>","Pendentes <span class=\"count\">(%s)</span>"
"Private","Privado"
"Private <span class=\"count\">(%s)</span>","Privados <span class=\"count\">(%s)</span>"
"Trash","Lixo"
"Trash <span class=\"count\">(%s)</span>","Lixos <span class=\"count\">(%s)</span>"
"Invalid post","Post inválido"
"Pending Review","Revisão pendente"
"Post types cannot exceed 20 characters in length","Os tipos de post não podem exceder 20 caracteres de comprimento"
"Pages","Páginas"
"Add New Post","Adicionar novo post"
"Add New Page","Adicionar nova página"
"Edit Post","Editar post"
"Edit Page","Editar página"
"New Page","Nova Página"
"View Page","Ver Página"
"Search Posts","Pesquisar posts"
"Search Pages","Pesquisar páginas"
"No posts found.","Nenhum post encontrado."
"No pages found.","Páginas não encontradas."
"No posts found in Trash.","Nenhum post encontrado na Lixeira."
"No pages found in Trash.","Nenhuma página encontrada na Lixeira."
"Parent Page:","Página mãe:"
"All Posts","Todos os Posts"
"All Pages","Todas as Páginas"
"Images","Imagens"
"Manage Images","Gerenciar imagens"
"Image <span class=\"count\">(%s)</span>","Imagem <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Imagens <span class=\"count\">(%s)</span>"
"Audio","Áudio"
"Manage Audio","Gerenciar áudios"
"Audio <span class=\"count\">(%s)</span>","Áudios <span class=\"count\">(%s)</span>"
"Video","Vídeo"
"Manage Video","Gerenciar vídeos"
"Video <span class=\"count\">(%s)</span>","Vídeos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Passar um número inteiro de posts está obsoleto. Passe uma array de argumentos em vez disso."
"Content, title, and excerpt are empty.","O conteúdo, o título e o resumo estão vazios."
"Whoops, the provided date is invalid.","Opa, a data informada é inválida."
"Could not update post in the database","Não foi possível atualizar o post no banco de dados"
"Could not insert post into the database","Não foi possível inserir o post no banco de dados"
"The page template is invalid.","O modelo da página é inválido."
"Content","Conteúdo"
"Excerpt","Resumo"
"Cannot create a revision of a revision","Não é possível criar uma revisão de uma revisão"
"You do not have permission to preview drafts.","Sem permissão para visualizar rascunhos."
"Standard","Padrão"
"Aside","Nota"
"Gallery","Galeria"
"Image","Imagem"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Tags Condicionais não funcionam antes da consulta rodar. Antes disso, elas sempre retornam falsas."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" é obsoleto. Use \"ignore_sticky_posts\" no lugar."
"This file no longer needs to be included.","Esse arquivo não precisa mais ser incluído."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Você está prestes a excluir permanentemente os itens selecionados.\n  'Cancelar' para interromper, 'OK' para excluir."
"Enter a word to look up:","Digite uma palavra para procurá-la:"
"Dictionary lookup","Pesquisa no dicionário"
"lookup","procurar"
"Close all open tags","Fechar todas as tags abertas"
"close tags","fechar tags"
"Enter the URL","Digite o URL"
"Enter the URL of the image","Digite a URL da imagem"
"Enter a description of the image","Digite uma descrição da imagem"
"fullscreen","tela cheia"
"Toggle fullscreen mode","Ativar/desativar modo de tela inteira"
"text direction","direção do texto"
"Toggle Editor Text Direction","Alternar direção de texto do Editor"
"You do not have permission to do that.","Sem permissão para fazer isso."
"An unidentified error has occurred.","Ocorreu um erro não identificado."
"Dismiss","Dispensar"
"Next &gt;","Próximo &raquo;"
"&lt; Prev","&laquo; Anterior"
"of","de"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Este recurso necessita frames em linha. Os iframes estão desativados por você ou seu navegador não os suporta."
"not configured","não configurado"
"You have attempted to queue too many files.","Você tentou colocar um número muito grande de arquivos na fila."
"%s exceeds the maximum upload size for this site.","%s ultrapassa o limite de tamanho de arquivo para envio deste site."
"This file is empty. Please try another.","Esse arquivo está vazio. Tente outro."
"This file type is not allowed. Please try another.","Este tipo de arquivo não é permitido. Tente outro tipo."
"This file is not an image. Please try another.","Este arquivo não é uma imagem. Tente outro."
"Memory exceeded. Please try another smaller file.","Memória excedida. Tente um arquivo menor."
"This is larger than the maximum size. Please try another.","Isto é maior do que o tamanho máximo. Tente outro."
"An error occurred in the upload. Please try again later.","Erro ao enviar. Tente mais tarde."
"There was a configuration error. Please contact the server administrator.","Erro de configuração. Contate o administrador do servidor."
"You may only upload 1 file.","Você só pode enviar 1 arquivo."
"HTTP error.","Erro de HTTP."
"Upload failed.","O upload falhou."
"Please try uploading this file with the %sbrowser uploader%s.","Tente enviar este arquivo com o %suploader do navegador %s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s excede o tamanho máximo de arquivo para envio múltiplos  quando usado em seu navegador."
"IO error.","Erro IO."
"Security error.","Erro de segurança."
"File canceled.","Arquivo cancelado."
"Upload stopped.","Envio interrompido."
"Crunching&hellip;","Processando&hellip;"
"moved to the trash.","movido para a lixeira."
"&#8220;%s&#8221; has failed to upload.","Falha ao fazer upload de &#8220;%s&#8221;."
"Strength indicator","Indicador de força"
"Very weak","Muito fraca"
"Weak","Fraca"
"Strong","Forte"
"Mismatch","Incompatibilidade"
"(no title)","(sem título)"
"No matches found.","Nenhuma ocorrência encontrada."
"Save &amp; Activate","Salvar &amp; Ativar"
"Save &amp; Publish","Salvar &amp; Publicar"
"Saved","Salvo"
"Add","Adicionar"
"Separate multiple categories with commas.","Separe várias categorias com vírgulas."
"Approve and Reply","Aprovar e Responder"
"Publish on:","Publicar em:"
"Schedule for:","Agendado para:"
"Published on:","Publicado em:"
"Show more comments","Mostrar mais comentários"
"No more comments found.","Não foram encontrados mais comentários."
"Publish","Publicar"
"Schedule","Agendar"
"Save as Pending","Salvar como pendente"
"Save Draft","Salvar como rascunho"
"Public","Público"
"Public, Sticky","Público, Fixo "
"Password Protected","Protegida por senha"
"Privately Published","Publicado de maneira privada"
"Submitted on:","Enviado em:"
"Error while saving the changes.","Erro ao salvar alterações."
"Remove From Bulk Edit","Remover da Edição em Massa"
"Plugin Information:","Informação do plugin:"
"Are you sure you want to install this plugin?","Tem certeza que quer instalar este plugin?"
"Select Color","Selecionar Cor"
"Current Color","Cor atual"
"Could not load the preview image. Please reload the page and try again.","Não foi possível carregar a visualização da imagem. Recarregue a página e tente novamente."
"Use as featured image","Usar como imagem destacada"
"Saving...","Salvando..."
"Could not set that as the thumbnail image. Try a different attachment.","Não foi possível configurar este anexo como a imagem miniatura. Tente um anexo diferente."
"Done","Concluído"
"No results found.","Nenhum resultado encontrado."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Você está prestes a excluir permanentemente este menu.\n  'Cancelar' para interromper, 'OK' para excluir."
"Saving Draft&#8230;","Salvando rascunho&hellip;"
"Navigation Menus","Menus de navegação"
"Navigation Menu","Menu de navegação"
"Link Categories","Categorias de Links"
"Link Category","Categoria de Link"
"Search Link Categories","Pesquisar Categorias de Links"
"All Link Categories","Todas as Categorias de Links"
"Edit Link Category","Editar categoria de link"
"Update Link Category","Atualizar categoria de links"
"Add New Link Category","Adicionar nova categoria de links"
"New Link Category Name","Nome da nova categoria de links"
"Taxonomies cannot exceed 32 characters in length","Taxonomias não podem exceder 32 caracteres de comprimento"
"Categories","Categorias"
"Category","Categoria"
"Search Tags","Pesquisar Tags"
"Search Categories","Pesquisar categorias"
"Popular Tags","Tags Populares"
"All Tags","Todas as tags"
"All Categories","Todas as Categorias"
"Parent Category","Categoria mãe"
"Parent Category:","Categoria mãe:"
"Edit Tag","Editar tag"
"Edit Category","Editar categoria"
"View Tag","Ver Tag"
"View Category","Ver Categoria"
"Update Tag","Atualizar tag"
"Update Category","Atualizar categoria"
"Add New Tag","Adicionar nova tag"
"Add New Category","Adicionar nova categoria"
"New Tag Name","Nome da nova tag"
"New Category Name","Nome da nova categoria"
"Separate tags with commas","Separe as tags com vírgulas"
"Add or remove tags","Adicionar ou remover tags"
"Choose from the most used tags","Escolha entre as tags mais usadas"
"Empty Term","Termo em branco"
"A name is required for this term","Um nome é necessário para esse termo"
"A term with the name provided already exists with this parent.","Um termo com o nome fornecido já existe com este pai."
"Could not insert term into the database","Não foi possível inserir o termo no banco de dados"
"A term with the name provided already exists.","Um termo com o nome fornecido já existe."
"Could not insert term relationship into the database","Não foi possível inserir a relação do termo no banco de dados"
"The slug &#8220;%s&#8221; is already in use by another term","O slug &#8220;%s&#8221; já está sendo utilizado por outro termo"
"Invalid object ID","ID do objeto inválida."
"Theme without %s","Tema sem %s"
"Please include a %s template in your theme.","Inclua um modelo %s em seu tema."
"%s - Comments on %s","%s - Comentários sobre %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","Feed <abbr title=\"Really Simple Syndication\">RSS</abbr> para comentários sobre este post."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","O <abbr title=\"Universal Resource Locator\">URL</abbr> de TrackBack deste post é: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","por %s &#8212; %s em <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Nenhum comentário ainda."
"Leave a comment","Deixe um comentário"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Quebras de linhas e parágrafos são automáticos, os endereços de email nunca são exibidos, <acronym title=\"Hypertext Markup Language\">HTML</acronym> permitido: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Conectado como <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Desconectar desta conta\">Desconectar&raquo;</a>"
"E-mail","Email"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Universal Resource Locator (Localizador Universal de Recursos)\">URL</abbr>"
"Your Comment","Seu comentário"
"Say It!","Comente!"
"Sorry, the comment form is closed at this time.","Os comentários estão fechados."
"Close this window.","Fechar esta janela."
"Sorry, no posts matched your criteria.","Nenhum post encontrado com estes critérios."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Powered by <a href=\"%s\" title=\"Powered by WordPress, uma plataforma semântica de vanguarda para publicação pessoal\"><strong>WordPress</strong></a> "
"This post is password protected. Enter the password to view comments.","Este post é protegido por senha. Digite a senha para ver os comentários."
"One Response to %s","Uma resposta para %s"
"%s Responses to %s","%s respostas para %s"
"Comments are closed.","Os comentários estão fechados."
"Logged in as <a href=\"%s\">%s</a>.","Conectado como <a href=\"%s\">%s</a>."
"Log out of this account","Sair desta conta"
"Log out &raquo;","Sair &raquo;"
"(required)","(obrigatório)"
"Mail (will not be published)","Email (não será publicado)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","Você pode usar estas tags <strong>XHTML:</strong>: <code>%s</code>"
"Submit Comment","Enviar comentário"
"%s is proudly powered by %s","%s é orgulhosamente mantido com %s"
"%s and %s.","%s e %s."
"Entries (RSS)","Entradas (RSS)"
"Comments (RSS)","Comentários (RSS)"
"%d queries. %s seconds.","%d consultas. %s segundos."
"You are currently browsing the archives for the %s category.","Você está no arquivo da categoria %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Você está no arquivo do dia %s do blog <a href=\"%s/\">%s</a>."
"l, F jS, Y","I, j \\\\d\\\\e F \\\\d\\\\e Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Você está no arquivo de %s do blog <a href=\"%s/\">%s</a>."
"F, Y","F \\\\d\\\\e Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Você está no arquivo do ano de %s do blog <a href=\"%s/\">%s</a>. "
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Você pesquisou nos arquivos do blog <a href=\"%s/\">%s</a> por <strong>&#8216;%s&#8217;</strong>. Se não encontrou o que queria nestes resultados, você pode tentar um destes links."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Você está no arquivo do blog <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Esta página foi validada como XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","<abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr> Válido"
"XHTML Friends Network","Rede de amigos XHTML"
"%d WordPress Update","%d Atualização do WordPress"
"%d Plugin Update","%d atualização de plugin"
"%d Plugin Updates","%d atualizações de plugin"
"%d Theme Update","%d atualização de temas"
"%d Theme Updates","%d atualização de temas"
"<strong>ERROR</strong>: The username field is empty.","<strong>ERRO</strong>: O campo do nome de usuário está vazio."
"<strong>ERROR</strong>: The password field is empty.","<strong>ERRO</strong>: O campo da senha está vazio."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRO</strong>: Nome de usuário inválido. <a href=\"%s\" title=\"Password Lost and Found\">Perdeu sua senha</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ERRO</strong>: Sua conta foi marcada como spammer."
"Site Suspended.","Site suspenso."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERRO</strong>: A senha que você forneceu para o usuário <strong>%s</strong> está incorreta <a href=\"%s\" title=\"Recuperação de Senha\">Esqueceu sua senha</a>?"
"Please log in again.","Faça login novamente."
"Cannot create a user with an empty login name.","Impossível criar um usuário com o nome de login vazio."
"There are no options for this widget.","Não existem opções para esse widget."
"Sidebar %d","Barra lateral %d"
"Sidebar","Lateral"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Não foi possível selecionar o banco de dados</h1>\n<p>Foi possível conectar o servidor de banco de dados (o que significa que os seus nome de usuário e senha estão ok), mas não foi possível selecionar o banco de dados <code>%s</code>.</p>\n<ul>\n<li>Tem certeza que este banco de dados existe?</li>\n<li>O usuário <code>%s</code> possui permissão para usar o banco de dados <code>%s</code>?</li>\n<li>Em alguns sistemas o nome do seu banco de dados possui como prefixo o seu nome de usuário, portanto ele seria algo como <code>username_%s</code>. Pode ser este o problema?</li>\n</ul>\n<p>Se você não sabe como configurar seu banco de dados você deveria <strong>contatar o seu servidor</strong>. Se nada der certo, você pode encontrar ajuda nos <a href=\"http://br.forums.wordpress.org\">Fóruns de Suporte do WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","Erro de banco de dados do WordPress %s para a consulta %s feita por %s"
"WordPress database error %s for query %s","Erro de banco de dados do WordPress %s para a consulta %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Erro ao estabelecer conexão com o banco de dados</h1>\n<p>Isso significa que as informações de nome de usuário e senha em seu arquivo <code>wp-config.php</code> estão incorretas ou não é possível contatar o servidor do banco de dados em<code>%s</code>. Isso pode significar que o servidor de banco de dados da sua hospedagem está fora do ar.</p>\n<ul>\n\t<li>Você tem certeza que o nome de usuário e a senha estão corretos?</li>\n\t<li>Você tem certeza que digitou o nome do host corretamente?</li>\n\t<li>Você tem certeza que o servidor do banco de dados está funcionando?</li>\n</ul>\n<p>Se você não tem certeza sobre o que estes termos significam, provavelmente você deve contatar sua hospedagem.Se você ainda precisar de ajuda, você sempre poderá visitar os <a href='http://wordpress.org/support/'>Fóruns de Suporte do WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ERRO</strong>: o WordPress %s requer MySQL %s ou superior"
"Links for %s","Links para %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Parece que o arquivo <code>wp-config.php</code> não existe. Preciso deste arquivo para começar."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Precisa de mais ajuda? <a href='http://codex.wordpress.org/pt-br:Editando_wp-config.php'>Nós temos</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Você pode criar o arquivo<code>wp-config.php</code> através da interface web, mas isso nem sempre funciona para todos os tipos de servidores. O modo mais seguro é criar o arquivo manualmente."
"Create a Configuration File","Criar um Arquivo de Configuração"
"Are you lost?","Você está perdido?"
"&larr; Back to %s","&larr; Voltar para %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ERRO</strong>: Digite um nome de usuário ou endereço de email."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>ERRO</strong>: Nenhum usuário registrado com esse endereço de email."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ERRO</strong>: Nome de usuário ou email inválidos."
"Password reset is not allowed for this user","Esse usuário não possui permissão para reconfigurar senha"
