"New password","Neues Passwort"
"Uploaded to this page","Zu dieser Seite hochgeladen"
"Uploaded to this post","Zu diesem Beitrag hochgeladen"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Du bist gerade dabei, dieses Element unwiderruflich zu löschen.\n  'Abbrechen' zum Stoppen, 'OK' zum Löschen."
"Insert from URL","Von URL einfügen"
"Set Featured Image","Beitragsbild festlegen"
"Set featured image","Beitragsbild festlegen"
"Create Gallery","Galerie erstellen"
"&#8592; Cancel Gallery","&#8592; Galerie abbrechen"
"Insert gallery","Galerie einfügen"
"Update gallery","Update Galerie"
"Add to gallery","Zur Galerie hinzufügen"
"Add to Gallery","Zur Galerie hinzufügen"
"Reverse order","Sortierung umkehren"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Die Konstante <code>VHOST</code> <strong>ist veraltet</strong>. Nutze die Boolean-Konstante <code>SUBDOMAIN_INSTALL</code> in der Datei wp-config.php, um die Konfiguration von Subdomains zu aktivieren. Mit der Funktion <code>is_subdomain_install()</code> kannst du überprüfen, ob die Subdomain-Konfiguration aktiviert ist."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Widersprüchliche Angaben für die Konstanten VHOST und SUBDOMAIN_INSTALL.</strong> Es wird der Wert von SUBDOMAIN_INSTALL für die Konfigurationseinstellungen von Subdomains übernommen."
"The requested user does not exist.","Der angeforderte Benutzer existiert nicht."
"That user does not exist.","Dieser Benutzer existiert nicht."
"<strong>ERROR</strong>: Site URL already taken.","<strong>FEHLER</strong>: Seiten-Adresse ist schon vergeben."
"<strong>ERROR</strong>: problem creating site entry.","<strong>FEHLER</strong>: Problem beim Erstellen der Seiten."
"Only lowercase letters (a-z) and numbers are allowed.","Es sind nur Kleinbuchstaben und Ziffern erlaubt."
"Please enter a username.","Bitte gib einen Benutzernamen ein."
"That username is not allowed.","Dieser Benutzername ist nicht erlaubt."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Du kannst dich leider nicht mit dieser E-Mail-Adresse registrieren, da dein E-Mail-Anbieter einen Teil unserer E-Mails blockiert. Nutze bitte eine E-Mailadresse eines anderen E-Mail-Anbieters."
"Username must be at least 4 characters.","Der Benutzername muss mindestens aus 4 Zeichen bestehen."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Benutzernamen dürfen keinen Unterstrich enthalten."
"Sorry, usernames must have letters too!","Entschuldige, aber Benutzernamen müssen auch Buchstaben enthalten!"
"Please enter a valid email address.","Bitte gib eine gültige E-Mail-Adresse ein."
"Sorry, that email address is not allowed!","Diese E-Mail-Adresse ist nicht erlaubt!"
"Sorry, that username already exists!","Entschuldige, aber der Benutzername existiert bereits!"
"Sorry, that email address is already used!","Entschuldige, aber diese Email-Adresse wird bereits verwendet!"
"That username is currently reserved but may be available in a couple of days.","Dieser Benutzername ist derzeit reserviert, ist aber möglicherweise in den nächsten Tagen verfügbar."
"username and email used","Benutzername und E-Mail-Adresse wurden schon verwendet"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Diese E-Mail-Adresse wurde bereits verwendet. Bitte schau in deinem Postfach nach der Aktivierungsmail. Falls du keine bekommen oder die Mail bereits gelöscht hast, kannst du dich in ein paar Tagen erneut mit dieser E-Mail-Adresse registrieren."
"Please enter a site name.","Bitte gib einen Seitennamen ein."
"That name is not allowed.","Dieser Name ist nicht erlaubt."
"Site name must be at least 4 characters.","Der Seitenname muss mindestens 4 Zeichen lang sein."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Entschuldigung, Seitenadressen dürfen keinen Unterstrich im Namen haben."
"Sorry, you may not use that site name.","Dieser Seitename darf leider nicht verwendet werden."
"Sorry, site names must have letters too!","Entschuldige, Seitennamen müssen auch Buchstaben enthalten!"
"Please enter a site title.","Bitte gib einen Seitentitel ein."
"Sorry, that site already exists!","Diese Webseite existiert bereits."
"Sorry, that site is reserved!","Entschuldige, aber diese Seite wurde bereits reserviert!"
"That site is currently reserved but may be available in a couple days.","Diese Seite wurde bereits reserviert, ist aber eventuell in ein paar Tagen wieder verfügbar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Um deine Webseite zu aktivieren, klicke bitte auf folgenden Link:\n\n%s\n\nNach der Aktivierung wirst du eine weitere E-Mail mit deinen Zugangsdaten erhalten.\n\nNach der Aktivierung kannst du deine Webseite unter der folgenden URL aufrufen:\n%s"
"[%s] Activate %s","[%s] Aktivieren %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Um den Benutzer zu aktivieren, klicke bitte folgenden Link:\n\n%s\n\nNach dem Aktivieren, bekommst du eine weitere E-Mail mit deinem Login."
"Invalid activation key.","Ungültiger Aktivierungsschlüssel."
"The user is already active.","Der Benutzer ist bereits aktiviert."
"The site is already active.","Diese Seite ist bereits aktiv."
"Could not create user","Der Benutzer konnte nicht erstellt werden"
"That username is already activated.","Dieser Benutzername wurde bereits aktiviert."
"Could not create site.","Seite konnte nicht angelegt werden."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Neue Seite: %s\nURL: %s\nRemote IP: %s\n\nDeaktiviere diese Mitteilungen: %s"
"New Site Registration: %s","Neue Registrierung einer Seite: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Neuer Benutzer: %s\nRemote IP: %s\n\nDeaktiviere diese Mitteilungen: %s\n"
"New User Registration: %s","Neue Benutzerregistrierung: %s"
"Already Installed","Bereits installiert"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","WordPress ist bereits installiert. Für eine Neuinstallation lösche bitte zuerst deine alte Datenbank."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Hallo,\n\ndeine neue Seite SITE_NAME wurde erfolgreich angelegt und ist nun unter folgender Adresse zu erreichen:\nBLOG_URL\n\nDu kannst dich mit folgenden Daten als Administrator einloggen:\nBenutzername: USERNAME\nPasswort: PASSWORD\nLogin unter: BLOG_URLwp-login.php\n\nViel Spaß mit deiner neuen Seite!\n\n--Das Team von SITE_NAME"
"New %s Site: %s","Neue %s Seite: %s"
"New %s User: %s","Neuer %s Benutzer: %s"
"This file is too big. Files must be less than %d KB in size.","Die Datei ist zu groß. Dateien dürfen nicht größer als %d KB sein."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Es trat ein Fehler beim Versuch auf, dich zu dieser Webseite hinzufügen. Hier geht's <a href=\"%s\">zurück</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du wurdest zu dieser Seite hinzugefügt. Du kannst nun die <a href=\"%s\">Startseite</a> besuchen oder dich Dich mit deinem Benutzernamen und Passwort <a href=\"%s\">anmelden</a>."
"WordPress &rsaquo; Success","WordPress &rsaquo; Erfolg"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Hallo,\n\ndein Benutzerkonto wurde angelegt.\n\nDu kannst dich mit folgenden Daten einloggen: \nBenutzername: USERNAME\nPasswort: PASSWORD\nLogin unter: LOGINLINK\n\nViel Spaß!\n\n--Das Team von SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Der Nutzer hat sich entschieden seinen Account zu löschen – damit sind die Inhalte nicht länger verfügbar."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Diese Seite wurde noch nicht aktiviert. Wenn du Probleme mit der Aktivierung hast, kontaktiere bitte <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Dieser Blog wurde deaktiviert oder archiviert."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Diese Webseite existiert nicht. Bitte versuche <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Auf diesem Host sind keine Seiten definiert. Wenn du der Besitzer dieser Seite bist, findest du Hilfe auf der Seite <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network (engl.)</a>."
"If your site does not display, please contact the owner of this network.","Wenn deine Seite nicht angezeigt wird, nimm bitte Kontakt zum Betreiber des Netzwerks auf."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Wenn du der Besitzer dieses Netzwerks bist, überprüfe bitte, dass MySQL störungsfrei läuft und alle Tabellen fehlerfrei sind."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Es fehlen Datenbanktabellen.</strong> Das bedeutet, dass MySQL nicht läuft, dass WordPress nicht richtig installiert wurde oder dass <code>%s</code> gelöscht wurde. Du solltest dir jetzt deine Datenbank anschauen."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Konnte die Webseite nicht finden. <code>%s</code>.</strong> Suche nach Tabelle <code>%s</code> in der Datenbank <code>%s</code>. Ist das richtig?"
"What do I do now?","Was mache ich jetzt?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lese die <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Fehler-Report</a> Seite. \nEinige der Richtlinien können dir helfen herauszufinden, was falsch gelaufen ist."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Wenn diese Nachricht weiterhin angezeigt wird, dann stelle sicher dass die Datenbank die folgenden Tabellen enthält:"
"Multisite only works without the port number in the URL.","Multisite funktioniert nur ohne die Port-Nummer in der URL."
"Database tables are missing.","Es werden Datenbank-Tabellen vermisst."
"No site by that name on this system.","In diesem System gibt es keinen Blog mit diesem Namen."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Der Menüname <strong>%s</strong> ist schon in Benutzung. Bitte probiere einen anderen Namen."
"The given object ID is not that of a menu item.","Die übergebene ID gehört zu keinem Menüelement."
"Custom","Benutzerdefiniert"
"%s is a protected WP option and may not be modified","%s ist eine geschützte WP-Option und sollte nicht verändert werden"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>Fehler:</strong> Falscher Benutzername oder E-Mail-Adresse."
"You should specify a nonce action to be verified by using the first parameter.","Um verifiziert zu werden, gib bitte eine vorläufige Aktion als ersten Parameter an."
"New comment on your post \"%s\"","Neue Kommentare zu deinem Beitrag \"%s\""
"Author : %s (IP: %s , %s)","Autor: %s (IP: %s , %s)"
"E-mail : %s","E-Mail : %s"
"URL    : %s","URL: %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois: http://whois.arin.net/rest/ip/%s"
"Comment:","Kommentar: "
"You can see all comments on this post here:","Du kannst alle Kommentare zu diesem Beitrag hier sehen:"
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","Neuer Trackback zum Beitrag \"%s\""
"Excerpt:","Kurzfassung: "
"You can see all trackbacks on this post here:","Du kannst alle Trackbacks zu diesem Beitrag hier sehen: "
"New pingback on your post \"%s\"","Neuer Pingback zum Beitrag \"%s\""
"You can see all pingbacks on this post here:","Du kannst alle Pingbacks zu diesem Beitrag hier sehen: "
"Trash it: %s","In den Papierkorb legen: %s"
"Delete it: %s","Lösche %s"
"Spam it: %s","Spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Ein neuer Trackback zum Beitrag \"%s\" wartet auf Freigabe"
"Website : %s (IP: %s , %s)","Website: %s (IP: %s , %s)"
"Trackback excerpt:","Trackback (Kurzfassung):"
"A new pingback on the post \"%s\" is waiting for your approval","Ein neuer Pingback zum Beitrag \"%s\" wartet auf deine Freigabe."
"Pingback excerpt:","Pingback (Kurzfassung):"
"A new comment on the post \"%s\" is waiting for your approval","Ein neuer Kommentar zum Beitrag \"%s\" wartet auf seine Freischaltung."
"Approve it: %s","Genehmige %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Zurzeit wartet %s Kommentar auf Freigabe. Bitte gehe zur Moderationsansicht:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Zurzeit warten %s Kommentare auf Freigabe. Bitte gehe zur Moderationsansicht:"
"[%s] Please moderate: \"%s\"","[%s] Bitte moderiere: \"%s\""
"Password Lost and Changed for user: %s","Passwort verloren und geändert für Benutzer: %s"
"[%s] Password Lost/Changed","[%s] Passwort verloren/ändern"
"New user registration on your site %s:","Neue Benutzerregistrierung auf deiner Seite %s:"
"Username: %s","Benutzername: %s"
"E-mail: %s","E-Mail: %s"
"[%s] New User Registration","[%s] Registrierung eines neuen Benutzers"
"Password: %s","Passwort: %s"
"[%s] Your username and password","[%s] Dein Benutzername und Passwort"
"Only a static class method or function can be used in an uninstall hook.","Nur eine Methode oder Funktion einer statischen Klasse kann in einem <em>uninstall hook</em> verwendet werden."
"Protected: %s","Geschützt: %s"
"Private: %s","Privat: %s"
"(more...)","(weiterlesen …)"
"There is no excerpt because this is a protected post.","Es gibt keine Kurzfassung, da dies ein geschützter Beitrag ist."
"Pages:","Seiten:"
"Next page","Nächste Seite"
"Previous page","Vorherige Seite"
"This post is password protected. To view it please enter your password below:","Dieser Beitrag ist passwortgeschützt. Um ihn anzusehen, trage das Passwort bitte hier ein:"
"Submit","Senden"
"j F, Y @ G:i","d.m.Y H:i"
"%s [Autosave]","%s [Automatische Speicherung]"
"%s [Current Revision]","%s [Aktuelle Überarbeitung]"
"%s by %s","%s von %s"
"Restore","Wiederherstellen"
"Compare Revisions","Überarbeitungen vergleichen"
"Old","Alt"
"New","Neu"
"Date Created","Erstellungsdatum"
"Actions","Aktionen"
"Post","Beitrag"
"Page","Seite"
"Media","Datei"
"Add New","Hinzufügen"
"Edit Media","Medien bearbeiten"
"View Attachment Page","Zeige Anhangseite"
"Revisions","Revisionen"
"Navigation Menu Items","Elemente des Navigations-Menüs"
"Navigation Menu Item","Element des Navigations-Menüs"
"Published","Veröffentlicht"
"Published <span class=\"count\">(%s)</span>","Veröffentlichte <span class=\"count\">(%s)</span>"
"Scheduled","Geplant"
"Scheduled <span class=\"count\">(%s)</span>","Geplante <span class=\"count\">(%s)</span>"
"Draft","Entwurf"
"Draft <span class=\"count\">(%s)</span>","Entwurf <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Entwürfe <span class=\"count\">(%s)</span>"
"Pending","Ausstehend"
"Pending <span class=\"count\">(%s)</span>","Austehend <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","Papierkorb"
"Trash <span class=\"count\">(%s)</span>","Papierkorb <span class=\"count\">(%s)</span>"
"Invalid post","Ungültiger Beitrag"
"Pending Review","Ausstehender Review"
"Post types cannot exceed 20 characters in length","Namen von Inhaltstypen dürfen maximal 20 Zeichen lang sein"
"Posts","Beitrag"
"Pages","Seiten"
"Add New Post","Neuen Beitrag erstellen"
"Add New Page","Neue Seite erstellen"
"Edit Post","Beitrag bearbeiten"
"Edit Page","Seite bearbeiten"
"New Page","Neue Seite"
"View Page","Seite ansehen"
"Search Posts","Beiträge duchsuchen"
"Search Pages","Seiten durchsuchen"
"No posts found.","Keine Beiträge gefunden."
"No pages found.","Keine Seiten gefunden."
"No posts found in Trash.","Keine Beiträge im Papierkorb gefunden."
"No pages found in Trash.","Keine Seiten im Papierkorb gefunden."
"Parent Page:","Übergeordnete Seite:"
"All Posts","Alle Beiträge"
"All Pages","Alle Seiten"
"Images","Bilder"
"Manage Images","Bilder verwalten"
"Image <span class=\"count\">(%s)</span>","Bild <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Bilder <span class=\"count\">(%s)</span>"
"Manage Audio","Audio verwalten"
"Manage Video","Video verwalten"
"Video <span class=\"count\">(%s)</span>","Videos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Eine Anzahl von Beiträgen als integer-Zahl an die Abfrage zu übergeben, ist veraltet. Nutze stattdessen ein Array mit Parametern."
"Content, title, and excerpt are empty.","Inhalt, Titel und Auszug sind leer."
"Whoops, the provided date is invalid.","Ups, das vorgesehene Datum ist ungültig."
"Could not update post in the database","Der Beitrag konnte nicht in der Datenbank aktualisiert werden"
"Could not insert post into the database","Der Beitrag konnte nicht in die Datenbank eingefügt werden"
"The page template is invalid.","Das Seitentemplate ist ungültig."
"Content","Inhalt"
"Excerpt","Auszug"
"Cannot create a revision of a revision","Kann keine Überarbeitung einer Überarbeitung erstellen."
"You do not have permission to preview drafts.","Du hast nicht die erforderlichen Rechte, um die Entwurfsvorschau zu sehen."
"Aside","Kurzmitteilung"
"Chat","Chatprotokoll"
"Gallery","Galerie"
"Image","Bild"
"Status","Statusmitteilung"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Bedingungsabfragen (Conditional Tags) funktionieren nicht, wenn die Beitrag-Abfrage (query_posts) noch nicht durchgeführt wurde. Sie geben dann immer 'false' zurück."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" ist veraltet. Bitte nutze stattdessen \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Diese Datei muss nicht mehr per include() oder require() eingebunden werden."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Du bist dabei, die ausgewählten Punkte endültig zu löschen. Drücke 'Abbrechen' zum stoppen, 'OK' zum löschen."
"Enter a word to look up:","Welches Wort soll nachgeschlagen werden:"
"Dictionary lookup","Im Wörterbuch nachschlagen"
"lookup","nachschlagen"
"Close all open tags","Alle offenen Tags schließen"
"close tags","Tags schließen"
"Enter the URL","Gib eine URL an"
"Enter the URL of the image","Gib die URL des Bildes an"
"Enter a description of the image","Gib eine Beschreibung des Bildes an"
"fullscreen","Vollbild"
"Toggle fullscreen mode","Vollbildmodus ein/aus"
"text direction","Textrichtung"
"Toggle Editor Text Direction","Textrichtung umschalten"
"You do not have permission to do that.","Du hast nicht die erforderlichen Rechte, um diese Aktion auszuführen."
"An unidentified error has occurred.","Ein unbekannter Fehler ist aufgetreten."
"Dismiss","Schließen"
"Next &gt;","nächste &gt;"
"&lt; Prev","&lt; vorherige"
"of","von"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Diese Funktion benötigt Iframes. Du hast jedoch Iframes deaktiviert oder dein Browser unterstützt diese nicht."
"not configured","nicht konfiguriert"
"You have attempted to queue too many files.","Du hast versucht, zu viele Dateien in die Warteschlange zu stellen."
"%s exceeds the maximum upload size for this site.","%s überschreitet das Upload-Limit."
"This file is empty. Please try another.","Die ausgewählte Datei ist leer. Bitte versuch es mit einer anderen."
"This file type is not allowed. Please try another.","Der gewählte Dateityp ist nicht zulässig."
"This file is not an image. Please try another.","Diese Datei ist keine Bilddatei. Bitte probiere eine andere Datei."
"Memory exceeded. Please try another smaller file.","Der Arbeitsspeicher reicht nicht aus. Bitte versuche eine kleinere Datei."
"This is larger than the maximum size. Please try another.","Die Datei ist größer als die Maximalgröße. Bitte verwende eine kleinere Datei."
"An error occurred in the upload. Please try again later.","Bei dem Upload ist ein Fehler aufgetaucht. Probiere es später noch einmal."
"There was a configuration error. Please contact the server administrator.","Die Konfiguration ist fehlerhaft. Bitte wende dich an deinen Serveradministrator."
"You may only upload 1 file.","Du möchtest nur 1 Datei hochladen."
"HTTP error.","HTTP Fehler."
"Upload failed.","Upload fehlgeschlagen."
"Please try uploading this file with the %sbrowser uploader%s.","Bitte versuche diese Datei mit dem %sBrowser Uploader%s hochzuladen."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s übersteigt das Upload-Limit für den Mehrdateien-Uploader."
"IO error.","IO Fehler."
"Security error.","Sicherheitsfehler."
"File canceled.","Datei abgebrochen."
"Upload stopped.","Upload gestoppt."
"Crunching&hellip;","Verarbeiten&hellip;"
"moved to the trash.","in den Papierkorb gelegt."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; konnte nicht hochgeladen werden."
"Strength indicator","Passwortstärke"
"Very weak","Ganz schwach"
"Weak","Schwach"
"Strong","Stark"
"Mismatch","Keine Übereinstimmung"
"(no title)","(kein Titel)"
"No matches found.","Keine Übereinstimmungen gefunden."
"Save &amp; Activate","Speichern &amp; Aktivieren"
"Save &amp; Publish","Speichern &amp; Publizieren"
"Saved","Gespeichert"
"Add","Hinzu"
"Separate multiple categories with commas.","Mehrere Kategorien durch Kommas trennen."
"Approve and Reply","Genehmigen und Antworten"
"Publish on:","Veröffentlichen am:"
"Schedule for:","Geplant für:"
"Published on:","Veröffentlicht am:"
"Show more comments","Mehr Kommentare zeigen"
"No more comments found.","Es wurden keine weiteren Kommentare gefunden."
"Publish","Veröffentlichen"
"Schedule","Planen"
"Save as Pending","Als Unerledigt speichern"
"Save Draft","Speichern"
"Public","Öffentlich"
"Public, Sticky","Öffentlich, Oben gehalten"
"Password Protected","Passwortgeschützt"
"Privately Published","Privat veröffentlicht"
"Submitted on:","Eingereicht am:"
"Error while saving the changes.","Fehler beim Speichern der Änderungen."
"Remove From Bulk Edit","Aus der Massenbearbeitung entfernen"
"Are you sure you want to install this plugin?","Bist du sicher, dass du dieses Plugin installieren möchtest?"
"Select Color","Farbe wählen"
"Current Color","aktuelle Farbe"
"Could not load the preview image. Please reload the page and try again.","Konnte das Vorschaubild nicht laden. Bitte lade die Seite neu und probiere es erneut. "
"Use as featured image","Als Beitragsbild nutzen"
"Saving...","Speichere …"
"Could not set that as the thumbnail image. Try a different attachment.","Das Bild konnte nicht als Miniaturbild gesetzt werden. Versuche es mit einem anderen."
"Done","Fertig"
"No results found.","Es wurden keine Kommentare gefunden, die deinen Suchkriterien entsprechen."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Du bist dabei dieses Menü endgültig zu löschen. Klicke auf \"Abbrechen\", um den Vorgang zu beenden, oder auf \"OK\", um das Menü zu löschen."
"Saving Draft&#8230;","Entwurf wird gespeichert&#8230;"
"Navigation Menus","Navigationsmenüs"
"Navigation Menu","Individuelles Menü"
"Link Categories","Kategorien"
"Link Category","Linkkategorie"
"Search Link Categories","Linkkategorien suchen"
"All Link Categories","Alle Linkkategorien"
"Edit Link Category","Linkkategorie bearbeiten"
"Update Link Category","Linkkategorie überarbeiten"
"Add New Link Category","Neue Linkkategorie hinzufügen"
"New Link Category Name","Name der neuen Linkkategorie"
"Format","Formatvorlage"
"Taxonomies cannot exceed 32 characters in length","Taxonomien können nicht mehr als 32 Zeichen lang sein"
"Tags","Schlagwörter"
"Categories","Kategorien"
"Tag","Schlagwort"
"Category","Kategorie"
"Search Tags","Schlagwörter suchen"
"Search Categories","Kategorien suchen"
"Popular Tags","Beliebte Schlagwörter"
"All Tags","Alle Schlagwörter"
"All Categories","Alle Kategorien"
"Parent Category","Übergeordnete Kategorie"
"Parent Category:","Übergeordnete Kategorie:"
"Edit Tag","Schlagwort bearbeiten"
"Edit Category","Kategorie bearbeiten"
"View Tag","Schlagwort ansehen"
"View Category","Kategorie ansehen"
"Update Tag","Schlagwort aktualisieren"
"Update Category","Kategorie aktualisieren"
"Add New Tag","Neues Schlagwort erstellen"
"Add New Category","Neue Kategorie erstellen"
"New Tag Name","Neuer Schlagwortname"
"New Category Name","Neuer Kategoriename"
"Separate tags with commas","Trenne Schlagwörter durch Kommas"
"Add or remove tags","Schlagworte hinzufügen oder entfernen"
"Choose from the most used tags","Wähle aus den häufig genutzten Schlagwörtern"
"Empty Term","Leerer Ausdruck"
"A name is required for this term","Für diesen Begriff ist ein Name erforderlich"
"A term with the name provided already exists with this parent.","Dieses Schlagwort mit dem gleichen übergeordneten Schlagwort gibt es bereits."
"Could not insert term into the database","Der Begriff konnte nicht in die Datenbank eingefügt werden"
"A term with the name provided already exists.","Es existiert bereits ein Schlagwort mit diesem Namen."
"Could not insert term relationship into the database","Konnte keine Begriffsbeziehung in die Datenbank einfügen."
"The slug &#8220;%s&#8221; is already in use by another term","Die Titelform &#8220;%s&#8221; wird bereits verwendet"
"Invalid object ID","Ungültige Objekt-ID"
"Theme without %s","Theme ohne %s"
"Please include a %s template in your theme.","Bitte statte dein Theme mit einer %s-Datei aus, damit es auch in zukünftigen WordPress-Versionen nutzbar ist."
"%s - Comments on %s","%s – Kommentare zu %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr>-Feed für Kommentare zu diesem Beitrag."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","Die <abbr title=\"Universal Resource Locator\">URL</abbr>, um einen Trackback zu senden, lautet: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","von %s &#8212; %s zu <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Noch keine Kommentare"
"Leave a comment","Hinterlasse einen Kommentar"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Zeilen und Absätze brechen automatisch um, E-Mail-Adressen werden niemals angezeigt, erlaubtes <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Angemeldet als <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Dieses Konto abmelden\">Abmelden &raquo;</a>"
"E-mail","E-Mail"
"Your Comment","Dein Kommentar"
"Say It!","Senden"
"Sorry, the comment form is closed at this time.","Entschuldige, das Kommentarformular ist zurzeit geschlossen."
"Close this window.","Fenster schließen."
"Sorry, no posts matched your criteria.","Bedaure, kein Beitrag passt zu deiner Suche."
"This post is password protected. Enter the password to view comments.","Dieser Beitrag ist passwortgeschützt. Um die Kommentare zu sehen, musst du das Passwort eingeben."
"One Response to %s","Ein Kommentar zu %s"
"%s Responses to %s","%s Kommentare zu %s"
"Comments are closed.","Kommentare sind geschlossen."
"Logged in as <a href=\"%s\">%s</a>.","Angemeldet als <a href=\"%s\">%s</a>."
"Log out of this account","Diesen Benutzer abmelden"
"Log out &raquo;","Abmelden &raquo;"
"(required)","(erforderlich)"
"Mail (will not be published)","E-Mail-Adresse (wird nicht veröffentlicht)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Diese Tags kannst du nutzen: <code>%s</code>"
"Submit Comment","Kommentar senden"
"%s and %s.","%s und %s."
"Entries (RSS)","Beiträge (RSS)"
"Comments (RSS)","Kommentare (RSS)"
"%d queries. %s seconds.","%d Datenbankanfragen. %s Sekunden."
"You are currently browsing the archives for the %s category.","Du befindest dich im Moment im Archiv für die Kategorie %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Du befindest dich im Moment im <a href=\"%s/\">%s</a>-Blogarchiv für den Tag %s."
"l, F jS, Y","l, d. F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Du befindest dich im Moment im <a href=\"%s/\">%s</a>-Blogarchiv für %s."
"F, Y","F Y"
