"New password","Nueva contraseña"
"Please enter a valid email address.","Por favor, introduce una dirección de correo válida."
"Sorry, that email address is not allowed!","Disculpa, este correo electrónico no está permitido"
"Sorry, that username already exists!","Disculpa, este usuario ya existe."
"Sorry, that email address is already used!","Disculpa, este correo electrónico ya está en uso."
"That username is currently reserved but may be available in a couple of days.","Este nombre de usuario está reservado, pero podría estar libre en un par de días"
"username and email used","nombre de usuario y correo electrónico en uso"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Este correo electrónico ya ha sido usado. Por favor, comprueba tu bandeja de entrada. Podría estar libre en un par de días si no haces nada."
"Please enter a site name.","Por favor, introduce un nombre para el sitio."
"That name is not allowed.","Ese nombre no está permitido."
"Site name must be at least 4 characters.","El nombre del sitio debe tener al menos 4 caracteres."
"Sorry, site names may not contain the character &#8220;_&#8221;!","¡Lo sentimos, el nombre del sitio no puede contener el caracter &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Lo sentimos, no puedes utilizar este nombre para el sitio."
"Sorry, site names must have letters too!","Disculpa, el nombre del sitio, también debe contener letras."
"Please enter a site title.","Por favor, introduce el título del sitio."
"Sorry, that site already exists!","Disculpa, este sitio ya existe."
"Sorry, that site is reserved!","Disculpa, este nombre de sitio está reservado"
"That site is currently reserved but may be available in a couple days.","Este nombre de sitio está reservado, pero puede estar libre en un par de días."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Para activar tu sitio haz clic en el siguiente enlace:\n\n%s\n\nDespués de activarlo recibirás *otro correo electrónico* con tus datos de acceso.\n\nDespués de activarlo, podrás visitar tu sitio aquí:\n\n%s"
"[%s] Activate %s","[%s] Activar %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Para activar tu usuario, por favor haz click en el siguiente enlace:\n\n%s\n\nDespués de activar, recibirás *otro correo electrónico* con tus credenciales de acceso."
"Invalid activation key.","Clave de activación inválida"
"The user is already active.","El usuario ya esta activo."
"The site is already active.","El sitio ya está activado."
"Could not create user","No podemos crear el usuario"
"That username is already activated.","Este usuario, ya está activado."
"Could not create site.","No se pudo crear el sitio."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuevo Sitio: %s\nURL: %s\nIP remota: %s\n\nDesactivar las notificaciones: %s"
"New Site Registration: %s","Nuevo sitio registrado: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuevo Usuario: %s\nIP Remota: %s\n\nDesactivar las notificaciones: %s"
"New User Registration: %s","Nuevo registro de usuario: %s"
"Already Installed","Ya instalado"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Parece que has instalado WordPress antes. Para volver a instalar borra antes las tablas de la base de datos antigua, por favor."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Estimado usuario:\n\nTu nuevo sitio SITE_NAME se ha creado en:\nBLOG_URL\n\nPuedes acceder a la administración de la cuenta con la siguiente información:\nNombre de usuario: USERNAME\nContraseña: PASSWORD\nAcceda aquí: BLOG_URLwp-login.php\n\nEsperamos que disfrutes de tu nuevo sitio\nGracias\n\n-- El equipo @ SITE_NAME"
"New %s Site: %s","Nuevo sitio en %s: %s"
"New %s User: %s","Nuevo %s usuario: %s"
"This file is too big. Files must be less than %d KB in size.","Este archivo es demasiado grande. Los archivos deben tener un tamaño inferior a %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Hubo un error añadiéndote a este sitio. Volver a la <a href=\"%s\">página de inicio</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Has sido añadido a este sitio. Por favor, visita la <a href=\"%s\">página de inicio</a> o <a href=\"%s\">accede</a> utilizando tu nombre de usuario y contraseña."
"WordPress &rsaquo; Success","WordPress &rsaquo; Conseguido"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Apreciado usuario,\n\nTu nueva cuenta está configurada.\n\nPuedes identificarte con la siguiente información:\nUsuario: USERNAME\nClave: PASSWORD\nLOGINLINK\n\n¡Gracias!\n\n--El equipo de  SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Este usuario ha decidido eliminar su cuenta y ya no están los contenidos."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Este sitio aún no ha sido activado. Si estas teniendo problemas en el proceso de activación, por favor contacta con <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Este sitio ha sido archivado o suspendido."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Este sitio no existe. Por favor, prueba <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","No se ha definido un sitio para este servidor. Si eres el propietario de este sitio, por favor, consulta <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Arreglando una red de WordPress</a> para tener ayuda."
"If your site does not display, please contact the owner of this network.","Si tu sitio no se muestra contacta con el propietario de esta red."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Si eres el propietario de esta red comprueba que MySQL se está ejecutando adecuadamente y que niguna de las tablas tiene errores."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Se han perdido las tablas de la base de datos.</strong> Esto quiere decir que MySQL no está funcionando, WordPress no ha sido instalado correctamente, o alguien ha eliminado <code>%s</code>. Deberías revisar tu base de datos ahora mismo."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>No podemos encontrar el sitio <code>%s</code>.</strong> Buscamos la tabla <code>%s</code>en la base de datos <code>%s</code>. ¿Es correcto?"
"What do I do now?","¿Ahora qué hago?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lee la <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">página de errores</a>. Algunas de las guías que hay ahí pueden ayudarte a hacerte una idea sobre qué ha ido mal."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Si todavía estás atascado con este mensaje, comprueba que tu base de datos contiene las siguientes tablas:"
"Multisite only works without the port number in the URL.","El multisitio sólo funciona sin el número del puerto en la URL."
"Database tables are missing.","No se encuentran tablas de la base de datos."
"No site by that name on this system.","No existe ningún sitio en el sistema con este nombre."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","El nombre de menú <strong>%s</strong> está creando un conflicto con otro nombre de menú. Por favor, selecciona otro nombre."
"The given object ID is not that of a menu item.","El ID de objeto dado no es de un objeto de menú."
"Custom","Personalizado"
"%s is a protected WP option and may not be modified","%s es una opción protegida de WP y no puede modificarse"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ERROR</strong>: El nombre de usuario y/o la contraseña no son correctos."
"You should specify a nonce action to be verified by using the first parameter.","Debes especificar una acción \"nonce\" a verificar mediante el primer parámetro."
"New comment on your post \"%s\"","Nuevo comentario a tu entrada \"%s\""
"Author : %s (IP: %s , %s)","Autor : %s (IP: %s , %s)"
"E-mail : %s","Correo electrónico : %s"
"Comment:","Comentario:"
"You can see all comments on this post here:","Puedes ver todos los comentarios de esta entrada aquí:"
"[%s] Comment: \"%s\"","[%s] Comentario: \"%s\""
"New trackback on your post \"%s\"","Nuevo trackback a tu entrada \"%s\""
"Website: %s (IP: %s , %s)","Sitio web: %s (IP: %s , %s)"
"Excerpt:","Extracto:"
"You can see all trackbacks on this post here:","Puedes ver todos los trackbacks de esta entrada aquí:"
"New pingback on your post \"%s\"","Nuevo pingback en tu entrada \"%s\""
"You can see all pingbacks on this post here:","Puede ver todos los pingback de esta entrada aquí:"
"Permalink: %s","Enlace permanente: %s"
"Trash it: %s","Enviar a la papelera: %s"
"Delete it: %s","Borrarlo: %s"
"Spam it: %s","Marcarlo como spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Un nuevo trackback a la entrada \"%s\" está esperando tu aprobación"
"Website : %s (IP: %s , %s)","Sitio web : %s (IP: %s , %s)"
"Trackback excerpt:","Extracto del trackback:"
"A new pingback on the post \"%s\" is waiting for your approval","Un nuevo pingback a la entada \"%s\" está esperando tu aprobación"
"Pingback excerpt:","Extracto del pingback:"
"A new comment on the post \"%s\" is waiting for your approval","Un nuevo comentario a la entrada \"%s\" está esperando tu aprobación"
"Approve it: %s","Aprobarlo: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Actualmente hay %s comentario en espera de aprobación. Por favor visita el panel de moderación:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Actualmente hay %s comentarios en espera de aprobación. Por favor visita el panel de moderación:"
"[%s] Please moderate: \"%s\"","[%s] Pendientes de moderación: \"%s\""
"Password Lost and Changed for user: %s","Contraseña perdida y cambiada para el usuario: %s"
"[%s] Password Lost/Changed","[%s] Contraseña Perdida/Cambiada"
"New user registration on your site %s:","Registrado un nuevo usuario en tu sitio %s:"
"Username: %s","Nombre de usuario: %s"
"E-mail: %s","Correo electrónico: %s"
"[%s] New User Registration","[%s] Registro de nuevo usuario"
"Password: %s","Contraseña: %s"
"[%s] Your username and password","[%s] Tu nombre de usuario y contraseña"
"Only a static class method or function can be used in an uninstall hook.","Sólo una función o método de la clase estática pueden ser usados en un gancho de desinstalación."
"Protected: %s","Protegido: %s"
"Private: %s","Privado: %s"
"(more...)","(más...)"
"There is no excerpt because this is a protected post.","No hay extracto porque es una entrada protegida."
"Pages:","Páginas:"
"Next page","Página siguiente"
"Previous page","Página anterior"
"Home","Inicio"
"This post is password protected. To view it please enter your password below:","Esta entrada está protegida. Para verla escribe la contraseña:"
"Submit","Enviar"
"%s [Autosave]","%s [Autoguardado]"
"%s [Current Revision]","%s [Revisión Actual]"
"%s by %s","%s por %s"
"Restore","Restaurar"
"Compare Revisions","Comparar revisiones"
"Old","Antiguo"
"New","Nuevo"
"Date Created","Fecha de creación"
"Actions","Acciones"
"Post","Entrada"
"Page","Página"
"Media","Medio"
"Add New","Añadir nueva"
"Edit Media","Editar multimedia"
"View Attachment Page","Ver la página de adjuntos"
"Revisions","Revisiones"
"Revision","Revisión"
"Navigation Menu Items","Elementos del menú de navegación"
"Navigation Menu Item","Elemento del menú de navegación"
"Published","Publicada"
"Published <span class=\"count\">(%s)</span>","Publicadas <span class=\"count\">(%s)</span>"
"Scheduled","Programada"
"Scheduled <span class=\"count\">(%s)</span>","Programadas <span class=\"count\">(%s)</span>"
"Draft","Borrador"
"Draft <span class=\"count\">(%s)</span>","Borrador <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Borradores <span class=\"count\">(%s)</span>"
"Pending","Pendiente"
"Pending <span class=\"count\">(%s)</span>","Pendientes <span class=\"count\">(%s)</span>"
"Private","Privada"
"Private <span class=\"count\">(%s)</span>","Privadas <span class=\"count\">(%s)</span>"
"Trash","Papelera"
"Trash <span class=\"count\">(%s)</span>","Papelera <span class=\"count\">(%s)</span>"
"Invalid post","Entrada no válida"
"Pending Review","Pendiente de revisión"
"Post types cannot exceed 20 characters in length","Los tipos de entradas no pueden exceder de 20 caracteres de longitud"
"Posts","Entradas"
"Pages","Páginas"
"Add New Post","Añadir nueva entrada"
"Add New Page","Añadir nueva página"
"Edit Post","Editar entrada"
"Edit Page","Editar página"
"New Page","Nueva página"
"View Page","Ver página"
"Search Posts","Buscar entradas"
"Search Pages","Buscar páginas"
"No posts found.","No se encontraron entradas."
"No pages found.","No se encontraron páginas."
"No posts found in Trash.","Ningún post encontrado en la papelera."
"No pages found in Trash.","Ninguna página encontrada en la papelera."
"Parent Page:","Página superior:"
"All Posts","Todas las entradas"
"All Pages","Todas las páginas"
"Images","Imágenes"
"Manage Images","Administrar imágenes"
"Image <span class=\"count\">(%s)</span>","Imagen <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Imágenes <span class=\"count\">(%s)</span>"
"Manage Audio","Administrar audio"
"Audio <span class=\"count\">(%s)</span>","Audios <span class=\"count\">(%s)</span>"
"Video","Vídeo"
"Manage Video","Administrar vídeo"
"Video <span class=\"count\">(%s)</span>","Vídeos <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Pasar un número entero de entradas es obsoleto. Pasa una matriz de argumentos en su lugar."
"Content, title, and excerpt are empty.","Contenido, título y extracto están vacios."
"Whoops, the provided date is invalid.","¡Vaya! la fecha que has dado no es válida."
"Could not update post in the database","No ha sido posible actualizar la entrada en la base de datos"
"Could not insert post into the database","No ha sido posible insertar la entrada en la base de datos"
"The page template is invalid.","La plantilla de la página no es válida."
"Content","Contenido"
"Excerpt","Extracto"
"Cannot create a revision of a revision","No se puede crear una revisión de una revisión"
"You do not have permission to preview drafts.","No tienes autorización para previsualizar borradores."
"Standard","Estándar"
"Aside","Minientrada"
"Gallery","Galería"
"Link","Enlace"
"Image","Imagen"
"Status","Estado"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Las etiquetas de las consultas condicionales no funcionan antes de ejecutar la consulta. Haciéndolo antes, siempre devuelven falso."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" está obsoleto. Utilice \"ignore_sticky_posts\" en su lugar."
"This file no longer needs to be included.","Ya no es necesario incluir este archivo."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Estás a punto de borrar permanentemente los elementos seleccionados. \n  'Aceptar' para borrar, 'Cancelar' para salir."
"Enter a word to look up:","Introduce una palabra a buscar:"
"Dictionary lookup","Buscar en el diccionario"
"lookup","buscar"
"Close all open tags","Cerrar todas las etiquetas abiertas"
"close tags","cerrar etiquetas"
"Enter the URL","Introduce la URL"
"Enter the URL of the image","Introduce la URL de la imagen"
"Enter a description of the image","Introduce una descripción de la imagen"
"fullscreen","pantalla completa"
"Toggle fullscreen mode","Cambiar a modo pantalla completa"
"text direction","Dirección del texto"
"Toggle Editor Text Direction","Cambiar la dirección del editor de texto"
"You do not have permission to do that.","No tienes autorización para hacer eso."
"An unidentified error has occurred.","Ha ocurrido un error no identificado."
"Dismiss","Omitir"
"Next &gt;","Siguiente &gt;"
"&lt; Prev","&lt; Anterior"
"of","de"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Esta función requiere de frames insertados. Tienes los iframes desactivados o tu navegador no los soporta."
"not configured","sin configurar"
"You have attempted to queue too many files.","Has intentado poner en cola demasiados archivos."
"%s exceeds the maximum upload size for this site.","El tamaño del archivo %s excede el tamaño permitido en este sitio."
"This file is empty. Please try another.","Este archivo está vacio. Por favor, prueba con otro."
"This file type is not allowed. Please try another.","Este tipo de archivo no está permitido. Por favor, prueba con otro."
"This file is not an image. Please try another.","Este archivo no es una imagen. Por favor, prueba con otro."
"Memory exceeded. Please try another smaller file.","Memoria excedida. Por favor, prueba con otro archivo más pequeño."
"This is larger than the maximum size. Please try another.","Supera el tamaño permitido. Por favor, prueba con otro."
"An error occurred in the upload. Please try again later.","Ha habido un error en la subida. Por favor inténtalo más tarde."
"There was a configuration error. Please contact the server administrator.","Ha habido un problema con la configuración. Por favor, contacta con el  administrador del servidor."
"You may only upload 1 file.","Sólo puedes subir 1 archivo."
"HTTP error.","Error HTTP."
"Upload failed.","Falló la subida."
"Please try uploading this file with the %sbrowser uploader%s.","Por favor, intenta subir este archivo a través del %snavegador%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s excede el tamaño máximo de subida de la herramienta de subida múltiple de archivos del navegador."
"IO error.","Error de entrada/salida."
"Security error.","Error de seguridad."
"File canceled.","Archivo cancelado."
"Upload stopped.","Subida detenida."
"Crunching&hellip;","Calculando&hellip;"
"moved to the trash.","movidos a la papelera."
"&#8220;%s&#8221; has failed to upload.","Ha habido un error al subir &#8220;%s&#8221;"
"Strength indicator","Seguridad de la contraseña"
"Very weak","Muy débil"
"Weak","Débil"
"Strong","Fuerte"
"Mismatch","No coinciden"
"(no title)","(sin título)"
"No matches found.","No se han encontrado coincidencias."
"Save &amp; Activate","Guardar y activar"
"Save &amp; Publish","Guardar y publicar"
"Saved","Guardado"
"Add","Añadir"
"Separate multiple categories with commas.","Separa múltiples categorías con comas."
"Approve and Reply","Aprobar y responder"
"OK","Aceptar"
"Publish on:","Publicar el:"
"Schedule for:","Programar para el:"
"Published on:","Publicada el:"
"Show more comments","Mostrar más comentarios"
"No more comments found.","No hay más comentarios."
"Publish","Publicar"
"Schedule","Programar"
"Save as Pending","Guardar como pendiente"
"Save Draft","Guardar borrador"
"Public","Público"
"Public, Sticky","Pública, destacada"
"Password Protected","Protegida con contraseña"
"Privately Published","Publicada como privada"
"Submitted on:","Enviado el:"
"Error while saving the changes.","Error al guardar los cambios."
"Remove From Bulk Edit","Borrar desde la edición en bloque"
"Plugin Information:","Información del plugin:"
"Are you sure you want to install this plugin?","¿Estás seguro de querer instalar este plugin?"
"Select Color","Elige un color"
"Current Color","Color actual"
"Could not load the preview image. Please reload the page and try again.","No se puede cargar la previsualización de la imagen. Por favor, recarga la página y prueba de nuevo."
"Use as featured image","Usar como imagen destacada"
"Saving...","Guardando..."
"Could not set that as the thumbnail image. Try a different attachment.","No se pudo establecer como imagen de miniatura. Prueba con otro adjunto."
"Done","Hecho"
"No results found.","Sin resultados."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Estás a punto de eliminar permanentemente este menú. \n'Cancelar' para parar, 'OK' para eliminar."
"Saving Draft&#8230;","Guardando borrador&#8230;"
"Navigation Menus","Menús de navegación"
"Navigation Menu","Menú de Navegación"
"Link Categories","Categorías de enlaces"
"Link Category","Categoría de enlaces"
"Search Link Categories","Buscar categorías de enlaces"
"All Link Categories","Todas las categorías de enlaces"
"Edit Link Category","Editar categoría del enlace"
"Update Link Category","Actualizar categoría de enlaces"
"Add New Link Category","Añadir nueva categoría de enlaces"
"New Link Category Name","Nuevo nombre de categoría de enlaces"
"Taxonomies cannot exceed 32 characters in length","Las taxonomías no pueden tener más de 32 caracteres."
"Tags","Etiquetas"
"Categories","Categorías"
"Tag","Etiqueta"
"Category","Categoría"
"Search Tags","Buscar etiquetas"
"Search Categories","Buscar categorías"
"Popular Tags","Etiquetas populares"
"All Tags","Todas las etiquetas"
"All Categories","Todas las categorías"
"Parent Category","Categoría superior"
"Parent Category:","Categoría superior:"
"Edit Tag","Editar etiqueta"
"Edit Category","Editar Categoría"
"View Tag","Ver etiqueta"
"View Category","Ver categoría"
"Update Tag","Etiqueta actualizada"
"Update Category","Actualizar categoría"
"Add New Tag","Añadir nueva etiqueta"
"Add New Category","Añadir nueva categoría"
"New Tag Name","Nombre de la nueva etiqueta"
"New Category Name","Nombre de la nueva categoría"
"Separate tags with commas","Separa las etiquetas con comas."
"Add or remove tags","Añadir o quitar etiquetas"
"Choose from the most used tags","Elige entre las etiquetas más utilizadas"
"Empty Term","Término vacío"
"A name is required for this term","Este término necesita un nombre."
"A term with the name provided already exists with this parent.","Un término con el nombre dado ya existe en este nivel."
"Could not insert term into the database","No ha sido posible insertar el término en la base de datos."
"A term with the name provided already exists.","Ya existe un término igual al facilitado."
"Could not insert term relationship into the database","No se ha podido insertar la relación entre términos en la base de datos"
"The slug &#8220;%s&#8221; is already in use by another term","El slug &#8220;%s&#8221; lo está utilizando ya otro término."
"Invalid object ID","El ID del objeto no es válido"
"Theme without %s","Tema sin %s"
"Please include a %s template in your theme.","Por favor, incluye la plantilla %s en tu tema"
"%s - Comments on %s","%s - Comentarios en %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed para los comentarios de esta entrada."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","La <abbr title=\"Universal Resource Locator\">URL</abbr> para realizar un  TrackBack a esta entrada es: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","por %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Aún no hay comentarios."
"Leave a comment","Deja un comentario"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Las líneas y párrafos saltan automáticamente, nunca se mostrarán los correos electrónicos. <acronym title=\"Hypertext Markup Language\">HTML</acronym>permitido: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Identificado como <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Salir de esta cuenta\">Salir &raquo;</a>"
"E-mail","Correo electrónico"
"Your Comment","Tu comentario"
"Say It!","Enviar"
"Sorry, the comment form is closed at this time.","Lo siento, el formulario de comentarios está cerrado en este momento."
"Close this window.","Cerrar esta ventana."
"Sorry, no posts matched your criteria.","Lo siento, no hay nada que se ajuste a lo que buscas."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Gestionado con <a href=\"%s\" title=\"Gestionado con WordPress, una avanzada plataforma semántica de publicación personal\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Esta entrada está protegida. Para verla, escribe la contraseña:"
"One Response to %s","Una Respuesta a %s"
"%s Responses to %s","%s Respuestas a %s"
"Comments are closed.","Los comentarios están cerrados."
"Logged in as <a href=\"%s\">%s</a>.","Identificado como <a href=\"%s\">%s</a>."
"Log out of this account","Salir de esta cuenta"
"Log out &raquo;","Salir &raquo;"
"(required)","(requerido)"
"Mail (will not be published)","Correo electrónico (no será publicado)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Puedes usar estas etiquetas: <code>%s</code>"
"Submit Comment","Enviar comentario"
"%s is proudly powered by %s","%s funciona gracias a %s"
"%s and %s.","%s y %s."
"Entries (RSS)","Artículos (RSS)"
"Comments (RSS)","Comentarios (RSS)"
"%d queries. %s seconds.","%d consultas. %s segundos."
"You are currently browsing the archives for the %s category.","Actualmente estás navegando por el archivo de la categoría %s"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Actualmente estás navegando por el archivo del sitio <a href=\"%s/\">%s</a> del día %s."
"l, F jS, Y","j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Actualmente estás viendo el archivo del sitio <a href=\"%s/\">%s</a> de %s."
"F, Y","j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Actualmente estás viendo el archivo del sitio <a href=\"%s/\">%s</a> del año %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Has buscado en el archivo del sitio <a href=\"%s/\">%s</a> el término <strong>&#8216;%s&#8217;</strong>. Si no te es posible encontrar nada en los resultados, puedes probar uno de estos enlaces."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Estás navegando por el archivo de  <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Esta página valida como XHTML 1.0 transicional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Valida <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","Red de amigos de XHTML"
"%d WordPress Update","%d Actualización WordPress"
"%d Plugin Update","%d Actualización plugin"
"%d Plugin Updates","%d Actualizaciones plugins"
"%d Theme Update","%d Actualización tema"
"%d Theme Updates","%d Actualizaciones temas"
"<strong>ERROR</strong>: The username field is empty.","<strong>ERROR</strong>: El campo Nombre de usuario está vacío."
"<strong>ERROR</strong>: The password field is empty.","<strong>ERROR</strong>: El campo contraseña está vacío."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERROR</strong>: El usuario es incorrecto. ¿<a href=\"%s\" title=\"Contraseña perdida u olvidada\">La has olvidado</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ERROR</strong>: Tu cuenta ha sido marcada como spammer."
"Site Suspended.","Sitio suspendido."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ERROR</strong>: La contraseña que introdujo para el usuario  <strong>%s</strong> no es correcta. <a href=\"%s\" title=\"Contraseña perdida y encontrada\">Has perdido tu contraseña</a>?"
"Please log in again.","Por favor, accede de nuevo."
"Cannot create a user with an empty login name.","No se puede crear un usuario con el nombre de identificación vacio."
"There are no options for this widget.","No hay opciones para este widget."
"Sidebar %d","Barra lateral %d"
"Sidebar","Barra lateral"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>No se pudo elegir base de datos</h1>\n<p>Hemos podido conectar con el servidor de la bases de datos (lo que significa que tu nombre de usuario y la contraseña están correctos) pero no se pudo elegir la base de datos <code>%s</code>.</p>\n<ul>\n<li>¿Estás seguro que existe?</li>\n<li>¿El usuario <code>%s</code> tiene permiso para utilizar la base de datos <code>%s1$</code>?</li>\n<li>En algunos sistemas el nombre de la base de datos es el prefijo con el nombre de usuario, que sería como <code>username_%s</code>. ¿Podría ser ésto el problema?</li>\n</ul>\n<p>Si no sabes cómo configurar una base de datos debes ponerte en contacto con el <strong>administrador de su hosting</strong>. Si todo lo demás falla puedes encontrar ayuda en los <a href=\"http://es.forums.wordpress.org/\">Foros de Soporte de WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","Error %s de la base de datos de WordPress para la consulta %s realizada por %s"
"WordPress database error %s for query %s","Error %s de la base de datos de WordPress para la consulta %s"
