"New password","Uusi salasana"
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Et voi käyttää tätä sähköpostiosoitetta kirjautumiseen. Käytä toista sähköpostintarjoajaa."
"Username must be at least 4 characters.","Käyttäjänimessä on oltava ainakin 4 merkkiä."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Pahoittelut, käyttäjätunnukset eivät voi sisältää merkkiä &#8221;_&#8221;!"
"Sorry, usernames must have letters too!","Käyttäjänimessä pitää olla myös kirjaimia!"
"Please enter a valid email address.","Syötä kelvollinen sähköpostiosoite."
"Sorry, that email address is not allowed!","Valitettavasti tämä sähköpostiosoite ei ole sallittu!"
"Sorry, that username already exists!","Valitettavasti tämä käyttäjätunnus on jo käytössä!"
"Sorry, that email address is already used!","Valitettavasti tämä sähköpostiosoite on jo käytössä!"
"That username is currently reserved but may be available in a couple of days.","Tämä käyttäjätunnus on tällä hetkellä varattu, mutta saattaa vapautua muutaman päivän sisällä."
"username and email used","Käyttäjätunnus ja sähköpostiosoite"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Tätä sähköpostiosoitetta on jo käytetty. Tarkista sähköpostisi saapuneet kansio aktivointiviestin varalta. Mikäli et tee mitään, voit käyttää sähköpostiosoitetta uudelleen muutaman päivän kuluttua."
"Please enter a site name.","Kirjoita sivuston nimi."
"That name is not allowed.","Nimi ei kelpaa."
"Site name must be at least 4 characters.","Sivuston nimessä on oltava ainakin 4 merkkiä."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Pahoittelemme, mutta sivustojen nimet eivät voi sisältää merkkiä &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Et voi valitettavasti käyttää tuota sivuston nimeä."
"Sorry, site names must have letters too!","Sivuston nimessä on oltava kirjaimia!"
"Please enter a site title.","Kirjoita sivuston otsikko."
"Sorry, that site already exists!","Pahoittelut, tuo sivusto on jo olemassa!"
"Sorry, that site is reserved!","Tuo sivusto on valitettavasti varattu!"
"That site is currently reserved but may be available in a couple days.","Sivusto on tällä hetkellä varattu mutta se saattaa vapautua muutaman päivän kuluttua."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Aktivoi blogisi klikkaamalla seuraavaa linkkiä:\n\n%s\n\nAktivoinnin jälkeen saat vielä *toisen sähköpostiviestin* jossa on kirjautumistietosi.\n\nAktivoinnin jälkeen voit vierailla sivustollasi tässä osoitteessa:\n\n%s"
"[%s] Activate %s","[%s] Aktivoi %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Käyttäjätunnuksen aktivoimiseksi, napsauta seuraavaa linkkiä:\n\n%s\n\nAktivoinnin jälkeen saat vielä *toisen sähköpostiviestin*, jossa on tunnus ja salasana."
"Invalid activation key.","Aktivointiavain ei kelpaa."
"The user is already active.","Käyttäjä on jo aktiivinen."
"The site is already active.","Sivusto on jo aktiivinen."
"Could not create user","Käyttäjää ei voida luoda."
"That username is already activated.","Tämä käyttäjätunnus on jo käytössä."
"Could not create site.","Sivustoa ei voitu luoda."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Uusi sivusto: %s\nURL: %s\nKäyttäjän IP: %s\n\nOta nämä ilmoitukset pois käytöstä: %s"
"New Site Registration: %s","Uusi sivusto rekisteröity: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Uusi käyttäjä: %s\nKäyttäjän IP: %s\n\nOta nämä ilmoitukset pois käytöstä: %s"
"New User Registration: %s","Uusi käyttäjä: %s"
"Already Installed","Asennettu"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Näyttää siltä, että olet jo asentanut WordPressin. Jos haluat asentaa uudelleen, tyhjennä vanhat tietokantataulusi ensin."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Hei!\n\nUusi SITE_NAME-sivustosi on asennettu osoitteeseen:\nBLOG_URL\n\nVoit kirjautua pääkäyttäjän tilille näillä tiedoilla:\nKäyttäjätunnus: USERNAME\nSalasana: PASSWORD\nKirjaudu tästä: BLOG_URLwp-login.php\n\nToivottavasti pidät uudesta sivustostasi. Kiitos!\n\n--Sivuston SITE_NAME porukka"
"New %s Site: %s","Uusi %s-sivusto: %s"
"New %s User: %s","Uusi %s käyttäjä: %s"
"This file is too big. Files must be less than %d KB in size.","Tiedosto on liian suuri. Tiedostojen tulee olla pienempiä, kuin %d kt."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Tapahtui virhe: emme onnistuneet lisäämään sinua sivustolle. Palaa <a href=\"%s\">etusivulle</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Sinut on lisätty tälle sivustolle. Mene <a href=\"%s\">etusivulle</a> tai <a href=\"%s\">kirjaudu sisään</a> käyttäjätunnuksellasi ja salasanallasi."
"WordPress &rsaquo; Success","WordPress &rsaquo; OK"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Hyvä käyttäjä,\n\nUusi käyttäjätilisi on nyt luotu.\n\nVoit kirjautua sisään seuraavilla tiedoilla:\nKäyttäjätunnus: USERNAME\nSalasana: PASSWORD\nLOGINLINK\n\nKiitokset!\n\n-- SITE_NAME ylläpito"
"This user has elected to delete their account and the content is no longer available.","Tämä käyttäjä on poistanut käyttäjätunnuksensa ja sisältö ei ole enää saatavilla."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Tätä sivustoa ei ole vielä aktivoitu. Mikäli sinulla on ongelmia sivuston aktivoinnissa, lähetä sähköpostia osoitteeseen <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Sivusto on arkistoitu tai hyllytetty."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Tuota sivustoa ei ole olemassa. Kokeile <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Ei sivustoa määritettynä. Jos olet tämän sivuston omistaja, lue <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">WordPress-verkoston vianetsinnän</a>-ohje."
"If your site does not display, please contact the owner of this network.","Jos sivusto ei näy, ota yhteyttä tämän verkon omistajaan."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Jos olet verkon omistaja, tarkista, että MySQL on käynnissä ja että kaikki taulut ovat virheettömiä."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Tietokantatauluja puuttuu.</strong> Tämä tarkoittaa että MySQL ei ole käytössä, WordPressiä ei asennettu kunnolla tai joku on poistanut sivuston <code>%s</code>. Tutkipa tietokantaasi heti!"
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Sivustoa <code>%s</code> ei löytynyt.</strong> Etsittiin taulua <code>%s</code> tietokannasta <code>%s</code>. Onko tämä oikein?"
"What do I do now?","Mitä seuraavaksi?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lue <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">virheraportointisivu</a>. Jotkin sen ohjeista voivat auttaa selvittämään, että mikä meni pieleen."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Jos et päässyt eroon tästä virheilmoituksesta, tarkista että tietokannassasi on seuraavat taulut:"
"Multisite only works without the port number in the URL.","Monen sivuston tuki toimii vain ilman porttinumeroa URL-osoitteessa."
"Database tables are missing.","Tietokannan taulut puuttuvat."
"No site by that name on this system.","Tuon nimistä sivustoa ei löytynyt tästä järjestelmästä."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Valikon nimi <strong>%s</strong> on jo käytössä. Kokeile jotain muuta."
"The given object ID is not that of a menu item.","Annettu ID ei vastaa mitään valikkokohdetta."
"Custom","Mukautettu"
"%s is a protected WP option and may not be modified","%s on suojattu WP-asetus, eikä sitä voi muokata"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>VIRHE</strong>: Käyttäjänimi tai sähköpostiosoite ei kelpaa"
"You should specify a nonce action to be verified by using the first parameter.","Määrittele varmistettava nonce-toiminto käyttämällä ensimmäistä parametria."
"New comment on your post \"%s\"","Uusi kommentti artikkeliisi %s\""
"Author : %s (IP: %s , %s)","Kirjoittaja : %s (IP: %s , %s)"
"E-mail : %s","Email : %s"
"URL    : %s","Verkkosivu    : %s"
"Comment:","Kommentti: "
"You can see all comments on this post here:","Lue kaikki tämän artikkelin kommentit: "
"[%s] Comment: \"%s\"","[%s] Kommentti: \"%s\""
"New trackback on your post \"%s\"","Uusi paluuviite artikkeliisi \"%s\""
"Website: %s (IP: %s , %s)","Kotisivu: %s (IP: %s , %s)"
"Excerpt:","Ote:"
"You can see all trackbacks on this post here:","Lue kaikki tämän artikkelin paluuviitteet: "
"[%s] Trackback: \"%s\"","[%s] Paluuviite: \"%s\""
"New pingback on your post \"%s\"","Uusi paluuviite artikkeliisi \"%s\""
"You can see all pingbacks on this post here:","Lue kaikki tämän artikkelin päivitysilmoitukset: "
"[%s] Pingback: \"%s\"","[%s] Päivitysilmoitus: \"%s\""
"Permalink: %s","Kestolinkki: %s"
"Trash it: %s","Siirrä roskakoriin: %s"
"Delete it: %s","Poista: %s"
"Spam it: %s","Merkitse roskaviestiksi: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Uusi paluuviite artikkeliin %s odottaa hyväksymistäsi"
"Website : %s (IP: %s , %s)","Verkkosivu : %s (IP: %s , %s)"
"Trackback excerpt:","Ote paluuviitteestä: "
"A new pingback on the post \"%s\" is waiting for your approval","Uusi päivitysilmoitus artikkeliisi \"%s\" odottaa moderointia"
"Pingback excerpt:","Ote päivitysilmoituksesta: "
"A new comment on the post \"%s\" is waiting for your approval","Uusi kommentti artikkeliin \"%s\" odottaa moderointia"
"Approve it: %s","Hyväksy: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Tällä hetkellä %s kommentti odottaa hyväksyntää. Siirry kommenttien hallintaan:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Tällä hetkellä %s kommenttia odottaa hyväksyntää. Siirry kommenttien hallintaan:"
"[%s] Please moderate: \"%s\"","[%s] Arvioitavana: \"%s\""
"Password Lost and Changed for user: %s","Salasana kadonnut ja vaihdettu tunnukselle: %s"
"[%s] Password Lost/Changed","[%s] Salasana on kadonnut tai vaihdettu"
"New user registration on your site %s:","Uusi käyttäjärekisteröinti sivustollasi %s:"
"Username: %s","Käyttäjänimi: %s"
"E-mail: %s","Email: %s"
"[%s] New User Registration","[%s] Uuden käyttäjän rekisteröityminen"
"Password: %s","Salasana: %s"
"[%s] Your username and password","[%s] Käyttäjänimesi ja salasanasi"
"Only a static class method or function can be used in an uninstall hook.","Uninstall-hookissa voi käyttää vain staattista luokkametodia tai funktiota."
"Protected: %s","Suojattu: %s"
"Private: %s","Yksityinen: %s"
"(more...)","(lisää...)"
"There is no excerpt because this is a protected post.","Otetta ei näytetä, koska artikkeli on suojattu."
"Pages:","Sivut:"
"Next page","Seuraava sivu"
"Previous page","Edellinen sivu"
"Home","Etusivu"
"This post is password protected. To view it please enter your password below:","Tämä artikkeli on suojattu salasanalla. Syötä salasanasi:"
"Submit","Lähetä"
"j F, Y @ G:i","d.n.Y \\k\\l\\o G.i"
"%s [Autosave]","%s [Automaattinen tallennus]"
"%s [Current Revision]","%s [Nykyinen versio]"
"%s by %s","%s: %s"
"Restore","Palauta"
"Compare Revisions","Vertaile revisioita"
"Old","Vanha"
"New","Uusi"
"Date Created","Luontipäivämäärä"
"Actions","Toiminnot"
"Post","Artikkeli"
"Page","Sivu"
"Add New","Lisää uusi"
"Edit Media","Muokkaa mediatiedostoja"
"View Attachment Page","Näytä liitteen sivu"
"Revisions","Versiot"
"Revision","Versio"
"Navigation Menu Items","Navigaatiovalikon kohdat"
"Navigation Menu Item","Navigaatiovalikon kohta"
"Published","Julkaistu"
"Published <span class=\"count\">(%s)</span>","Julkaistut <span class=\"count\">(%s)</span>"
"Scheduled","Odottaa julkaisua"
"Scheduled <span class=\"count\">(%s)</span>","Ajastetut <span class=\"count\">(%s)</span>"
"Draft","Luonnos"
"Draft <span class=\"count\">(%s)</span>","Luonnos <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Luonnokset <span class=\"count\">(%s)</span>"
"Pending","Vireillä"
"Pending <span class=\"count\">(%s)</span>","Vireellä <span class=\"count\">(%s)</span>"
"Private","Yksityinen"
"Private <span class=\"count\">(%s)</span>","Yksityiset <span class=\"count\">(%s)</span>"
"Trash","Roskakori"
"Trash <span class=\"count\">(%s)</span>","Roskakori <span class=\"count\">(%s)</span>"
"Invalid post","Virheellinen artikkeli"
"Pending Review","Tarkastettavana"
"Post types cannot exceed 20 characters in length","Artikkelityypit eivät voi ylittää 20 merkkiä."
"Posts","Artikkelit"
"Pages","Sivut"
"Add New Post","Lisää uusi artikkeli"
"Add New Page","Lisää uusi sivu"
"Edit Post","Muokkaa artikkelia"
"Edit Page","Muokkaa sivua"
"New Page","Uusi sivu"
"View Page","Näytä sivu"
"Search Posts","Etsi artikkeleita"
"Search Pages","Etsi sivuja"
"No posts found.","Artikkeleita ei löytynyt."
"No pages found.","Ei sivuja."
"No posts found in Trash.","Roskakori on tyhjä."
"No pages found in Trash.","Roskakori on tyhjä."
"Parent Page:","Yläsivu:"
"All Posts","Kaikki artikkelit"
"All Pages","Kaikki sivut"
"Images","Kuvat"
"Manage Images","Hallinnoi kuvia"
"Image <span class=\"count\">(%s)</span>","Kuva <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Kuvat <span class=\"count\">(%s)</span>"
"Audio","Ääni"
"Manage Audio","Hallinnoi äänitiedostoja"
"Audio <span class=\"count\">(%s)</span>","Ääni <span class=\"count\">(%s)</span>"
"Manage Video","Hallinnoi videoita"
"Video <span class=\"count\">(%s)</span>","Videot <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Käytä int-muuttujan sijasta parametrina taulukkoa (array), joka sisältää argumentit. "
"Content, title, and excerpt are empty.","Sisältö, otsikko ja ote ovat tyhjiä."
"Whoops, the provided date is invalid.","Hupsis, annetut tiedot ovat virheellisiä."
"Could not update post in the database","Artikkelia ei voitu päivittää tietokantaan."
"Could not insert post into the database","Artikkelia ei voitu lisätä tietokantaan."
"The page template is invalid.","Sivu ei kelpaa."
"Content","Sisältö"
"Excerpt","Ote"
"Cannot create a revision of a revision","Ei voida luoda revisiota revisiosta."
"You do not have permission to preview drafts.","Sinulla ei ole oikeutta esikatsella luonnoksia."
"Standard","Normaali"
"Aside","Sivuhuomautus"
"Chat","Keskustelu"
"Gallery","Galleria"
"Link","Linkki"
"Image","Kuva"
"Status","Tilapäivitys"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Ehdolliset kyselytagit eivät toimi ennen kuin kysely on ajettu. Ennen sitä ne palauttavat aina arvon epätosi."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" on vanhentunut. Käytä sen sijaan \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Tätä tiedostoa ei enää tarvita."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Poistetaanko valitut kohteet?\n 'Peruuta' lopettaaksesi, 'OK' poistaaksesi."
"Enter a word to look up:","Syötä haettava sana:"
"Dictionary lookup","Hae sanakirjasta"
"lookup","hae"
"Close all open tags","Sulje kaikki avoimet tagit"
"close tags","Sulje tagit"
"Enter the URL","Syötä osoite (URL)"
"Enter the URL of the image","Syötä kuvan osoite (URL)"
"Enter a description of the image","Syötä kuvan kuvaus"
"fullscreen","koko ruutu"
"Toggle fullscreen mode","Koko näyttö"
"text direction","tekstin suunta"
"Toggle Editor Text Direction","Vaihda tekstin suunta"
"You do not have permission to do that.","Sinulla ei ole toimintoon tarvittavaa oikeutta."
"An unidentified error has occurred.","Tuntematon virhe."
"Dismiss","Sulje"
"Next &gt;","Seuraava &raquo;"
"&lt; Prev","&laquo; Edellinen"
"of","/"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Tämä toiminto edellyttää kehyksiä. Sinulla on kehykset estetty tai selaimesi ei tue niitä."
"not configured","ei konfiguroitu"
"You have attempted to queue too many files.","Liian monta tiedostoa jonossa."
"%s exceeds the maximum upload size for this site.","%s ylittää tämän sivuston suurimman sallitun tiedostokoon."
"This file is empty. Please try another.","Tiedosto on tyhjä."
"This file type is not allowed. Please try another.","Tiedoston tyyppi ei kelpaa. Kokeile toista tiedostopäätettä."
"This file is not an image. Please try another.","Tämä ei ole kuvatiedosto. Kokeilethan jotain muuta."
"Memory exceeded. Please try another smaller file.","Muisti loppui. Kokeile pienempää tiedostoa."
"This is larger than the maximum size. Please try another.","Tämä on maksimikokoa suurempi. Yritä pienemmällä uudestaan."
"An error occurred in the upload. Please try again later.","Virhe siirrettäessä tiedostoa. Yritä myöhemmin uudelleen."
"There was a configuration error. Please contact the server administrator.","Tapahtui konfigurointivirhe. Ota yhteyttä henkilöön, joka hallinnoi palvelinta."
"You may only upload 1 file.","Lataa vain yksi tiedosto kerrallaan."
"HTTP error.","HTTP-virhe."
"Upload failed.","Siirto epäonnistui."
"Please try uploading this file with the %sbrowser uploader%s.","Kokeile tämän tiedoston siirtämistä %sselaimen tiedostolataajalla%s"
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s ylittää selaimesi latausohjelman suurimman sallitun tiedostokoon"
"IO error.","IO-virhe."
"Security error.","Tietoturvavirhe."
"File canceled.","Tiedosto peruttu."
"Upload stopped.","Siirto keskeytetty."
"Crunching&hellip;","Raksuttaa&hellip;"
"moved to the trash.","siirretty roskakoriin."
"&#8220;%s&#8221; has failed to upload.","Tiedoston &#8221;%s&#8221; siirtäminen ei onnistunut."
"Strength indicator","Salasanan vahvuus"
"Very weak","Erittäin heikko"
"Weak","Heikko"
"Strong","Erinomainen"
"Mismatch","Ei täsmää"
"(no title)","(ei otsikkoa)"
"No matches found.","Ei vastaavia."
"Save &amp; Activate","Tallenna &amp; ota käyttöön"
"Save &amp; Publish","Tallenna &amp; julkaise"
"Saved","Tallennettu"
"Add","Lisää"
"Separate multiple categories with commas.","Erota kategoriat pilkuilla."
"Approve and Reply","Hyväksy ja vastaa"
"Publish on:","Julkaistaan:"
"Schedule for:","Ajastettu:"
"Published on:","Julkaistu:"
"Show more comments","Näytä enemmän kommentteja"
"No more comments found.","Ei kommentteja."
"Publish","Julkaise"
"Schedule","Ajasta"
"Save as Pending","Tallenna arvioitavaksi"
"Save Draft","Tallenna luonnos"
"Public","Julkinen"
"Public, Sticky","Julkinen, kiinnitetty"
"Password Protected","Salasanasuojattu"
"Privately Published","Yksityisesti julkaistu"
"Submitted on:","Lähetetty:"
"Error while saving the changes.","Virhe tallennettaessa muutoksia"
"Remove From Bulk Edit","Poista massamuokkaustilasta"
"Plugin Information:","Lisäosan tiedot:"
"Are you sure you want to install this plugin?","Haluatko varmasti asentaa tämän lisäosan?"
"Select Color","Valitse väri"
"Current Color","Nykyinen väri"
"Could not load the preview image. Please reload the page and try again.","Esikatselukuvan lataus ei onnistunut. Lataa sivu uudelleen ja kokeile uudestaan."
"Use as featured image","Käytä artikkelikuvana"
"Saving...","Tallentaa..."
"Could not set that as the thumbnail image. Try a different attachment.","En voinut asettaa tuota pienoiskuvaksi. Kokeile toista liitettä."
"Done","Valmis"
"No results found.","Ei tuloksia."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Olet pysyvästi poistamassa tätä valikkoa\nNapsauta 'Peruuta' lopettaaksesi, 'OK' jos haluat poistaa valikon."
"Saving Draft&#8230;","Luonnosta tallennetaan&#8230;"
"Navigation Menus","Navigaatiovalikot"
"Navigation Menu","Navigaatiovalikko"
"Link Categories","Linkkien kategoriat"
"Link Category","Kategoria"
"Search Link Categories","Etsi kategorioita"
"All Link Categories","Kaikki kategoriat"
"Edit Link Category","Muokkaa kategoriaa"
"Update Link Category","Päivitä kategoria"
"Add New Link Category","Lisää uusi kategoria"
"New Link Category Name","Uuden kategorian nimi"
"Taxonomies cannot exceed 32 characters in length","Taksonomian nimi ei voi olla yli 32 merkkiä pitkä"
"Tags","Avainsanat"
"Categories","Kategoriat"
"Tag","Avainsana"
"Category","Kategoria"
"Search Tags","Etsi avainsanoista"
"Search Categories","Etsi kategorioita"
"Popular Tags","Suositut avainsanat"
"All Tags","Kaikki avainsanat"
"All Categories","Kaikki kategoriat"
"Parent Category","Yläkategoria"
"Parent Category:","Yläkategoria:"
"Edit Tag","Muokkaa avainsanaa"
"Edit Category","Muokkaa kategoriaa"
"View Tag","Näytä avainsana"
"View Category","Näytä kategoria"
"Update Tag","Päivitä avainsana"
"Update Category","Päivitä kategoria"
"Add New Tag","Lisää uusi avainsana"
"Add New Category","Lisää uusi kategoria"
"New Tag Name","Uusi avainsanan nimi"
"New Category Name","Uusi kategorian nimi"
"Separate tags with commas","Erottele avainsanat pilkulla"
"Add or remove tags","Lisää tai poista avainsanoja"
"Choose from the most used tags","Valitse eniten käytetyistä avainsanoista"
"Empty Term","Tyhjä termi"
"A name is required for this term","Tämä termi vaatii nimen"
"A term with the name provided already exists with this parent.","Samanniminen termi on jo olemassa."
"Could not insert term into the database","Termin lisääminen tietokantaan epäonnistui"
"A term with the name provided already exists.","Termi, jolla on tämä nimi, on jo olemassa."
"Could not insert term relationship into the database","Termin suhteen lisäys tietokantaan epäonnistui"
"The slug &#8220;%s&#8221; is already in use by another term","Polkutunnus \"%s\" on jo käytössä."
"Invalid object ID","Objektin tunnus ei kelpaa."
"Theme without %s","Teema ilman %s"
"Please include a %s template in your theme.","Sisällytä %s pohja teemaasi."
"%s - Comments on %s","%s - kommentit kohteessa %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr>-syöte tämän artikkelin kommenteille."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> tämän merkinnän paluuviitteeseen: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","kirjoittanut %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Ei kommentteja."
"Leave a comment","Jätä kommentti"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Rivin- ja kappaleenvaihdot automaattisia, sähköpostiosoitetta ei näytetä koskaan, <acronym title=\"Hypertext Markup Language\">HTML</acronym> sallittu: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Kirjauduttu sisään nimellä <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Kirjaudu ulos tältä tililtä\">Kirjaudu ulos &raquo;</a>"
"E-mail","Sähköpostiosoite"
"Your Comment","Kommenttisi"
"Say It!","Sano se!"
"Sorry, the comment form is closed at this time.","Pahoittelut, kommentointi on nyt suljettu."
"Close this window.","Sulje tämä ikkuna"
"Sorry, no posts matched your criteria.","Pahoittelut, yhtään ehtoja vastaavia artikkeleita ei löytynyt."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Voimanlähteenä <a href=\"%s\" title=\"Voimanlähteenä WordPress, moderni ja semanttinen henkilökohtainen julkaisujärjestelmä.\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Artikkeli on salasanasuojattu. Syötä salasana katsoaksesi kommentteja."
"One Response to %s","Yksi vastaus artikkeliin %s"
"%s Responses to %s","%s vastausta artikkeliin %s"
"Comments are closed.","Kommentointi on suljettu."
"Logged in as <a href=\"%s\">%s</a>.","Kirjautunut nimellä <a href=\"%s\">%s</a>."
"Log out of this account","Kirjaudu ulos"
"Log out &raquo;","Kirjaudu ulos &raquo;"
"(required)","(pakollinen)"
"Mail (will not be published)","Sähköpostiosoite (ei julkaista)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Voit käyttää näitä tageja: <code>%s</code>"
"Submit Comment","Lähetä kommentti"
"%s is proudly powered by %s","%s-sivuston taustalla pyörii %s"
"%s and %s.","%s ja %s."
"Entries (RSS)","Merkinnät (RSS)"
"Comments (RSS)","Kommentit (RSS)"
"%d queries. %s seconds.","%d kyselyä. %s sekuntia."
"You are currently browsing the archives for the %s category.","Luet parhaillaan arkistoa kategoriasta %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Luet parhaillaan <a href=\"%s/\">%s</a> blogiarkistoa päivälle %s."
"l, F jS, Y","l\\n\\a j. F\\t\\a Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Luet parhaillaan <a href=\"%s/\">%s</a> blogiarkistoa: %s."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Luet parhaillaan <a href=\"%s/\">%s</a> blogiarkistoa vuodelle %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Hait <a href=\"%s/\">%s</a> blogiarkistosta hakutermillä <strong>&#8216;%s&#8217;</strong>. Jos hakutuloksista ei löydy mitään, kokeile seuraavia linkkejä."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Luet parhaillaan <a href=\"%s/\">%s</a> blogiarkistoa."
"This page validates as XHTML 1.0 Transitional","Tämä sivu on validia XHTML 1.0 Transitional -koodia"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Validi <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%d WordPress Update","%d WordPress-päivitys"
"%d Plugin Update","%d lisäosapäivitys"
"%d Plugin Updates","%d lisäosapäivitystä"
"%d Theme Update","%d teemapäivitys"
"%d Theme Updates","%d teemapäivitystä"
"<strong>ERROR</strong>: The username field is empty.","<strong>VIRHE</strong>: Käyttäjätunnusta ei ole syötetty."
"<strong>ERROR</strong>: The password field is empty.","<strong>VIRHE</strong>: Salasanaa ei ole syötetty."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>VIRHE</strong>: Väärä käyttäjätunnus. <a href=\"%s\" title=\"Hanki uusi salasana\">Kadotitko salasanasi</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>VIRHE</strong>: Käyttäjätunnuksesi on merkitty roskapostittajien listalle."
"Site Suspended.","Sivusto on hyllytetty."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>VIRHE</strong>: Käyttäjätunnukselle <strong>%s</strong> annettu salasana on virheellinen. <a href=\"%s\" title=\"Palauta salasana\">Unohditko salasanasi</a>?"
"Please log in again.","Kirjaudu sisään uudelleen."
