"New password","Nové heslo"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Aktuálně používaný internetový prohlížeč bohužel obsahuje některá omezení při nahrávání příliš velkých souborů pomocí nástroje pro současné nahrávání několika souborů najednou. Použijte prosím raději <a href=\"%s\" target=\"%s\">jednoduché nahrávání pomocí prohlížeče</a> pro soubory větší než 100 MB."
"Uploading","Nahrávání"
"Dismiss Errors","Skrýt chyby"
"Error","Chyba "
"Deselect","Odebrat"
"Caption this image&hellip;","Stručný popis obrázku&hellip;"
"Describe this video&hellip;","Stručný popis videa&hellip;"
"Describe this audio file&hellip;","Stručný popis zvukového souboru&hellip;"
"Describe this media file&hellip;","Stručný popis mediálního souboru&hellip;"
"Attachment Details","Podrobné informace o souboru"
"Refresh","Obnovit"
"Delete Permanently","Smazat"
"Alt Text","Alternativní text"
"Description","Poznámky"
"Edit","Upravit"
"Clear","Zrušit"
"Attachment Display Settings","Nastavení zobrazení souboru"
"Link To","URL odkazu"
"Custom URL","Zadat vlastní adresu"
"Attachment Page","Stránka se zobrazením souboru"
"Media File","Mediální soubor"
"Large","Velký obrázek"
"Gallery Settings","Nastavení galerie"
"Columns","Počet sloupců"
"Random Order","Náhodné pořadí"
"No editor could be selected.","Pro obrázek nemohl být použit žádný editor."
"Allowed Files","Povolené typy souborů"
"Select","Vybrat"
"%d selected","Zvolené soubory: %d"
"Drag and drop to reorder images.","Pokud chcete obrázky libovolně seřadit, stačí je uchopit ukazatelem myši a přesunout."
"Upload Files","Nahrávání souborů"
"Upload Images","Nahrát obrázky"
"Media Library","Knihovna médií"
"Insert Media","Vložit soubor"
"Create a new gallery","Vytvořit galerii"
"&#8592; Return to library","&#8592; Zpět do Knihovny médií"
"All media items","Všechny mediální soubory"
"No items found.","Nebyly nalezeny žádné položky."
"Insert into page","Vložit do stránky"
"Insert into post","Vložit do příspěvku"
"Uploaded to this page","Přiřazeno ke stránce"
"Uploaded to this post","Přiřazeno k příspěvku"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybranou položku.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Insert from URL","Vložit z URL adresy"
"Set Featured Image","Náhledový obrázek"
"Set featured image","Zvolit náhledový obrázek"
"Create Gallery","Vytvořit galerii"
"&#8592; Cancel Gallery","&#8592; Zrušit galerii"
"Insert gallery","Vložit galerii"
"Update gallery","Aktualizovat galerii"
"Add to gallery","Přidat do galerie"
"Add to Gallery","Přidat do galerie"
"Reverse order","Seřadit opačně"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanta <code>VHOST</code> už <strong>není podporována</strong> a pro možnost vytváření nových webů v podobě subdomén použijte prosím v souboru wp-config.php konstantu <code>SUBDOMAIN_INSTALL</code> (boolean). Pomocí funkce is_subdomain_install() můžete jednoduše zkontrolovat, zda jsou subdomény pro vytváření webů opravdu povoleny."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konstanty VHOST a SUBDOMAIN_INSTALL mají definované konfliktní hodnoty.</strong> Nadále už bude používána pro celou síť webů pouze konstanta SUBDOMAIN_INSTALL, která umožňuje nastavit pro vytváření webů subdomény."
"The requested user does not exist.","Požadovaný uživatel neexistuje."
"That user does not exist.","Zvolený uživatel neexistuje."
"<strong>ERROR</strong>: Site URL already taken.","<strong>CHYBA</strong>: URL adresa vytvářeného webu už je obsazena."
"<strong>ERROR</strong>: problem creating site entry.","<strong>CHYBA</strong>: Při vytváření webu se objevil nečekaný problém."
"Only lowercase letters (a-z) and numbers are allowed.","Můžete použít pouze malá písmena bez diakritiky (a-z) a číslice."
"Please enter a username.","Zadejte prosím uživatelské jméno."
"That username is not allowed.","Zvolené uživatelské jméno není povoleno."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Zvolenou emailovou adresu bohužel nemůžete pro registraci použít, protože máme s tímto poskytovatelem emailových služeb špatné zkušenosti a často se objevují problémy s nevyžádanými a nedoručenými emaily. Použijte prosím nějakou jinou emailovou adresu."
"Username must be at least 4 characters.","Uživatelské jméno musí obsahovat alespoň 4 znaky."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Uživatelské jméno nemůže obsahovat symbol podtržítka &#8222;_&#8220;!"
"Sorry, usernames must have letters too!","Uživatelské jméno musí obsahovat také nějaké písmeno!"
"Please enter a valid email address.","Zadejte prosím platnou emailovou adresu."
"Sorry, that email address is not allowed!","Zvolená emailová adresa není bohužel povolena!"
"Sorry, that username already exists!","Zvolené uživatelské jméno už bohužel existuje!"
"Sorry, that email address is already used!","Zvolená emailová adresa už je bohužel registrována!"
"That username is currently reserved but may be available in a couple of days.","Zvolené uživatelské jméno je v současné době rezervováno. Pokud ale nebude během několika dní potvrzeno, tak se automaticky uvolní pro novou registraci."
"username and email used","Uživatelské jméno a emailová adresa jsou už registrovány."
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Zvolená emailová adresa už byla registrována. Zkontrolujte prosím obsah emailové schránky, kde by se měl nacházet aktivační email s dalšími instrukcemi. Pokud nebude emailová adresa během několika dní potvrzena, tak se automaticky uvolní pro novou registraci."
"Please enter a site name.","Zadejte prosím adresu webu."
"That name is not allowed.","Zvolená adresa webu není povolena."
"Site name must be at least 4 characters.","Adresa webu musí obsahovat alespoň 4 znaky."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Adresa webu nemůže obsahovat symbol podtržítka &#8222;_&#8220;!"
"Sorry, you may not use that site name.","Zvolenou adresu webu bohužel nemůžete použít."
"Sorry, site names must have letters too!","Adresa webu musí obsahovat také nějaké písmeno!"
"Please enter a site title.","Zadejte prosím název webu."
"Sorry, that site already exists!","Zvolená adresa webu už bohužel existuje!"
"Sorry, that site is reserved!","Zvolená adresa webu je už bohužel rezervována!"
"That site is currently reserved but may be available in a couple days.","Zvolená adresa webu je v současné době rezervována. Pokud ale nebude během několika dní potvrzena, tak se automaticky uvolní pro novou registraci."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Pokud chcete aktivovat nově registrovaný web, klikněte prosím na následující odkaz:\n\n%s\n\nJakmile bude web úspěšně aktivován, dostanete *další email* s přihlašovacími údaji.\n\nPoté už můžete navštívit svůj nový web na následující adrese:\n\n%s"
"[%s] Activate %s","[%s] Aktivace: %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Pro aktivaci nového uživatele kliněte prosím na následující odkaz:\n\n%s\n\nJakmile bude uživatel aktivován, dostanete *další email* s přihlašovacími údaji."
"Invalid activation key.","Aktivační klíč je neplatný."
"The user is already active.","Uživatel už byl úspěšně aktivován."
"The site is already active.","Web už byl úspěšně aktivován."
"Could not create user","Nepodařilo se vytvořit uživatele."
"That username is already activated.","Uživatelské jméno už bylo aktivováno."
"Could not create site.","Nepodařilo se vytvořit web."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nový web: %s\nURL adresa: %s\nIP adresa: %s\n\nZrušit notifikační emaily: %s"
"New Site Registration: %s","Registrace nového webu: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nový uživatel: %s\nIP adresa: %s\n\nZrušit notifikační emaily: %s"
"New User Registration: %s","Registrace nového uživatele: %s"
"Already Installed","WordPress byl již nainstalován"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","WordPress byl již pravděpodobně nainstalován. Pokud ho chcete přeinstalovat, vymažte prosím nejprve stávající tabulky v databázi."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Vítejte!\n\nNový web v rámci sítě SITE_NAME byl právě úspěšně vytvořen a je dostupný na následující adrese:\nBLOG_URL\n\nMůžete se přihlásit jako administrátor webu s pomocí následujících informací:\nUživatelské jméno: USERNAME\nHeslo: PASSWORD\nPřihlašovací adresa: BLOG_URLwp-login.php\n\nDoufáme, že budete s novým webem a jeho správou spokojeni.\n\nDěkujeme!\n\nAdministrátor @ SITE_NAME"
"New %s Site: %s","[%s] Registrace nového webu: %s"
"New %s User: %s","[%s] Registrace nového uživatele: %s"
"This file is too big. Files must be less than %d KB in size.","Nahrávaný soubor je příliš velký. Velikost souborů nesmí přesáhnout %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Během ověřování registrace uživatele na tomto webu došlo k chybě. Můžete se vrátit na <a href=\"%s\">úvodní stránku</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Uživatel byl úspěšně registrován na tomto webu. Můžete navštívit <a href=\"%s\">úvodní stránku</a> nebo se rovnou <a href=\"%s\">přihlásit</a> pomocí svého uživatelského jména a hesla."
"WordPress &rsaquo; Success","WordPress &rsaquo; Registrace byla úspěšná"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Vítejte!\n\nNový uživatelský účet byl právě úspěšně vytvořen.\n\nMůžete se přihlásit s pomocí následujících informací:\nUživatelské jméno: USERNAME\nHeslo: PASSWORD\nPřihlašovací adresa: LOGINLINK\n\nDěkujeme!\n\nAdministrátor @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Zvolený obsah už není nadále dostupný, protože se jeho autor rozhodl, že zcela zruší svůj uživatelský účet."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Zvolený obsah není dostupný, protože tento web ještě nebyl aktivován. Pokud máte problémy s aktivací webu, kontaktujte prosím administrátora na adrese <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Zvolený obsah už není nadále dostupný, protože byl tento web archivován nebo zakázán."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Zvolený web neexistuje. Zkuste prosím raději <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Na této doméně nebyl nalezen žádný web. Pokud jste administrátorem sítě webů, prozkoumejte prosím pozorně následující návod: <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Odstraňování problémů při provozování sítě webů ve WordPressu</a> (anglicky)."
"If your site does not display, please contact the owner of this network.","Pokud se zvolený web nezobrazuje, kontaktujte prosím administrátora sítě webů."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Pokud jste administrátorem sítě webů, zkontrolujte prosím správnou funkčnost MySQL databáze a prohlédněte všechny související tabulky, zda neobsahují nějakou chybu."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databázové tabulky nebyly nalezeny.</strong> V tomto případě patrně MySQL databáze nefunguje, WordPress nebyl správně nainstalován nebo někdo smazal tabulku <code>%s</code>. Měli byste databázi co nejdříve zkontrolovat."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Web na adrese <code>%s</code> se nepodařilo nalézt.</strong> Prohledána byla tabulka <code>%s</code> v databázi s názvem <code>%s</code>. Jsou tyto údaje správné?"
"What do I do now?","Jak postupovat dále?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Prozkoumejte prosím pozorně následující návod: <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Odstraňování problémů při provozování sítě webů ve WordPressu</a> (anglicky). Následně byste měli být schopni identifikovat příčinu stávajícího problému a nalézt jeho řešení."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Pokud se tato chybová zpráva přesto stále zobrazuje, zkontrolujte prosím ještě databázi, zda obsahuje následující tabulky:"
"Multisite only works without the port number in the URL.","Síť webů funguje pouze bez uvedeného čísla portu v URL adrese."
"Database tables are missing.","Databázové tabulky nebyly nalezeny."
"No site by that name on this system.","Žádný web s tímto názvem nebyl nalezen."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Zadaný název <strong>%s</strong> již existuje. Zkuste prosím pro nové menu zvolit jiný název."
"The given object ID is not that of a menu item.","Toto ID objektu není položkou menu."
"Custom","Uživatelský odkaz"
"%s is a protected WP option and may not be modified","%s je chráněn nastavením WordPressu a nemůže být upravován"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>CHYBA</strong>: Neplatné uživatelské jméno nebo nesprávné heslo."
"You should specify a nonce action to be verified by using the first parameter.","Prostřednictvím prvního parametru funkce check_admin_referer() byste měli upřesnit nonce akci, aby mohla být správně ověřena."
"New comment on your post \"%s\"","Nový komentář u příspěvku \"%s\""
"Author : %s (IP: %s , %s)","Autor: %s (IP: %s , %s)"
"E-mail : %s","Email: %s"
"URL    : %s","URL  : %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois: http://whois.arin.net/rest/ip/%s"
"Comment:","Komentář:"
"You can see all comments on this post here:","Všechny komentáře k tomuto příspěvku můžete vidět zde: "
"[%s] Comment: \"%s\"","[%s] Komentář: \"%s\""
"New trackback on your post \"%s\"","Nový trackback u příspěvku \"%s\""
"Website: %s (IP: %s , %s)","Web: %s (IP: %s , %s)"
"Excerpt:","Stručný výpis příspěvku:"
"You can see all trackbacks on this post here:","Všechny trackbacky k tomuto příspěvku můžete vidět zde:"
"New pingback on your post \"%s\"","Nový pingback u příspěvku \"%s\""
"You can see all pingbacks on this post here:","Všechny pingbacky k tomuto příspěvku můžete vidět zde:"
"Permalink: %s","Trvalý odkaz: %s"
"Trash it: %s","Odstranit: %s"
"Delete it: %s","Smazat: %s"
"Spam it: %s","Označit jako spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Nový trackback u příspěvku \"%s\" čeká na schválení"
"Website : %s (IP: %s , %s)","Web: %s (IP: %s , %s)"
"Trackback excerpt:","Stručný výpis trackbacku:"
"A new pingback on the post \"%s\" is waiting for your approval","Nový pingback u příspěvku \"%s\" čeká na schválení"
"Pingback excerpt:","Stručný výpis pingbacku:"
"A new comment on the post \"%s\" is waiting for your approval","Nový komentář u příspěvku \"%s\" čeká na schválení"
"Approve it: %s","Schválit: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Nyní čeká na schválení %s komentář. Měli byste ho schválit nebo odmítnout v menu Komentáře:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Nyní čekají na schválení %s komentáře. Měli byste je schválit nebo odmítnout v menu Komentáře:"
"[%s] Please moderate: \"%s\"","[%s] Prosím moderujte: \"%s\""
"Password Lost and Changed for user: %s","Zapomenuté heslo bylo změněno pro uživatele: %s"
"[%s] Password Lost/Changed","[%s] Heslo zapomenuto/změněno"
"New user registration on your site %s:","Registrace nového uživatele na webu %s:"
"Username: %s","Uživatelské jméno: %s"
"E-mail: %s","Email: %s"
"[%s] New User Registration","[%s] Registrace nového uživatele"
"Password: %s","Heslo: %s"
"[%s] Your username and password","[%s] Vaše uživatelské jméno a heslo"
"Only a static class method or function can be used in an uninstall hook.","Pro možnost registrace vlastní funkce spouštěné během případného odinstalování pluginu je třeba použít funkci nebo metodu statické třídy."
"Protected: %s","Chráněno: %s"
"Private: %s","Soukromý: %s"
"(more...)","(Celý příspěvek...)"
"There is no excerpt because this is a protected post.","Stručný obsah příspěvku zde není uveden, protože je tento příspěvek chráněn heslem."
"Pages:","Stránky:"
"Next page","Následující stránka"
"Previous page","Předchozí stránka"
"Home","Úvodní stránka"
"This post is password protected. To view it please enter your password below:","Tento příspěvek je chráněn heslem. Pokud ho chcete zobrazit, zadejte prosím heslo:"
"Submit","Potvrdit"
"j F, Y @ G:i","j.n.Y, G:i"
"%s [Autosave]","%s [Automaticky uloženo]"
"%s [Current Revision]","%s [Aktuální verze]"
"%s by %s","%s (úpravy provedl %s)"
"Restore","Obnovit"
"Compare Revisions","Porovnat vybrané verze"
"Old","Starší"
"New","Akce"
"Date Created","Vytvořeno"
"Actions","Akce"
"Post","Příspěvek"
"Page","Stránka"
"Media","Nahrát soubor"
"Add New","Akce"
"Edit Media","Upravit mediální soubor"
"View Attachment Page","Zobrazit stránku se souborem"
"Revisions","Starší verze"
"Revision","Starší verze"
"Navigation Menu Items","Položky navigačního menu"
"Navigation Menu Item","Položka navigačního menu"
"Published","Publikováno"
"Published <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Publikované"
"Scheduled","Plánováno"
"Scheduled <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Plánované"
"Draft","Koncept"
"Draft <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Koncept"
"Drafts <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Koncepty"
"Pending","Čekající na schválení"
"Pending <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Čekající na schválení"
"Private","Soukromé"
"Private <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Soukromé"
"Trash","Koš"
"Trash <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Koš"
"Invalid post","Neplatný příspěvek"
"Pending Review","Čekající na schválení"
"Post types cannot exceed 20 characters in length","Název vlastních typů obsahu nemůže být delší než 20 znaků"
"Posts","Příspěvky"
"Pages","Stránky"
"Add New Post","Vytvořit nový příspěvek"
"Add New Page","Vytvořit novou stránku"
"Edit Post","Upravit příspěvek"
"Edit Page","Upravit stránku"
"New Page","Vytvořit stránku"
"View Page","Zobrazit stránku"
"Search Posts","Hledat příspěvky"
"Search Pages","Hledat stránky"
"No posts found.","Nebyly nalezeny žádné příspěvky."
"No pages found.","Nebyly nalezeny žádné stránky."
"No posts found in Trash.","V koši nebyly nalezeny žádné příspěvky."
"No pages found in Trash.","V koši nebyly nalezeny žádné stránky."
"Parent Page:","Nadřazená stránka:"
"All Posts","Přehled příspěvků"
"All Pages","Přehled stránek"
"Images","Obrázky"
"Manage Images","Správa obrázků"
"Image <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Obrázek"
"Images <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Obrázky"
"Manage Audio","Správa audio souborů"
"Audio <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Audio soubory"
"Manage Video","Správa video souborů"
"Video <span class=\"count\">(%s)</span>","<span class=\"count\">(%s)</span> Video soubory"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Možnost jednoduchého definování počtu příspěvků jako celého čísla už není jako parametr této funkce nadále podporována. Použijte raději pole s konkrétními parametry a hodnotami."
"Content, title, and excerpt are empty.","Obsah, název a stručný výpis nejsou vyplněny."
"Whoops, the provided date is invalid.","Zadané datum je bohužel neplatné."
"Could not update post in the database","Nepodařilo se aktualizovat příspěvek v databázi"
"Could not insert post into the database","Nepodařilo se uložit příspěvek do databáze"
"The page template is invalid.","Šablona stránky je neplatná."
"Content","Obsah"
"Excerpt","Stručný výpis příspěvku"
"Cannot create a revision of a revision","Nemůžete vytvářet další varianty starší verze příspěvku"
"You do not have permission to preview drafts.","Nemáte dostatečné oprávnění pro zobrazování náhledů konceptů."
"Standard","Normální"
"Aside","Poznámka"
"Chat","Rozhovor"
"Gallery","Galerie"
"Link","Odkaz"
"Image","Obrázek"
"Status","Stav"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Podmínkové funkce nefungují správně a vracejí pouze nepravdivý výsledek, dokud nedojde na základě aktuálně zobrazené URL adresy k samotnému dotazu do databáze na konkrétní obsah webu."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","Parametr \"caller_get_posts\" již není nadále podporován. Použijte místo něj raději \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Tento soubor už není třeba nadále používat."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybrané položky.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Enter a word to look up:","Zadejte hledané slovo:"
"Dictionary lookup","Zkontrolovat slovo ve slovníku"
"lookup","kontrola"
"Close all open tags","Uzavřít všechny otevřené značky"
"close tags","uzavřít značky"
"Enter the URL","Vložit URL"
"Enter the URL of the image","Vložit URL obrázku"
"Enter a description of the image","Vložit popis obrázku"
"fullscreen","celá obrazovka"
"Toggle fullscreen mode","Přepnout na celou obrazovku"
"text direction","směr textu"
"Toggle Editor Text Direction","Přepnout směr textu v editoru"
"You do not have permission to do that.","Nemáte dostatečné oprávnění pro tuto činnost."
"An unidentified error has occurred.","Došlo k nějaké blíže neidentifikované chybě."
"Dismiss","Zavřít"
"Next &gt;","Následující &gt;"
"&lt; Prev","&lt; Předchozí"
"of","z celkem"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Tato funkce WordPressu vyžaduje použití vnitřních rámů (iframe), které však patrně nemáte povoleny nebo je váš prohlížeč vůbec nepodporuje."
"not configured","nenastaveno"
"You have attempted to queue too many files.","Pokusili jste se zařadit do fronty příliš mnoho souborů."
"%s exceeds the maximum upload size for this site.","Soubor %s překročil maximální povolenou velikost nahrávaného souboru na tomto webu."
"This file is empty. Please try another.","Soubor je prázdný. Zkuste prosím nějaký jiný."
"This file type is not allowed. Please try another.","Tento typ souboru není povolen. Zkuste prosím jiný."
"This file is not an image. Please try another.","Tento soubor není obrázek. Zkuste prosím nějaký jiný."
"Memory exceeded. Please try another smaller file.","Nedostatek paměti. Zkuste prosím nahrát nějaký menší soubor."
"This is larger than the maximum size. Please try another.","Soubor je větší než maximální povolená velikost nahrávaného souboru. Zkuste prosím nějaký jiný."
"An error occurred in the upload. Please try again later.","Při nahrávání došlo k chybě. Zkuste to prosím později."
"There was a configuration error. Please contact the server administrator.","Došlo k chybě v nastavení serveru! Kontaktujte prosím administrátora vašeho serveru."
"You may only upload 1 file.","Můžete nahrávat pouze jeden soubor."
"HTTP error.","HTTP chyba."
"Upload failed.","Nahrávání selhalo."
"Please try uploading this file with the %sbrowser uploader%s.","Zkuste prosím tento soubor nahrát prostřednictvím %sjednoduchého nahrávání pomocí prohlížeče%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","Při použití funkce pro hromadné nahrávání několika souborů najednou překročil soubor %s maximální povolenou velikost nahrávaného souboru, která je definována aktuálně používaným prohlížečem."
"IO error.","IO chyba."
"Security error.","Bezpečnostní chyba."
"File canceled.","Soubor byl zrušen."
"Upload stopped.","Nahrávání bylo zastaveno."
"Crunching&hellip;","Probíhá zpracování&hellip;"
"moved to the trash.","byl přesunut do koše."
"&#8220;%s&#8221; has failed to upload.","Soubor &#8222;%s&#8220; se nepodařilo nahrát."
"Strength indicator","Indikátor síly hesla"
"Very weak","Příliš slabé"
"Weak","Slabé"
"Strong","Silné"
"Mismatch","Nesouhlasí"
"(no title)","(bez názvu)"
"No matches found.","Nebylo nic nalezeno."
"Save &amp; Activate","Uložit &amp; Aktivovat šablonu"
"Save &amp; Publish","Uložit &amp; Publikovat úpravy"
"Saved","Uloženo"
"Add","Vytvořit"
"Separate multiple categories with commas.","Více rubrik oddělte čárkami."
"Approve and Reply","Schválit a odpovědět"
"Publish on:","Publikovat:"
"Schedule for:","Naplánováno na:"
"Published on:","Publikováno:"
"Show more comments","Zobrazit další komentáře"
"No more comments found.","Nebyly nalezeny žádné další komentáře."
"Publish","Publikovat"
"Schedule","Naplánovat"
"Save as Pending","Uložit do fronty na schválení"
"Save Draft","Uložit koncept"
"Public","Veřejné"
"Public, Sticky","Veřejný, zvýrazněný"
"Password Protected","Chráněno heslem"
"Privately Published","Publikován jako soukromý"
"Submitted on:","Uloženo:"
"Error while saving the changes.","Během ukládání změn se objevila nečekaná chyba."
"Remove From Bulk Edit","Odebrat z hromadných úprav"
"Plugin Information:","Informace o pluginu:"
"Are you sure you want to install this plugin?","Opravdu chcete nainstalovat tento plugin?"
"Select Color","Zvolit barvu"
"Current Color","Aktuální barva"
"Could not load the preview image. Please reload the page and try again.","Nepodařilo se načíst náhled obrázku. Obnovte prosím tuto stránku a zkuste to znovu."
"Use as featured image","Použít jako náhledový obrázek"
"Saving...","Ukládám..."
"Could not set that as the thumbnail image. Try a different attachment.","Nepodařilo se nastavit tento soubor jako náhledový obrázek. Zkuste to prosím s jiným souborem."
"Done","Hotovo"
"No results found.","Nebylo nic nalezeno."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybrané menu.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Saving Draft&#8230;","Ukládání konceptu&#8230;"
"Navigation Menus","Navigační menu"
"Navigation Menu","Navigační menu"
"Link Categories","Rubriky odkazů"
"Link Category","Rubrika odkazů"
"Search Link Categories","Hledat rubriky odkazů"
"All Link Categories","Všechny rubriky odkazů"
"Edit Link Category","Upravit rubriku odkazů"
"Update Link Category","Aktualizovat rubriku odkazů"
"Add New Link Category","Vytvořit novou rubriku odkazů"
"New Link Category Name","Název nové rubriky odkazů"
"Taxonomies cannot exceed 32 characters in length","Název vlastních taxonomií nemůže být delší než 32 znaků."
"Tags","Štítky"
"Categories","Rubriky"
"Tag","Štítek"
"Category","Rubrika"
"Search Tags","Hledat štítky"
"Search Categories","Hledat rubriky"
"Popular Tags","Oblíbené štítky"
"All Tags","Všechny štítky"
"All Categories","Všechny rubriky"
"Parent Category","Nadřazená rubrika"
"Parent Category:","Nadřazená rubrika:"
"Edit Tag","Upravit štítek"
"Edit Category","Upravit rubriku"
"View Tag","Zobrazit štítek"
"View Category","Zobrazit rubriku"
"Update Tag","Aktualizovat štítek"
"Update Category","Aktualizovat rubriku"
"Add New Tag","Vytvořit nový štítek"
"Add New Category","Vytvořit novou rubriku"
"New Tag Name","Název nového štítku"
"New Category Name","Název nové rubriky"
"Separate tags with commas","Více štítků oddělte čárkami."
"Add or remove tags","Přidat nebo odebrat štítky"
"Choose from the most used tags","Vyberte si z nejpoužívanějších štítků"
"Empty Term","Prázdný název"
"A name is required for this term","Název je vyžadován"
"A term with the name provided already exists with this parent.","Zadaný název již na této hierarchické úrovni existuje."
"Could not insert term into the database","Uložení do databáze se nezdařilo."
"A term with the name provided already exists.","Zadaný název již existuje."
"Could not insert term relationship into the database","Napojení zvolené položky taxonomie k příslušnému obsahu se nepodařilo uložit do databáze."
"The slug &#8220;%s&#8221; is already in use by another term","Tento název v URL &#8222;%s&#8220; je již používán pro jiný výraz."
"Invalid object ID","Neplatné ID objektu"
"Theme without %s","Šablona bez souboru %s"
"Please include a %s template in your theme.","Používejte prosím soubor %s ve vaší šabloně."
"%s - Comments on %s","%s - Komentáře k %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> komentářů k tomuto příspěvku."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> adresa pro trackbacky odkazující přímo na tento text: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","vložil %s &#8211; %s @ <a href=\"#comment-%s\">%s</a>"
