"New password","Nova lozinka"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanta <code>VHOST</code> <strong>je zastarjela</strong>. Upotrijebite bolean konstantu <code>SUBDOMAIN_INSTALL</code> u wp-config.php kako bi omogućili konfiguraciju poddomena. Upotrijebite is_subdomain_install() kako bi provjerili jeli konfiguracija poddomena omogućena."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konfliktne vrijednosti za konstantu VHOST i SUBDOMAIN_INSTALL.</strong> Za vrijednost SUBDOMAIN_INSTALL biti će pretpostavljeno da je vaša konfiguracijska postavka za poddomene."
"The requested user does not exist.","Traženi korisnik ne postoji."
"That user does not exist.","Ovaj korisnik ne postoji."
"<strong>ERROR</strong>: Site URL already taken.","<strong>POGREŠKA</strong>: URL web stranice je već zauzet."
"<strong>ERROR</strong>: problem creating site entry.","<strong>POGREŠKA</strong>: problem pri kreiranju unosa web stranice."
"Only lowercase letters (a-z) and numbers are allowed.","Dopušteni su samo mala slova (a-z) i brojevi."
"Please enter a username.","Molimo unesite korisničko ime."
"That username is not allowed.","Ovo korisničko ime nije dozvoljeno."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Ne možete upotrijebiti dotičnu adresu e-pošte za registraciju. Imamo problema sa njima jer blokiraju neke od naših poruka e-pošte. Molim upotrijebite nekog drugog pružatelja usluga e-pošte."
"Username must be at least 4 characters.","Korisničko ime mora sadržavati najmanje 4 znaka."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Žalim, korisnička imena ne smiju sadržavati znak &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Žalim, i korisnička imena moraju sadržavati slova!"
"Please enter a valid email address.","Molim unesite valjanu adresu e-pošte."
"Sorry, that email address is not allowed!","Žalim, ova email adresa nije dozovljena!"
"Sorry, that username already exists!","Žao mi je, ovo korisničko ime se već koristi!"
"Sorry, that email address is already used!","Žao mi je, ova email adresa se već koristi!"
"That username is currently reserved but may be available in a couple of days.","Dotično korisničko ime je trenutno rezervirano ali možda postane dostupno kroz nekoliko dana."
"username and email used","korisničko ime i email se koriste"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Dotična adresa e-pošte je već upotrijebljena. Molim provjerite svoj dolaznu mapu za aktivacijsku poruku e-pošte. Postati će dostupan za par dana ako ništa ne napravite."
"Please enter a site name.","Molim unesite naziv web stranice."
"That name is not allowed.","Dotično ime nije dozvoljeno."
"Site name must be at least 4 characters.","Ime web stranice mora sadržavati najmanje 4 znaka."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Žalim, imena web stranica ne smiju sadržavati znak &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Žalim, nemožete koristiti to ima za sajt."
"Sorry, site names must have letters too!","Žalim, i imena web stranica moraju sadržavati slova!"
"Please enter a site title.","Molim unesite naslov web stranice."
"Sorry, that site already exists!","Žalim, ovaj sajt već postoji!"
"Sorry, that site is reserved!","Žalim, ovaj sajt je rezerviran!"
"That site is currently reserved but may be available in a couple days.","Dotična web stranica je trenutno rezervirana ali možda postane dostupna kroz nekoliko dana."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Za aktivaciju vašeg bloga, molim kliknite na ponuđenu poveznicu:\n\n%s\n\nNakon aktivacije, primiti ćete *još jednu poruku e-pošte* sa vašim podacima za prijavu.\n\nNakon aktivacije možete posjetiti vašu web stranicu ovdje:\n\n%s"
"[%s] Activate %s","[%s] Aktiviraj %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Za aktivaciju vašeg korisnika, molim kliknite na ponuđenu poveznicu:\n\n%s\n\nNakon aktivacije, primiti ćete *još jednu poruku e-pošte* sa vašim podacima za prijavu."
"Invalid activation key.","Neispravni aktivacijski ključ."
"The user is already active.","Korisnik je već aktivan."
"The site is already active.","Web stranica  je već aktivna."
"Could not create user","Ne mogu stvoriti korisnika."
"That username is already activated.","Ovo korisničko ime je već aktivirano."
"Could not create site.","Ne mogu kreirati sajt."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nova Web Stranica: %s\nURL: %s\nUdaljeni IP: %s\n\nOnemogući ove obavijesti: %s"
"New Site Registration: %s","Registracije Novih Web stranica: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novi Korisnik: %s\nUdaljeni IP: %s\n\nOnemogući ove obavijesti: %s"
"New User Registration: %s","Registracija novog korisnika: %s"
"Already Installed","Već instalirano"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Izgleda da ste već instalirali WordPress. Ako želite reinstalirati prvo ispraznite vašu staru bazu podataka."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Poštovani korisniče,\n\nVaša nova SITE_NAME web stranica je uspješno postavljena na:\nBLOG_URL\n\nMožete se prijaviti kao administrator, pomoću sljedećih podataka:\nKorisničko ime: USERNAME\nLozinka: PASSWORD\nPrijavite se ovdje: BLOG_URLwp-login.php\n\nNadamo se da ćete uživati u svojoj novoj web stranici.\nHvala!\n\n--Tim @ SITE_NAME"
"New %s Site: %s","Novi %s Sajt: %s"
"New %s User: %s","Novi %s Korisnik: %s"
"This file is too big. Files must be less than %d KB in size.","Ova datoteka je prevelika. Datoteka mora biti manja od %d KB veličinom."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Pojavila se greška prilikom vašeg dodavanja ovoj web stranici. Povratak na <a href=\"%s\">početnu stranicu</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Dodani ste na ovu web stranicu. Molim posjetite <a href=\"%s\">početnu stranicu</a> ili se <a href=\"%s\">prijavite</a> koristeći vaše korisničko ime i lozinku."
"WordPress &rsaquo; Success","WordPress &rsaquo; Uspjeh"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Poštovani Korisniče,\n\nVaš novi račun je postavljen.\n\nMožete se prijaviti sa sljedećim podacima:\nKorisničko ime: USERNAME\nLozinka: PASSWORD\nLOGINLINK\n\nHvala!\n\n--Tim @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Ovaj korisnik je odabrao brisanje svog račun i sadržaj više nije dostupan."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Ova web stranica još nije aktivirana. Ako imate problema sa aktiviranjem vaše web stranice, molim kontaktirajte <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Ova web stranica je arhivirana ili suspendirana."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Ta web stranica ne postoji. Molim pokušajte <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Nijedna web stranica nije definirana na ovom hostu. Ako ste vlasnik ove web stranice, molim pregledajte <a href=\"http://codex.wordpress.org/Debugging_WPMU\">Debugging WordPress Mreže (en)</a> za pomoć."
"If your site does not display, please contact the owner of this network.","Ako se vaša web stranica ne prikazuje, molim kontaktirajte vlasnika ove mreže."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Ako ste vlasnik ove mreže molim provjerite da li MySQL radi ispravo i da su sve tablice bez greške."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Nedostaju tablice baze podataka.</strong> Ovo znači da MySQL ne funkcionira, WordPress nije ispravno instaliran, ili je netko izbrisao <code>%s</code>. Sada biste zbilja trebali pogledati vašu bazu podataka."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Ne mogu pronaći web stranicu <code>%s</code>.</strong> Pretraga za tablicom <code>%s</code> u bazi podataka <code>%s</code>. Je li to točno?"
"What do I do now?","Što je sljedeće?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Pročitajte stranicu <a target=\"_blank\" href=\"http://codex.wordpress.org/hr:Pronala%sC5%sBEenje_Gre%sC5%sA1aka_WordPress_Mre%sC5%sBEe\">pronalaženja grešaka</a>. Neke od tamo sadržanih uputa možda mogu pomoći da shvatite što je pošlo po krivu."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Ako ste još zapeli sa ovom porukom, onda provjerite je li vaša baza podataka sadrži sljedeće tablice:"
"Multisite only works without the port number in the URL.","Multisite radi samo bez port broja u URL-u."
"Database tables are missing.","Nedostaju tablice baze podataka."
"No site by that name on this system.","Nema web stranice sa tim imenom na ovom sistemu."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Ime izbornika <strong>%s</strong> je u konfliktu sa jednim drugim imenom izbornika. Molim pokušajte s drugim imenom."
"The given object ID is not that of a menu item.","Upisani ID objekta ne pripada stavci izbornika."
"Custom","Prilagodljivo"
"%s is a protected WP option and may not be modified","%s je zaštićena WP opcija i ne možete ju mijenjati"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>POGREŠKA</strong>: Neispravno korisničko ime ili lozinka."
"You should specify a nonce action to be verified by using the first parameter.","Trebate navesti akciju za trenutnu uporabu koja će se provjeriti koristeći prvi parametar."
"New comment on your post \"%s\"","Novi komentar na vaš post \"%s\""
"Author : %s (IP: %s , %s)","Autor/ica: %s (IP: %s , %s)"
"E-mail : %s","E-pošta : %s"
"Comment:","Komentar: "
"You can see all comments on this post here:","Sve komentare na ovaj post možete pogledati ovdje: "
"[%s] Comment: \"%s\"","[%s] Komentar: \"%s\""
"New trackback on your post \"%s\"","Nova povratna veza na vaš post \"%s\""
"Website: %s (IP: %s , %s)","Web stranica: %s (IP: %s , %s)"
"Excerpt:","Izvadak: "
"You can see all trackbacks on this post here:","Ovdje možete vidjeti sve povratne veze na ovaj post: "
"[%s] Trackback: \"%s\"","[%s] Povratna veza: \"%s\""
"New pingback on your post \"%s\"","Novi povratni ping na vaš post \"%s\""
"You can see all pingbacks on this post here:","Ovdje možete vidjeti sve povratne pingove na ovaj post: "
"[%s] Pingback: \"%s\"","[%s] Povratni ping: \"%s\""
"Permalink: %s","Stalna veza: %s"
"Trash it: %s","Smjesti u smeće: %s"
"Delete it: %s","Izbriši: %s"
"Spam it: %s","Označi kao spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Nova povratna veza na post \"%s\" čeka vaše odobrenje"
"Website : %s (IP: %s , %s)","Web stranica: %s (IP: %s , %s)"
"Trackback excerpt:","Izvadak povratne veze:"
"A new pingback on the post \"%s\" is waiting for your approval","Novi povratni ping na post \"%s\" čeka vaše odobrenje"
"Pingback excerpt:","Izvadak povratnog pinga:"
"A new comment on the post \"%s\" is waiting for your approval","Novi komentar na post \"%s\" čeka vaše odobrenje"
"Approve it: %s","Odobri: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Trenutno %s komentar čeka odobrenje. Molim posjetite stranicu za moderiranje:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Trenutno %s komentara čeka odobrenje. Molim posjetite stranicu za moderiranje:"
"[%s] Please moderate: \"%s\"","[%s] Molim moderirajte: \"%s\""
"Password Lost and Changed for user: %s","Lozinka je izgubljena i promijenjena za korisnika: %s"
"[%s] Password Lost/Changed","[%s] Lozinka izgubljena/promijenjena"
"New user registration on your site %s:","Registracija novog korisnika na vašoj web stranici %s:"
"Username: %s","Korisničko ime: %s"
"E-mail: %s","E-pošta: %s"
"[%s] New User Registration","[%s] Registracija novog korisnika"
"Password: %s","Lozinka: %s"
"[%s] Your username and password","[%s] Vaše korisničko ime i lozinka"
"Only a static class method or function can be used in an uninstall hook.","Samo metoda statične klase ili funkcija mogu biti upotrijebljeni u uninstall kuki."
"Protected: %s","Zaštićeno: %s"
"Private: %s","Privatno: %s"
"(more...)","(više...)"
"There is no excerpt because this is a protected post.","Nema izvatka jer je post zaštićen."
"Pages:","Stranice:"
"Next page","Sljedeća stranica"
"Previous page","Prethodna stranica"
"Home","Početna"
"This post is password protected. To view it please enter your password below:","Ovaj post je zaštićen lozinkom. Za pregledavanje posta, molim unesite lozinku u polje ispod:"
"Submit","Pošalji"
"j F, Y @ G:i","j. F Y. @ H:i"
"%s [Autosave]","%s [Automatski snimljeno]"
"%s [Current Revision]","%s [Trenutna Revizija]"
"%s by %s","%s, autor/ica %s"
"Restore","Vrati"
"Compare Revisions","Usporedi Revizije"
"Old","Staro"
"New","Novi"
"Date Created","Datum nastanka"
"Actions","Radnje"
"Page","Stranica"
"Add New","Dodaj Novo"
"Edit Media","Uredi medij"
"View Attachment Page","Pregledaj Stranicu Privitaka"
"Revisions","Revizije"
"Revision","Revizija"
"Navigation Menu Items","Stavke Navigacijskog Izbornika"
"Navigation Menu Item","Stavka Navigacijskog Izbornika"
"Published","Objavljeno"
"Published <span class=\"count\">(%s)</span>","Objavljena <span class=\"count\">(%s)</span>"
"Scheduled","Tempirano"
"Scheduled <span class=\"count\">(%s)</span>","Tempirana <span class=\"count\">(%s)</span>"
"Draft","Skica"
"Draft <span class=\"count\">(%s)</span>","Skica <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Skice <span class=\"count\">(%s)</span>"
"Pending","Na čekanju"
"Pending <span class=\"count\">(%s)</span>","Čeka pregled <span class=\"count\">(%s)</span>"
"Private","Privatno"
"Private <span class=\"count\">(%s)</span>","Privatne <span class=\"count\">(%s)</span>"
"Trash","Smeće"
"Trash <span class=\"count\">(%s)</span>","Smeća <span class=\"count\">(%s)</span>"
"Invalid post","Neispravan post."
"Pending Review","Čeka Recenziju"
"Post types cannot exceed 20 characters in length","Vrste Posta ne mogu sadržavati više od 20 znakova."
"Posts","Postovi"
"Pages","Stranice"
"Add New Post","Dodaj Novi Post"
"Add New Page","Dodaj Novu Stranicu"
"Edit Post","Uredi Post"
"Edit Page","Uredi Stranicu"
"New Page","Nova Stranica"
"View Page","Prikaži Stranicu"
"Search Posts","Pretraži Postove"
"Search Pages","Pretraži Stranice"
"No posts found.","Nije pronađen nijedan post."
"No pages found.","Nije pronađena nijedna stranica."
"No posts found in Trash.","Nijedan post nije pronađen u Smeću."
"No pages found in Trash.","Nijedna stranica nije pronađena u Smeću."
"Parent Page:","Matična Stranica:"
"All Posts","Svi Postovi"
"All Pages","Sve Stranice"
"Images","Slike"
"Manage Images","Upravljanje Slikama"
"Image <span class=\"count\">(%s)</span>","Slika <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Slike <span class=\"count\">(%s)</span>"
"Manage Audio","Upravljanje Audio datotekama"
"Manage Video","Upravljanje Video datotekama"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Propuštanje cijelog broja postova je zastarjelo. Propustite grupu argumenata umjesto toga."
"Content, title, and excerpt are empty.","Sadržaj, naslov, i izvadak su prazni."
"Whoops, the provided date is invalid.","Uups, ponuđeni datum nije ispravan."
"Could not update post in the database","Nije moguće ažurirati post u bazi podataka"
"Could not insert post into the database","Nije moguće unijeti post u bazu podataka"
"The page template is invalid.","Predložak stranice  nije ispravan."
"Content","Sadržaj"
"Excerpt","Izvadak"
"Cannot create a revision of a revision","Nije moguće načiniti reviziju revizije"
"You do not have permission to preview drafts.","Nemate dopuštenje za predpregled radnih inačica."
"Standard","Standardno"
"Aside","Crtica"
"Gallery","Galerija"
"Link","Poveznica"
"Image","Slika"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Kondicionalne query tags ne funkcioniraju prije nego što je query upotrebljena. Prije toga uvijek vraćaju neispravno."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" je zastarjelo. Umjesto toga koristite \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Ova datoteka više ne treba biti uključena."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Trajno ćete izbrisati odabrane stavke.\n  'Cancel' za prekid, 'OK' za brisanje."
"Enter a word to look up:","Unesite riječ koju želite pretražiti:"
"Dictionary lookup","Pretraga rječnika"
"lookup","pretraga"
"Close all open tags","Zatvori sve otvorene oznake"
"close tags","zatvori oznake"
"Enter the URL","Unesite URL"
"Enter the URL of the image","Unesite URL slike"
"Enter a description of the image","Unesite opis slike"
"fullscreen","cijeli zaslon"
"Toggle fullscreen mode","Prikaži/sakrij prikaz cijelog zaslona"
"text direction","smjer teksta"
"Toggle Editor Text Direction","Zatvori Uređivač smjera teksta"
"You do not have permission to do that.","Nemate dopuštenje za ovu radnju."
"An unidentified error has occurred.","Došlo je do pogreške - ne mogu utvrditi uzrok."
"Dismiss","Zatvori"
"Next &gt;","Sljedeće &gt;"
"&lt; Prev","&lt; Prethodno"
"of","od"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Ova mogućnost zahtijeva inline frame-ove. Prikaz iframe-ova je isključen ili ih vaš preglednik ne podržava."
"not configured","nije konfigurirano"
"You have attempted to queue too many files.","Pokušali ste zadati previše datoteka."
"%s exceeds the maximum upload size for this site.","%s prelazi maksimalno dozvoljenu veličinu za prijenos za ovu web stranicu."
"This file is empty. Please try another.","Datoteka je prazna. Molim pokušajte s nekom drugom."
"This file type is not allowed. Please try another.","Ovaj tip datoteke nije dozvoljen. Molim unesite drugi."
"This file is not an image. Please try another.","Ova datoteka nije slika. Molim pokušajte sa drugom."
"Memory exceeded. Please try another smaller file.","Memorija prekoračena. Molim pokušajte drugu manju datoteku."
"This is larger than the maximum size. Please try another.","Ovo je veće od najveće dopuštene veličine. Molim pokušajte s nekom drugom."
"An error occurred in the upload. Please try again later.","Došlo je do pogreške pri prijenosu. Molim pokušajte kasnije."
"There was a configuration error. Please contact the server administrator.","Došlo je do greške pri konfiguriranju. Molim javite administratoru poslužitelja."
"You may only upload 1 file.","Možete prenijeti samo 1 datoteku."
"HTTP error.","HTTP pogreška."
"Upload failed.","Prijenos nije uspjeo."
"Please try uploading this file with the %sbrowser uploader%s.","Molim pokušajte prenijeti ovu datoteku sa %sprijenosnikom preglednika%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s prelazi maksimalno dozvoljenu veličinu za prijenos višestrukih datoteka u vašem pregledniku."
"IO error.","IO pogreška."
"Security error.","Sigurnosna pogreška."
"File canceled.","Datoteka otkazana."
"Upload stopped.","Prijenos zaustavljen."
"Crunching&hellip;","Sažimanje&hellip;"
"moved to the trash.","premješteno u smeće."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; nije uspjeo prenijeti."
"Strength indicator","Pokazatelj jačine"
"Very weak","Jako slabo"
"Weak","Slabo"
"Strong","Jako"
"Mismatch","Neslaganje"
"(no title)","(bez naslova)"
"No matches found.","Ništa nije pronađeno."
"Save &amp; Activate","Snimi &amp; Aktiviraj"
"Save &amp; Publish","Snimi &amp; Objavi"
"Saved","Snimljeno"
"Add","Dodaj"
"Separate multiple categories with commas.","Ukoliko želite unijeti više kategorija, razdvojite ih zarezima."
"Approve and Reply","Odobri i Odgovori"
"Publish on:","Objavi na dan:"
"Schedule for:","Tempiraj za:"
"Published on:","Objavljeno na:"
"Show more comments","Pokaži više komentara"
"No more comments found.","Nije pronađeno više komentara."
"Publish","Objavi"
"Schedule","Tempiraj"
"Save as Pending","Snimi pod Na čekanju"
"Save Draft","Snimi Skicu"
"Public","Javno"
"Public, Sticky","Javno, Lijepljivo"
"Password Protected","Zaštićeno lozinkom"
"Privately Published","Objavljeno pod Privatno"
"Submitted on:","Poslano dana:"
"Error while saving the changes.","Pogreška pri snimanju izmjena."
"Remove From Bulk Edit","Ukloni iz Masovnog Uređivanja"
"Plugin Information:","Informacije Dodatka:"
"Are you sure you want to install this plugin?","Želite li zaista instalirati ovaj dodatak?"
"Select Color","Odaberi Boju"
"Current Color","Trenutna Boja"
"Could not load the preview image. Please reload the page and try again.","Došlo je do pogreške tijekom učitavanja pregleda slike. Molim ponovno učitajte stranicu i pokušajte ponovno."
"Use as featured image","Upotrijebi kao istaknutu sliku"
"Saving...","Snimam..."
"Could not set that as the thumbnail image. Try a different attachment.","To nije moguće postaviti kao sliku minijaturu. Pokušajte sa drugim privitkom."
"Done","Gotovo"
"No results found.","Nije pronađen nijedan rezultat."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Trajno ćete izbrisati ovaj izbornik. \n 'Cancel' za prekid, 'OK' za brisanje."
"Saving Draft&#8230;","Snimanje Skice&#8230;"
"Navigation Menus","Navigacijski Izbornici"
"Navigation Menu","Navigacijski Izbornik"
"Link Categories","Kategorije Poveznica"
"Link Category","Kategorija Poveznice"
"Search Link Categories","Pretraži Kategorije Poveznica"
"All Link Categories","Sve Kategorije Poveznica"
"Edit Link Category","Uredi Kategoriju Poveznice"
"Update Link Category","Ažuriraj Kategoriju Poveznica"
"Add New Link Category","Dodaj Novu Kategoriju Poveznica"
"New Link Category Name","Naziv Nove Kategorije Poveznica"
"Taxonomies cannot exceed 32 characters in length","Taksonomije ne mogu sadržavati više od 32 znaka."
"Tags","Oznake"
"Categories","Kategorije"
"Tag","Oznaka"
"Category","Kategorija"
"Search Tags","Pretraži Oznake"
"Search Categories","Pretraži Kategorije"
"Popular Tags","Popularne Oznake"
"All Tags","Sve Oznake"
"All Categories","Sve Kategorije"
"Parent Category","Matična Kategorija"
"Parent Category:","Matična Kategorija:"
"Edit Tag","Uredi Oznaku"
"Edit Category","Uredi Kategoriju"
"View Tag","Pregledaj Oznaku"
"View Category","Pregledaj Kategoriju"
"Update Tag","Ažuriraj Oznaku"
"Update Category","Ažuriraj Kategoriju"
"Add New Tag","Dodaj Novu Oznaku"
"Add New Category","Dodaj Novu Kategoriju"
"New Tag Name","Naziv nove Oznake"
"New Category Name","Naziv nove Kategorije"
"Separate tags with commas","Razdvojite oznake zarezima"
"Add or remove tags","Dodajte ili uklonite oznake"
"Choose from the most used tags","Odaberi između najkorištenijih oznaka"
"Empty Term","Prazan izraz"
"A name is required for this term","Za ovaj izraz trebate naziv."
"A term with the name provided already exists with this parent.","Pojam s tim nazivom već postoji pod ovim matičnim."
"Could not insert term into the database","Nije moguće unijeti izraz u bazu podataka"
"A term with the name provided already exists.","Pojam sa navedenim nazivom već postoji."
"Could not insert term relationship into the database","Nije moguće unijeti vezani izraz u bazu podataka"
"The slug &#8220;%s&#8221; is already in use by another term","Slug &#8220;%s&#8221; je već u upotrebi za drugi izraz"
"Invalid object ID","Neispravan ID objekta"
"Theme without %s","Tema bez %s"
"Please include a %s template in your theme.","Molim uključite i %s predložak u vašu temu."
"%s - Comments on %s","%s - Komentari na %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> kanal za komentare na ovaj post."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> za Povratnu vezu ovog unosa je: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","od %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Nijedan komentar do sada."
"Leave a comment","Komentiraj"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Automatski označi kraj retka i odlomka, uvijek sakrij e-poštu, dopusti <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Prijavljeni kao <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odjavi se sa ovog računa\">Odjavi se &raquo;</a>"
"E-mail","E-pošta"
"Your Comment","Vaš Komentar"
"Say It!","Izreci!"
"Sorry, the comment form is closed at this time.","Žalim, obrazac za unos komentara trenutno je zatvoren."
"Close this window.","Zatvori prozor."
"Sorry, no posts matched your criteria.","Žalim, nijedan post nije odgovarao kriterijima."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Pokreće <a href=\"%s\" title=\"Pokreće WordPress, najsavršenija osobna semantička izdavačka platforma\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Ovaj post je zaštićen lozinkom. Za pregledavanje komentara, molim unesite lozinku."
"One Response to %s","Jedan Odgovor na %s"
"%s Responses to %s","%s Odgovora na %s"
"Comments are closed.","Komentari su zatvoreni."
"Logged in as <a href=\"%s\">%s</a>.","Prijavljeni kao <a href=\"%s\">%s</a>."
"Log out of this account","Odjavi se s ovog računa"
"Log out &raquo;","Odjavi se &raquo;"
"(required)","(obavezno)"
"Mail (will not be published)","E-pošta (neće biti javno objavljena)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Možete koristiti ove oznake: <code>%s</code>"
"Submit Comment","Pošalji Komentar"
"%s is proudly powered by %s","%s ponosno pokreće %s"
"%s and %s.","%s i %s."
"Entries (RSS)","Unosi (RSS)"
"Comments (RSS)","Komentari (RSS)"
"%d queries. %s seconds.","%d upita. %s sekundi."
"You are currently browsing the archives for the %s category.","Trenutno pregledavate arhivu kategorije %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Trenutno pregledavate <a href=\"%s/\">%s</a> blog arhivu za dan %s."
"l, F jS, Y","j. F Y."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Trenutno pregledavate <a href=\"%s/\">%s</a> blog arhivu za %s."
"F, Y","j. F Y."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Trenutno pregledavate <a href=\"%s/\">%s</a> blog arhivu za godinu %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Pretražili ste <a href=\"%s/\">%s</a> blog arhivu za <strong>&#8216;%s&#8217;</strong>. Ako niste uspjeli ništa naći u rezultatima pretrage, upotrijebite jednu od sljedećih poveznica."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Trenutno pregledavate  <a href=\"%s/\">%s</a> blog arhivu."
"This page validates as XHTML 1.0 Transitional","Ova stranica potvrđena je kao XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Ispravan <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%d WordPress Update","%d WordPress Ažuriranje"
"%d Plugin Update","%d Ažuriranje Dodatka"
"%d Plugin Updates","%d Ažuriranja Dodataka"
"%d Theme Update","%d Tema Ažurirana"
"%d Theme Updates","%d Teme Ažurirane"
"<strong>ERROR</strong>: The username field is empty.","<strong>POGREŠKA</strong>: Polje korisničkog imena je prazno."
"<strong>ERROR</strong>: The password field is empty.","<strong>POGREŠKA</strong>: Polje za upis lozinke je prazno."
