"Activation Key Required","要求激活密钥"
"Log in to leave a Comment","登录以发表评论"
"Click here to cancel reply.","点击这里取消回复。"
"Leave a Reply","发表评论"
"Leave a Reply to %s","向 %s 进行回复"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">说道：</span>"
"Your comment is awaiting moderation.","您的评论正等待审核。"
"%s at %s","%s%s"
"(Edit)","(编辑)"
"Name","名称"
"Email","电子邮件"
"Website","站点"
"Required fields are marked %s","必填项已用 %s 标注"
"You must be <a href=\"%s\">logged in</a> to post a comment.","要发表评论，您必须先<a href=\"%s\">登录</a>。"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","以 <a href=\"%s\">%s</a> 的身份登录。<a href=\"%s\" title=\"登出此帐户\">登出？</a>"
"Your email address will not be published.","电子邮件地址不会被公开。"
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","您可以使用这些 <abbr title=\"HyperText Markup Language\">HTML</abbr> 标签和属性：%s"
"Cancel reply","取消回复"
"Post Comment","发表评论"
"Unapproved","驳回"
"Approved","已审核"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","检测到重复评论，您似乎已经提交过这条评论了！"
"You are posting comments too quickly. Slow down.","您提交评论的速度太快了，请稍后再发表评论。"
"Could not update comment status","无法更新评论状态"
"This argument has changed to an array to match the behavior of the other cron functions.","为了和其他 cron 计划任务函数的行为相匹配，这个参数已被改为一个数组。"
"Once Hourly","每小时一次"
"Twice Daily","每日两次"
"Once Daily","每日一次"
"Your site&#8217;s WordPress Pages","您站点的 WordPress 页面"
"Pages","页面"
"Sort by:","排序依据："
"Page title","页面标题"
"Page order","页面排序"
"Page ID","页面 ID"
"Exclude:","除了："
"Page IDs, separated by commas.","页面 ID，多个 ID 请用英文逗号（,）或中文顿号（、）隔开。"
"Your blogroll","您的链接表"
"Links","链接"
"Select Link Category:","选择链接分类目录："
"All Links","所有链接"
"Link title","链接标题"
"Link rating","链接评级"
"Link ID","链接 ID"
"Random","随机"
"Show Link Image","显示链接图像"
"Show Link Name","显示链接名"
"Show Link Description","显示链接描述"
"Show Link Rating","显示链接评级"
"Number of links to show:","显示链接数："
"A search form for your site","您站点的搜索框"
"A monthly archive of your site&#8217;s posts","您站点文章的月度存档"
"Archives","归档"
"Select Month","选择月份"
"Display as dropdown","以下拉菜单显示"
"Show post counts","显示文章数目"
"Log in/out, admin, feed and WordPress links","登录和登出、管理、feed 和 WordPress 的链接"
"Meta","功能"
"Syndicate this site using RSS 2.0","使用 RSS 2.0 订阅本站点内容"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","文章 <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","使用 RSS 订阅本站点的所有文章的近期评论"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","评论 <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","基于 WordPress，一个优美、先进的个人信息发布平台。"
"A calendar of your site&#8217;s posts","您站点的文章日程表"
"Calendar","日历"
"Arbitrary text or HTML","任意文本或 HTML"
"Automatically add paragraphs","自动分段"
"A list or dropdown of categories","分类目录的列表或下拉菜单"
"Select Category","选择分类目录"
"Show hierarchy","体现层级关系"
"The most recent posts on your site","您站点最近的文章"
"Recent Posts","近期文章"
"Number of posts to show:","显示文章数："
"Display post date?","显示文章日期？"
"The most recent comments","近期的数条评论"
"Recent Comments","近期评论"
"%s on %s","%s 发表在《%s》"
"Number of comments to show:","显示评论的数量："
"Entries from any RSS or Atom feed","嵌入任意 RSS 或 Atom feed 中的条目"
"Unknown Feed","未知 Feed"
"Syndicate this content","订阅此内容"
"<strong>RSS Error</strong>: %s","<strong>RSS 错误</strong>：%s"
"An error has occurred, which probably means the feed is down. Try again later.","发生了一个错误，feed 可能宕机，请稍后再试。"
"Untitled","未命名"
"RSS Error: %s","RSS 错误：%s"
"Enter the RSS feed URL here:","在此输入 RSS feed URL："
"Give the feed a title (optional):","为 feed 拟个标题（可选）："
"How many items would you like to display?","您希望显示多少个项目？"
"Display item content?","显示条目内容？"
"Display item author if available?","如果可用，显示条目作者？"
"Display item date?","显示条目日期？"
"Your most used tags in cloud format","用云的形式展现您常用的标签"
"Tag Cloud","标签云"
"Tags","标签"
"Taxonomy:","分类法："
"Use this widget to add one of your custom menus as a widget.","这个小工具可使自定义菜单显示在边栏中。"
"Custom Menu","自定义菜单"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","尚无导航菜单。<a href=\"%s\">创建一些</a>。"
"Select Menu:","选择菜单："
"new WordPress Loop","新的 WordPress Loop 机制"
"None","无"
"Last updated","最后更新"
"Missing Attachment","附件丢失"
"First Post","首篇文章"
"Last Post","最新文章"
"Are you sure you want to do this?","您确定要这样做？"
"File &#8220;%s&#8221; doesn&#8217;t exist?","“%s”文件不存在？"
"The GD image library is not installed.","未安装 GD 图像库。"
"File &#8220;%s&#8221; is not an image.","“%s”不是图像文件。"
"Comments on %s","《%s》上的评论"
"Comments for %s searching on %s","%s 的评论搜索“%s”"
"Comments for %s","“%s”的评论"
"Comment on %s by %s","%s 对《%s》的评论"
"By: %s","作者：%s"
"Comments on: %s","《%s》的评论"
"Protected Comments: Please enter your password to view comments.","评论受保护：要查看请输入密码。"
"words","characters"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","看起来您输入的电子邮件地址无效。请输入正确的电子邮件地址。"
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","您输入的 WordPress 地址可能有误。请输入一个正确的 URL。"
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","您输入的站点地址可能有误。请输入正确的 URL。"
"The timezone you have entered is not valid. Please select a valid timezone.","您输入的时区无效。请选择有效的时区。"
", and","，和 "
"and"," 和 "
"ERROR: %s is not a valid feed template.","错误：%s 为无效 feed 模板。"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","一些数据表不可用。也许需要 <a href=\"%s\">修复数据库</a>。"
"Unable to create directory %s. Is its parent directory writable by the server?","无法建立目录 %s。有没有上级目录的写权限？"
"Empty filename","文件名为空"
"Invalid file type","文件类型无效"
"Could not write file %s","无法写文件 %s"
"WordPress Failure Notice","WordPress 错误提醒"
"You are attempting to log out of %s","您正试图注销 %s"
"Do you really want to <a href='%s'>log out</a>?","您真的希望<a href='%s'>登出</a>？"
"Please try again.","请重试。"
"&laquo; Back","&laquo; 返回"
"WordPress &rsaquo; Error","WordPress &rsaquo; 错误"
"Database Error","数据库错误"
"Error establishing a database connection","建立数据库连接时出错"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","自 %s 版本起，已<strong>不建议使用</strong> %s，请换用 %s。"
"%s is <strong>deprecated</strong> since version %s with no alternative available.","自 %s 版本起，已<strong>不建议使用</strong> %s。没有替代方案。"
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","自 %s 版本起，已<strong>不建议</strong>给 %s 传入一个参数！%s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","自 %s 版本起，已<strong>不建议</strong>给 %s 传入一个参数！没有替代方案。"
"(This message was added in version %s.)","（这个消息是在 %s 版本添加的。）"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","更多信息，参见中文 Codex 文档：<a href=\"http://codex.wordpress.org/zh-cn:%sE5%s9C%sA8_WordPress_%sE4%sB8%sAD%sE8%sB0%s83%sE8%sAF%s95\">在 WordPress 中进行调试</a>。"
"%s was called <strong>incorrectly</strong>. %s %s","%s 的调用方法<strong>不正确</strong>。%s %s"
"Select a city","选择一个城市"
"UTC","协调世界时（UTC）"
"Manual Offsets","手动指定偏差"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","脚本和样式应在 %s、%s 和 %s 钩子之后再加入加载队列（enqueue）或注册（register）。"
"Search for:","搜索："
"Log in","登录"
"Log out","登出"
"Username","用户名"
"Password","密码"
"Remember Me","记住我的登录信息"
"Log In","登录"
"Register","注册"
"Site Admin","管理站点"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>%s</code> 选项已不被 <code>bloginfo()</code> 函数家族支持。"
"Use the <code>%s</code> option instead.","请换用 <code>%s</code> 选项。"
"Search Results %s %s","搜索结果 %s %s"
"Page not found","未找到页面"
"%s %s2$d","%s2$d 年%s"
"%s %s","%s, %s"
"View posts for %s %s","查看 %s 年%s的文章"
"%s %s Comments Feed","%s %s 评论 Feed"
"%s %s %s Comments Feed","%s %s %s 评论 Feed"
"%s %s %s Category Feed","%s %s %s 分类目录 Feed"
"%s %s %s Tag Feed","%s %s %s 标签 Feed"
"%s %s Posts by %s Feed","%s %s 由 %s 发表的文章 Feed"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s “%s”的搜索结果 Feed"
"&laquo; Previous","&laquo; 上一页"
"Next &raquo;","下一页 &raquo;"
"Blue","蓝色"
"Gray","灰色"
"Do you want to use the WYSIWYG mode for this textarea?","您希望在这个文本区域中使用所见即所得编辑模式吗？"
"Apply","应用"
"Insert","插入"
"Close","关闭"
"Browse","浏览"
"Class","类"
"-- Not set --","-- 未设置 --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","复制、剪切和粘帖在 Mozilla 和 Firefox 中无效。"
"Currently not supported by your browser, use keyboard shortcuts instead.","目前不支持您的浏览器，请改用键盘快捷键。"
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","抱歉，您的弹出窗口阻止器阻止了程序功能。为了使用这个工具的所有功能，您需要在这个站点上禁用阻止器。"
"ERROR: Invalid values entered, these are marked in red.","错误：您输入的值无效。请检查红色的栏目。"
"{#field} must be a number","{#field} 中需要填写数字"
"{#field} must be a number greater than {#min}","{#field} 的值必须大于 {#min}"
"{#field} must be a number or percentage","{#field} 必须填入数字或百分比"
"More colors","更多颜色"
"Black","黑色"
"Burnt orange","焦橙"
"Dark olive","深橄榄"
"Dark green","墨绿"
"Dark azure","深蓝"
"Navy Blue","深蓝"
"Indigo","靛蓝"
"Very dark gray","特深灰"
"Maroon","紫褐"
"Orange","橙色"
"Olive","橄榄绿"
"Green","绿色"
"Teal","蓝绿"
"Grayish blue","灰蓝"
"Red","红色"
"Amber","琥珀"
"Yellow green","黄绿"
"Sea green","海绿"
"Turquoise","青绿"
"Royal blue","品蓝"
"Purple","紫色"
"Medium gray","中度灰"
"Magenta","紫红"
"Gold","金黄"
"Yellow","黄色"
"Lime","酸橙"
"Aqua","湖绿"
"Sky blue","天蓝"
"Brown","棕色"
"Silver","银色"
"Pink","粉色"
"Peach","桃色"
"Light yellow","浅黄"
"Pale green","淡绿"
"Pale cyan","淡蓝"
"Light sky blue","淡蓝"
"Plum","紫红"
"White","白色"
"Alignment","对齐方式"
"Full","占满"
"Insert date","插入日期"
"Insert time","插入时间"
"January","一月"
"February","二月"
"March","三月"
"April","四月"
"May","五月"
"June","六月"
"July","七月"
"August","八月"
"September","九月"
"October","十月"
"November","十一月"
"December","十二月"
"Jan_January_abbreviation","一"
"Feb_February_abbreviation","二"
"Mar_March_abbreviation","三"
"Apr_April_abbreviation","四"
"May_May_abbreviation","五"
"Jun_June_abbreviation","六"
"Jul_July_abbreviation","七"
"Aug_August_abbreviation","八"
"Sep_September_abbreviation","九"
"Oct_October_abbreviation","十"
"Nov_November_abbreviation","十一"
"Dec_December_abbreviation","十二"
"Sunday","星期日"
"Monday","星期一"
"Tuesday","星期二"
"Wednesday","星期三"
"Thursday","星期四"
"Friday","星期五"
"Saturday","星期六"
"Sun","周日"
"Mon","周一"
"Tue","周二"
"Wed","周三"
"Thu","周四"
"Fri","周五"
"Sat","周六"
"Print","打印"
"Preview","预览"
"Direction left to right","从左到右"
"Direction right to left","从右到左"
"Insert new layer","插入新层"
"Move forward","向前移动"
"Move backward","向后移动"
"Toggle absolute positioning","切换绝对定位状态"
"New layer...","新层..."
"Cancel all changes","取消所有更改"
"Insert non-breaking space character","插入不截断空白符"
"Run spell checking","执行拼写检查"
"ieSpell not detected. Do you want to install it now?","没有检测到 ieSpell。是否立刻安装？"
"Horizontal rule","水平标尺"
"Emotions","表情"
"Find","查找"
"Find/Replace","查找或替换"
"Insert/edit image","插入或编辑图像"
"Insert/edit link","插入或编辑链接"
"Citation","引用"
"Abbreviation","缩写"
"Acronym","首字母缩写"
"Deletion","删除"
"Insertion","插入"
"Insert/Edit Attributes","插入或编辑属性"
"Edit CSS Style","编辑 CSS 样式"
"Paste as Plain Text","以纯文本粘贴"
"Paste from Word","从 Word 中粘贴"
"Select All","全选"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","当前处于纯文本粘贴模式。再次点击以切换回常规粘贴模式。在您粘贴一次文本之后也将自动回到常规粘贴模式。"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","当前处于纯文本粘贴模式。再次点击以切换回常规粘贴模式。"
"Use CTRL+V on your keyboard to paste the text into the window.","使用 Ctrl+V 以将文本粘贴到窗口中。"
"Keep linebreaks","保留换行符"
"Inserts a new table","插入新表格"
"Insert row before","在上方插入行"
"Insert row after","在下方插入行"
"Delete row","删除行"
"Insert column before","在前方插入列"
"Insert column after","在后方插入列"
"Remove column","删除列"
"Split merged table cells","拆分合并的单元格"
"Merge table cells","合并单元格"
"Table row properties","表格行属性"
"Table cell properties","单元格属性"
"Table properties","表格属性"
"Paste table row before","在上方粘贴表格行"
"Paste table row after","在下方粘贴表格行"
"Cut table row","剪切该行"
"Copy table row","复制该行"
"Delete table","删除表格"
"Row","行"
"Column","列"
"Cell","单元格"
"The changes you made will be lost if you navigate away from this page.","离开这个页面，您所做的更改将丢失。"
"Toggle fullscreen mode (Alt + Shift + G)","切换全屏模式 (Alt + Shift + G)"
"Insert / edit embedded media","插入或编辑内嵌媒体"
"Edit embedded media","编辑内嵌媒体"
"Document properties","文档属性"
"Insert predefined template content","插入预设模板内容"
"Visual control characters on/off.","可视化控制字符开/关。"
"Toggle spellchecker (Alt + Shift + N)","切换拼写检查器状态 (Alt + Shift + N)"
"Spellchecker settings","拼写检查器设置"
"Ignore word","忽略该词"
"Ignore all","忽略所有词"
"Languages","语言"
"Please wait...","请稍等..."
"Suggestions","建议"
"No suggestions","无建议"
"No misspellings found.","未发现拼写错误。"
"Learn word","记住该词"
"Insert Page Break","插入分页符"
"Types","类型"
"Lower alpha","小写英文字母"
"Lower greek","小写希腊字母"
"Lower roman","小写罗马数字"
"Upper alpha","大写英文字母"
"Upper roman","大写罗马数字"
"Circle","空心圆"
"Disc","圆点"
"Square","实心方块"
"Rich Text Area","富文本区域"
"Words:","词数："
"Styles","样式"
"Font size","字体大小"
"Font family","字体"
"Format","形式"
"Paragraph","段落"
"Address","地址"
"Preformatted","预格式化"
"Heading 1","一级标题"
"Heading 2","二级标题"
"Heading 3","三级标题"
"Heading 4","四级标题"
"Heading 5","五级标题"
"Heading 6","六级标题"
"Blockquote","块引用"
"Code","代码"
"Code sample","代码样例"
"Definition term","术语"
"Definition description","术语描述"
"Underline","下划线"
"Strikethrough (Alt + Shift + D)","删除线 (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","左对齐 (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","居中 (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","右对齐 (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","两端对齐 (Alt + Shift + J)"
"Outdent","减少缩进量"
"Indent","增加缩进量"
"Undo (Ctrl + Z)","撤销 (Ctrl + Z)"
"Redo (Ctrl + Y)","重做 (Ctrl + Y)"
"Cleanup messy code","清理无用代码"
"Edit HTML Source","编辑 HTML 源码"
"Subscript","下标"
"Superscript","上标"
"Insert horizontal ruler","插入横向分隔线"
"Remove formatting","去除格式"
"Select text color","选择文字颜色"
"Select background color","选择背景颜色"
"Insert custom character","插入自定义字符"
"Toggle guidelines/invisible elements","显示/隐藏指导线和不可见元素"
"Insert/edit anchor","插入或编辑锚"
"Cut","剪切"
"Copy","复制"
"Paste","粘帖"
"Image properties","图像属性"
"New document","新文档"
"Help","帮助"
"Path","标签层级"
"Are you sure you want to clear all contents?","您确定要清除所有内容？"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","跳到工具按钮 - Alt+Q；跳到编辑器 - Alt-Z；跳到元素路径 - Alt-X"
"Accessibility Help","可访问性帮助"
"Press ALT F10 for toolbar. Press ALT 0 for help.","按 Alt-F10 开启工具栏；按 Alt-0 以获得帮助。"
"Toolbar","工具栏"
"About TinyMCE","关于 TinyMCE"
"About","关于"
"License","许可协议"
"Plugins","插件"
"Plugin","插件"
"Author","作者"
"Version","版本"
"Loaded plugins","已加载的插件"
"Anchor name","锚名称"
"HTML Source Editor","HTML 源代码编辑器"
"Word wrap","自动换行"
"Select a color","选择颜色"
"Picker","拾色器"
"Color picker","颜色选择器"
"Palette","调色板"
"Palette colors","调色板颜色"
"Named","已命名"
"Named colors","已命名颜色"
"Color:","颜色："
"Name:","名称："
"Select custom character","选择自定义字符"
"Use left and right arrows to navigate.","使用左右箭头来选择。"
"Image URL","图像 URL"
"Image description","图像描述"
"Image list","图像列表"
"Border","边框"
"Dimensions","尺寸"
"Vertical space","垂直间隔"
"Horizontal space","水平间隔"
"Baseline","基准线"
"Top","上"
"Middle","中"
"Bottom","下"
"Text top","文本顶部"
"Text bottom","文本底部"
"Link URL","链接 URL"
"Target","打开方式"
"Open link in the same window","在同一窗口打开链接"
"Open link in a new window","在新窗口中打开链接"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","您输入的似乎是个邮件地址，您要自动加上 mailto: 前缀么？"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","您输入的似乎是个外部地址，您要自动加上 http:// 前缀么？"
"Link list","链接列表"
"General Usage","常规用法"
"General","常规"
"Advanced","高级"
"File/URL","文件或 URL"
"List","列表"
"Constrain proportions","保持长宽比"
"Type","类型"
"Id","ID（Id）"
"V-Space","纵向间隔（V-Space）"
"H-Space","横向间隔（H-Space）"
"Auto play","自动开始播放"
"Loop","循环"
"Show menu","显示菜单"
"Quality","质量"
"Scale","缩放"
"Align","对齐"
"SAlign","对齐方式（SAlign）"
"WMode","窗口模式（WMode）"
"Base","根目录（Base）"
"Flashvars","传递给播放器的参数（Flashvars）"
"SWLiveConnect","首次加载时启动 Java（SWLiveConnect）"
"AutoHREF","立即加载（AutoHREF）"
"Cache","缓存"
"Hidden","隐藏"
"Controller","控制器"
"Kiosk mode","Kiosk 模式"
"Play every frame","播放每一帧"
"Target cache","目标缓存"
"No correction","无修正"
"Enable JavaScript","启用 JavaScript"
"Start time","开始时间"
"End time","结束时间"
"Choke speed","限制速度"
"Volume","音量"
"Auto start","自动开始"
"Enabled","启用"
"Fullscreen","全屏"
"Invoke URLs","调用 URL"
"Mute","静音"
"Stretch to fit","拉伸以适合"
"Windowless video","无窗口视频"
"Balance","平衡"
"Base URL","根目录 URL"
"Captioning id","标题 ID"
"Current marker","当前标记"
"Current position","当前位置"
"Default frame","默认帧"
"Play count","播放计数"
"Rate","评级"
"UI Mode","用户界面模式"
"Flash options","Flash 选项"
"QuickTime options","QuickTime 选项"
"Windows media player options","Windows media player 选项"
"Real media player options","Real media player 选项"
"Shockwave options","Shockwave 选项"
"Auto goto URL","自动跳转到 URL"
"Image status","图像状态"
"Maintain aspect","保持比例"
"No java","无 java"
"Prefetch","预获取"
"Shuffle","随机"
"Console","控制台"
"Num loops","循环次数"
"Controls","控件"
"Script callbacks","脚本回调"
"Stretch style","拉伸方式"
"Stretch H-Align","水平拉伸（H-Align）"
"Stretch V-Align","垂直拉伸（H-Align）"
"Sound","声音"
"Progress","进度"
"QT Src","QT 源"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","您需要在“高级”选项卡中的“QT 源”一栏添加 rtsp 流资源"
"Top left","左上"
"Top right","右上"
"Bottom left","左下"
"Bottom right","右下"
"Flash video options","Flash 视频选项"
"Scale mode","缩放模式"
"Buffer","缓冲"
"Start image","起始图像"
"Default volume","默认音量"
"Hidden GUI","隐藏 GUI"
"Show scale modes","显示缩放模式"
"Smooth video","平滑视频"
"JS Callback","JS 回调"
"HTML5 Video Options","HTML5 视频选项"
"Alternative source 1","备用源 1"
"Alternative source 2","备用源 2"
"Preload","预加载"
"Poster","海报"
"Source","源"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","显示/隐藏高级功能 (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","插入“更多”分隔标签 (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","插入分页符 (Alt + Shift + P)"
"More...","更多..."
"Next page...","下一页..."
"Add Media","添加媒体"
"Add an Image","添加图像"
"Add Video","添加视频"
"Add Audio","添加音频"
"Edit Gallery","编辑相册"
"Delete Gallery","删除相册"
"Distraction Free Writing mode (Alt + Shift + W)","切换全屏模式 (Alt + Shift + W)"
"Edit Image","编辑图像"
"Delete Image","删除图像"
"Advanced Settings","高级选项"
"Size","尺寸"
"Thumbnail","缩略图"
"Medium","中等"
"Full Size","完整尺寸"
"Current Link","当前链接"
"Link to Image","链接到图像"
"Enter a link URL or click above for presets.","输入一个链接 URL 或者点击上面选择预置方案。"
"Advanced Image Settings","图像高级选项"
"Width","宽度"
"Height","高度"
"Original Size","原始尺寸"
"CSS Class","CSS 类"
"Advanced Link Settings","链接高级选项"
"Link Rel","链接 Rel"
"Caption","说明"
"Alternative Text","替代文本"
"Rich Editor Help","可视化编辑器帮助"
"Basics of Rich Editing","可视化编辑器使用基础"
"Basics","基础"
"Advanced use of the Rich Editor","可视化编辑器的高级使用"
"Hotkeys","快捷键"
"About the software","关于本软件"
"Rich Editing Basics","可视化编辑基础"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>可视化编辑（Rich editing）</em>，又叫“所见即所得”（WYSIWYG），意味着您在打字的同时可以看到最终效果。在您专心写作时，编辑器在后台自动生成 HTML 代码。字体、链接、图片等内容都将以最终效果直接显示在编辑器中。"
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress 包含一个富文本 HTML 编辑器，能在主流浏览器上良好工作。然而，编辑 HTML 和输入文本是有所区别的。每个 web 页面都包含了两个组成元素：结构，即编辑器产生的 HTML 代码；还有就是显示，您选择的 WordPress 主题通过 style.css 来向 HTML 代码应用样式。WordPress 生成合法的 XHTML 1.0 代码，因此在一段之后的多个空行不会在 web 页面上产生空白段落。BR 标签会被内部 HTML 更正函数认定为不合法内容，并自动移除。"
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","当您使用编辑器时，大部分键盘的快捷键和其它编辑器是一样的。例如：Shift+Enter 插入断行，Ctrl+C = 拷贝，Ctrl+X = 剪切，Ctrl+Z = 撤销，Ctrl+Y = 重做，Ctrl+A = 全选，等等。（在 Mac 上则使用 Command 键代替 Ctrl）。所有快捷键参见快捷键表。"
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","如果您不喜欢使用可视化编辑器，可在“用户” > “我的个人资料”将其关闭。"
"Advanced Rich Editing","高级可视化编辑"
"Images and Attachments","图像与附件"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","编辑器工具栏上有一个“插入图片”按钮，用于插入互联网上的图片。若您有一张图片的 URL，请点击这个按钮，然后在弹出的对话框中输入图片 URL。"
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","如果您需要从您的电脑上传图像等多媒体文件，您可以使用文本编辑器上方的上传工具按钮。当您上传图像文件时，上传工具将尝试生成图像的缩略图。要将上传的图像插入到文章中，点击缩略图，然后选择“插入至文章”。"
"HTML in the Rich Editor","可视化编辑器中的 HTML"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","所有通过可视化编辑器插入的 HTML 代码都将不会被解析，都将显示为文本。当可视化编辑器工具栏中没有您想要的内容时（比如表格和 &lt;code&gt;），您则需在“文本”编辑模式中输入 HTML 代码。完成后，再点击“可视化”来查看效果。若代码无误，并可被编辑器理解，则将会立即显示出来。"
"Pasting in the Rich Editor","粘贴到可视化编辑器中"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","当从网页复制内容时，根据您的浏览器和具体网页的不同可能产生不同的结果。编辑器会尝试修正粘帖的错误 HTML 代码。尽管如此，您还是最好使用“文本”模式或者工具栏第二行的粘帖按钮。另一种选择是可以一段一段的粘帖：在大多数浏览器中，连续点击三次即可选中一整段。"
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","从其它程序粘贴内容，例如 Word 或 Excel，最好用第二行的粘帖按钮完成，或者在“文本”模式下完成。"
"Writing at Full Speed","提高编辑效率"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","比起伸出手去移动您的鼠标然后单击工具条按钮，使用快捷键显然更方便。Windows 和 Linux 平台请使用 Ctrl + 字母；Macintosh 用户请使用 Command 键 + 字母。"
"Letter","字母"
"Action","操作"
"Select all","全选"
"Undo","撤销"
"Redo","重做"
"Bold","粗体"
"Italic","斜体"
"The following shortcuts use different access keys: Alt + Shift + letter.","以下快捷方式使用另外一种快捷键：Alt + Shift + 字母。"
"Check Spelling","拼写检查"
"Align Left","左对齐"
"Justify Text","文本左右对齐"
"Align Center","居中对齐"
"Strikethrough","删除线"
"Align Right","右对齐"
"Insert link","插入链接"
"Remove link","移除链接"
"Quote","引语"
"Insert Image","插入图像"
"Distraction Free Writing mode","全屏写作模式"
"Insert More Tag","插入“More”标签"
"Insert Page Break tag","插入分页标签"
"Editor width in Distraction Free Writing mode:","全屏写作编辑器宽度："
"Wider","更宽"
"Narrower","更窄"
"Default width","默认宽度"
"Version:","版本："
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE 是一个跨平台、基于网页的 Javascript HTML 所见即所得编辑器，以 %sLGPL</a> 开源\t由 Moxiecode Systems AB。它可将 TEXTAREA 栏目等 HTML 元素转换为编辑器实例。"
"GNU Library General Public License","GNU Library General Public 许可证"
