"New password","סיסמה חדשה"
"&#8592; Return to library","חזרה לספרייה"
"All media items","כל פריטי המדיה"
"No items found.","פריט לא נמצא."
"Insert into page","הכנס לתוכן"
"Insert into post","הוסף לתוכן"
"Uploaded to this page","משוייך לעמוד"
"Uploaded to this post","משוייך לפוסט"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","פריט זה הולך להימחק לצמיתות.\nלחוץ 'ביטול' לעצירת המחיקה, או 'אישור' למחיקת הפריט."
"Insert from URL","הכנס מכתובת באינטרנט"
"Set Featured Image","הגדר תמונה ראשית"
"Set featured image","בחר תמונה ראשית"
"Create Gallery","צור גלרייה"
"&#8592; Cancel Gallery","בטל גלריה"
"Insert gallery","הכנס גלריה"
"Update gallery","עדכן גלריה"
"Add to gallery","הוסף לגלריה"
"Add to Gallery","הוספה לגלריה"
"Reverse order","החלף סדר"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled"
"The requested user does not exist.","המשתמש אינו קיים."
"That user does not exist.","אין משתמש כזה."
"<strong>ERROR</strong>: Site URL already taken.","<strong>שגיאה</strong>: כתובת האתר כבר תפוסה."
"<strong>ERROR</strong>: problem creating site entry.","<strong>שגיאה</strong>: בעיה בעת יצירת האתר."
"Only lowercase letters (a-z) and numbers are allowed.","מוצרות רק אותיות קטנות (a-z) ומספרים."
"Please enter a username.","אנא הזן שם משתמש."
"That username is not allowed.","המשתמש הזה אינו מורשה"
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","אי אפשר להשתמש באימייל הזה - ספק האימייל שלך חוסם חלק מההודעות שלנו. צריך להשתמש באימייל אחר."
"Username must be at least 4 characters.","שם משתמש חייב להיות מעל 4 תווים."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","אי אפשר להשתמש בקו תחתון (_) בשם המשתמש."
"Sorry, usernames must have letters too!","השם צריך להכיל גם אותיות - אי אפשר להשתמש רק בספרות."
"Please enter a valid email address.","נא להזין כתובת אימייל תקנית."
"Sorry, that email address is not allowed!","אי אפשר להשתמש באימייל הזה."
"Sorry, that username already exists!","השם הזה תפוס כבר."
"Sorry, that email address is already used!","האימייל הזה תפוס כבר."
"That username is currently reserved but may be available in a couple of days.","השם הזה תפוס כרגע, אבל אולי הוא יתפנה בעוד מספר ימים."
"username and email used","השם והאימייל שבחרת תפוסים כבר."
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","האימייל הזה תפוס כבר. אם זה האימייל שלך, יש לבדוק אם בתיבת הדואר הנכנס האם התקבל אישור הרשמה."
"Please enter a site name.","אנא הזן את שם האתר."
"That name is not allowed.","השם הזה אינו מורשה."
"Site name must be at least 4 characters.","שם האתר חייב להיות מעל 4 תווים."
"Sorry, site names may not contain the character &#8220;_&#8221;!","אי אפשר להשתמש בקו תחתון (_) בכתובת."
"Sorry, you may not use that site name.","אי אפשר להשתמש בכתובת זו."
"Sorry, site names must have letters too!","הכתובת צריכה להכיל גם אותיות."
"Please enter a site title.","אנא הזן את כותרת האתר."
"Sorry, that site already exists!","כתובת זו כבר תפוסה."
"Sorry, that site is reserved!","כתובת זו שמורה, אי אפשר להשתמש בה."
"That site is currently reserved but may be available in a couple days.","כתובת זו תפוסה בשלב זה, אולי היא תתפנה בעוד מספר ימים."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","להפעלת האתר החדש שלך, יש ללחוץ על הקישור הבא:\n\n%s\n\n\nאחרי ההפעלה, נשלח לך אימייל נוסף עם פרטי ההתחברות.\n\nכשהאתר יופעל, אפשר לראות אותו כאן:\n\n%s"
"[%s] Activate %s","[%s1s] להפעיל את האתר %s2s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","להפעלת המשתמש, יש ללחוץ על הקישור הבא:\n\n%s\n\nלאחר הפעלת המשתמש, תקבל מייל נוסף עם פרטי ההתחברות."
"Invalid activation key.","קוד הפעלה שגוי."
"The user is already active.","המשתמש כבר פעיל."
"The site is already active.","האתר הזה הופעל כבר."
"Could not create user","לא הצלחתי ליצור את המשתמש"
"That username is already activated.","החשבון הזה הופעל כבר."
"Could not create site.","לא הצלחתי לפתוח את האתר."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","אתר חדש: %s\nכתובת: %s\nכתובת IP מרוחקת: %s\n\nנטרל התראות: %s"
"New Site Registration: %s","אתר חדש: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","משתמש חדש: %s\nכתובת IP מרוחקת: %s\n\nנטרל התראות: %s"
"New User Registration: %s","משתמש חדש: %s"
"Already Installed","כבר מותקן"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","עושה רושם שוורדפרס כבר מותקן. בכדי להתקין מחדש צריך למחוק את הטבלאות הישנות מבסיס הנתונים."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","משתמש יקר,\n\nהאתר החדש שלך SITE_NAME הותקן בהצלחה ב:\nBLOG_URL\n\nניתן להתחבר למערכת עם הפרטים הבאים:\nשם משתמש: USERNAME\nסיסמה: PASSWORD\nקישור: BLOG_URLwp-login.php\n\nאנו מקווים שתהנה מהאתר החדש.\n\n--צוות האתר @ SITE_NAME"
"New %s Site: %s","%s - אתר חדש - %s"
"New %s User: %s","%s - משתמש חדש ברשת - %s"
"This file is too big. Files must be less than %d KB in size.","הקובץ הזה גדול מדי. אפשר להעלות קבצים בגודל %sKb לכל היותר."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","ארעה שגיאה בעת ההוספה לאתר. <a href=\"%s\">חזרה לעמוד הראשי</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","נוספת לאתר זה. אנא בקשר ב<a href=\"%s\">עמוד הבית</a> או <a href=\"%s\">התחבר</a> בעזרת שם המשתמש וסיסמה."
"WordPress &rsaquo; Success","וורדפרס &lsaquo; הצלחה"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","החשבון שלך מוכן לשימוש.\n\nלשימושך, אלו פרטי ההתחברות שלך:\n\nשם משתמש:\nUSERNAME\n\nסיסמה:\nPASSWORD\n\nLOGINLINK\n\nיום טוב,\nSITE_NAME"
"This user has elected to delete their account and the content is no longer available.","האתר הזה נמחק על ידי בעליו."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","אתר זה טרם הופעל. אם זה האתר שלך ולא הצלחת להפעיל אותו, אפשר לפנות לתמיכה:  <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","האתר הזה הוקפא או הועבר לארכיון."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","אין פה אתר כזה. אפשר לנסות: <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","אין פה התקנה של וורדפרס (No site defined on this host). אם זה האתר שלך, אפשר למצוא מידע נוסף בעמוד <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> בקודקס."
"If your site does not display, please contact the owner of this network.","אם האתר שלך לא מוצג כהלכה, אפשר לנסות לברר את זה עם הנהלת הרשת."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","אם זו הרשת שלך, כדאי לבדוק ש-MySQL פועל כהלכה ושאין שגיאות באף אחת מהטבלאות."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>חסרות טבלאות בבסיס הנתונים.</strong> זה אומר ש-MySQL לא פועל, שוורדפרס לא הותקנה כהלכה, או שהטבלאות הבאות פשוט נמחקו: <code>%s</code>. כדאי לבדוק מה קורה עם בסיס הנתונים,בהקדם האפשרי."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>לא מצאתי את האתר <code>%s</code>.</strong> חיפשתי את הטבלה <code>%s</code> בבסיס הנתונים <code>%s</code>. זה נשמע נכון?"
"What do I do now?","מה לעשות עכשיו?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","ההנחיות בעמוד <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> בקודקס עשויות לעזור לך להבין מה קרה כאן."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","יש לבדוק שהטבלאות הבאות קיימות בבסיס הנתונים:"
"Multisite only works without the port number in the URL.","אי אפשר להקים רשת אתרים עם מספר Port בכתובת."
"Database tables are missing.","חסרות טבלאות בבסיס הנתונים."
"No site by that name on this system.","אין אתר בשם זה."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","כבר קיים תפריט בשם <strong>%s</strong>‏."
"Custom","מותאם אישית"
"%s is a protected WP option and may not be modified","%s היא אפשרות מוגנת של וורדפרס ואי אפשר לשנות אותה"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>שגיאה</strong>: שם המשתמש או הסיסמה אינם נכונים."
"You should specify a nonce action to be verified by using the first parameter.","כדאי להגדיר פעולה אירעית שתהיה מאומתת באמצעות הפרמטר הראשון."
"New comment on your post \"%s\"","יש תגובה חדשה לפוסט \"%s\""
"Author : %s (IP: %s , %s)","מאת : %s‏ (IP: %s , %s)"
"E-mail : %s","כתובת אימייל: %s"
"URL    : %s","אתר: %s"
"Comment:","תגובה:"
"You can see all comments on this post here:","אפשר לראות כאן את כל התגובות לפוסט הזה:"
"[%s] Comment: \"%s\"","[%s] ,תגובה: \"%s\""
"New trackback on your post \"%s\"","יש טראקבאק חדש לפוסט \"%s\""
"Website: %s (IP: %s , %s)","אתר: %s (IP: %s , %s)"
"Excerpt:","תקציר: "
"You can see all trackbacks on this post here:","אפשר לראות כאן את כל הטראקבקים לפוסט הזה:"
"[%s] Trackback: \"%s\"","[%s] טראקבאק: \"%s\""
"New pingback on your post \"%s\"","יש פינגבאק חדש לפוסט \"%s\""
"You can see all pingbacks on this post here:","אפשר לראות כאן את כל הפינגבאקים לפוסט הזה:"
"[%s] Pingback: \"%s\"","[%s] פינגבאק: \"%s\""
"Permalink: %s","קישור ישיר: %s"
"Trash it: %s","מחיקה: %s"
"Delete it: %s","למחיקה: %s"
"Spam it: %s","לסימון כתגובת זבל: %s"
"A new trackback on the post \"%s\" is waiting for your approval","טראקבאק חדש לפוסט \"%s\" ממתין לאישור"
"Website : %s (IP: %s , %s)","אתר: %s (IP: %s , %s)"
"Trackback excerpt:","תקציר הטראקבאק:"
"A new pingback on the post \"%s\" is waiting for your approval","פינגבאק חדש לפוסט \"%s\" ממתין לאישור"
"Pingback excerpt:","תקציר הפינגבאק:"
"A new comment on the post \"%s\" is waiting for your approval","תגובה חדשה לפוסט \"%s\" ממתינה לאישור"
"Approve it: %s","לאשר: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","תגובה אחת ממתינה לאישור:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","%s תגובות ממתינות לאישור:"
"[%s] Please moderate: \"%s\"","[%s] צריך לאשר: \"%s\""
"Password Lost and Changed for user: %s","הסיסמה אופסה עבור: %s"
"[%s] Password Lost/Changed","[%s] שחזור סיסמה"
"New user registration on your site %s:","רישום משתמשים חדשים באתר %s:"
"Username: %s","שם משתמש:\n%s"
"E-mail: %s","כתובת אימייל:\n%s"
"[%s] New User Registration","[%s] רישום משתמשים חדשים"
"Password: %s","סיסמה: %s"
"[%s] Your username and password","[%s] הסיסמה ושם המשתמש שלך"
"Protected: %s","מוגן: %s"
"Private: %s","פרטי: %s"
"(more...)","(המשך&#8230;)"
"There is no excerpt because this is a protected post.","זהו פוסט מוגן ואין לו תקציר."
"Pages:","עמודים:"
"Next page","העמוד הבא"
"Previous page","העמוד הקודם"
"Home","ראשי"
"This post is password protected. To view it please enter your password below:","פוסט זה מוגן בסיסמה. צריך להזין את הסיסמה כדי לראות את התגובות."
"Submit","שלח"
"j F, Y @ G:i","j/n/Y בשעה H:i"
"%s [Autosave]","%s [שמירה אוטומטית]"
"%s [Current Revision]","%s [הגרסה הנוכחית]"
"%s by %s","%s מאת %s"
"Restore","שיחזור"
"Compare Revisions","להשוות גרסאות"
"Old","ישן"
"New","חדש"
"Date Created","תאריך"
"Actions","פעולות"
"Post","פוסט"
"Page","עמוד"
"Media","מדיה"
"Add New","חדש"
"Edit Media","עריכת מדיה"
"View Attachment Page","צפייה בדף מצורף"
"Revisions","גרסאות"
"Revision","גרסה"
"Navigation Menu Items","פריטי תפריט"
"Navigation Menu Item","פריט תפריט"
"Published","פורסם"
"Published <span class=\"count\">(%s)</span>","פורסמו <span class=\"count\">(%s)</span>"
"Scheduled","מתוזמן לפרסום"
"Scheduled <span class=\"count\">(%s)</span>","מתוזמנים לפרסום <span class=\"count\">(%s)</span>"
"Draft","טיוטה"
"Draft <span class=\"count\">(%s)</span>","טיוטות <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","טיוטות <span class=\"count\">(%s)</span>"
"Pending","פוסטים בהמתנה"
"Pending <span class=\"count\">(%s)</span>","בהמתנה <span class=\"count\">(%s)</span>"
"Private","פרטי"
"Private <span class=\"count\">(%s)</span>","פרטיים <span class=\"count\">(%s)</span>"
"Trash","מחיקה"
"Trash <span class=\"count\">(%s)</span>","פח <span class=\"count\">(%s)</span>"
"Invalid post","פוסט לא תקני"
"Pending Review","ממתין לאישור"
"Post types cannot exceed 20 characters in length","סוגי פוסטים צריכים להיות בני 20 תווים או פחות"
"Posts","פוסטים"
"Pages","עמודים"
"Add New Post","פוסט חדש"
"Add New Page","עמוד חדש"
"Edit Post","עריכה"
"Edit Page","עריכה"
"New Page","עמוד חדש"
"View Page","הצג עמוד"
"Search Posts","חיפוש פוסטים"
"Search Pages","חיפוש עמודים"
"No posts found.","לא נמצאו פוסטים."
"No pages found.","לא נמצאו עמודים."
"No posts found in Trash.","לא נמצאו פוסטים בפח."
"No pages found in Trash.","לא נמצאו עמודים בפח."
"Parent Page:","עמוד אב:"
"All Posts","כל הפוסטים"
"All Pages","כל העמודים"
"Images","תמונות"
"Manage Images","ניהול תמונות"
"Image <span class=\"count\">(%s)</span>","תמונות <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","תמונות <span class=\"count\">(%s)</span>"
"Audio","אודיו"
"Manage Audio","ניהול אודיו"
"Audio <span class=\"count\">(%s)</span>","אודיו <span class=\"count\">(%s)</span>"
"Video","וידאו"
"Manage Video","ניהול וידאו"
"Video <span class=\"count\">(%s)</span>","וידאו <span class=\"count\">(%s)</span>"
"Content, title, and excerpt are empty.","התוכן, הכותרת והתקציר ריקים."
"Whoops, the provided date is invalid.","התאריך לא תקני."
"Could not update post in the database","לא ניתן לעדכן את הפוסט בבסיס הנתונים"
"Could not insert post into the database","לא ניתן להכניס את הפוסט לבסיס הנתונים"
"The page template is invalid.","תבנית העמוד לא תקינה."
"Content","תוכן"
"Excerpt","תקציר"
"Cannot create a revision of a revision","אי אפשר ליצור גרסה של גרסה"
"You do not have permission to preview drafts.","אין לך הרשאות לראות תצוגה מקדימה של טיוטות."
"Standard","רגיל"
"Aside","הערה"
"Chat","צ'אט"
"Gallery","גלריה"
"Link","קישור"
"Image","תמונה"
"Status","סטטוס"
"Conditional query tags do not work before the query is run. Before then, they always return false.","תגי שאילתא מותנים אינם פועלים בטרם הרצת השאילתא.  לפני הרצת השאילתה הם תמיד יחזירו ערך \"לא-אמת\"(FALSE)"
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","The function \"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead"
"This file no longer needs to be included.","כבר אין צורך לכלול את הקובץ הזה."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","ביקשת למחוק את הפריטים שסומנו לצמיתות\n  'OK' כדי למחוק, 'Cancel' כדי לבטל."
"Enter a word to look up:","מילה לחיפוש:"
"Dictionary lookup","חיפוש במילון"
"lookup","לבדוק במילון"
"Close all open tags","סגור את כל התגים הפתוחים"
"close tags","סגור תגים"
"Enter the URL","כתובת URL"
"Enter the URL of the image","כתובת URL לתמונה"
"Enter a description of the image","תיאור התמונה"
"fullscreen","מסך מלא"
"Toggle fullscreen mode","מסך מלא"
"text direction","כיוון טקסט"
"Toggle Editor Text Direction","כיוון טקסט"
"You do not have permission to do that.","אין לך הרשאות לבצע פעולה זו."
"An unidentified error has occurred.","ארעה שגיאה לא מזוהה."
"Dismiss","סגור"
"Next &gt;","הבא &gt;"
"&lt; Prev","&lt; הקודם"
"of","מתוך"
"not configured","לא מוגדר"
"You have attempted to queue too many files.","ניסית להוסיף יותר מדי קבצים לתור."
"%s exceeds the maximum upload size for this site.","%s עולה על הגודל המרבי שאפשר להעלות לאתר זה."
"This file is empty. Please try another.","הקובץ ריק. יש לנסות קובץ אחר."
"This file type is not allowed. Please try another.","אי אפשר להעלות את סוג הקובץ שבחרת. יש לנסות קובץ אחר."
"This file is not an image. Please try another.","הקובץ אינו קובץ תמונה. יש לנסות אחר."
"Memory exceeded. Please try another smaller file.","חריגה של זיכרון. יש לנסות קובץ קטן יותר."
"This is larger than the maximum size. Please try another.","גדול מהמקסימום האפשרי. יש לנסות אחר."
"An error occurred in the upload. Please try again later.","העלאת הקובץ לא הושלמה. יש לנסות שנית."
"There was a configuration error. Please contact the server administrator.","יש שגיאה בהגדרות. כדאי ליצור קשר עם מנהל השרת."
"You may only upload 1 file.","אפשר להעלות רק קובץ אחד."
"HTTP error.","שגיאת HTTP."
"Upload failed.","ההעלאה נכשלה."
"Please try uploading this file with the %sbrowser uploader%s.","יש לנסות להעלות את הקובץ בעזרת %sמעלה הקבצים של הדפדפן%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s חורג מהגודל המקסימאלי שניתן להעלות."
"IO error.","שגיאת IO."
"Security error.","שגיאת אבטחה."
"File canceled.","הקובץ בוטל."
"Upload stopped.","ההעלאה הופסקה."
"Crunching&hellip;","מעלה&hellip;"
"moved to the trash.","נמחק."
"&#8220;%s&#8221; has failed to upload.","נכשל ניסיון העלאת הקובץ &#8220;%s&#8221;."
"Strength indicator","חוזק סיסמה"
"Very weak","חלש מאוד"
"Weak","חלש"
"Strong","סיסמה חזקה"
"Mismatch","ססמאות לא תואמות"
"(no title)","(אין כותרת)"
"No matches found.","לא נמצאו תוצאות."
"Save &amp; Activate","שמירה והפעלה"
"Save &amp; Publish","שמירה ופרסום"
"Saved","נשמר"
"Add","להוסיף"
"Separate multiple categories with commas.","להפריד קטגוריות בפסיקים"
"Approve and Reply","לאשר ולהגיב"
"OK","אישור"
"Publish on:","לפרסם ב:"
"Schedule for:","פרסום מתוזמן:"
"Published on:","פורסם:"
"Show more comments","הצג תגובות נוספות"
"No more comments found.","אין עוד תגובות."
"Publish","לפרסם"
"Schedule","לתזמן פרסום"
"Save as Pending","שמור והמתן לאישור"
"Save Draft","שמור טיוטה"
"Public","ציבורי"
"Public, Sticky","ציבורי, דביק"
"Password Protected","מוגן בסיסמה"
"Privately Published","פורסם כפרטי"
"Submitted on:","הוגש לאישור ב:"
"Error while saving the changes.","ארעה שגיאה במהלך שמירת השינויים."
"Remove From Bulk Edit","לא לכלול בעריכה קבוצתית"
"Plugin Information:","נתוני התוסף: "
"Are you sure you want to install this plugin?","האם אתה בטוח שאתה רוצה להתקין תוסף זה?"
"Select Color","בחר צבע"
"Current Color","צבע נוכחי"
"Could not load the preview image. Please reload the page and try again.","אין אפשרות לטעון את התצוגה המקדימה של התמונה. יש לטעון מחדש את הדף ולנסות שנית."
"Use as featured image","השתמש כתמונה ראשית"
"Saving...","שומרת&#8230;"
"Could not set that as the thumbnail image. Try a different attachment.","לא ניתן להגדיר את התמונה הזו כתמונה מוקטנת. יש לבחור קובץ אחר."
"Done","הושלם"
"No results found.","לא נמצאו תוצאות."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","ביקשת למחוק תפריט זה\n  'OK' כדי למחוק, 'Cancel' כדי לבטל."
"Saving Draft&#8230;","שומרת טיוטה&#8230;"
"Navigation Menus","תפריטים"
"Navigation Menu","תפריט"
"Link Categories","קטגוריות קישורים"
"Link Category","קטגורית קישורים"
"Search Link Categories","חיפוש קטגוריות קישורים"
"All Link Categories","כל קטגוריות הקישורים."
"Edit Link Category","עריכת קטגוריית קישורים"
"Update Link Category","עדכן"
"Add New Link Category","קטגוריית קישורים חדשה"
"New Link Category Name","שם לקטגוריית קישורים חדשה"
"Taxonomies cannot exceed 32 characters in length","טקסונומיה לא יכולה לחרוג מ-32 תווים"
"Tags","תגיות"
"Categories","קטגוריות"
"Tag","תגית"
"Category","קטגוריה"
"Search Tags","חיפוש תגיות"
"Search Categories","חיפוש קטגוריות"
"Popular Tags","תגיות פופולריות"
"All Tags","כל התגיות"
"All Categories","כל הקטגוריות"
"Parent Category","קטגורית אם"
"Parent Category:","קטגורית אם:"
"Edit Tag","עריכת תגית"
"Edit Category","עריכת קטגוריה"
"View Tag","הצג תגית"
"View Category","הצג קטגוריה"
"Update Tag","עדכן"
"Update Category","עדכן"
"Add New Tag","תגית חדשה"
"Add New Category","קטגוריה חדשה"
"New Tag Name","שם"
"New Category Name","שם"
"Separate tags with commas","להפריד תגיות בפסיקים"
"Add or remove tags","להוסיף או להסיר תגיות"
"Choose from the most used tags","לבחור מבין התגיות הנפוצות ביותר"
"Empty Term","מונח ריק"
"A name is required for this term","לא הזנת שם"
"A term with the name provided already exists with this parent.","כבר יש מונח עם אותו שם ועם אותו הורה."
"Could not insert term into the database","לא ניתן להכניס את המונח לבסיס הנתונים"
"A term with the name provided already exists.","כבר יש מונח עם השם הזה."
"Could not insert term relationship into the database","לא ניתן להכניס למסד הנתונים קשרי טקסונומיה."
"The slug &#8220;%s&#8221; is already in use by another term","המזהה &qout;%s&qout; כבר תפוס"
"Invalid object ID","מזהה אובייקט לא תקני"
"Theme without %s","ערכת עיצוב בלי %s"
"Please include a %s template in your theme.","צריך להוסיף לערכת העיצוב שלך תבנית %s."
"%s - Comments on %s","%s - תגובות על %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","פיד <abbr title=\"Really Simple Syndication\">RSS</abbr> של התגובות על פוסט הזה"
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","כתובת לשליחת טראקבאקים לפוסט זה: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","מאת %s &#8212; %s בשעה <a href=\"#comment-%s\">%s</a>"
"No comments yet.","אין תגובות."
"Leave a comment","כתיבת תגובה"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","חלוקה אוטומטית לשורות ופסקאות, האימייל לא יוצג באתר, תגי <acronym title=\"Hypertext Markup Language\">HTML</acronym> מותרים: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","שלום <a href=\"%s\">%s</a>. (זה לא אני! <a href=\"%s\" title=\"התחבר בשם אחר\">לצאת ולהתחבר למערכת בשם אחר &raquo;</a>)"
"E-mail","כתובת אימייל"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","אתר"
"Your Comment","התגובה שלך"
"Say It!","להגיב"
"Sorry, the comment form is closed at this time.","פוסט זה סגור לתגובות."
"Close this window.","סגור חלון זה."
"Sorry, no posts matched your criteria.","לא נמצאו פוסטים מתאימים."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","פועל על <a href=\"http://he.wordpress.org/\" title=\"וורדפרס, מערכת אישית פתוחה לניהול אתרים עצמאיים\"><strong>וורדפרס<strong></a><!-- %s -->"
"This post is password protected. Enter the password to view comments.","פוסט זה מוגן בסיסמה. צריך להזין את הסיסמה כדי לראות את התגובות."
"One Response to %s","תגובה אחת על %s"
"%s Responses to %s","%s תגובות על %s"
"Comments are closed.","סגור לתגובות."
"Logged in as <a href=\"%s\">%s</a>.","שלום <a href=\"%s\">%s</a>."
"Log out of this account","לצאת ולהתחבר בשם אחר"
"Log out &raquo;","התנתקות"
"(required)","(חובה)"
"Mail (will not be published)","אימייל (לא יוצג באתר)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>HTML:</strong> אפשר להשתמש בתגים הבאים: <code>%s</code>"
"Submit Comment","להגיב"
"%s is proudly powered by %s","%s פועל על %s"
"%s and %s.","%s ו-%s."
"Entries (RSS)","פיד RSS לפוסטים"
"Comments (RSS)","פיד RSS לתגובות"
"You are currently browsing the archives for the %s category.","אלו פוסטים מהארכיון שפורסמו בקטגוריה %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","אלו פוסטים מארכיון האתר <a href=\"%s/\">%s</a> שפורסמו בתאריך %s."
"l, F jS, Y","l, j בF, Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","אלו פוסטים מארכיון האתר <a href=\"%s/\">%s</a> שפורסמו בחודש %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","אלו פוסטים מארכיון האתר <a href=\"%s/\">%s</a> שפורסמו בשנה %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","אלו תוצאות החיפוש <strong>\"%s\"</strong> בארכיון האתר <a href=\"%s/\">%s</a>. אם לא מצאת את מה שחיפשת, אולי זה נמצא באחד הקישורים הבאים."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","אלו פוסטים מארכיון האתר <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","עמוד זה תואם לתקן XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","<abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr> תקני"
"%d WordPress Update","%d שדרוג וורדפרס"
"%d Plugin Update","%d שדרוג תוספים"
"%d Plugin Updates","%d שדרוג תוספים"
"%d Theme Update","%d שדרוג ערכות עיצוב"
"%d Theme Updates","%d שדרוג ערכות עיצוב"
"<strong>ERROR</strong>: The username field is empty.","<strong>שגיאה</strong>: לא הוזן שם משתמש."
"<strong>ERROR</strong>: The password field is empty.","<strong>שגיאה</strong>: לא הוזנה סיסמה"
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>שגיאה</strong>: שם המשתמש לא זוהה. <a href=\"%s\" title=\"שחזור סיסמה\">שחזור סיסמה</a>."
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>שגיאה</strong>: חשבון משתמש זה סומן כחשבון זבל."
"Site Suspended.","אתר מושהה."
