"Activation Key Required","Clef d&rsquo;activation requise"
"You are not allowed to create posts as this user.","Vous n&rsquo;avez pas l&rsquo;autorisation de créer des contenus sous cet identifiant."
"Invalid author ID.","Identifiant utilisateur non valable."
"Sorry, you cannot stick a private post.","Désolé, vous ne pouvez pas mettre en avant un article privé."
"Sorry, you are not allowed to stick this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de mettre cet article en avant."
"Invalid attachment ID.","Identifiant du fichier invalide."
"Sorry, one of the given taxonomies is not supported by the post type.","Désolé, l&rsquo;une des taxinomies données n&rsquo;est pas reconnue par ce type de contenu."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;assigner un terme à l&rsquo;une des taxinomies indiquées."
"Invalid term ID","l&rsquo;ID du terme est invalide"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Un nom de terme est ambigu pour cette taxinomie hiérarchisée. Veuillez utiliser l&rsquo;identifiant du terme à la place."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;ajouter un terme à l&rsquo;une des taxinomies indiquées."
"Sorry, your entry could not be posted. Something wrong happened.","Désolé, votre entrée n&rsquo;a pas pu être publiée. Une erreur est survenue."
"There is a revision of this post that is more recent.","Ce contenu a déjà une révision plus récente."
"Sorry, you are not allowed to delete this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de supprimer cet article."
"The post cannot be deleted.","Cet article ne peut pas être supprimé."
"Sorry, you cannot edit this post.","Désolé, vous ne pouvez pas modifier cet article."
"The post type specified is not valid","Le type de contenu spécifié n&rsquo;est pas valable"
"Sorry, you are not allowed to edit posts in this post type","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier des entrées dans ce type de contenu"
"Invalid taxonomy","La taxinomie est invalide"
"You are not allowed to create terms in this taxonomy.","Vous n&rsquo;avez pas l&rsquo;autorisation de créer des termes dans cette taxinomie."
"The term name cannot be empty.","Le nom du terme ne peut être vide."
"This taxonomy is not hierarchical.","Cette taxinomie n&rsquo;est pas hiérarchique."
"Parent term does not exist.","Le terme parent n&rsquo;existe pas."
"Sorry, your term could not be created. Something wrong happened.","Désolé, votre terme  n&rsquo;a pu être créé. Une erreur est survenue."
"You are not allowed to edit terms in this taxonomy.","Vous n&#8217;avez pas l&#8217;autorisation de modifier les termes de cette taxinomie."
"This taxonomy is not hierarchical so you can't set a parent.","Cette taxinomie n&rsquo;est pas hiérarchisée, donc vous ne pouvez créer de parent."
"Sorry, editing the term failed.","Désolé, la modification du terme a échoué."
"You are not allowed to delete terms in this taxonomy.","Vous n&rsquo;avez pas l&rsquo;autorisation de supprimer les termes de cette taxinomie."
"Sorry, deleting the term failed.","Désolé, la suppression du terme a échoué."
"You are not allowed to assign terms in this taxonomy.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;assigner des termes à cette taxinomie."
"Sorry, you cannot edit users.","Désolé, vous ne pouvez pas modifier les utilisateurs."
"Invalid user ID","Indentifiant utilisateur non valide"
"Sorry, you cannot list users.","Désolé, vous ne pouvez pas lister les utilisateurs."
"The role specified is not valid","Le rôle spécifié n&rsquo;est pas valable"
"Sorry, you cannot edit your profile.","Désolé, vous ne pouvez pas modifier votre profil."
"Sorry, the user cannot be updated.","Désolé, cet utilisateur ne peut pas être mis à jour."
"Sorry, you cannot edit this page.","Désolé, vous ne pouvez pas modifier cette page."
"Sorry, no such page.","Désolé, aucune page ne correspond."
"Sorry, you cannot edit pages.","Désolé, vous ne pouvez pas modifier les pages."
"Sorry, you do not have the right to delete this page.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de supprimer cette page."
"Failed to delete the page.","Échec lors de la suppression de la page."
"Sorry, you do not have the right to edit this page.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier cette page."
"Sorry, you cannot edit posts on this site.","Désolé, vous ne pouvez pas modifier les articles de ce site."
"Sorry, you must be able to edit posts on this site in order to view tags.","Désolé, vous devez avoir le droit de modifier des articles sur ce site si vous voulez visualiser les mots-clefs."
"Sorry, you do not have the right to add a category.","Désolé, vous n&rsquo;avez pas les droits pour ajouter une catégorie."
"Sorry, the new category failed.","Désolé, la création de la catégorie a échoué."
"Sorry, you do not have the right to delete a category.","Désolé, vous n&rsquo;avez pas les droits pour supprimer une catégorie."
"Sorry, you must be able to edit posts to this site in order to view categories.","Désolé, vous devez avoir le droit d&rsquo;écrire des articles pour ce site si vous voulez visualiser les catégories."
"You are not allowed to moderate comments on this site.","Vous n&rsquo;avez pas l&rsquo;autorisation de modérer les commentaires de ce site."
"Invalid comment ID.","Identifiant commentaire invalide."
"Sorry, you cannot edit comments.","Désolé, vous ne pouvez pas modifier les commentaires."
"Invalid comment status.","Statut du commentaire non valide."
"Sorry, the comment could not be edited. Something wrong happened.","Désolé, votre commentaire n&rsquo;a pu être modifié. Une erreur est survenue."
"You must be registered to comment","Vous devez être enregistré pour laisser un commentaire"
"Comment author name and email are required","L&rsquo;auteur d&rsquo;un commentaire doit renseigner son nom et son adresse de messagerie"
"A valid email address is required","Une adresse de messagerie valide est requise"
"You are not allowed access to details about this site.","Vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;accéder aux détails de ce site."
"You are not allowed access to details about comments.","Vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;accéder aux détails des commentaires."
"You are not allowed to update options.","Vous n&rsquo;avez pas l&rsquo;autorisation de mettre à jour les options."
"You do not have permission to upload files.","Vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;envoyer des fichiers."
"Sorry, you are not allowed to edit this post type.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier ce type de contenu."
"Invalid post ID","Identifiant de l&rsquo;article non valable"
"Sorry, you are not allowed to edit posts.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier les articles."
"Sorry, revisions are disabled.","Désolé, les révisions sont désactivées."
"Sorry, you do not have access to user data on this site.","Vous n&rsquo;avez pas l&rsquo;autorisation d&rsquo;accéder aux données utilisateurs de ce site."
"Either there are no posts, or something went wrong.","Soit il n&rsquo;y a pas d&rsquo;articles, soit une erreur s&rsquo;est produite."
"Sorry, that file cannot be edited.","Désolé, ce fichier ne peut pas être modifié."
"Sorry, no such post.","Désolé, aucun article ne correspond."
"Sorry, you do not have the right to edit this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de modifier cet article."
"Sorry, you do not have the right to publish this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de publier cet article."
"For some strange yet very annoying reason, this post could not be edited.","Pour une bien étrange raison, cet article n&rsquo;a pu être modifié."
"Sorry, you do not have the right to delete this post.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de supprimer cet article."
"For some strange yet very annoying reason, this post could not be deleted.","Pour une bien étrange raison, cet article n&rsquo;a pu être supprimé."
"Sorry, you are not allowed to publish pages on this site.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de publier des pages sur ce site."
"Sorry, you are not allowed to publish posts on this site.","Désolé, vous n&rsquo;avez pas l&rsquo;autorisation de publier des articles sur ce site."
"Invalid post format","Format d&rsquo;article invalide"
"You are not allowed to create pages as this user.","Vous n&rsquo;avez pas l&rsquo;autorisation de créer des pages sous cet identifiant."
"You are not allowed to change the post author as this user.","Vous n&rsquo;avez pas l&rsquo;autorisation de modifier des articles sous cet identifiant."
"You are not allowed to change the page author as this user.","Vous n&rsquo;avez pas l&rsquo;autorisation de modifier des pages sous cet identifiant."
"Sorry, you do not have the right to publish this page.","Désolé, vous n&rsquo;avez pas le droit de publier cette page."
"Sorry, your entry could not be edited. Something wrong happened.","Désolé, votre entrée n&rsquo;a pu être modifiée. Une erreur est survenue."
"Sorry, you must be able to edit posts on this site in order to view categories.","Désolé, vous devez avoir le droit d&rsquo;écrire des articles sur ce site si vous vous visualisez les catégories."
"Could not write file %s (%s)","Impossible d&rsquo;écrire le fichier %s (%s)"
"Sorry, you can not edit this post.","Désolé, vous ne pouvez pas modifier cet article."
"Sorry, you cannot publish this post.","Désolé, vous ne pouvez pas publier cet article."
"Is there no link to us?","N&rsquo;y a-t-il aucun lien vers nous&nbsp;?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","L&rsquo;adresse web spécifiée ne peut être utilisée comme cible. Soit elle n&rsquo;existe pas, ou il ne s&rsquo;agit pas d&rsquo;une ressource reconnaissant les pings."
"The source URL and the target URL cannot both point to the same resource.","L&rsquo;adresse source et l&rsquo;adresse cible ne peuvent pointer vers la même ressource."
"The pingback has already been registered.","Le ping a déjà été enregistré."
"The source URL does not exist.","L&rsquo;adresse d&rsquo;origine n&rsquo;existe pas."
"We cannot find a title on that page.","Nous ne trouvons pas du titre pour cette page."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","L&rsquo;adresse source ne contient pas de lien vers l&rsquo;adresse cible, et ne peut donc pas être utilisée comme source."
"Pingback from %s to %s registered. Keep the web talking! :-)","Réception d&rsquo;un ping de %s pour %s. Continuons la conversation&nbsp;!&nbsp;:-)"
"The specified target URL does not exist.","L&rsquo;adresse cible spécifiée n&rsquo;existe pas."
"%s Comments","%s commentaires"
"No Comments","Pas de commentaire"
"1 Comment","Un commentaire"
"Comment","Commentaire"
"Trackback","Rétrolien"
"Pingback","Ping"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Utilisez plutôt <code>get_trackback_url()</code> si vous préférez que la valeur ne soit pas affichée."
"Comments Off","Commentaires fermés"
"Enter your password to view comments.","Saisissez votre mot de passe pour accéder aux commentaires."
"Comment on %s","Commentaire sur %s"
"Reply","Répondre"
"Log in to Reply","Connectez-vous pour répondre"
"Leave a Comment","Laisser un commentaire"
"Log in to leave a Comment","Connectez-vous pour laisser un commentaire"
"Click here to cancel reply.","Cliquez ici pour annuler la réponse."
"Leave a Reply","Laisser un commentaire"
"Leave a Reply to %s","Répondre à %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">dit&nbsp;:</span>"
"Your comment is awaiting moderation.","Votre commentaire est en attente de validation."
"%s at %s","%s à %s"
"(Edit)","(Modifier)"
"Name","Nom"
"Email","Adresse de contact"
"Website","Site web"
"Required fields are marked %s","Les champs obligatoires sont indiqués avec %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Vous devez <a href=\"%s\">être connecté</a> pour rédiger un commentaire."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Connecté en tant que <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Se déconnecter de ce compte\">Se déconnecter&nbsp;?</a>"
"Your email address will not be published.","Votre adresse de messagerie ne sera pas publiée."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Vous pouvez utiliser ces balises et attributs <abbr title=\"HyperText Markup Language\">HTML</abbr>&nbsp;: %s"
"Cancel reply","Annuler la réponse."
"Post Comment","Laisser un commentaire"
"Unapproved","Désapprouvé"
"Approved","Approuvé"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Détection d&rsquo;un doublon&nbsp;: il semble que vous avez déjà envoyé ce commentaire&nbsp!"
"You are posting comments too quickly. Slow down.","Vous envoyez vos commentaires trop rapidement. Prenez votre temps."
"Could not update comment status","Impossible de mettre à jour le statut du commentaire"
"This argument has changed to an array to match the behavior of the other cron functions.","Cet argument a été transformé en un tableau, afin de mieux correspondre au comportement des autres fonctions de cron."
"Once Hourly","Une fois par heure"
"Twice Daily","Deux fois par jour"
"Once Daily","Une fois par jour"
"Your site&#8217;s WordPress Pages","Les pages statiques de votre site WordPress"
"Sort by:","Trier par&nbsp;:"
"Page title","Titre de la page"
"Page order","Ordre de la page"
"Page ID","ID de la page"
"Exclude:","Exclure&nbsp;:"
"Page IDs, separated by commas.","IDs de pages, séparés par une virgule."
"Your blogroll","Vos liens préférés"
"Links","Liens"
"Select Link Category:","Sélectionner la catégorie de liens&nbsp;:"
"All Links","Tous les liens"
"Link title","Titre du lien"
"Link rating","Note du lien"
"Link ID","ID du lien"
"Random","Aléatoire"
"Show Link Image","Afficher l&rsquo;image du lien"
"Show Link Name","Afficher le nom du lien"
"Show Link Description","Afficher la description du lien"
"Show Link Rating","Afficher la note du lien"
"Number of links to show:","Nombre de liens à afficher&nbsp;:"
"A search form for your site","Un formulaire de recherche pour votre site"
"A monthly archive of your site&#8217;s posts","Une archive mensuelle des articles de votre site"
"Select Month","Choisir un mois"
"Display as dropdown","Afficher comme liste déroulante"
"Show post counts","Afficher le nombre d&rsquo;articles"
"Log in/out, admin, feed and WordPress links","(Dé)connexion, administration, flux et autres liens internes à WordPress"
"Meta","Méta"
"Syndicate this site using RSS 2.0","Suivez ce site par syndication RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Flux <abbr title=\"Really Simple Syndication\">RSS</abbr> des articles"
"The latest comments to all posts in RSS","Les derniers commentaires pour tous les articles, au format RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> des commentaires"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Propulsé par WordPress, plate-forme de publication personnelle sémantique de pointe."
"A calendar of your site&#8217;s posts","Un calendrier des articles de votre site"
"Calendar","Calendrier"
"Arbitrary text or HTML","Texte ou code HTML arbitraire"
"Automatically add paragraphs","Créer automatiquement les paragraphes"
"A list or dropdown of categories","Une liste ou un menu déroulant des catégories"
"Select Category","Choisir une catégorie"
"Show hierarchy","Afficher la hiérarchie"
"The most recent posts on your site","Les articles les plus récents de votre site"
"Recent Posts","Articles récents"
"Number of posts to show:","Nombre d&rsquo;articles à afficher&nbsp;:"
"Display post date?","Afficher la date du contenu&nbsp;?"
"The most recent comments","Les commentaires les plus récents"
"Recent Comments","Commentaires récents"
"%s on %s","%s dans %s"
"Number of comments to show:","Nombre de commentaires à afficher&nbsp;:"
"Entries from any RSS or Atom feed","Articles en provenance de n&rsquo;importe lequel flux RSS ou ATOM"
"RSS","Flux"
"Unknown Feed","Flux inconnu"
"Syndicate this content","Suivez ce contenu par syndication RSS"
"<strong>RSS Error</strong>: %s","<strong>Erreur RSS&nbsp;:</strong> %s"
"An error has occurred, which probably means the feed is down. Try again later.","Une erreur est survenue, le flux est probablement indisponible. Veuillez réessayer plus tard."
"Untitled","Sans titre"
"RSS Error: %s","Erreur RSS&nbsp;: %s"
"Enter the RSS feed URL here:","Saisissez l&rsquo;adresse web du flux RSS ici&nbsp;:"
"Give the feed a title (optional):","Donnez un titre au flux (facultatif)&nbsp;:"
"How many items would you like to display?","Combien d&rsquo;entrées souhaitez-vous afficher&nbsp;?"
"Display item content?","Afficher le contenu de l&rsquo;élément&nbsp;?"
"Display item author if available?","Afficher l&rsquo;auteur de l&rsquo;élément si disponible&nbsp;?"
"Display item date?","Afficher la date de l&rsquo;élément&nbsp;?"
"Your most used tags in cloud format","Vos mots-clefs les plus utilisés, au format &laquo; nuage &raquo;"
"Tag Cloud","Nuage de mots-clefs"
"Tags","Mots-clefs"
"Taxonomy:","Taxinomie&nbsp;:"
"Use this widget to add one of your custom menus as a widget.","Utilisez ce widget pour ajouter l&rsquo;un de vos menus en tant que widget."
"Custom Menu","Menu personnalisé"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Aucun menu n&rsquo;a été créé pour le moment. <a href=\"%s\">En créer un</a>."
"Select Menu:","Sélectionner le menu&nbsp;:"
"new WordPress Loop","Nouvelle boucle WordPress"
"None","Aucun"
"Last updated","Mis à jour récemment"
"Missing Attachment","Fichier attaché manquant"
"First Post","Premier article"
"Last Post","Dernier article"
"Are you sure you want to do this?","Voulez-vous vraiment faire cela&nbsp;?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Le fichier « %s » n&rsquo;existe pas&nbsp;?"
"The GD image library is not installed.","La bibliothèque d&rsquo;imagerie GD n&rsquo;est pas installée."
"File &#8220;%s&#8221; is not an image.","Le fichier « %s » n&rsquo;est pas une image."
"Comments on %s","Commentaires sur %s"
"Comments for %s searching on %s","Commentaires pour %s, recherche de %s"
"Comments for %s","Commentaires pour %s"
"Comment on %s by %s","Commentaires sur %s par %s"
"By: %s","Par : %s"
"Comments on: %s","Commentaires sur : %s"
"Protected Comments: Please enter your password to view comments.","Commentaires protégés : saisissez votre mot de passe pour accéder aux commentaires."
"&#8220;","&laquo;&nbsp;"
"&#8221;","&nbsp;&raquo;"
"&#8217;","&rsquo;"
"&#8242;","&prime;"
"&#8243;","&Prime;"
"&#8216;","&lsquo;"
"%s min","%s minute"
"%s mins","%s minutes"
"%s hour","%s heure"
"%s hours","%s heures"
"%s day","%s jour"
"%s days","%s jours"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","L&rsquo;adresse de messagerie fournie ne semble pas être valide. Veuillez saisir une adresse valide."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","L&rsquo;adresse de WordPress que vous avez saisie ne semble pas être valide. Veuillez entrer une adresse valide."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","L&rsquo;adresse de site que vous avez saisie ne semble pas être valide. Veuillez entrer une adresse valide."
"The timezone you have entered is not valid. Please select a valid timezone.","Le fuseau horaire ne semble pas être valide. Veuillez en choisir une valide."
", and",", et "
"and"," et "
"ERROR: %s is not a valid feed template.","ERREUR&nbsp;: %s n&rsquo;est pas un flux valide"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Une ou plusieurs tables de votre base de données sont indisponibles. La base de données a peut-être besoin d&rsquo;être <a href=\"%s\">réparée</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Impossible de créer le dossier %s. Son dossier parent est-il accessible en écriture par le serveur&nbsp;?"
"Empty filename","Pas de nom de fichier"
"Invalid file type","Type du fichier non valide"
"Could not write file %s","Impossible d&rsquo;écrire le fichier %s"
"WordPress Failure Notice","Avertissement d&rsquo;échec de WordPress"
"You are attempting to log out of %s","Vous êtes en train de vous déconnecter de %s."
"Do you really want to <a href='%s'>log out</a>?","Voulez-vous réellement <a href='%s'>vous déconnecter</a>&nbsp;?"
"Please try again.","Veuillez réessayer."
"&laquo; Back","&laquo; Retour"
"WordPress &rsaquo; Error","WordPress &raquo; Erreur"
"Database Error","Erreur de la base de données"
"Error establishing a database connection","Erreur lors de la connexion à la base de données"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s est <strong>déprécié</strong> depuis la version %s! Utilisez %s à la place."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s est <strong>déprécié</strong> depuis la version %s, aucune alternative n&rsquo;est disponible."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s est appelé avec un argument qui est <strong>déprécié</strong> depuis la version %s&nbsp;! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s est appelé avec un argument qui est <strong>déprécié</strong> depuis la version %s, aucune alternative n&rsquo;est disponible."
"(This message was added in version %s.)","(Ce message a été ajouté à la version %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Veuillez consulter la page <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugger dans WordPress (EN)</a> pour plus d&rsquo;informations."
"%s was called <strong>incorrectly</strong>. %s %s","%s est appelée de la mauvaise manière. %s %s"
"Select a city","Sélectionnez une ville"
"Manual Offsets","Décalages manuels"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Les scripts et les styles ne peuvent pas être enregistrés ou ajoutés avant le déclenchement des crochets %s, %s ou %s."
"Search for:","Recherche pour:"
"Log in","Connexion"
"Log out","Déconnexion"
"Username","Identifiant"
"Password","Mot de passe"
"Remember Me","Se souvenir de moi"
"Log In","Se connecter"
"Register","Inscription"
"Site Admin","Admin. du Site"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","L&rsquo;option <code>%s</code> est obsolète pour la famille des fonctions basées sur <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Utilisez plutôt l&rsquo;option <code>%s</code>."
"Search Results %s %s","Résultats de recherche %s %s"
"Page not found","Page non trouvée"
"View posts for %s %s","Voir les articles pour %s %s"
"%s %s Feed","%s %s Flux"
"%s %s Comments Feed","%s %s Flux des commentaires"
"%s %s %s Comments Feed","%s %s %s Flux des commentaires"
"%s %s %s Category Feed","%s %s Flux de la catégorie %s"
"%s %s %s Tag Feed","%s %s Flux du mot-clef %s"
"%s %s Posts by %s Feed","%s %s Flux des articles écrits par %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Flux de résultats de la recherche pour &quot;%s&quot;"
"%s %s %s Feed","%s %s Flux pour %s"
"&laquo; Previous","&laquo; Précédent"
"Next &raquo;","Suivant &raquo;"
"Blue","Bleu"
"Gray","Gris"
"Do you want to use the WYSIWYG mode for this textarea?","Voulez-vous utiliser le mode WYSIWYG pour ce champ textuel&nbsp;?"
"Apply","Appliquer"
"Insert","Insérer"
"Close","Fermer"
"Browse","Parcourir"
"Class","Classe"
"-- Not set --","-- Pas réglé --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Le Copier/Couper/Coller n&rsquo;est pas disponible dans Mozilla ni Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Actuellement pas reconnu par votre navigateur&nbsp;; utiliser les raccourcis-clavier à la place."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Désolé, mais nous avons remarqué que votre bloqueur de fenêtres pop-up a annulé la fenêtre qui apporte certaines fonctionnalités. Vous devrez annuler le blocage de popup pour ce site si vous souhaitez utiliser toutes les fonctions de cet outil."
"ERROR: Invalid values entered, these are marked in red.","ERREUR&nbsp;: certaines valeurs saisies ne sont pas valides, elles sont indiquées en rouge."
"{#field} must be a number","{#field} doit être un nombre"
"{#field} must be a number greater than {#min}","{#field} doit être un nombre plus grand que {#min}"
"{#field} must be a number or percentage","{#field} doit être un nombre ou un pourcentage"
"More colors","Plus de couleurs"
"Black","Noir"
"Burnt orange","Orange foncé"
"Dark olive","Olive foncé"
"Dark green","Vert foncé"
"Dark azure","Azur foncé"
"Navy Blue","Bleu marine"
"Indigo","Bleu indigo"
"Very dark gray","Gris foncé"
"Maroon","Rouge bordeaux"
"Olive","Vert olive"
"Green","Vert"
"Teal","Turquoise (bleu-vert)"
"Grayish blue","Bleu grisé"
"Red","Rouge"
"Amber","Ambre"
"Yellow green","Jaune-vert"
"Sea green","Vert de mer"
"Royal blue","Bleu roi"
"Purple","Violet"
"Medium gray","Gris moyen"
"Magenta","Bleur magenta"
"Gold","Or"
"Yellow","Jaune"
"Lime","Lime (vert citron)"
"Sky blue","Bleu ciel"
"Brown","Marron"
"Silver","Argent"
"Pink","Rose"
"Peach","Pèche"
"Light yellow","Jaune clair"
"Pale green","Vert clair"
"Pale cyan","Cyan"
"Light sky blue","Bleu ciel clair"
"Plum","Prune"
"White","Blanc"
"Alignment","Alignement"
"Full","Complet"
"%sH:%sM:%sS","%sH h %sM min %sS s"
"Insert date","Insérer la date"
"Insert time","Insérer l&rsquo;heure"
"January","janvier"
"February","février"
"March","mars"
"April","avril"
"May","mai"
"June","juin"
"July","juillet"
"August","août"
"September","septembre"
"October","octobre"
"November","novembre"
"December","décembre"
"Jan_January_abbreviation","jan"
"Feb_February_abbreviation","fév"
"Mar_March_abbreviation","mar"
"Apr_April_abbreviation","avr"
"May_May_abbreviation","mai"
"Jun_June_abbreviation","juin"
"Jul_July_abbreviation","juil"
"Aug_August_abbreviation","août"
"Sep_September_abbreviation","sept"
"Oct_October_abbreviation","oct"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","déc"
"Sunday","Dimanche"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sun","dim"
"Mon","lun"
"Tue","mar"
"Wed","mer"
"Thu","jeu"
"Fri","ven"
"Sat","sam"
"Print","Imprimer"
"Preview","Aperçu"
"Direction left to right","Direction de gauche à droite"
"Direction right to left","Direction de droite à gauche"
"Insert new layer","Insérer un nouveau calque"
"Move forward","Avancer"
"Move backward","Reculer"
"Toggle absolute positioning","Modifier le positionnement absolu"
"New layer...","Nouvelle couche&hellip;"
"Cancel all changes","Annuler toutes les modifications"
"Insert non-breaking space character","Insérer un espace insécable"
"Run spell checking","Lancer le correcteur d&rsquo;orthographe"
"ieSpell not detected. Do you want to install it now?","ieSpell n&rsquo;a pas été détecté. Voulez-vous l&rsquo;installer maintenant&nbsp;?"
"Horizontal rule","Règle horizontale"
"Emotions","Émotions"
"Find","Chercher"
"Find/Replace","Chercher/Remplacer"
"Insert/edit image","Insérer/modifier une image"
"Insert/edit link","Insérer/modifier un lien"
"Abbreviation","Abréviation"
"Acronym","Acronyme"
"Deletion","Coupure"
"Insert/Edit Attributes","Insérer/modider des attributs"
"Edit CSS Style","Modifier le style CSS"
"Paste as Plain Text","Coller du texte simple"
"Paste from Word","Coller du texte Word"
"Select All","Tout sélectionner"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Le copier/coller est maintenant en mode &laquo;&nbsp;texte brut&nbsp;&raquo;. Cliquez de nouveau pour retourner au mode normal. Après avoir collé votre contenu, le réglage reviendra au mode normal."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Le copier/coller est maintenant en mode &laquo;&nbsp;texte brut&nbsp;&raquo;. Cliquez de nouveau pour retourner au mode normal."
"Use CTRL+V on your keyboard to paste the text into the window.","Utilisez Ctrl-V sur votre clavier pour coller le texte dans la fenêtre."
"Keep linebreaks","Conserver les sauts de ligne"
"Inserts a new table","Insérer une nouvelle table"
"Insert row before","Insérer une ligne avant"
"Insert row after","Insérer une ligne après"
"Delete row","Supprimer la ligne"
"Insert column before","Insérer une colonne avant"
"Insert column after","Insérer une colonne après"
"Remove column","Enlever la colonne"
"Split merged table cells","Scinder les cellules fusionnées du tableau"
"Merge table cells","Fusionner les cellules du tableau"
"Table row properties","Propriétés de la ligne du tableau"
"Table cell properties","Propriétés de la cellule du tableau"
"Table properties","Propriétés du tableau"
"Paste table row before","Coller la ligne du tableau avant"
"Paste table row after","Coller la ligne du tableau après"
"Cut table row","Couper la ligne du tableau"
"Copy table row","Copier la ligne du tableau"
"Delete table","Supprimer le tableau"
"Row","Ligne"
"Column","Colonne"
"Cell","Cellule"
"The changes you made will be lost if you navigate away from this page.","Les modifications que vous avez faites seront perdues si vous changez de page."
"Toggle fullscreen mode (Alt + Shift + G)","Basculer en mode plein écran (Alt + Maj. + G)"
"Insert / edit embedded media","Insérer / modifier un média"
"Edit embedded media","Modifier le média inséré"
"Document properties","Propriétés du document"
"Insert predefined template content","Insérer le contenu d&rsquo;un modèle prédéfini"
"Visual control characters on/off.","Activer les caractères de mise en page."
"Toggle spellchecker (Alt + Shift + N)","Correcteur d'orthographe (Alt + Maj. + N)"
"Spellchecker settings","Réglages du correcteur d&rsquo;orthographe"
"Ignore word","Ignorer le mot"
"Ignore all","Ignorer tout"
"Languages","Langues"
"Please wait...","Veuillez patienter&hellip;"
"No suggestions","Aucune suggestion"
"No misspellings found.","Aucune erreur trouvée."
"Learn word","Retenir ce mot"
"Insert Page Break","Insérer la balise Page break"
"Lower alpha","Lettres minuscules"
"Lower greek","Lettres grecques minuscules"
"Lower roman","Chiffres romains minuscules"
"Upper alpha","Lettres majuscules"
"Upper roman","Chiffres romains majuscules"
"Circle","Cercle"
"Disc","Disque"
"Square","Carré"
