"Invalid user ID.","Neplatné ID používateľa."
"Insert/edit link (Alt + Shift + A)","Vložiť / upraviť odkaz (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Odstrániť odkaz (Alt + Shift + S)"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE je na platforme nezávislý webový javascriptový HTML WYSIWYG editor vydaný ako Open Source pod %sLGPL</a>→  od Moxiecode Systems AB. Má schopnosť prenášať HTML TEXTAREA polí alebo iných prvkov na HTML editor."
"Navy Blue","Námornícka modrá"
"Dark green","Tmavozelená"
"Amber","Jantárová"
"Olive","Olivová"
"Words:","Slová:"
"Maroon","Gaštanová"
"Poster","Plagát"
"Preload","Prednahrať"
"Alternative source 2","Alternatívny zdroj 2"
"Alternative source 1","Alternatívny zdroj 1"
"Disc","Disk"
"Upper roman","Veľké rímske"
"Aqua","Voda"
"Lime","Limetka"
"Magenta","Purpurová"
"Royal blue","kráľovská-modrá"
"Turquoise","Tyrkysová"
"Yellow green","Žltozelená"
"Upper alpha","Veľké abecedné"
"Lower roman","Malé rímske"
"Burnt orange","Hnedo-oranžová"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Režim vkladania je nastavený na vkladanie jednoduchého textu. Kliknite na tlačidlo znova pre spätné prepnutie do normálneho režimu vkladania."
"Plum","Slivka"
"{#field} must be a number","{#field} musí byť číslo"
"Medium gray","Stredne šedá"
"Sea green","Morská zelená"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Prilepovanie je teraz v jednoduchom textovom móde. Kliknite znova pre návrat do regulárneho prilepovacieho módu. Potom ako niečo prilepíte, budete presmerovaný spať na normálny prilepovací režim."
"HTML5 Video Options","Možnosti videa HTML5"
"Very dark gray","Veľmi tmavo šedá"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Stlačte kláves ALT F10 pre panel nástrojov. Stlačte kláves ALT 0 pre pomoc."
"Accessibility Help","Dostupnosť Pomoci"
"General Usage","Všeobecné používanie"
"{#field} must be a number greater than {#min}","{#field} musí byť číslo väčšie ako {#min}"
"Dark azure","Tmavo azúrová"
"Dark olive","Tmavo olivová"
"Lower greek","Malé grécke"
"Lower alpha","Nízke abecedné"
"Learn word","Naučiť slovo"
"Types","Typy"
"Toolbar","Panel nástrojov"
"{#field} must be a number or percentage","{#field} musí byť číslo alebo percento"
"Square","Štvorec"
"Gold","Zlatá"
"Light sky blue","bledomodrá obloha"
"Circle","Kruh"
"Peach","Broskyňová"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Všetky práva vyhradené."
"Sky blue","Blankytná modrá"
"Rich Text Area","Pole formátovaného textu"
"Pale green","Bledo zelená"
"Light yellow","Svetlo žltá"
"Teal","tyrkysová"
"Pale cyan","Bledá azúrová"
"Grayish blue","Šedomodrá"
"Destination directory for file streaming does not exist or is not writable.","Cieľový adresár pre streamovanie súborov neexistuje, alebo nie je zapisovateľný."
"There are no HTTP transports available which can complete the requested request.","Nie sú dostupné žiadne HTTP prenosy ktoré môžu dokončiť vyžiadanú požiadavku."
"Format","Formát"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> ochránil vašu stránku už pred %s spam komentárom."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> ochránil vašu stránku už pred %s spam komentármi."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Vo vašej fronte pre spam máte <a href=\"%s\">%s komentár</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Vo vašej fronte pre spam máte <a href=\"%s\">%s komentáre</a>."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\"> Akismet </a> blokuje spam, aby sa nedostal na váš blog."
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Prihlásenie úspešné!</strong> Prosím, skontrolujte svoj e-mail pre Váš Akismet API kl'úč a zadajte ho nižšie."
"Flagged as spam by Akismet","Označené Akismetom za spam"
"History","História"
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","V tejto chvíli sa vo vašej <a href='%s'>spamovej fronte</a> nič nenachádza."
"Cleared by Akismet","Vyčistil Akismet"
"Enter the destination URL","Zadajte cieľovú URL adresu"
"Or link to existing content","Alebo odkaz na existujúci obsah"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Podmienené značky pre požiadavky nefungujú pred tým ako je požiadavka spustená. Predtým vždy vráti hodnotu false."
"The user is already active.","Užívateľ je už aktívny."
"%s was called <strong>incorrectly</strong>. %s %s","%s bola nazývaná <strong>nesprávne</strong>. %s %s"
"(This message was added in version %s.)","(Táto správa bola pridaná vo verzii %s.)"
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>CHYBA</strong>: Heslo ktoré ste zadali pre užívateľské meno <strong>%s</strong> je nesprávne. <a href=\"%s\" title=\"Straty a nálezy hesla\">Zabudli ste heslo</a>?"
"Sorry, you cannot publish this post.","Ospravedlňujeme sa, ale nemôžete publikovať tento článok."
"Comment History","História komentárov"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Kliknite sem</a> pre potvrdenie toho, že <a href=\"%s\" target=\"_blank\">Akismet.com je aktívny</a>."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s vyžaduje WordPress 3.0 alebo vyšší."
"%s approved","%s schválené"
"%s reported this comment as not spam","%s nahlásil tento komentár, že nie je spam"
"Akismet caught this comment as spam","Akismet zachytil tento komentár ako spam"
"%s reported this comment as spam","%s nahlásil tento komentár ako spam"
"Akismet caught this comment as spam during an automatic retry.","Akismet zachytil tento komentár ako spam počas automatického opakovania."
"Re-trying","Opätovne sa skúša"
"Auto-delete spam submitted on posts more than a month old.","Automaticky odstrániť komentáre odoslané na články staršie ako jeden mesiac."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Domáca URL adresa vášho WordPress, %s je neplatná. Prosím, napravte ju v <a href=\"%s\">domácich možnostiach</a>."
"Show the number of comments you've approved beside each comment author.","Zobraziť počet komentárov ktoré ste schválili vedľa každého autora komentáru. "
"%s changed the comment status to %s","%s zmenil stav komentáru na %s"
"Comment status was changed to %s","Stav komentáru bol zmenený na %s"
"Akismet cleared this comment during an automatic retry.","Akismet schválil tento komentár počas automatického opakovania."
"Akismet cleared this comment","Akismet schválil tento komentár"
"Comment was caught by wp_blacklist_check","Komentár bol zachytený pomocou wp_blacklist_check"
"Accessible","Prístupný"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet nebol schopný skontrolovať tento komentár (odpoveď: %s), automaticky sa to pokúsi zopakovať neskôr."
"Permalink: %s","Trvalý odkaz: %s"
"Standard","Štandardný"
"Post types cannot exceed 20 characters in length","Dĺžka článkov nemôže presiahnuť 20 znakov"
"Your address will be %s.","Vaša adresa bude %s."
"domain","doména"
"Invalid post format","Neplatný formát článku"
"Open link in a new window/tab","Otvoriť odkaz v novom okne/karte"
"No search term specified. Showing recent items.","Nebol zadaný žiaden hľadaný výraz. Zobrazujú sa posledné položky."
"Only a static class method or function can be used in an uninstall hook.","Iba statické metódy triedy alebo funkcie môžu byť použité v hooku odinštalovania."
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Použitie celého čísla pre počet článkov je zastarané. Namiesto toho použite pole argumentov."
"Aside","Poznámka"
"Gallery","Galéria"
"Image","Obrázok"
"Quote","Citácia"
"Status","Stav"
"No pages found in Trash.","V koši neboli nájdené žiadne stránky."
"No pages found.","Žiadne strany sa nenašli."
"No posts found in Trash.","V koši neboli nájdené žiadne články."
"Shortlink","Krátky odkaz"
"Invalid attachment ID.","Neplatné ID prílohy."
"This file no longer needs to be included.","Tento súbor už nemusí byť viac zahrnutý."
"Please enter your username or email address. You will receive a link to create a new password via email.","Prosím, zadajte svoje užívateľské meno alebo e-mailovú adresu. Obdržíte odkaz pre vytvorenie nového hesla cez e-mail."
"Display as dropdown","Zobraziť ako rozbaľovacie menu"
"Large size image height","Veľký rozmer výšky obrázku"
"Medium size image width","Stredný rozmer šírky obrázku"
"Medium size image height","Stredný rozmer výšky obrázku"
"Large size image width","Veľký rozmer šírky obrázku"
"Crop thumbnail to exact dimensions","Orezať miniatúru na presné rozmery"
"Thumbnail Height","Výška miniatúry"
"Thumbnail Width","Šírka miniatúry"
"No matches found.","Nenašli sa žiadne zhody."
"New password","Nové heslo"
"Confirm new password","Potvrdiť nové heslo"
"To reset your password, visit the following address:","Na resetovanie hesla, navštívte nasledujúcu adresu:"
"Reset Password","Resetovať heslo"
"The passwords do not match.","Heslá sa nezhodujú."
"Password Reset","Resetovať heslo"
"Your password has been reset.","Vaše heslo bolo resetované."
"Someone requested that the password be reset for the following account:","Niekto požiadal, aby heslo k nasledovnému účtu bolo resetované:"
"If this was a mistake, just ignore this email and nothing will happen.","Ak to bola chyba, jednoducho ignorujte tento e-mail a nič sa nestane."
"Enter your new password below.","Zadajte svoje nové heslo nižšie."
"Invalid post","Neplatný článok"
"Edit My Profile","Upraviť moj profil"
"My Account","Môj účet"
"Manage Comments","Spravovať komentáre"
"View comment history","Zobraziť históriu komentárov"
"Akismet was unable to re-check this comment (response: %s)","Akismet nebol schopný prekontrolovať tento komentár (odpoveď: %s)"
"Flagged as spam by %s","Označený ako spam %s"
"Akismet re-checked and caught this comment as spam","Akismet opätovne skontroloval a zachytil tento komentár ako spam"
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Prosím, <a href=\"%s\"> aktualizujte WordPress </a> na aktuálnu verziu, alebo <a href=\"%s\"> znížte modul Akismet na verziu 2.4</a>."
"Un-spammed by %s","Odspamoval %s"
"Akismet re-checked and cleared this comment","Akismet prekontroloval a vyčistil tento komentár"
"Only lowercase letters (a-z) and numbers are allowed.","Povolené sú len malé písmená (a-z) a čísla."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" je neplatný príkaz. Použite namiesto toho \"ignore_sticky_posts\"."
"New Link Category Name","Meno novej kategórie odkazov"
"Add New Link Category","Pridať novú kategóriu odkazov"
"Update Link Category","Aktualizácia kategórie odkazov"
"All Link Categories","Všetky kategórie odkazov"
"Search Link Categories","Hľadať kategórie odkazov"
"Link Category","Kategória odkazov"
"Network Admin","Administrácia siete"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Nie je možné zvoliť databázu.</h1>\n<p>Bolo možné vás pripojiť na databázový server (čo znamená, že meno a heslo sú správne) ale nedokážeme vybrať databázu <code>%s</code>.</p>\n<ul>\n<li>Ste si istý, že existuje?</li>\n<li>Má užívateľ <code>%s</code> dostatočné oprávnenie pre používanie databázy <code>%s</code>?</li>\n<li>Na niektorých sytémoch meno vašej databázy má predponu vašho užívateľského mena, tj. to môže napríklad ako <code>username_%s</code>. Môže toto spôsobovať váš problém?</li>\n</ul>\n<p>Ak neviete ako nastaviť databázu, mali by ste <strong>kontaktovať Váš hosting</strong>. Ak všetko ostatné zlyhá, možno nájdete pomoc na <a href=\"http://www.wp.sk/forum/\">Fóre podpory pre Wordpress</a> alebo <a href=\"http://wordpress.org/support/\">Anglickom fóre podpory [EN]</a>.</p>"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Prečítajte si <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">hlásenie o chybe [EN]</a>. Nájdete tam pokyny, ktoré vám môžu pomôcť identifikovať , kde mohol nastať problém."
"[%s] Activate %s","[%s] Aktivovať %s"
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Na tomto mieste sa nenachádza žiadna stránka. Ak ste vlastníkom tejto stránky, prosím navštívte <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Ladenie Siete WordPress </a>, kde nájdete ďalšie informácie a pokyny."
"Spam Blocked","Spam Blokovaný"
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Na spustenie musíte <a href=\"%s\">zadať váš kľúč pre Akismet API</a>."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Pre väčšinu ľudí <a href=\"%s\">Akismet</a> vo veľkej miere zredukuje, ba dokonca úplne eliminuje, spam v komentároch a spätných odkazoch, ktoré dostávate na vašu stránku. Ak sa stane, že nejaký spam k vám predsa len prekĺzne, jednoducho ho pri moderovaní označte ako \"spam\" a Akismet sa z týchto chýb poučí. V prípade, že ešte nemáte API kľuč, dostanete ho na <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API kľúč"
"Your server is running PHP version %s but WordPress %s requires at least %s.","Váš server beží na systéme PHP verzie %s, ale WordPress%s vyžaduje aspoň %s."
"A new trackback on the post \"%s\" is waiting for your approval","Nový spätný odkaz k článku \"%s\" čaká na vaše schválenie"
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Ak ste vlastníkom tejto siete, prosím skontrolujte, či beží databáza MySQL a či sú všetky tabuľky bez chýb."
"If your site does not display, please contact the owner of this network.","Ak sa vaša stránka nezobrazuje, prosím kontaktujte vlastníka tejto siete."
"One Response to %s","Jedna reakcia na %s"
"%s Responses to %s","%s reakcie na %s"
"user","užívateľ"
"none","žiadny"
"all","všetky"
"Custom Menu","Vlastné menu"
"Use this widget to add one of your custom menus as a widget.","Použite tento widget aby ste pridali jedno z vašich vlastných menu ako widget."
"New pingback on your post \"%s\"","Nové spätné upozornenie na váš článok \"%s\""
"A new pingback on the post \"%s\" is waiting for your approval","Nové spätné upozornenie na článok \"%s\" čaká na vaše schválenie"
"A new comment on the post \"%s\" is waiting for your approval","Nový komentár na článok \"%s\" čaká na vaše schválenie"
"New trackback on your post \"%s\"","Nový spätný odkaz na článok \"%s\""
"New comment on your post \"%s\"","Nový komentár na váš článok \"%s\""
"A term with the name provided already exists.","Termín so zadaným menom už existuje."
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Platné <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%s and %s.","%s a %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Práve prezeráte archívy blogu <a href=\"%s/\">%s</a>."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Práve prezeráte archívy blogu <a href=\"%s/\">%s</a> pre %s."
"Comments are closed.","Nie je možné pridávať komentáre."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Práve prezeráte archívy blogu <a href=\"%s/\">%s</a> pre rok %s."
"Logged in as <a href=\"%s\">%s</a>.","Prihlásený ako <a href=\"%s\">%s</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Prihlásený ako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odhlásiť sa z tohto účtu\">Odhlásiť sa &raquo;</a>"
"Submit Comment","Odoslať komentár"
"%s is proudly powered by %s","%s je vyvíjaný %s"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Universal Resource Locator\">URL adresa</abbr>"
"Your Comment","Váš komentár"
"Say It!","Povedzte to!"
"Close this window.","Zavrieť toto okno."
"Sorry, no posts matched your criteria.","Prepáčte, ale žiadne príspevky nezodpovedali vami zadaným kritériám."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Poháňa <a href=\"%s\" title=\"Poháňa WordPress, jedinečná, sémantická, osobná, publikačná platforma.\"><strong>WordPress</strong></a>"
"Log out of this account","Odhlásiť sa z tohto účtu"
"Log out &raquo;","Odhlásiť sa &raquo;"
"Mail (will not be published)","E-mail (nebude zverejnený)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Môžete použiť tieto značky: <code>%s</code>"
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","V archívoch blogu <a href=\"%s/\">%s</a> ste vyhľadávali <strong>&#8216;%s&#8217;</strong>. Ak sa vám v týchto výsledkoch nepodarilo nič nájsť, môžete skúsiť jeden z týchto odkazov."
"l, F jS, Y","l, j. F , Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Práve prezeráte archívy blogu <a href=\"%s/\">%s</a> pre deň %s."
"You are currently browsing the archives for the %s category.","Práve prezeráte archívy kategórie %s."
"%d queries. %s seconds.","%d dotazov. %s sekúnd."
"Comments (RSS)","Komentáre (RSS)"
"Entries (RSS)","Články (RSS)"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Riadok a odsek sa zalomia automaticky, e-mail adresa sa nikdy nezobrazuje, povolené <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"This post is password protected. Enter the password to view comments.","Tento článok je chránený heslom. Zadajte heslo pre prezeranie komentárov."
"This page validates as XHTML 1.0 Transitional","Táto stránka je platná podľa XHTML 1.0 Transitional"
"Sorry, the comment form is closed at this time.","Prepáčte, ale komentáre sú momentálne nedostupné."
"%s - Comments on %s","%s - Komentáre na %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> kanál pre komentáre tohto článku."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL adresa</abbr> pre spätné odkazovanie na tento záznam je: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","od %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"Leave a comment","Vložiť komentár"
"Old","Staré"
"Date Created","Dátum vytvorenia"
"Choose from the most used tags","Vybrať z najviac používaných značiek"
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Môžete použiť tieto <abbr title=\"HyperText Markup Language\">HTML </abbr> značky a atribúty: %s"
"Category","Kategória"
"Search Tags","Vyhľadať značky"
"Popular Tags","Populárne značky"
"New Category Name","Nové meno kategórie"
"New Tag Name","Nové meno značky"
"Add New Category","Pridať novú kategóriu"
"Add New Tag","Pridať novú značku"
"Update Tag","Aktualizovať značku"
"Parent Category:","Nadradená kategória:"
"Parent Category","Nadradená kategória"
"All Tags","Všetky značky"
"Categories","Kategórie"
"Sorry, new registrations are not allowed at this time.","Prepáčte, nové registrácie v tomto okamihu nie sú povolené ."
"Check your inbox at <strong>%s</strong> and click the link given.","Skontrolujte vašu schránku na <strong>%s</strong> a kliknite na odkaz ktorý nájdete v maile od nás."
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Skúste ešte chvíľku počkať. Doručenie e-mailu môže byť oneskorené faktormi na ktoré nemáme vplyv."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Skontrolujte priečinok s nevyžiadanou poštou vo vašom e-mailovom kliente. Niektoré e-maily sa tam niekedy omylom ocitnú."
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Zdravíme vás, administrátor stránky! V súčasnosti umožňujete &#8220;%s&#8221; registrácii. Ak chcete zmeniť alebo zakázať registráciu choďte na vašu <a href=\"%s\">stránku nastavení</a>."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Zadali ste správny e-mail? Zadali ste %s. Ak je táto adresa nesprávna, e-mail vám nebude doručený."
"We send your registration email to this address. (Double-check your email address before continuing.)","Registračný e-mail zašleme na túto adresu. (Dvakrát skontrolujte vašu e-mailovú adresu predtým, než budete pokračovať.)"
"Search Pages","Vyhľadať stránky"
"Add New Post","Pridať nový článok"
"Parent Page:","Nadradená stránka:"
"Posts","Články"
"Edit Page","Upraviť stránku"
"Search Posts","Vyhľadať články"
"Add New Page","Pridať novú stránku"
"Pages","Stránky"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konštanta <code>VHOST</code> <strong>je zastaraná</strong>. Použite boolovskú konštantu <code>SUBDOMAIN_INSTALL</code> vo wp-config.php pre povolenie konfigurácie subdomén. Použite is_subdomain_install(), aby ste overili, či je konfigurácia pre subdomény povolená."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konfliktné hodnoty pre konštanty VHOST a SUBDOMAIN_INSTALL.</strong> Hodnota SUBDOMAIN_INSTALL bude prijatá ako konfiguračné nastavenie vašej subdomény."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>CHYBA:</strong> Toto užívatelské meno je neplatné, nakoľko používa zakázané znaky. Prosím zadajte platné užívateľské meno."
"Required fields are marked %s","Vyžadované polia sú označené %s"
"Please include a %s template in your theme.","Prosím vložte šablónu %s do vašej témy."
"Theme without %s","Téma bez %s"
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Nepodarilo sa nájsť stránku <code>%s</code>.</strong> Hľadala sa tabuľka <code>%s</code> v databáze <code>%s</code>. Je to tak?"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Možnosť <code>%s</code> je zastaraná pre rodinu funkcií <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Použite namiesto toho možnosť <code>%s</code>."
"Your site&#8217;s WordPress Pages","Stránky vášho WordPress webu"
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Váš poskytovateľ webhostingu alebo administrátor serveru zákazal <code>fsockopen</code> alebo <code>gethostbynamel</code> funkcie v PHP. <strong>Akismet nemôže správne pracovať, pokiaľ to nezmeníte.</strong> Prosím kontaktujte vášho poskytovateľa webhostingu alebo správcu firewall-u a dajte im <a href=\"%s\" target=\"_blank\">tieto informácie o systémových požiadavkách Akismetu</a>."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Chýbajú tabuľky v databáze.</strong> Znamená to, že nebeží MySQL, WordPress nebol správne nainštalovaný, alebo niekto zmazal <code>%s</code>. Mali by ste skontrolovať vašu databázu."
"Sorry, you do not have access to user data on this site.","Prepáčte, nemáte prístup k užívateľským údajom na tejto stránke."
"Sorry, you are not allowed to post on this site.","Prepáčte, nie ste oprávnený prispievať na túto stránku."
"Sorry, you are not allowed to publish posts on this site.","Prepáčte, nie ste oprávnení publikovať príspevky na tejto stránke."
"Sorry, you must be able to edit posts on this site in order to view categories.","Prepáčte, musíte byť schopní upravovať články na tejto stránke, aby ste videli kategórie."
"Sorry, you are not allowed to publish pages on this site.","Prepáčte, nie ste oprávnený publikovať stránky."
"Sorry, that site already exists!","Prepáčte, takáto stránka už existuje!"
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Pre aktiváciu Vašeho blogu, prosím kliknite na nasledujúci odkaz:\n\n%s\n\nPo aktivácii obdržíte *ďaľší email* s Vašimi prihlasovacími údajmi\n\nPo aktivácii môžete Vašu stránku navštíviť tu:\n\n%s"
"New Site Registration: %s","Nová registrácia stránky: %s"
"Sorry, site names may not contain the character &#8220;_&#8221;!","Prepáčte, názvy stránok nemôžu obsahovať znak &#8220;_&#8221;!"
"New %s Site: %s","Nová %s stránka: %s"
"The site is already active.","Stránka je už aktívna."
"Sorry, you cannot edit posts on this site.","Prepáčte, nemôžete upravovať články na tejto stránke."
"Sorry, you must be able to edit posts to this site in order to view categories.","Prepáčte, musíte byť schopní upravovať príspevky na tejto stránke pre zobrazenie kategórií."
"You are not allowed access to details about this site.","Nie ste oprávený prístupovať k podrobnostiam o tejto stránke."
"Could not create site.","Nebolo možné vytvoriť stránku."
"The most recent posts on your site","Najnovšie články na vašej stránke"
"A calendar of your site&#8217;s posts","Kalendár vašich článkov na stránke"
"Sorry, site names must have letters too!","Prepáčte, názvy stránok musia obsahovať aj písmená!"
"Sorry, you may not use that site name.","Prepáčte, nemôžete použiť tento názov stránky."
"A monthly archive of your site&#8217;s posts","Mesačný archív vašich článkov stránky"
"A search form for your site","Vyhľadávací formulár pre vašu stránku"
"Sorry, that site is reserved!","Prepáčte, táto stránka je vyhradená!"
"That site is currently reserved but may be available in a couple days.","Táto stránka je v súčasnosti vyhradená. Za pár dní však tomu tak už byť nemusí - skúste to neskôr. "
"New user registration on your site %s:","Registrácia nového užívateľa na vašej stránke %s:"
"Site Suspended.","Stránka pozastavená."
"You are not allowed to moderate comments on this site.","Nemáte oprávnenie moderovať komentáre na tejto stránke."
"Sorry, you must be able to edit posts on this site in order to view tags.","Prepáčte, musíte byť oprávnený upravovať články na tejto stránke, aby ste si mohli prezerať značky."
"Site Tagline","Slogan"
"Site URL","URL adresa stránky"
"This site has been archived or suspended.","Táto stránka bola archivovaná alebo pozastavená."
"No site by that name on this system.","Žiadna stránka s týmto názvom sa v systéme nenachádza."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Táto stránka neexistuje. Skúste prosím <a href=\"%s\">%s</a>."
"The site you have requested is not installed properly. Please contact the system administrator.","Stránka ktorú ste si vyžiadali nie je správne nainštalovaná. Prosím, kontaktujte správcu systému."
"No results found.","Neboli nájdené žiadne výsledky."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Tento názov menu <strong>%s</strong> je v spore s iným názvom menu. Prosím vyskúšajte iný."
"The given object ID is not that of a menu item.","Zadané ID objektu nie je položka menu."
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Zadaná e-mailová adresa je zrejme neplatná. Zadajte platnú e-mailovú adresu."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","WordPress adresa ktorú ste zadali, nevyzerá ako platná URL adresa. Prosím zadajte platnú URL adresu."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Adresa stránky ktorú ste zadali nevyzerá byť platná URL adresa. Prosím zadajte platnú URL adresu."
