"New password","Nieuw wachtwoord"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Helaas, gebruikersnamen met het karakter &#8220;_&#8221; zijn niet toegestaan!"
"Sorry, usernames must have letters too!","Helaas, gebruikersnamen moeten ook letters bevatten!"
"Please enter a valid email address.","Graag een geldig e-mailadres opgeven."
"Sorry, that email address is not allowed!","Helaas, dit e-mailadres is niet toegestaan!"
"Sorry, that username already exists!","Helaas, deze gebruikersnaam bestaat al!"
"Sorry, that email address is already used!","Helaas, dit e-mailadres is al in gebruik!"
"That username is currently reserved but may be available in a couple of days.","Deze gebruikersnaam is momenteel gereserveerd, maar kan in een paar dagen beschikbaar komen."
"username and email used","gebruikersnaam en e-mail gebruikt"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Dit e-mailadres is al in gebruik. Controleer je mailbox voor een activatiebericht. Het zal vrijgegeven worden in een paar dagen als je niets doet."
"Please enter a site name.","Voer een websitenaam in."
"That name is not allowed.","Deze naam is niet toegestaan."
"Site name must be at least 4 characters.","Websitenaam moet minimaal 4 tekens zijn."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Helaas, websitenamen mogen geen &#8220;_&#8221; karakters bevatten!"
"Sorry, you may not use that site name.","Helaas, dit mag niet worden gebruikt als websitenaam."
"Sorry, site names must have letters too!","Helaas, sitenamen moeten ook letters bevatten!"
"Please enter a site title.","Graag een websitetitel invoeren."
"Sorry, that site already exists!","Helaas, deze website bestaat al!"
"Sorry, that site is reserved!","Helaas, deze website is gereserveerd!"
"That site is currently reserved but may be available in a couple days.","Deze site is momenteel gereserveerd, maar komt wellicht binnenkort beschikbaar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Klik op de volgende link om je site te activeren:\n\n%s\n\nNa je activatie ontvang je een *andere e-mail* met je inlog gegevens.\n\nNa je activatie, kun je de site hier bezoeken:\n\n%s"
"[%s] Activate %s","[%s] %s activeren"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Om gebruikers te activeren, klik op de volgende link:\n\n%s\n\nNa activeren wordt *opnieuw een e-mail* verstuurd met de inloggegevens."
"Invalid activation key.","Ongeldige activatiesleutel."
"The user is already active.","De gebruiker is al geactiveerd."
"The site is already active.","Deze website is al actief."
"Could not create user","Gebruiker kon niet worden aangemaakt"
"That username is already activated.","Deze gebruikersnaam is al geactiveerd."
"Could not create site.","Niet mogelijk om website aan te maken."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nieuwe website %s\nURL: %s\nExtern IP-adres: %s\n\nDeze meldingen uitschakelen: %s"
"New Site Registration: %s","Nieuwe website registratie: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nieuwe gebruiker: %s\nExtern IP-adres: %s\n\nDeze meldingen uitschakelen: %s"
"New User Registration: %s","Nieuwe gebruikersregistratie: %s"
"Already Installed","Reeds ge&#239;nstalleerd"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Het lijkt erop dat WordPress al is ge&#239;nstalleerd. Wis je oude database tabellen om WordPress opnieuw te installeren."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Beste gebruiker,\n\nje nieuwe SITE_NAME website is met succes ge&#239;nstalleerd:\nBLOG_URL\n\nJe kunt inloggen met de volgende gegevens:\nGebruikersnaam: USERNAME\nWachtwoord: PASSWORD\nJe kunt hier inloggen: BLOG_URLwp-login.php\n\nVeel plezier met je nieuwe website. Bedankt!\n\n--Het Team van @ SITE_NAME"
"New %s Site: %s","Nieuw %s website: %s"
"New %s User: %s","Nieuwe %s gebruikerr: %s"
"This file is too big. Files must be less than %d KB in size.","Dit bestand is te groot. Bestanden moeten kleiner als %d KB zijn."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Er is een fout opgetreden bij het toevoegen van jouw op deze site. Ga terug naar de <a href=\"%s\">startpagina</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Je bent toegevoegd aan deze site. Bezoek de <a href=\"%s\">homepagina</a> of <a href=\"%s\">log in</a> met je gebruikersnaam en wachtwoord."
"WordPress &rsaquo; Success","WordPress &rsaquo; succes"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Beste Gebruiker,\n\nJe nieuwe account is aangemaakt.\n\nJe kan inloggen met de volgende informatie:\nGebruikersnaam: USERNAME\nWachtwoord: PASSWORD\nLOGINLINK\n\nBedankt!\n\nHet team van @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Deze gebruiker heeft zijn account opgeheven, en de inhoud is niet langer beschikbaar."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Deze website is nog niet geactiveerd. Als je problemen ondervindt bij het activeren van de website, neem dan contact op met <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Deze website is gearchiveerd of buiten werking gesteld."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Deze website bestaat niet. Probeer <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Er is geen site gedefinieerd bij deze host. Als je de eigenaar bent, bezoek <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a>(Engels) voor hulp."
"If your site does not display, please contact the owner of this network.","Wanneer je website niet toont, neem dan contact op met de eigenaar van dit netwerk."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Als je de eigenaar van dit netwerk bent, controleer of MySQL correct werkt en alle tabellen zonder fouten zijn."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databasetabellen niet aanwezig.</strong> Dit betekent dat MySQL niet draait, WordPress niet goed is ge&#239;nstalleerd of dat iemand <code>%s</code> heeft verwijderd. Het is verstandig om even naar de database te kijken."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kon de website <code>%s</code> niet vinden.</strong> Zocht naar tabel <code>%s</code> in database <code>%s</code>. Klopt dat?"
"What do I do now?","Wat weet ik nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lees de <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug rapport</a> pagina(Engels). Enkele van de richtlijnen kunnen je helpen uit te vinden wat er mis gegaan is."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Wanneer je deze melding nog steeds krijgt, controleer dan of jouw database de volgende tabellen bevat:"
"Multisite only works without the port number in the URL.","Multisite werkt alleen zonder poortnummer in de URL."
"Database tables are missing.","De database tabellen ontbreken."
"No site by that name on this system.","Geen website met deze naam bekend in ons systeem."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","De menunaam <strong>%s</strong> conflicteert met een andere menunaam. Probeer een andere naam. "
"The given object ID is not that of a menu item.","Het opgegeven object ID is niet van een menu-item."
"Custom","Aangepast"
"%s is a protected WP option and may not be modified","%s is een beveiligde WP-optie en kan niet worden gewijzigd"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>MISLUKT</strong>: Ongeldige gebruikersnaam of e-mailadres."
"You should specify a nonce action to be verified by using the first parameter.","Je moet een nonce actie specificeren die kan worden geverifieerd door gebruik te maken van de eerste parameter."
"New comment on your post \"%s\"","Nieuwe reactie op je bericht \"%s\""
"Author : %s (IP: %s , %s)","Auteur : %s (IP: %s , %s)"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois : http://whois.arin.net/rest/ip/%s"
"Comment:","Reactie: "
"You can see all comments on this post here:","Je kunt alle reacties op dit bericht hier bekijken:"
"[%s] Comment: \"%s\"","[%s] Reactie: \"%s\""
"New trackback on your post \"%s\"","Nieuwe trackback op je bericht \"%s\""
"Website: %s (IP: %s , %s)","Site: %s (IP: %s , %s)"
"Excerpt:","Samenvatting: "
"You can see all trackbacks on this post here:","Je kunt alle trackbacks bij dit bericht hier bekijken:"
"New pingback on your post \"%s\"","Nieuwe pingback op je bericht \"%s\""
"You can see all pingbacks on this post here:","Je kunt alle pingbacks op dit bericht hier bekijken: "
"Trash it: %s","Naar de prullenbak: %s"
"Delete it: %s","Verwijderen: %s"
"Spam it: %s","Markeren als spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Een nieuwe trackback op het bericht \"%s\", wacht op je toelating"
"Website : %s (IP: %s , %s)","Site : %s (IP: %s , %s)"
"Trackback excerpt:","Trackback samenvatting:"
"A new pingback on the post \"%s\" is waiting for your approval","Een nieuwe pingback op het bericht \"%s\" wacht op toelating"
"Pingback excerpt:","Pingback samenvatting:"
"A new comment on the post \"%s\" is waiting for your approval","Een nieuwe reactie op het bericht \"%s\" wacht op toelating"
"Approve it: %s","Toelaten: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Er wacht %s reactie op goedkeuring. Ga naar het beheerscherm:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Er wachten %s reacties op toelating. Ga naar het moderatie scherm:"
"[%s] Please moderate: \"%s\"","[%s] Modereer: \"%s\""
"Password Lost and Changed for user: %s","Wachtwoord kwijt en gewijzigd voor gebruiker: %s"
"[%s] Password Lost/Changed","[%s] Wachtwoord kwijt/gewijzigd"
"New user registration on your site %s:","Nieuwe gebruiker geregistreerd op je site %s:"
"Username: %s","Gebruikersnaam: %s"
"E-mail: %s","E-mailadres: %s"
"[%s] New User Registration","[%s] Registratie nieuwe gebruiker"
"Password: %s","Wachtwoord: %s"
"[%s] Your username and password","[%s] Je gebruikersnaam en wachtwoord"
"Only a static class method or function can be used in an uninstall hook.","Alleen een statische classmethode of functie kan gebruikt worden in een de&#239;nstalleer hook."
"Protected: %s","Beveiligd: %s"
"Private: %s","Priv&#233;: %s"
"(more...)","(meer...)"
"There is no excerpt because this is a protected post.","Er is geen samenvatting omdat dit bericht is beveiligd."
"Pages:","Pagina&#39;s:"
"Next page","Volgende pagina"
"Previous page","Vorige pagina"
"This post is password protected. To view it please enter your password below:","Dit bericht is beveiligd met een wachtwoord. Geef je wachtwoord om het te lezen:"
"Submit","Vastleggen"
"j F, Y @ G:i","j F Y @ H:i"
"%s [Autosave]","%s [Automatisch opgeslagen]"
"%s [Current Revision]","%s [Huidige revisie]"
"%s by %s","%s door %s"
"Restore","Herstellen"
"Compare Revisions","Revisies vergelijken"
"Old","Oud"
"New","Nieuw"
"Date Created","Aangemaakt op"
"Actions","Acties"
"Post","Bericht"
"Page","Pagina"
"Add New","Toevoegen"
"Edit Media","Media bewerken"
"View Attachment Page","Bijlagepagina tonen"
"Revisions","Revisies"
"Revision","Revisies"
"Navigation Menu Items","Navigatiemenu onderdelen"
"Navigation Menu Item","Navigatiemenu onderdeel"
"Published","Gepubliceerd"
"Published <span class=\"count\">(%s)</span>","Gepubliceerd <span class=\"count\">(%s)</span>"
"Scheduled","Gepland"
"Scheduled <span class=\"count\">(%s)</span>","Gepland <span class=\"count\">(%s)</span>"
"Draft","Concept"
"Draft <span class=\"count\">(%s)</span>","Concept <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Concepten <span class=\"count\">(%s)</span>"
"Pending","Wachtend"
"Pending <span class=\"count\">(%s)</span>","Wachtend <span class=\"count\">(%s)</span>"
"Private","Priv&#233;"
"Private <span class=\"count\">(%s)</span>","Priv&#233; <span class=\"count\">(%s)</span>"
"Trash","Prullenbak"
"Trash <span class=\"count\">(%s)</span>","Prullenbak <span class=\"count\">(%s)</span>"
"Invalid post","Ongeldig bericht"
"Pending Review","Wachtend op review"
"Post types cannot exceed 20 characters in length","Berichttypen kunnen niet langer zijn dan 20 tekens"
"Posts","Berichten"
"Pages","Pagina&#39;s"
"Add New Post","Nieuw bericht toevoegen"
"Add New Page","Nieuwe pagina toevoegen"
"Edit Post","Bericht bewerken"
"Edit Page","Pagina bewerken"
"New Page","Nieuwe pagina"
"View Page","Pagina bekijken"
"Search Posts","Berichten zoeken"
"Search Pages","Pagina&#39;s zoeken"
"No posts found.","Geen berichten gevonden."
"No pages found.","Geen pagina&#39;s gevonden."
"No posts found in Trash.","Geen berichten gevonden in prullenbak."
"No pages found in Trash.","Geen pagina&#39;s gevonden in de prullenbak.."
"Parent Page:","Hoofdpagina:"
"All Posts","Alle berichten"
"All Pages","Alle pagina&#39;s"
"Images","Afbeeldingen"
"Manage Images","Afbeeldingen beheren"
"Image <span class=\"count\">(%s)</span>","Afbeelding <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Afbeeldingen <span class=\"count\">(%s)</span>"
"Manage Audio","Audio beheren"
"Manage Video","Video beheren"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Een heel getal van berichten opgeven wordt afgeraden. Geef in plaats daarvan een reeks van argumenten op."
"Content, title, and excerpt are empty.","Inhoud, titel en samenvatting zijn leeg."
"Whoops, the provided date is invalid.","Oeps, de aangeleverde data is ongeldig."
"Could not update post in the database","Kan het bericht in de database niet bijwerken"
"Could not insert post into the database","Kan het bericht niet aan de database toevoegen"
"The page template is invalid.","De paginatemplate is ongeldig."
"Content","Inhoud"
"Excerpt","Samenvatting"
"Cannot create a revision of a revision","Kan geen revisie van een revisie aanmaken"
"You do not have permission to preview drafts.","Je hebt geen rechten om concepten te bekijken."
"Standard","Standaard"
"Gallery","Galerij"
"Image","Afbeelding"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Voorwaardelijke query tags werken niet voordat de query is uitgevoerd. Daarvoor geeft deze altijd false terug."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" wordt afgeraden. Gebruik in plaats hiervan \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Dit bestand hoeft niet langer te worden toegevoegd."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Je staat op het punt de geselecteerde items permanent te verwijderen.\n  'Annuleren' om te stoppen, 'OK' om te verwijderen."
"Enter a word to look up:","Een woord invoeren om op te zoeken:"
"Dictionary lookup","Woordenboek doorzoeken"
"lookup","doorzoeken"
"Close all open tags","Alle open tags sluiten"
"close tags","tags sluiten"
"Enter the URL","Voer de URL in"
"Enter the URL of the image","Voer de URL van de afbeelding in"
"Enter a description of the image","Geef een beschrijving voor de afbeelding"
"fullscreen","Volledig scherm"
"Toggle fullscreen mode","Volledig venster aan/uit"
"text direction","tekstrichting"
"Toggle Editor Text Direction","Verander editor tekst richting"
"You do not have permission to do that.","Je hebt geen rechten om dit te doen."
"An unidentified error has occurred.","Er is een onge&iuml;dentificeerde fout opgetreden."
"Dismiss","Afbreken"
"Next &gt;","Volgende &gt;"
"&lt; Prev","&lt; Vorige"
"of","van"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Deze eigenschap vereist inline frames. Je hebt inline frames uitgeschakeld of je browser ondersteunt dit niet."
"not configured","Niet geconfigureerd"
"You have attempted to queue too many files.","Je probeert teveel bestanden in de wachtrij te zetten."
"%s exceeds the maximum upload size for this site.","%s overschrijdt de maximum upload-grootte voor deze website."
"This file is empty. Please try another.","Het bestand is leeg. Probeer een ander."
"This file type is not allowed. Please try another.","Dit bestandstype is niet toegestaan. Probeer een ander."
"This file is not an image. Please try another.","Dit bestand is geen foto. Probeer een ander bestand."
"Memory exceeded. Please try another smaller file.","Het geheugen is overschreden. Probeer opnieuw met een kleiner bestand."
"This is larger than the maximum size. Please try another.","Dit is groter dan de maximum toegestane grote. Probeer een ander bestand."
"An error occurred in the upload. Please try again later.","Fout opgetreden bij het uploaden. Probeer later nog eens."
"There was a configuration error. Please contact the server administrator.","Instellingsfout. Neem contact op met de beheerder van de server."
"You may only upload 1 file.","Je mag slechts 1 bestand uploaden."
"HTTP error.","HTTP-fout."
"Upload failed.","Uploaden mislukt. "
"Please try uploading this file with the %sbrowser uploader%s.","Probeer dit bestand te uploaden met de %sbrowser uploader%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s overschrijdt de maximale upload grootte voor de multibestandsuploader zoals gebruikt in je browser."
"IO error.","IO-fout."
"Security error.","Beveiligingsfout."
"File canceled.","Bestand geannuleerd."
"Upload stopped.","Uploaden gestopt."
"Crunching&hellip;","Een ogenblik geduld&hellip;"
"moved to the trash.","verplaatst naar de prullenbak."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; is mislukt om te uploaden."
"Strength indicator","Sterkte-indicator"
"Very weak","Heel zwak"
"Weak","Zwak"
"Strong","Sterk"
"Mismatch","Verkeerde combinatie"
"(no title)","(geen titel)"
"No matches found.","Geen overeenkomsten gevonden."
"Save &amp; Activate","Opslaan &amp; publiceren"
"Save &amp; Publish","Opslaan &amp; publiceren"
"Saved","Opgeslagen"
"Add","Toevoegen"
"Separate multiple categories with commas.","Meerdere categorie&#235;n scheiden met komma&#39;s."
"Approve and Reply","Goedkeuren en beantwoorden"
"Publish on:","Publiceren op:"
"Schedule for:","Ingepland voor:"
"Published on:","Gepubliceerd op:"
"Show more comments","Meer reacties tonen"
"No more comments found.","Geen reacties meer gevonden."
"Publish","Publiceren"
"Schedule","Inplannen"
"Save as Pending","Opslaan als wachtend"
"Save Draft","Opslaan als concept"
"Public","Openbaar"
"Public, Sticky","Openbaar, sticky"
"Password Protected","Beschermd met wachtwoord"
"Privately Published","Gepubliceerd als priv&#233;"
"Submitted on:","Geplaatst op:"
"Error while saving the changes.","Fout tijdens het opslaan van de wijzigingen."
"Remove From Bulk Edit","Verwijderen uit bulkbewerking"
"Plugin Information:","Plugin informatie:"
"Are you sure you want to install this plugin?","Weet je zeker dat je deze plugin wilt installeren?"
"Select Color","Kleur selecteren"
"Current Color","Huidige kleur"
"Could not load the preview image. Please reload the page and try again.","De vooraf bekijken afbeelding kan niet geladen worden. Herlaad de pagina en probeer opnieuw."
"Use as featured image","Als uitgelichte afbeelding gebruiken"
"Saving...","Opslaan&#8230;"
"Could not set that as the thumbnail image. Try a different attachment.","Niet mogelijk om dit als de thumbnail afbeelding in te stellen. Probeer een andere bijlage."
"Done","Klaar"
"No results found.","Niets gevonden."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Je staat op het punt dit menu permanent te verwijderen.\n 'Annuleer' om te stoppen, 'OK' om te verwijderen."
"Saving Draft&#8230;","Concept bewaren&#8230;"
"Navigation Menus","Navigatiemenu&#39;s"
"Navigation Menu","Navigatiemenu"
"Link Categories","Categorie&#235;n"
"Link Category","Linkcategorie"
"Search Link Categories","Linkcategorie&#235;n zoeken"
"All Link Categories","Alle link categorie&#235;n"
"Edit Link Category","Linkcategorie bewerken"
"Update Link Category","Linkcategorie bijwerken"
"Add New Link Category","Een nieuwe linkcategorie toevoegen"
"New Link Category Name","Nieuwe linkcategorienaam"
"Taxonomies cannot exceed 32 characters in length","Taxonomi&#235;n mogen niet langer zijn dan 32 karakters"
"Categories","Categorie&#235;n"
"Category","Categorie"
"Search Tags","Tags zoeken"
"Search Categories","Categorie&euml;n zoeken"
"Popular Tags","Populaire tags"
"All Tags","Alle tags"
"All Categories","Alle categorie&#235;n"
"Parent Category","Hoofdcategorie"
"Parent Category:","Hoofdcategorie:"
"Edit Tag","Tag bewerken"
"Edit Category","Categorie bewerken"
"View Tag","Tag tonen"
"View Category","Categorie bekijken"
"Update Tag","Tag bijwerken"
"Update Category","Categorie bijwerken"
"Add New Tag","Nieuwe tag toevoegen"
"Add New Category","Nieuwe categorie toevoegen"
"New Tag Name","Nieuwe tagnaam"
"New Category Name","Nieuwe categorienaam"
"Separate tags with commas","Meerdere tags scheiden met komma&#39;s"
"Add or remove tags","Tags toevoegen of verwijderen"
"Choose from the most used tags","Kies uit de meest gebruikte tags"
"Empty Term","Lege term"
"A name is required for this term","Een naam is verplicht voor deze term"
"A term with the name provided already exists with this parent.","Deze term met dit hoofd is al eerder toegevoegd en bestaat al."
"Could not insert term into the database","Kan term niet in de database invoegen"
"A term with the name provided already exists.","Een term met de aangegeven naam bestaat al."
"Could not insert term relationship into the database","Niet mogelijk om relatietype in database in te voegen"
"The slug &#8220;%s&#8221; is already in use by another term","De postslug (permalink) \"%s\" is al in gebruik"
"Invalid object ID","Ongeldige bericht-ID"
"Theme without %s","Thema zonder %s"
"Please include a %s template in your theme.","Voeg een %s template toe aan je thema."
"%s - Comments on %s","%s - reactie op %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> feed voor reacties op dit bericht."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","De <abbr title=\"Universal Resource Locator\">URL</abbr> voor TrackBack hiervan is: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","door %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Nog geen reacties"
"Leave a comment","Een reactie plaatsen"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Regels en alinea&#8217;s hebben automatische terugloop, het e-mailadres wordt nooit getoond, <acronym title=\"Hypertext Markup Language\">HTML</acronym> toegelaten: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Ingelogd als <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Dit account uitloggen\">Uitloggen &raquo;</a>"
"E-mail","E-mailadres"
"Your Comment","Jouw reactie"
"Say It!","Zeg het maar!"
"Sorry, the comment form is closed at this time.","Helaas, het reactieformulier is op dit moment gesloten."
"Close this window.","Sluit dit venster."
"Sorry, no posts matched your criteria.","Helaas, er zijn geen berichten die aan je criteria voldoen."
"This post is password protected. Enter the password to view comments.","Dit bericht is beveiligd met een wachtwoord. Voer het wachtwoord in om de reacties te bekijken."
"One Response to %s","Een reactie op %s"
"%s Responses to %s","%s reacties op %s"
"Comments are closed.","Reacties plaatsen niet mogelijk."
"Logged in as <a href=\"%s\">%s</a>.","Ingelogd als <a href=\"%s\">%s</a>."
"Log out of this account","Dit account uitloggen"
"Log out &raquo;","Uitloggen &raquo;"
"(required)","(verplicht)"
"Mail (will not be published)","E-mailadres (wordt niet gepubliceerd)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Je kunt deze tags gebruiken <code>%s</code>"
"Submit Comment","Reactie verzenden"
"%s is proudly powered by %s","%s wordt ondersteund door %s"
"%s and %s.","%s en %s."
"Entries (RSS)","Berichten (RSS)"
"Comments (RSS)","Reacties (RSS)"
"%d queries. %s seconds.","%d query&#39;s. %s seconden."
"You are currently browsing the archives for the %s category.","Je bladert momenteel door het archief van de categorie %s. "
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Je bladert momenteel door het <a href=\"%s/\">%s</a> site archief van de dag %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Je bladert momenteel door het <a href=\"%s/\">%s</a> site archief van %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Je bladert momenteel in het <a href=\"%s/\">%s</a> site archief van het jaar %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Je hebt het <a href=\"%s/\">%s</a> site archief doorzocht naar <strong>&#8216;%s&#8217;</strong>. Als je niets kunt vinden met deze zoekresultaten kunnen onderstaande links gebruikt worden."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Je bladert momenteel door het site archief van <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Deze pagina is gevalideerd als XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Geldig <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML vriendelijk netwerk"
"%d WordPress Update","%d WordPress bijwerken"
"%d Plugin Update","%d Plugin bijwerken"
"%d Plugin Updates","%d Plugins bijwerken"
"%d Theme Update","%d Thema bijwerken"
"%d Theme Updates","%d Thema&#39;s bijwerken"
"<strong>ERROR</strong>: The username field is empty.","<strong>MISLUKT</strong>: Geen gebruikersnaam opgegeven."
"<strong>ERROR</strong>: The password field is empty.","<strong>MISLUKT</strong>: Geen wachtwoord opgegeven."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>MISLUKT</strong>: Foutieve gebruikersnaam. <a href=\"%s\" title=\"Wachtwoord verloren en gevonden\">Wachtwoord vergeten</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>MISLUKT</strong>: Je account is gemarkeerd als spammer."
"Site Suspended.","Site buiten werking gesteld."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>Mislukt</strong>: Het opgegeven wachtwoord voor de gebruikersnaam <strong>%s</strong> is onjuist. <a href=\"%s\" title=\"Wachtwoord vergeten\">Wachtwoord vergeten</a>?"
"Please log in again.","Opnieuw inloggen alsjeblieft."
"Cannot create a user with an empty login name.","Niet mogelijk om een gebruiker zonder gebruikersnaam aan te maken."
"Jabber / Google Talk","Jabber / Google Talk:"
"There are no options for this widget.","Er zijn geen opties voor deze widget."
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Database selecteren niet mogelijk</h1>\n<p>Verbinding mogelijk met de database (wat betekent dat het gebruikersnaam en wachtwoord correct zijn), maar de <code>%s</code> database kan niet geselecteerd worden.</p>\n<ul>\n<li>Weet je zeker dat deze bestaat?</li>\n<li>Heeft de gebruiker <code>%s</code> voldoende rechten om de <code>%s</code> database te gebruiken?</li>\n<li>Op sommige systemen heeft de naam van je database de prefix van je gebruikersnaam, dat zou dan <code>username_%s</code> zijn. Zou dit het probleem kunnen zijn?</li>\n</ul>\n<p>Als je niet weet hoe je een database moet configureren neem dan <strong>contact op met je host</strong>. Als niets helpt kun je nog hulp zoeken op de <a href=\"http://nl.forums.wordpress.org/\">WordPress Nederland support forum</a>.</p>"
"WordPress database error %s for query %s made by %s","WordPress databasefout %s bij query %s gemaakt door %s"
"WordPress database error %s for query %s","WordPress databasefout %s bij query %s"
