"New password","Nytt passord"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Beklager, brukernavn kan ikke inneholde tegnet &laquo;_&raquo;!"
"Sorry, usernames must have letters too!","Beklager, brukernavnet må ha bokstaver også!"
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Sorry, that email address is not allowed!","Beklager, men den e-postadressen er ikke tillatt!"
"Sorry, that username already exists!","Beklager, det brukernavnet finnes allerede!"
"Sorry, that email address is already used!","Beklager, den e-postadressen er allerede i bruk!"
"That username is currently reserved but may be available in a couple of days.","Brukernavnet er reservert akkurat nå, men kan bli tilgjengelig om noen dager."
"username and email used","Brukernavn og e-post brukt"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Den e-postadressen har allerede blitt brukt. Vennligst sjekk din innboks for en aktiveringse-post. Den vil bli tilgjengelig om noen dager hvis du ikke gjør noe."
"Please enter a site name.","Skriv inn nettstedsnavn."
"That name is not allowed.","Det navnet er ikke tillatt."
"Site name must be at least 4 characters.","Nettstedsnavnet må ha minst fire tegn."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Beklager, nettstedsnavn kan ikke inneholde tegnet &laquo;_&raquo;!"
"Sorry, you may not use that site name.","Beklager, du kan ikke bruke det nettstedsnavnet."
"Sorry, site names must have letters too!","Beklager, nettstedsnavn må ha bokstaver også!"
"Please enter a site title.","Skriv inn nettstedsnavn."
"Sorry, that site already exists!","Beklager, det nettstedet finnes allerede!"
"Sorry, that site is reserved!","Beklager, det nettstedet er reservert!"
"That site is currently reserved but may be available in a couple days.","Det nettstedet er reservert nå, men kan bli gjort tilgjengelig i løpet av noen dager."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","For å aktivere din blogg, vennligst trykk på følgende lenke:\n\n%s\n\nEtter at du aktiverer vil du få *nok en e-post* med dine innloggingsdetaljer.\n\nEtter at du aktiverer, kan du besøke ditt nettsted her:\n\n%s"
"[%s] Activate %s","[%s] Aktiver %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","For å aktivere brukeren, klikk på følgende lenke: \n\n%s\n\nEtter at du aktiverer, mottar du *en til e-post* med din innlogging."
"Invalid activation key.","Ugyldig aktiveringsnøkkel."
"The user is already active.","Brukeren er allerede aktiv."
"The site is already active.","Det nettstedet er allerede aktivert."
"Could not create user","Kunne ikke lage bruker"
"That username is already activated.","Det brukernavnet er allerede aktivert."
"Could not create site.","Kunne ikke lage nettsted."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nytt nettsted: %s\nURL: %s\nBrukers IP: %s\n\nDeaktiver disse beskjedene: %s"
"New Site Registration: %s","Ny nettstedsregistering: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny bruker: %s\nBrukers IP: %s\n\nDeaktiver disse beskjedene: %s"
"New User Registration: %s","Ny brukerregistrering: %s"
"Already Installed","Allerede installert"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Det ser ut til at du allerede har installert WordPress. For å installere på nytt, må du tømme databasens tabeller først."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Kjære bruker, \n\nDitt nye nettsted SITE_NAME har blitt satt opp her:\nBLOG_URL\n\nDu kan logge inn på administrator-kontoen med følgende informasjon:\nBrukernavn: USERNAME\nPassord: PASSWORD\nLogg inn her: BLOG_URLwp-login.php\n\nVi håper du liker det nye nettstedet. Takk!\n\n– Teamet @ SITE_NAME"
"New %s Site: %s","Nytt %s-nettsted: %s"
"New %s User: %s","Ny %s-bruker: %s"
"This file is too big. Files must be less than %d KB in size.","Filen er for stor. Filer må være mindre enn %d Kb store."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","En feil skjedde når du skulle legges til på nettstedet. Tilbake til <a href=\"%s\">forsiden</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du har blitt lagt til dette nettstedet. Vennligst besøk <a href=\"%s\">forsiden</a> eller <a href=\"%s\">logg inn</a> med ditt brukernavn og passord."
"WordPress &rsaquo; Success","WordPress &rsaquo; Suksess"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Kjære bruker,\n\nDin nye konto er nå satt opp.\n\nDu kan logge inn med følgende informasjon:\nBrukernavn: USERNAME\nPassord: PASSWORD\nLOGINLINK\n\nTakk!\n\n--Vi på SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Brukeren har valgt å slette sin konto og innholdet er ikke lenger tilgjengelig."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Dette nettstedet har ikke blitt aktivert ennå. Hvis du har problemer med aktivering, vennligst kontakt <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Dette nettstedet har blitt arkivert eller deaktivert."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Nettstedet finnes ikke. Vennligst prøv <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Ikke noe nettsted er definert på denne tjeneren. Hvis du er eieren av dette nettstedet, kan du sjekke siden <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Feilsøking av et WordPress-nettverk</a> for hjelp."
"If your site does not display, please contact the owner of this network.","Hvis nettstedet ikke vises, vennligst kontakt eieren av dette nettverket."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Hvis du er eieren av nettverket, vennligst sjekk at MySQL kjører og at alle tabeller er feilfrie."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databasetabeller ikke funnet.</strong> Dette betyr at MySQL ikke kjører, at WordPress ikke er riktig installert, eller at noen har slettet <code>%s</code>. Du burde virkelig sjekke din database nå."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kunne ikke finne nettstedet <code>%s</code>.</strong> Søkte etter tabellen <code>%s</code> i databasen <code>%s</code>. Er det riktig?"
"What do I do now?","Hva gjør jeg nå?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Les <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">siden om feilrapporter</a>. Noen av retningslinjene der kan kanskje hjelpe deg å finne ut hva som gikk galt."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Hvis du fortsatt ser denne meldingen, vennligst sjekk at din database inneholder disse tabellene:"
"Multisite only works without the port number in the URL.","Flernettsted virker bare uten portnummer i URL-en."
"Database tables are missing.","Databasetabeller mangler."
"No site by that name on this system.","Ikke noe nettsted med det navnet her."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Menynavnet <strong>%s</strong> finnes allerede. Vennligst prøv et annet."
"The given object ID is not that of a menu item.","Spesifisert objekt-ID er ikke et menyvalg."
"Custom","Egendefinert"
"%s is a protected WP option and may not be modified","%s er et beskyttet WP valg og kan ikke bli endret"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>FEIL</strong>: Ugyldig brukernavn eller feil passord."
"You should specify a nonce action to be verified by using the first parameter.","Du bør spesifisere et nonce-tiltak som skal bekreftes ved hjelp av første parameter."
"New comment on your post \"%s\"","Ny kommentar til ditt innlegg \"%s\""
"Author : %s (IP: %s , %s)","Forfatter : %s (IP: %s , %s)"
"E-mail : %s","E-post: %s"
"Comment:","Kommentar: "
"You can see all comments on this post here:","Du kan se alle kommentarer til dette innlegget her: "
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","Ny tilbakesporing til ditt innlegg \"%s\""
"Website: %s (IP: %s , %s)","Nettsted: %s (IP: %s , %s)"
"Excerpt:","Utdrag: "
"You can see all trackbacks on this post here:","Du kan se alle tilbakesporinger til dette innlegget her: "
"[%s] Trackback: \"%s\"","[%s] Tilbakesporing: \"%s\""
"New pingback on your post \"%s\"","Nytt tilbakeping til ditt innlegg \"%s\""
"You can see all pingbacks on this post here:","Du kan se alle tilbakeping til dette innlegget her: "
"[%s] Pingback: \"%s\"","[%s] Tilbakeping: \"%s\""
"Permalink: %s","Permalenke: %s"
"Trash it: %s","Kast det: %s"
"Delete it: %s","Slett den: %s"
"Spam it: %s","Gjør useriøs: %s"
"A new trackback on the post \"%s\" is waiting for your approval","En ny tilbakesporing til innlegget \"%s\" venter på godkjenning fra deg"
"Website : %s (IP: %s , %s)","Nettsted : %s (IP: %s , %s)"
"Trackback excerpt:","Tilbakesporing utdrag:"
"A new pingback on the post \"%s\" is waiting for your approval","Et nytt tilbakeping til innlegget \"%s\" venter på godkjenning fra deg"
"Pingback excerpt:","Tilbakeping utdrag:"
"A new comment on the post \"%s\" is waiting for your approval","En ny kommentar til innlegget \"%s\" venter på godkjenning fra deg"
"Approve it: %s","Godkjenn den: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","%s kommentar venter på godkjenning. Vennligst gå til modereringspanelet:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","%s kommentarer venter på godkjenning. Vennligst gå til modereringspanelet:"
"[%s] Please moderate: \"%s\"","[%s] Vennligst moderer: \"%s\""
"Password Lost and Changed for user: %s","Passord fjernet og endret for bruker: %s"
"[%s] Password Lost/Changed","[%s] Passord fjernet/endret"
"New user registration on your site %s:","Ny brukerregistrering på ditt nettsted %s:"
"Username: %s","Brukernavn: %s"
"E-mail: %s","E-post: %s"
"[%s] New User Registration","[%s] Ny brukerregistrering"
"Password: %s","Passord: %s"
"[%s] Your username and password","[%s] Ditt nye brukernavn og passord"
"Protected: %s","Beskyttet: %s"
"Private: %s","Privat: %s"
"(more...)","(mer...)"
"There is no excerpt because this is a protected post.","Det finnes ikke utdrag siden innlegget er beskyttet."
"Pages:","Sider:"
"Next page","Neste side"
"Previous page","Forrige side"
"Home","Hjem"
"This post is password protected. To view it please enter your password below:","Dette innlegget er passordbeskyttet. Du må oppgi passord nedenfor for å se det."
"Submit","Send"
"j F, Y @ G:i","j. F Y @ H:i"
"%s [Autosave]","%s [Autolagre]"
"%s [Current Revision]","%s [Gjeldende revisjon]"
"%s by %s","%s av %s"
"Restore","Gjenopprett"
"Compare Revisions","Sammenlign revisjoner"
"Old","Gammel"
"New","Legg til"
"Date Created","Dato opprettet"
"Actions","Handlinger"
"Post","Innlegg"
"Page","Side"
"Add New","Legg til"
"Edit Media","Rediger media"
"View Attachment Page","Vis vedleggsside"
"Revisions","Revisjoner"
"Revision","Revisjon"
"Navigation Menu Items","Navigasjonsmenyvalg"
"Navigation Menu Item","Navigasjonsmenyvalg"
"Published","Publisert"
"Published <span class=\"count\">(%s)</span>","Publiserte <span class=\"count\">(%s)</span>"
"Scheduled","Planlagt"
"Scheduled <span class=\"count\">(%s)</span>","Ventende <span class=\"count\">(%s)</span>"
"Draft","Kladd"
"Draft <span class=\"count\">(%s)</span>","Kladd <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Kladder <span class=\"count\">(%s)</span>"
"Pending","Ventende"
"Pending <span class=\"count\">(%s)</span>","Venter på gjennomgang <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","I papirkurven"
"Trash <span class=\"count\">(%s)</span>","Papirkurv <span class=\"count\">(%s)</span>"
"Invalid post","Ugyldig innlegg"
"Pending Review","Venter på gjennomgang"
"Post types cannot exceed 20 characters in length","Navn på innleggstyper kan ikke overstige 20 tegn"
"Posts","Innlegg"
"Pages","Sider"
"Add New Post","Legg til nytt innlegg"
"Add New Page","Legg til ny side"
"Edit Post","Rediger innlegg"
"Edit Page","Rediger side"
"New Page","Ny side"
"View Page","Vis side"
"Search Posts","Søk i innlegg"
"Search Pages","Søk i sider"
"No posts found.","Ingen innlegg funnet."
"No pages found.","Ingen sider funnet."
"No posts found in Trash.","Ingen innlegg funnet i papirkurven."
"No pages found in Trash.","Ingen sider funnet i papirkurven."
"Parent Page:","Forelderside:"
"All Posts","Alle innlegg"
"All Pages","Alle sider"
"Images","Bilder"
"Manage Images","Håndter bilder"
"Image <span class=\"count\">(%s)</span>","Bilde <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Bilder <span class=\"count\">(%s)</span>"
"Audio","Lyd"
"Manage Audio","Håndter lyd"
"Audio <span class=\"count\">(%s)</span>","Lyd <span class=\"count\">(%s)</span>"
"Manage Video","Håndter video"
"Content, title, and excerpt are empty.","Innhold, tittel og utdrag er tomme."
"Whoops, the provided date is invalid.","Beklager, den angitte datoen er ugyldig."
"Could not update post in the database","Kunne ikke oppdatere innlegget i databasen"
"Could not insert post into the database","Kunne ikke lagre innlegget i databasen"
"The page template is invalid.","Sidemalen er ugyldig."
"Content","Innhold"
"Excerpt","Utdrag"
"Cannot create a revision of a revision","Kan ikke lage en revisjon av en revisjon."
"You do not have permission to preview drafts.","Du har ikke lov til å forhåndsvise kladder."
"Aside","Notis"
"Gallery","Galleri"
"Link","Lenke"
"Image","Bilde"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Betingede spørringer fungerer ikke fungerer ikke før spørringen er utført. Før det skjer, returnerer de alltid \"false\"."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" er avlegs. Bruk \"ignore_sticky_posts\" i stedet."
"This file no longer needs to be included.","Denne filen trenger ikke lenger å bli inkludert."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Du er i ferd med å permanent slette valgte elementer.\n 'Avbryt' for å stoppe, 'OK' for å slette."
"Enter a word to look up:","Skriv inn et ord å slå opp:"
"Dictionary lookup","Ordliste oppslag"
"lookup","oppslag"
"Close all open tags","Lukk alle åpne koder"
"close tags","lukk koder"
"Enter the URL","Skriv inn URL"
"Enter the URL of the image","Skriv inn URL til bilde"
"Enter a description of the image","Skriv inn beskrivelse av bilde"
"fullscreen","fullskjerm"
"Toggle fullscreen mode","Slå på eller av fullskjermmodus"
"text direction","tekstretning"
"Toggle Editor Text Direction","Veksle tekstretning i tekstredigering"
"You do not have permission to do that.","Du har ikke lov til å gjøre det."
"An unidentified error has occurred.","En ikke identifisert feil har oppstått."
"Dismiss","Lukk"
"Next &gt;","Neste &gt;"
"&lt; Prev","&lt; Forrige"
"of","av"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Denne funksjonen krever integrerte rammer. Du har enten slått av iframes, eller så støtter ikke din nettleser dem."
"not configured","ikke tilpasset"
"You have attempted to queue too many files.","Du har forsøkt å angi for mange filer."
"%s exceeds the maximum upload size for this site.","%s er større enn den maksimale opplastingsstørrelsen på dette nettstedet."
"This file is empty. Please try another.","Denne filen er tom. Vennligst prøv en annen."
"This file type is not allowed. Please try another.","Denne filtypen tillates ikke. Vennligst prøv en annen."
"This file is not an image. Please try another.","Denne filen er ikke et bilde. Vennligst prøv med en annen."
"Memory exceeded. Please try another smaller file.","Minne overskredet. Vennligst prøv med en mindre fil."
"This is larger than the maximum size. Please try another.","Dette er mer enn maksimal størrelse. Vennligst prøv med en annen."
"An error occurred in the upload. Please try again later.","En feil oppstod under opplasting. Vennligst prøv igjen senere."
"There was a configuration error. Please contact the server administrator.","Konfigurasjonsfeil.. Vennligst kontakt administrator."
"You may only upload 1 file.","Du kan bare laste opp en fil."
"HTTP error.","HTTP feil."
"Upload failed.","Opplasting feilet."
"Please try uploading this file with the %sbrowser uploader%s.","Vennligst prøv å laste opp denne filen med %snettleserens opplaster%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s overstiger maksimal filstørrelse for flerfilopplasteren når det brukes i nettleseren din."
"IO error.","IO feil."
"Security error.","Sikkerhetsfeil."
"File canceled.","Fil avbrutt."
"Upload stopped.","Opplasting stoppet."
"Crunching&hellip;","Komprimerer&hellip;"
"moved to the trash.","flyttet til papirkurven."
"&#8220;%s&#8221; has failed to upload.","&laquo;%s&raquo; ble ikke lastet opp."
"Strength indicator","Styrkeindikator"
"Very weak","Veldig svakt"
"Weak","Svakt"
"Strong","Sterk"
"Mismatch","Passer ikke"
"(no title)","(ingen tittel)"
"No matches found.","Ingen treff funnet."
"Save &amp; Activate","Lagre &amp; aktiver"
"Save &amp; Publish","Lagre &amp; publiser"
"Saved","Lagret"
"Add","Legg til"
"Separate multiple categories with commas.","Skill mellom flere kategorier med komma."
"Approve and Reply","Godkjenn og send"
"Publish on:","Publiseres den:"
"Schedule for:","Planlegg:"
"Published on:","Publisert:"
"Show more comments","Vis flere kommentarer"
"No more comments found.","Ingen flere kommentarer funnet."
"Publish","Publiser"
"Schedule","Planlegg"
"Save as Pending","Lagre som ventende"
"Save Draft","Lagre kladd"
"Public","Offentlig"
"Public, Sticky","Offentlig, klebrig"
"Password Protected","Passordbeskyttet"
"Privately Published","Privat publisert"
"Submitted on:","Sendt:"
"Error while saving the changes.","Feil under lagring av endringer."
"Remove From Bulk Edit","Fjern fra masseredigering"
"Plugin Information:","Utvidelsesinformasjon:"
"Are you sure you want to install this plugin?","Er du sikker på at du vil installere denne utvidelsen?"
"Select Color","Velg farge"
"Current Color","Gjeldende farge"
"Could not load the preview image. Please reload the page and try again.","Kunne ikke laste forhåndsvisningen. Vennligst oppdater siden og prøv igjen."
"Use as featured image","Bruk som fremhevet bilde"
"Saving...","Lagrer..."
"Could not set that as the thumbnail image. Try a different attachment.","Kunne ikke sette det som miniatyrbilde. Prøv et annet vedlegg."
"Done","Ferdig"
"No results found.","Ingen treff."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Du er i ferd med å permanent slette denne menyen.\n 'Avbryt' for å stoppe, 'OK' for å slette."
"Saving Draft&#8230;","Lagrer kladd&#8230;"
"Navigation Menus","Navigasjonsmeny"
"Navigation Menu","Navigasjonsmeny"
"Link Categories","Lenkekategorier"
"Link Category","Lenkekategori"
"Search Link Categories","Søk i lenkekategorier"
"All Link Categories","Alle lenkekategorier"
"Edit Link Category","Rediger lenkekategori"
"Update Link Category","Oppdater lenkekategori"
"Add New Link Category","Legg til ny lenkekategori"
"New Link Category Name","Navn på ny lenkekategori"
"Taxonomies cannot exceed 32 characters in length","Taksonomier kan ikke ha mer enn 32 tegn"
"Tags","Stikkord"
"Categories","Kategorier"
"Tag","Stikkord"
"Category","Kategori"
"Search Tags","Søk i stikkord"
"Search Categories","Søk i kategorier"
"Popular Tags","Populære stikkord"
"All Tags","Alle stikkord"
"All Categories","Alle kategorier"
"Parent Category","Forelderkategori"
"Parent Category:","Forelderkategori:"
"Edit Tag","Rediger stikkord"
"Edit Category","Rediger kategori"
"View Tag","Se stikkord"
"View Category","Se kategori"
"Update Tag","Oppdater stikkord"
"Update Category","Oppdater kategori"
"Add New Tag","Legg til nytt stikkord"
"Add New Category","Legg til ny kategori"
"New Tag Name","Nytt stikkordsnavn"
"New Category Name","Nytt kategorinavn"
"Separate tags with commas","Skill stikkord med komma"
"Add or remove tags","Legg til eller fjern stikkord"
"Choose from the most used tags","Velg fra de mest brukte stikkordene"
"Empty Term","Tomt uttrykk"
"A name is required for this term","Et navn er nødvendig for dette begrepet"
"A term with the name provided already exists with this parent.","Et nøkkelord med dette navnet finnes allerede med denne forelderen."
"Could not insert term into the database","Kunne ikke lagre uttrykket i databasen"
"A term with the name provided already exists.","Et nøkkelord med det navnet finnes allerede."
"Could not insert term relationship into the database","Kunne ikke sette inn nøkkelforholdet i databasen"
"The slug &#8220;%s&#8221; is already in use by another term","Permalenken &laquo;%s&raquo; er allerede i bruk"
"Invalid object ID","Ugyldig objekt-ID"
"Theme without %s","Tema uten %s"
"Please include a %s template in your theme.","Vennligst inkluder en %s-mal i ditt tema."
"%s - Comments on %s","%s - Kommentarer til %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr lang=\"en\" xml:lang=\"en\" title=\"Really Simple Syndication\">RSS</abbr>-strøm med kommentarer til dette innlegget."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<acronym lang=\"en\" xml:lang=\"en\" title=\"Uniform Resource Locator\">URL</acronym>-en for å lage tilbakesporing til dette innlegget er: <em>%s</em>\""
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","av %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Ingen kommentarer så langt."
"Leave a comment","Legg igjen en kommentar"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Avsnitt og linjeskift lages automatisk, e-postadressen din vil aldri vises, <acronym lang=\"en\" xml:lang=\"en\" title=\"Hypertext Markup Language\">HTML</acronym> er tillatt: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Logget inn som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Logg ut av denne kontoen\">Logg ut &raquo;</a>"
"E-mail","E-post"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","Tilbakesporings-<abbr lang=\"en\" xml:lang=\"en\" title=\"Uniform Resource Locator\">URL</abbr>"
"Your Comment","Din kommentar"
"Say It!","Si det!"
"Sorry, the comment form is closed at this time.","Beklager, men kommentarskjemaet er nå lukket."
"Close this window.","Lukk dette vinduet."
"Sorry, no posts matched your criteria.","Beklager, ingen innlegg passet til kriteriene dine."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Drives med <a href=\"%s\" title=\"Drives med WordPress, en toppmoderne emantisk publiseringsplattform\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Dette innlegget er passordbeskyttet. Du må oppgi passord for å se kommentarer."
"One Response to %s","Ett svar til %s"
"%s Responses to %s","%s svar til %s"
"Comments are closed.","Det er stengt for kommentarer."
"Logged in as <a href=\"%s\">%s</a>.","Logget inn som <a href=\"%s\">%s</a>."
"Log out of this account","Logg ut fra denne kontoen"
"Log out &raquo;","Logg ut &raquo;"
"(required)","(obligatorisk)"
"Mail (will not be published)","E-post (vil ikke bli publisert)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Du kan bruke disse kodene: <code>%s</code>"
"Submit Comment","Send kommentar"
"%s is proudly powered by %s","%s er stolt drevet av %s"
"%s and %s.","%s og %s."
"Entries (RSS)","Oppføringer (RSS)"
"Comments (RSS)","Kommentarer (RSS)"
"%d queries. %s seconds.","%d forespørsler. %s sekunder."
"You are currently browsing the archives for the %s category.","Du ser nå i arkivet til kategorien %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Du ser nå i arkivet for <a href=\"%s/\">%s</a> for %s."
"l, F jS, Y","l, j. F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Du ser nå i arkivet for <a href=\"%s/\">%s</a> for %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Du ser nå i arkivet for <a href=\"%s/\">%s</a> for %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du har søkt i <a href=\"%s/\">%s</a>-arkivet etter <strong>&#8216;%s&#8217;</strong>. Hvis du ikke finner noe her, kan du prøve en av disse lenkene.."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Du ser nå i <a href=\"%s/\">%s</a>-arkivet."
"This page validates as XHTML 1.0 Transitional","Denne siden består av gyldig XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Gyldig <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML vennenettverk"
"%d WordPress Update","%d WordPress-oppdatering"
"%d Plugin Update","%d Utvidelsesoppdatering"
"%d Plugin Updates","%d Utvidelsesoppdateringer"
"%d Theme Update","%d Temaoppdatering"
"%d Theme Updates","%d Temaoppdateringer"
"<strong>ERROR</strong>: The username field is empty.","<strong>Feil</strong>: Brukernavnfeltet er tomt."
"<strong>ERROR</strong>: The password field is empty.","<strong>Feil</strong>: Passordfeltet er tomt."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEIL</strong>: Ugyldig brukernavn. <a href=\"%s\" title=\"Password Lost and Found\">Mistet passordet ditt</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>FEIL</strong>: Din konto har blitt merket som useriøs."
"Site Suspended.","Nettsted suspendert."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEIL</strong>: Passordet du skrev inn for brukernavnet <strong>%s</strong> er feil. <a href=\"%s\" title=\"Glemte passord\">Glemt passordet ditt</a>?"
"Please log in again.","Vennligst logg inn igjen."
"Cannot create a user with an empty login name.","Kan ikke opprette en bruker med et tomt innloggingsnavn."
"There are no options for this widget.","Det er ingen innstillinger for denne widget."
"Sidebar %d","Sidekolonne %d"
"Sidebar","Sidekolonnen"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Kan ikke velge database</h1>\n<p>Vi klarte å kommunisere med databaseserveren (som betyr at ditt brukernavn og passord er ok), men vi klarte ikke å velge <code>%s</code>-databasen.</p>\n<ul>\n<li>Er du sikker på at den finnes?</li>\n<li>Har brukeren <code>%s</code> tilgang til å bruke <code>%s</code>-databasen?</li>\n<li>På noen systemer har databasen brukernavnet ditt som prefiks - det er da typisk <code>brukernavn_%s</code>. Kanskje det er der problemet ligger?</li>\n</ul>\n<p>Hvis du ikke vet hvordan du setter opp en database, burde du <strong>kontakte nettjener</strong>. Hvis ingenting fungerer kan du finne hjelp på <a href=\"http://wordpress.org/support/\">WordPress supportforum</a>.</p>"
"WordPress database error %s for query %s made by %s","WordPress database feil %s for spørring %s gjort av %s"
"WordPress database error %s for query %s","WordPress database feil %s for spørring %s"
