"New password","Novo geslo"
"<strong>ERROR</strong>: Site URL already taken.","<strong>NAPAKA</strong>: URL Spletišča je že zaseden."
"<strong>ERROR</strong>: problem creating site entry.","<strong>NAPAKA</strong>: problem ustvarjanja vnosa spletišča."
"Only lowercase letters (a-z) and numbers are allowed.","Samo male črke (a-z) in številke so dovoljene."
"Please enter a username.","Prosim, vnesite uporabniško ime."
"That username is not allowed.","To uporabniško ime ni dovoljeno."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Ne morete uporabiti tega e-poštnega naslova za prijavo. Vaš ponudnik blokira nekatere pošiljke. Prosim uporabite drugega e-poštnega ponudnika."
"Username must be at least 4 characters.","Uporabniško ime mora biti vsaj 4 znake dolgo."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Oprostite, uporabniška imena ne smejo vsebovati znakov &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Oprostite, uporabniška imena morajo imeti tudi črke!"
"Please enter a valid email address.","Prosim vnesite veljaven e-poštni naslov."
"Sorry, that email address is not allowed!","Oprostite, ta e-poštni naslov ni dovoljen!"
"Sorry, that username already exists!","Oprostite, to uporabniško ime že obstaja!"
"Sorry, that email address is already used!","Oprostite, ta e-poštni naslov je že uporabljen!"
"That username is currently reserved but may be available in a couple of days.","To uporabniško ime je trenutno pridržano, mogoče bo pa na voljo čez nekaj dni."
"username and email used","uporabniško ime in e-poštni naslov že uporabljen"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Ta e-poštni naslov je že v uporabi. Prosim, preverite svojo prejeto pošto, če ste prejeli aktivacijsko e-pošto. Če ne storite ničesar, bo čez nekaj dni spet na voljo."
"Please enter a site name.","Prosim, vnesite ime spletišča."
"That name is not allowed.","To ime ni dovoljeno."
"Site name must be at least 4 characters.","Ime spletišča mora vsebovati vsaj 4 znake."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Oprostite, ime spletišča ne sme vsebovati znak &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Oprostite, tega imena ne morete uporabiti za spletišče."
"Sorry, site names must have letters too!","Oprostite, imena spletišč morajo imeti tudi črke!"
"Please enter a site title.","Prosim, vnesite naslov spletišča."
"Sorry, that site already exists!","Oprostite, to spletišče že obstaja!"
"Sorry, that site is reserved!","Oprostite, to spletišče je rezervirano!"
"That site is currently reserved but may be available in a couple days.","To spletišče je trenutno rezervirano. Mogoče bo na voljo v parih dneh."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Da omogočite vaš blog, kliknite na to povezavo:\n\n%s\n\nPo aktivaciji boste prejeli novo e-pošto z vašimi prijavnimi podatki.\n\nPo aktivaciji lahko obiščete vašo novo spletišče tukaj:\n\n%s"
"[%s] Activate %s","[%s] Aktiviraj %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Za aktivacijo uporabnika, prosim obiščite spodnjo povezavo:\n\n%s\n\nPo aktivaciji boste prejeli *še eno* sporočilo."
"Invalid activation key.","Neveljaven aktivacijski ključ."
"The user is already active.","Uporabnik je že aktiven."
"The site is already active.","Spletišče je že aktivno."
"Could not create user","Ne morem ustvariti uporabnika"
"That username is already activated.","To uporabniško ime je že aktivirano."
"Could not create site.","Ne morem ustvariti spletišča."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Novo spletišče: %s\nURL: %s\nOddaljen IP: %s\n\nOnemogoči ta sporočila: %s"
"New Site Registration: %s","Nova Registracija Spletišča: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nov uporabnik: %s\nURL: %s\nOddaljen IP: %s\n\nOnemogoči ta sporočila: %s"
"New User Registration: %s","Registracija novega uporabnika: %s"
"Already Installed","Že nameščeno"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Izgleda, kot da ste že namestili WordPress. Za ponovno namestitev počistite vaše stare tabele v podatkovni bazi."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Pozdravljeni,\n\nVaša nova stran SITE_NAME je bila uspešno postavljena na:\nBLOG_URL\n\nV vaš administrativni račun se lahko prijavite z naslednjimi podatki:\nUporabniško ime: USERNAME\nGeslo: PASSWORD\nPrijavite se tu: BLOG_URLwp-login.php\n\nUpamo, da boste uživali v vaši novi strani. Hvala!\n\n--Ekipa @ SITE_NAME"
"New %s Site: %s","Novo %s spletišče: %s"
"New %s User: %s","Nov %s uporabnik: %s"
"This file is too big. Files must be less than %d KB in size.","Ta datoteka je prevelika. Datoteka mora biti manjša kot %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Napaka se je zgodila pri dodajanju tega spletišča. Nazaj na <a href=\"%s\">sprednjo stran</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Dodani ste bili na to spletišče. Prosim obiščite <a href=\"%s\">domačo stran</a> ali <a href=\"%s\">se prijavite</a> s svojim uporabniškim imenom ter geslom."
"WordPress &rsaquo; Success","WordPress &rsaquo; Uspeh"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Spoštovani uporabnik,\n\nVaš nov uporabniški račun je nastavljen.\n\nPrijavite se lahko z naslednjimi informacijami:\nUporabniško ime: USERNAME\nGeslo: PASSWORD\nLOGINLINK\n\nHvala!\n\n--Ekipa @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Ta uporabnik se je odločil, da bo izbrisal svoj račun. Vsebina ni več na voljo."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","To spletišče še ni bilo aktivirano. Če imate težave pri aktiviranju spletišča, prosim kontaktirajte <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Ta stran je bila suspendirana ali arhivirana."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","To spletišče ne obstaja. Prosim preverite <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Nobeno spletišče ni definirano na tem naslovu. Če ste lastnik tega spletišča, poglejte <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> za pomoč."
"If your site does not display, please contact the owner of this network.","Če se vašo spletišče ne prikazuje, kontaktirajte lastnika tega omrežja."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Če ste lastnik tega omrežja, prosim preverite, če MySQL teče pravilno in če so vse tabele brez napak."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Tabele v podatkovni bazi majnkajo.</strong> To pomeni da MySQL ni na voljo, WordPress ni bil pravilno nameščen ali pa je nekdo izbrisal <code>%s</code>. Resnično bi mogli pogledat v vašo bazo."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Ne najdem spletišča <code>%s</code>.</strong> Iskal sem za tabelo <code>%s</code> v podatkovni bazi <code>%s</code>. Je to pravilno?"
"What do I do now?","Kaj zdaj?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Preberite stran <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">poročanje hroščev</a>. Nekatere smernice vam lahko pomagajo ugotoviti kaj je narobe."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Če ste obtičali pri tem sporočilu, preverite če vaša podatkovna zbirka vsebuje naslednje tabele:"
"Multisite only works without the port number in the URL.","Omrežje deluje samo brez številke vrat v URL naslovu."
"Database tables are missing.","Tabele podatkovne baze majnkajo."
"No site by that name on this system.","Ni spletišča s tem imenom na tem sistemu."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Ime menija <strong>%s</strong> je v nasprotju z drugim. Poskusite drugo ime."
"The given object ID is not that of a menu item.","Vnešeni ID ne soupada z nobenim menijem."
"Custom","Po meri"
"%s is a protected WP option and may not be modified","%s je zaščitena nastavitev WP-a in se ne more spreminjati"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>NAPAKA</strong>: Napačno uporabniško ime ali nepravilno geslo."
"You should specify a nonce action to be verified by using the first parameter.","Določite enkratno akcijo (nonce), ki bo preverjena s pomočjo prvega parametra."
"New comment on your post \"%s\"","Nov komentar na prispevek \"%s\""
"Author : %s (IP: %s , %s)","Avtor: %s (IP naslov: %s, %s)"
"E-mail : %s","E-pošta: %s"
"Comment:","Komentar: "
"You can see all comments on this post here:","Vse komentarje na ta prispevek lahko vidite tukaj: "
"[%s] Comment: \"%s\"","[%s] Komentar: \"%s\""
"New trackback on your post \"%s\"","Nova povratna sled na ta prispevek \"%s\""
"Website: %s (IP: %s , %s)","Spletna stran: %s (naslov IP: %s , %s)"
"Excerpt:","Izvleček: "
"You can see all trackbacks on this post here:","Povratno sled za ta prispevek lahko vidite tukaj: "
"[%s] Trackback: \"%s\"","[%s] Povratna sled: \"%s\""
"New pingback on your post \"%s\"","Nov pingback prispevka \"%s\""
"You can see all pingbacks on this post here:","Vsak pingback na ta prispevek lahko vidite tukaj: "
"Permalink: %s","Trajna povezava: %s"
"Trash it: %s","Premakni v smeti: %s"
"Delete it: %s","Izbriši: %s"
"Spam it: %s","Označi kot neželeno: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Nova povratna sled na prispevek \"%s\" čaka na odobritev"
"Website : %s (IP: %s , %s)","Spletna stran: %s (IP naslov: %s , %s)"
"Trackback excerpt:","Izvleček povratne sledi: "
"A new pingback on the post \"%s\" is waiting for your approval","Nov pingback na prispevek \"%s\" čaka na odobritev"
"Pingback excerpt:","Izvleček za Pingback: "
"A new comment on the post \"%s\" is waiting for your approval","Nov komentar na prispevk \"%s\" čaka na odobritev"
"Approve it: %s","Odobri: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Trenutno čaka na odobritev %s komentar. Prosim, obiščite ploščo za moderiranje:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Trenutno čakata na odobritev %s komentarja. Prosim, obiščite ploščo za moderiranje:"
"[%s] Please moderate: \"%s\"","[%s] Prosim, preglejte: \"%s\""
"Password Lost and Changed for user: %s","Pozabljeno geslo ponastavljeno za uporabnika: %s"
"[%s] Password Lost/Changed","[%s] Izgubljeno/spremenjeno geslo"
"New user registration on your site %s:","Registracija novega uporabnika %s:"
"Username: %s","Uporabniško ime: %s"
"E-mail: %s","E-pošta: %s"
"[%s] New User Registration","[%s] Registracija novega uporabnika"
"Password: %s","Geslo: %s"
"[%s] Your username and password","[%s] Vaše uporabniško ime in geslo"
"Only a static class method or function can be used in an uninstall hook.","Samo statična metoda razreda (static class method) ali funkcija je lahko uporablijena kot hook pri odstranitvi."
"Protected: %s","Zaščiteno: %s"
"Private: %s","Zasebno: %s"
"(more...)","(več …)"
"There is no excerpt because this is a protected post.","Ni izvlečka, ker je prispevek zaščiten."
"Pages:","Strani:"
"Next page","Naslednja stran"
"Previous page","Prejšnja stran"
"Home","Domača stran"
"This post is password protected. To view it please enter your password below:","Ta prispevek je zaščiten z geslom. Če ga želite pogledati, vnesite geslo:"
"Submit","Pošlji"
"j F, Y @ G:i","j F, Y ob G:i"
"%s [Autosave]","%s [Samodejno]"
"%s [Current Revision]","%s [Trenutno]"
"%s by %s","%s, %s"
"Restore","Obnovi"
"Compare Revisions","Primerjaj različice"
"Old","Star"
"New","Nov"
"Date Created","Datum nastanka"
"Actions","Ukazi"
"Post","Prispevek"
"Page","Stran"
"Media","Mediji"
"Add New","Dodaj"
"Edit Media","Urejanje medijev"
"View Attachment Page","Poglej stran priponke"
"Revisions","Različice"
"Revision","Različica"
"Navigation Menu Items","Postavke Navigacijskega Menija"
"Navigation Menu Item","Postavka Navigacijskega Menija"
"Published","Objavljeno"
"Published <span class=\"count\">(%s)</span>","Objavljena <span class=\"count\">(%s)</span>"
"Scheduled","Načrtovano"
"Scheduled <span class=\"count\">(%s)</span>","Načrtovana <span class=\"count\">(%s)</span>"
"Draft","Osnutek"
"Draft <span class=\"count\">(%s)</span>","Osnutek <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Osnutka <span class=\"count\">(%s)</span>"
"Pending","V obdelavi"
"Pending <span class=\"count\">(%s)</span>","V obdelavi <span class=\"count\">(%s)</span>"
"Private","Zasebno"
"Private <span class=\"count\">(%s)</span>","Zasebna <span class=\"count\">(%s)</span>"
"Trash","Smeti"
"Trash <span class=\"count\">(%s)</span>","Smeti <span class=\"count\">(%s)</span>"
"Invalid post","Neveljaven prispevek"
"Pending Review","Čaka na Pregled"
"Post types cannot exceed 20 characters in length","Tipi prispevkov ne morejo biti daljši od 20 znakov"
"Posts","Prispevki"
"Pages","Strani"
"Add New Post","Dodaj nov prispevek"
"Add New Page","Dodaj novo stran"
"Edit Post","Uredi prispevek"
"Edit Page","Uredi stran"
"New Page","Nova stran"
"View Page","Poglej stran"
"Search Posts","Išči prispevke"
"Search Pages","Išči strani"
"No posts found.","Ne najdem prispevkov."
"No pages found.","Ne najdem strani."
"No posts found in Trash.","V smeteh ni prispevkov."
"No pages found in Trash.","Ni strani v smeteh."
"Parent Page:","Starševska stran:"
"All Posts","Vsi prispevki"
"All Pages","Vse strani"
"Images","Slike"
"Manage Images","Upravljaj slike"
"Image <span class=\"count\">(%s)</span>","Slika <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Sliki <span class=\"count\">(%s)</span>"
"Audio","Glasba"
"Manage Audio","Upravljaj zvok"
"Audio <span class=\"count\">(%s)</span>","Zvočni datoteki <span class=\"count\">(%s)</span>"
"Manage Video","Upravljaj videje"
"Video <span class=\"count\">(%s)</span>","Videa <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Podajanje celega števila prispevka je zastarelo. Uporabite podajanje tabele argumentov."
"Content, title, and excerpt are empty.","Vsebina, naslov in izvleček so prazni."
"Whoops, the provided date is invalid.","Opala, podan datum ni veljaven."
"Could not update post in the database","Prispevka se ne da posodobiti v bazi podatkov"
"Could not insert post into the database","Prispevka se ne da vstaviti v bazo podatkov"
"The page template is invalid.","Predloga strani je neveljavna."
"Content","Vsebina"
"Excerpt","Izvleček"
"Cannot create a revision of a revision","Ne morem ustvariti različice od različice"
"You do not have permission to preview drafts.","Nimate pravic za predogled osnutkov."
"Standard","Privzeto"
"Aside","Na stran"
"Chat","Klepet"
"Gallery","Galerija"
"Link","Povezava"
"Image","Slika"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Pogojna povpraševanja za značke ne delujejo preden se povpraševanje (query) ne izvede. Pred tem vedno vrnejo vrednost \"false\"."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","\"caller_get_posts\" je zastarel. Namesto tega uporabite \"ignore_sticky_posts\"."
"This file no longer needs to be included.","Vključitev te datoteke ni več potrebno."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Nepreklico boste izbrisali izbrane predmete. \n  'Prekliči' za preklic, 'OK' za izbris."
"Enter a word to look up:","Vnesite besedo za poizvedbo:"
"Dictionary lookup","Poizvedba v slovarju"
"lookup","poizvedba"
"Close all open tags","Zapri vse odprte značke"
"close tags","zapri značke"
"Enter the URL","Vnesite URL"
"Enter the URL of the image","Vnesite URL slike"
"Enter a description of the image","Vnesite opis slike"
"fullscreen","celozaslonsko"
"Toggle fullscreen mode","Preklopi celozaslonski način"
"text direction","smer besedila"
"Toggle Editor Text Direction","Preklopi smer besedila v Urejevalniku"
"You do not have permission to do that.","Nimate pravice za to dejanje."
"An unidentified error has occurred.","Prišlo je do neznane napake."
"Dismiss","Opusti"
"Next &gt;","Naprej &gt;"
"&lt; Prev","&lt; Nazaj"
"of","od"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Ta zmožnost potrebuje notranje okvire. Iframes so izklopljeni ali pa jih tvoj brskalnik ne podpira."
"not configured","ni konfigurirano"
"You have attempted to queue too many files.","Poskušali ste postaviti v vrsto preveč datotek."
"%s exceeds the maximum upload size for this site.","%s prekorači največjo dovoljeno velikost za nalaganje tega spletišča."
"This file is empty. Please try another.","Datoteka je prazna. Prosim, poskusite drugo."
"This file type is not allowed. Please try another.","Ta tip datoteke nima dovoljenja za nalaganje. Poskusite novega."
"This file is not an image. Please try another.","Ta datoteka ni slika. Poskusite drugo datoteko."
"Memory exceeded. Please try another smaller file.","Premalo spomina na strežniku. Poskusite drugo manjšo datoteko."
"This is larger than the maximum size. Please try another.","Ta datoteka je večja kot maksimum. Poskusite drugo datoteko."
"An error occurred in the upload. Please try again later.","Prišlo je do napake pri nalaganju. Prosim, ponovno poskusite kasneje."
"There was a configuration error. Please contact the server administrator.","Pojavila se je napaka pri nastavitvi. Prosim da obvestite administratorja strežnika."
"You may only upload 1 file.","Lahko naložite samo eno datoteko."
"HTTP error.","Napaka HTTP."
"Upload failed.","Nalaganje ni uspelo."
"Please try uploading this file with the %sbrowser uploader%s.","Poskusite naložiti to datoteko z %snalagalnikom brskalnika%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","%s prekorači največjo dovoljeno velikost datoteke za nalagalnik večih datotek."
"IO error.","Napaka IO."
"Security error.","Varnostna napaka."
"File canceled.","Datoteka preklicana."
"Upload stopped.","Nalaganje prekinjeno."
"Crunching&hellip;","Stiskanje&hellip;"
"moved to the trash.","premaknjeno v smeti."
"&#8220;%s&#8221; has failed to upload.","&#8220;%s&#8221; se zaradi napake ni naložil."
"Strength indicator","Kazalec kakovosti"
"Very weak","Zelo šibko"
"Weak","Šibko"
"Strong","Odlično"
"Mismatch","Neujemanje"
"(no title)","(brez naslova)"
"No matches found.","Ni zadetkov."
"Save &amp; Activate","Shrani &amp; Aktiviraj"
"Save &amp; Publish","Shrani &amp; Objavi"
"Saved","Shranjeno"
"Add","Dodaj"
"Separate multiple categories with commas.","Ločite kategorije z vejicami."
"Approve and Reply","Potrdi in odgovori"
"Publish on:","Objavi na:"
"Schedule for:","Načrtuj za:"
"Published on:","Objavljeno na:"
"Show more comments","Pokaži več komentarjev"
"No more comments found.","Ne najdem več komentarjev."
"Publish","Objavi"
"Schedule","Načrtuj"
"Save as Pending","Shrani kot Na čakanju"
"Save Draft","Shrani Osnutek"
"Public","Javno"
"Public, Sticky","Javno, Pripeto"
"Password Protected","Zaščitieno z geslom"
"Privately Published","Objavljeno kot Zasebno"
"Submitted on:","Predloženo na:"
"Error while saving the changes.","Napaka pri shranjevanju sprememb."
"Remove From Bulk Edit","Odstrani iz Množičnega Urejanja"
"Plugin Information:","Informacije o vtičniku:"
"Are you sure you want to install this plugin?","Ste prepričani, da želite namestiti vtičnik?"
"Select Color","Izberi barvo"
"Current Color","Trenutna barva"
"Could not load the preview image. Please reload the page and try again.","Ne morem naložiti predogleda slike. Prosim, ponovno naložite stran in poskusite znova."
"Use as featured image","Uporabi kot prikazno sliko"
"Saving...","Shranjujem..."
"Could not set that as the thumbnail image. Try a different attachment.","Tega se ne da nastaviti kot predogledno sličico. Poksusite z drugačno priponko."
"Done","Končano"
"No results found.","Ni rezultatov."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Neprekilcno boste izbrisali ta meni. \n 'Prekliči' za preklic, 'OK' za izbris."
"Saving Draft&#8230;","Shranjujem Osnutek&#8230;"
"Navigation Menus","Navigacijski Meniji"
"Navigation Menu","Navigacijski Meni"
"Link Categories","Kategorije Povezav"
"Link Category","Kategorija Povezave"
"Search Link Categories","Išči Kategorije Povezav"
"All Link Categories","Vse Kategorije Povezav"
"Edit Link Category","Uredi Kategorijo Povezave"
"Update Link Category","Posodobi Kategorijo Povezave"
"Add New Link Category","Dodaj Kategorijo Povezave"
"New Link Category Name","Ime Nove Kategorije Povezav"
"Taxonomies cannot exceed 32 characters in length","Taksonomije ne morejo biti daljše od 32 znakov"
"Tags","Značke"
"Categories","Kategorije"
"Tag","Značka"
"Category","Kategorija"
"Search Tags","Išči Značke"
"Search Categories","Išči Kategorije"
"Popular Tags","Priljubljene Značke"
"All Tags","Vse Značke"
"All Categories","Vse Kategorije"
"Parent Category","Starševska Kategorija"
"Parent Category:","Starševska Kategorija:"
"Edit Tag","Uredi Značko"
"Edit Category","Uredi Kategorijo"
"View Tag","Poglej Značko"
"View Category","Poglej Kategorijo"
"Update Tag","Posodobi Značko"
"Update Category","Uredi Kategorijo"
"Add New Tag","Dodaj novo Značko"
"Add New Category","Dodaj novo Kategorijo"
"New Tag Name","Ime Nove Značke"
"New Category Name","Ime nove Kategorije"
"Separate tags with commas","Ločite značke z vejicami"
"Add or remove tags","Dodaj ali odstrani značke"
"Choose from the most used tags","Izberi med največ uporabljenimi značkami"
"Empty Term","Prazen Pojem"
"A name is required for this term","Ta pojem potrebuje ime"
"A term with the name provided already exists with this parent.","Pojem s tem imenom že obstaja v staršu."
"Could not insert term into the database","Tega pojma ni bilo mogoče vstaviti v bazo"
"A term with the name provided already exists.","Pojem s tem imenom že obstaja."
"Could not insert term relationship into the database","Tega razmerja pojma ni bilo mogoče vstaviti v bazo"
"The slug &#8220;%s&#8221; is already in use by another term","Žeton &#8220;%s&#8221; je že v uporabi od drugega pojma"
"Invalid object ID","Neveljaven ID predmeta"
"Theme without %s","Tema brez %s"
"Please include a %s template in your theme.","Prosim, vključite podporo za predlogo %s v vaši temi."
"%s - Comments on %s","%s - Komentarjev na %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr> vir za komentarje tega prispevka."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> za povratno sled tega vnosa je: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","je napisal %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Komentarjev še ni."
"Leave a comment","Komentiraj"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Vrstica in odstavek se prelamljata samodejno, e-naslov se ne prikaže, dovoljen <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Prijavljeni ste kot <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odjava\">Odjava &raquo;</a>"
"E-mail","E-pošta"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Uniform Resource Locator\">URL</abbr>"
"Your Comment","Vaš Komentar"
"Say It!","Recite!"
"Sorry, the comment form is closed at this time.","Oprostite, obrazec za komentarje je trenutno zaprt."
"Close this window.","Zapri to okno."
"Sorry, no posts matched your criteria.","Oprostite, noben prispevek ne ustreza iskalnim kriterijem."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Poganja <a href=\"%s\" title=\"Poganja WordPress, najsodobnejši sistem za objavljanje\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Prispevek je zaščiten z geslom. Vnesite geslo za pregled komentarjev."
"One Response to %s","En odziv na %s"
"%s Responses to %s","Dva odziva na %s"
"Comments are closed.","Komentiranje je onemogočeno."
"Logged in as <a href=\"%s\">%s</a>.","Prijavljeni kot <a href=\"%s\">%s</a>."
"Log out of this account","Odjava iz tega uporabniškega računa"
"Log out &raquo;","Odjava &raquo;"
"(required)","(obvezno)"
"Mail (will not be published)","E-naslov (ne bo javno objavljen)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Lahko uporabite te značke: <code>%s</code>"
"Submit Comment","Pošlji Komentar"
"%s is proudly powered by %s","%s poganja %s"
"%s and %s.","%s in %s."
"Entries (RSS)","Vnosi (RSS)"
"Comments (RSS)","Komentarji (RSS)"
"%d queries. %s seconds.","%d poizvedb. %s sekund."
"You are currently browsing the archives for the %s category.","Trenutno preglejujete arhive za kategorijo %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Trenutno pregledujete <a href=\"%s/\">%s</a> arhive za dan %s."
"l, F jS, Y","l, j. F, Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Trenutno pregledujete <a href=\"%s/\">%s</a> arhive za %s."
"F, Y","m. Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Trenutno pregledujete <a href=\"%s/\">%s</a> arhive za leto %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Preiskali ste blog arhiv <a href=\"%s/\">%s</a> za <strong>&#8216;%s&#8217;</strong>. Če v iskalnih rezultatih ne najdete iskanega lahko poskusite z eno teh povezav."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Trenutno pregledujete arhiv <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Ta stran ustreza specifikaciji XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Veljaven <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","Omrežje Prijateljev XHTML"
"%d WordPress Update","%d WordPress Posodobitev"
"%d Plugin Update","%d posodobitev vtičnika"
"%d Plugin Updates","%d posodobitvi vtičnika"
"%d Theme Update","%d posodobitev teme"
"%d Theme Updates","%d posodobitvi tem"
"<strong>ERROR</strong>: The username field is empty.","<strong>NAPAKA</strong>: Polje za uporabniško ime je prazno."
"<strong>ERROR</strong>: The password field is empty.","<strong>NAPAKA</strong>: Polje geslo je prazno."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>NAPAKA</strong>: Napačno uporabniško ime. <a href=\"%s\" title=\"Izgubljeno geslo\">Ste pozabili svoje geslo</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>NAPAKA</strong>: Uporabnik je bil označen kot nekdo, ki pušča neželeno vsebino."
"Site Suspended.","Spletišče suspendirano."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>NAPAKA</strong>: Geslo, katero ste vnesli za uporabniško ime <strong>%s</strong> je napačno. <a href=\"%s\" title=\"Izgubljeno geslo\">Ste pozabil svoje geslo</a>?"
"Please log in again.","Ponovno se prijavite."
"Cannot create a user with an empty login name.","Ne morem ustvariti uporabnika brez imena."
"There are no options for this widget.","Ta gradnik nima možnosti."
"Sidebar %d","Stranska vrstica %d"
"Sidebar","Stranska vrstica"
